Class;Method;DeclaringClass;NbFields
org.apache.tools.ant.ExitException;ExitException(int);org.apache.tools.ant.ExitException;1
org.apache.tools.ant.ExitException;ExitException(int, String);org.apache.tools.ant.ExitException;1
org.apache.tools.ant.ExitException;getStatus();org.apache.tools.ant.ExitException;1
org.apache.tools.ant.DirectoryScanner;getDefaultExcludes();org.apache.tools.ant.DirectoryScanner;1
org.apache.tools.ant.DirectoryScanner;addDefaultExclude(String);org.apache.tools.ant.DirectoryScanner;1
org.apache.tools.ant.DirectoryScanner;removeDefaultExclude(String);org.apache.tools.ant.DirectoryScanner;1
org.apache.tools.ant.DirectoryScanner;resetDefaultExcludes();org.apache.tools.ant.DirectoryScanner;2
org.apache.tools.ant.DirectoryScanner;setBasedir(String);org.apache.tools.ant.DirectoryScanner;1
org.apache.tools.ant.DirectoryScanner;setBasedir(String);java.io.File;1
org.apache.tools.ant.DirectoryScanner;setBasedir(File);org.apache.tools.ant.DirectoryScanner;1
org.apache.tools.ant.DirectoryScanner;getBasedir();org.apache.tools.ant.DirectoryScanner;1
org.apache.tools.ant.DirectoryScanner;isCaseSensitive();org.apache.tools.ant.DirectoryScanner;1
org.apache.tools.ant.DirectoryScanner;setCaseSensitive(boolean);org.apache.tools.ant.DirectoryScanner;1
org.apache.tools.ant.DirectoryScanner;isFollowSymlinks();org.apache.tools.ant.DirectoryScanner;1
org.apache.tools.ant.DirectoryScanner;setFollowSymlinks(boolean);org.apache.tools.ant.DirectoryScanner;1
org.apache.tools.ant.DirectoryScanner;setIncludes(String);org.apache.tools.ant.DirectoryScanner;1
org.apache.tools.ant.DirectoryScanner;setExcludes(String);org.apache.tools.ant.DirectoryScanner;1
org.apache.tools.ant.DirectoryScanner;addExcludes(String);org.apache.tools.ant.DirectoryScanner;1
org.apache.tools.ant.DirectoryScanner;normalizePattern(String);java.io.File;2
org.apache.tools.ant.DirectoryScanner;setSelectors(FileSelector);org.apache.tools.ant.DirectoryScanner;1
org.apache.tools.ant.DirectoryScanner;isEverythingIncluded();org.apache.tools.ant.DirectoryScanner;1
org.apache.tools.ant.DirectoryScanner;scan();org.apache.tools.ant.DirectoryScanner;13
org.apache.tools.ant.DirectoryScanner;scan();java.io.File;1
org.apache.tools.ant.DirectoryScanner;checkIncludePatterns();org.apache.tools.ant.DirectoryScanner;8
org.apache.tools.ant.DirectoryScanner;checkIncludePatterns();java.io.File;5
org.apache.tools.ant.DirectoryScanner;clearResults();org.apache.tools.ant.DirectoryScanner;11
org.apache.tools.ant.DirectoryScanner;slowScan();org.apache.tools.ant.DirectoryScanner;8
org.apache.tools.ant.DirectoryScanner;slowScan();java.io.File;1
org.apache.tools.ant.DirectoryScanner;scandir(boolean, File, String);java.lang.System;1
org.apache.tools.ant.DirectoryScanner;scandir(boolean, File, String);org.apache.tools.ant.DirectoryScanner;8
org.apache.tools.ant.DirectoryScanner;scandir(boolean, File, String);java.io.File;4
org.apache.tools.ant.DirectoryScanner;accountForIncludedFile(File, String);org.apache.tools.ant.DirectoryScanner;6
org.apache.tools.ant.DirectoryScanner;accountForIncludedDir(boolean, File, String);org.apache.tools.ant.DirectoryScanner;6
org.apache.tools.ant.DirectoryScanner;accountForIncludedDir(boolean, File, String);java.io.File;1
