Class;Method;DeclaringClass;NbFields
org.apache.log4j.selector.servlet.ContextDetachingSCL;contextDestroyed(servletcontextevent);java.lang.System;1
org.apache.log4j.selector.servlet.ContextDetachingSCL;contextDestroyed(servletcontextevent);java.lang.Class;1
org.apache.log4j.selector.servlet.ContextDetachingSCL;contextDestroyed(servletcontextevent);java.lang.Object;1
org.apache.log4j.selector.ContextJNDISelector;ContextJNDISelector();org.apache.log4j.selector.ContextJNDISelector;1
org.apache.log4j.selector.ContextJNDISelector;getLoggerRepository();org.apache.log4j.selector.ContextJNDISelector;3
org.apache.log4j.selector.ContextJNDISelector;getLoggerRepository(string);org.apache.log4j.selector.ContextJNDISelector;1
org.apache.log4j.selector.ContextJNDISelector;detachRepository(string);org.apache.log4j.selector.ContextJNDISelector;1
org.apache.log4j.WriterAppender;WriterAppender(layout, writer);org.apache.log4j.WriterAppender;1
org.apache.log4j.WriterAppender;setImmediateFlush(boolean);org.apache.log4j.WriterAppender;1
org.apache.log4j.WriterAppender;getImmediateFlush();org.apache.log4j.WriterAppender;1
org.apache.log4j.WriterAppender;activateOptions();org.apache.log4j.WriterAppender;1
org.apache.log4j.WriterAppender;checkEntryConditions();org.apache.log4j.WriterAppender;1
org.apache.log4j.WriterAppender;closeWriter();org.apache.log4j.WriterAppender;1
org.apache.log4j.WriterAppender;createWriter(outputstream);org.apache.log4j.WriterAppender;1
org.apache.log4j.WriterAppender;getEncoding();org.apache.log4j.WriterAppender;1
org.apache.log4j.WriterAppender;setEncoding(string);org.apache.log4j.WriterAppender;1
org.apache.log4j.WriterAppender;setErrorHandler(errorhandler);org.apache.log4j.WriterAppender;1
org.apache.log4j.WriterAppender;DefaultErrorHandler(writerappender);org.apache.log4j.WriterAppender;1
org.apache.log4j.WriterAppender;error(exception, int, string);org.apache.log4j.WriterAppender;1
org.apache.log4j.WriterAppender;setWriter(writer);org.apache.log4j.WriterAppender;1
org.apache.log4j.WriterAppender;subAppend(loggingevent);org.apache.log4j.WriterAppender;2
org.apache.log4j.WriterAppender;reset();org.apache.log4j.WriterAppender;1
org.apache.log4j.WriterAppender;writeFooter();org.apache.log4j.WriterAppender;1
org.apache.log4j.WriterAppender;writeHeader();org.apache.log4j.WriterAppender;1
org.apache.log4j.TTCCLayout;setThreadPrinting(boolean);org.apache.log4j.TTCCLayout;1
org.apache.log4j.TTCCLayout;getThreadPrinting();org.apache.log4j.TTCCLayout;1
org.apache.log4j.TTCCLayout;setCategoryPrefixing(boolean);org.apache.log4j.TTCCLayout;1
org.apache.log4j.TTCCLayout;getCategoryPrefixing();org.apache.log4j.TTCCLayout;1
org.apache.log4j.TTCCLayout;setContextPrinting(boolean);org.apache.log4j.TTCCLayout;1
org.apache.log4j.TTCCLayout;getContextPrinting();org.apache.log4j.TTCCLayout;1
org.apache.log4j.TTCCLayout;format(loggingevent);org.apache.log4j.TTCCLayout;4
org.apache.log4j.TTCCLayout;format(loggingevent);java.lang.StringBuffer;1
org.apache.log4j.ConsoleAppender;ConsoleAppender(layout, string);org.apache.log4j.ConsoleAppender;1
org.apache.log4j.ConsoleAppender;setTarget(string);org.apache.log4j.ConsoleAppender;3
org.apache.log4j.ConsoleAppender;getTarget();org.apache.log4j.ConsoleAppender;1
org.apache.log4j.ConsoleAppender;setFollow(boolean);org.apache.log4j.ConsoleAppender;1
org.apache.log4j.ConsoleAppender;getFollow();org.apache.log4j.ConsoleAppender;1
org.apache.log4j.ConsoleAppender;activateOptions();java.lang.System;2
org.apache.log4j.ConsoleAppender;activateOptions();org.apache.log4j.ConsoleAppender;3
org.apache.log4j.ConsoleAppender;closeWriter();org.apache.log4j.ConsoleAppender;1
org.apache.log4j.ConsoleAppender;flush();java.lang.System;1
org.apache.log4j.ConsoleAppender;write(byte);java.lang.System;1
org.apache.log4j.ConsoleAppender;write(byte, int, int);java.lang.System;1
org.apache.log4j.ConsoleAppender;write(int);java.lang.System;1
org.apache.log4j.ConsoleAppender;flush();java.lang.System;1
org.apache.log4j.ConsoleAppender;write(byte);java.lang.System;1
org.apache.log4j.ConsoleAppender;write(byte, int, int);java.lang.System;1
org.apache.log4j.ConsoleAppender;write(int);java.lang.System;1
org.apache.log4j.net.MulticastReceiver;getDecoder();org.apache.log4j.net.MulticastReceiver;1
org.apache.log4j.net.MulticastReceiver;setDecoder(string);org.apache.log4j.net.MulticastReceiver;1
org.apache.log4j.net.MulticastReceiver;getPort();org.apache.log4j.net.MulticastReceiver;1
org.apache.log4j.net.MulticastReceiver;setPort(int);org.apache.log4j.net.MulticastReceiver;1
org.apache.log4j.net.MulticastReceiver;getAddress();org.apache.log4j.net.MulticastReceiver;1
org.apache.log4j.net.MulticastReceiver;setEncoding(string);org.apache.log4j.net.MulticastReceiver;1
org.apache.log4j.net.MulticastReceiver;getEncoding();org.apache.log4j.net.MulticastReceiver;1
org.apache.log4j.net.MulticastReceiver;shutdown();org.apache.log4j.net.MulticastReceiver;4
org.apache.log4j.net.MulticastReceiver;setAddress(string);org.apache.log4j.net.MulticastReceiver;1
org.apache.log4j.net.MulticastReceiver;isPaused();org.apache.log4j.net.MulticastReceiver;1
org.apache.log4j.net.MulticastReceiver;setPaused(boolean);org.apache.log4j.net.MulticastReceiver;1
org.apache.log4j.net.MulticastReceiver;isActive();org.apache.log4j.net.MulticastReceiver;1
org.apache.log4j.net.MulticastReceiver;activateOptions();java.net.InetAddress;1
org.apache.log4j.net.MulticastReceiver;activateOptions();org.apache.log4j.net.MulticastReceiver;8
org.apache.log4j.net.MulticastReceiver;MulticastHandlerThread();java.lang.Thread;1
org.apache.log4j.net.MulticastReceiver;append(string);org.apache.log4j.net.MulticastReceiver;1
org.apache.log4j.net.MulticastReceiver;run();java.lang.Thread;1
org.apache.log4j.net.MulticastReceiver;run();org.apache.log4j.net.MulticastReceiver;3
org.apache.log4j.net.MulticastReceiver;MulticastReceiverThread();java.lang.Thread;1
org.apache.log4j.net.MulticastReceiver;run();java.net.DatagramPacket;2
org.apache.log4j.net.MulticastReceiver;run();org.apache.log4j.net.MulticastReceiver;5
org.apache.log4j.net.MulticastAppender;activateOptions();java.net.InetAddress;3
org.apache.log4j.net.MulticastAppender;activateOptions();java.lang.System;1
org.apache.log4j.net.MulticastAppender;activateOptions();org.apache.log4j.net.MulticastAppender;5
org.apache.log4j.net.MulticastAppender;cleanUp();org.apache.log4j.net.MulticastAppender;1
org.apache.log4j.net.MulticastAppender;connect();java.net.MulticastSocket;1
org.apache.log4j.net.MulticastAppender;connect();org.apache.log4j.net.MulticastAppender;3
org.apache.log4j.net.MulticastAppender;append(loggingevent);org.apache.log4j.net.MulticastAppender;7
org.apache.log4j.net.MulticastAppender;append(loggingevent);java.lang.String;1
org.apache.log4j.net.MulticastAppender;getAddressByName(string);java.net.InetAddress;1
org.apache.log4j.net.MulticastAppender;setRemoteHost(string);org.apache.log4j.net.MulticastAppender;1
org.apache.log4j.net.MulticastAppender;getRemoteHost();org.apache.log4j.net.MulticastAppender;1
org.apache.log4j.net.MulticastAppender;setEncoding(string);org.apache.log4j.net.MulticastAppender;1
org.apache.log4j.net.MulticastAppender;getEncoding();org.apache.log4j.net.MulticastAppender;1
org.apache.log4j.net.MulticastAppender;setApplication(string);org.apache.log4j.net.MulticastAppender;1
org.apache.log4j.net.MulticastAppender;getApplication();org.apache.log4j.net.MulticastAppender;1
org.apache.log4j.net.MulticastAppender;setOverrideProperties(string);org.apache.log4j.net.MulticastAppender;1
org.apache.log4j.net.MulticastAppender;getOverrideProperties();org.apache.log4j.net.MulticastAppender;1
org.apache.log4j.net.MulticastAppender;setTimeToLive(int);org.apache.log4j.net.MulticastAppender;1
org.apache.log4j.net.MulticastAppender;getTimeToLive();org.apache.log4j.net.MulticastAppender;1
org.apache.log4j.net.MulticastAppender;setPort(int);org.apache.log4j.net.MulticastAppender;1
org.apache.log4j.net.MulticastAppender;getPort();org.apache.log4j.net.MulticastAppender;1
org.apache.log4j.net.SMTPAppender;SMTPAppender(triggeringeventevaluator);org.apache.log4j.net.SMTPAppender;1
org.apache.log4j.net.SMTPAppender;activateOptions();org.apache.log4j.net.SMTPAppender;6
org.apache.log4j.net.SMTPAppender;lookupSession();org.apache.log4j.net.SMTPAppender;1
org.apache.log4j.net.SMTPAppender;addressMessage(message);org.apache.log4j.net.SMTPAppender;5
org.apache.log4j.net.SMTPAppender;createSession();org.apache.log4j.net.SMTPAppender;5
org.apache.log4j.net.SMTPAppender;createSession();java.lang.System;1
org.apache.log4j.net.SMTPAppender;getPasswordAuthentication();org.apache.log4j.net.SMTPAppender;2
org.apache.log4j.net.SMTPAppender;append(loggingevent);org.apache.log4j.net.SMTPAppender;3
org.apache.log4j.net.SMTPAppender;checkEntryConditions();org.apache.log4j.net.SMTPAppender;2
org.apache.log4j.net.SMTPAppender;getTo();org.apache.log4j.net.SMTPAppender;1
org.apache.log4j.net.SMTPAppender;sendBuffer(loggingevent);org.apache.log4j.net.SMTPAppender;3
org.apache.log4j.net.SMTPAppender;computeSubject(loggingevent);org.apache.log4j.net.SMTPAppender;1
org.apache.log4j.net.SMTPAppender;getEvaluatorClass();org.apache.log4j.net.SMTPAppender;1
org.apache.log4j.net.SMTPAppender;getFrom();org.apache.log4j.net.SMTPAppender;1
org.apache.log4j.net.SMTPAppender;getSubject();org.apache.log4j.net.SMTPAppender;1
org.apache.log4j.net.SMTPAppender;setFrom(string);org.apache.log4j.net.SMTPAppender;1
org.apache.log4j.net.SMTPAppender;setSubject(string);org.apache.log4j.net.SMTPAppender;1
org.apache.log4j.net.SMTPAppender;setBufferSize(int);org.apache.log4j.net.SMTPAppender;2
org.apache.log4j.net.SMTPAppender;setSMTPHost(string);org.apache.log4j.net.SMTPAppender;1
org.apache.log4j.net.SMTPAppender;getSMTPHost();org.apache.log4j.net.SMTPAppender;1
org.apache.log4j.net.SMTPAppender;setTo(string);org.apache.log4j.net.SMTPAppender;1
org.apache.log4j.net.SMTPAppender;getBufferSize();org.apache.log4j.net.SMTPAppender;1
org.apache.log4j.net.SMTPAppender;setEvaluatorClass(string);org.apache.log4j.net.SMTPAppender;1
org.apache.log4j.net.SMTPAppender;setEvaluator(triggeringeventevaluator);org.apache.log4j.net.SMTPAppender;1
org.apache.log4j.net.SMTPAppender;setLocationInfo(boolean);org.apache.log4j.net.SMTPAppender;1
org.apache.log4j.net.SMTPAppender;getLocationInfo();org.apache.log4j.net.SMTPAppender;1
org.apache.log4j.net.SMTPAppender;setCharset(string);org.apache.log4j.net.SMTPAppender;1
org.apache.log4j.net.SMTPAppender;getCharset();org.apache.log4j.net.SMTPAppender;1
org.apache.log4j.net.SMTPAppender;setCc(string);org.apache.log4j.net.SMTPAppender;1
org.apache.log4j.net.SMTPAppender;getCc();org.apache.log4j.net.SMTPAppender;1
org.apache.log4j.net.SMTPAppender;setBcc(string);org.apache.log4j.net.SMTPAppender;1
org.apache.log4j.net.SMTPAppender;getBcc();org.apache.log4j.net.SMTPAppender;1
org.apache.log4j.net.SMTPAppender;setSMTPPassword(string);org.apache.log4j.net.SMTPAppender;1
org.apache.log4j.net.SMTPAppender;setSMTPUsername(string);org.apache.log4j.net.SMTPAppender;1
org.apache.log4j.net.SMTPAppender;setSMTPDebug(boolean);org.apache.log4j.net.SMTPAppender;1
org.apache.log4j.net.SMTPAppender;getSMTPPassword();org.apache.log4j.net.SMTPAppender;1
org.apache.log4j.net.SMTPAppender;getSMTPUsername();org.apache.log4j.net.SMTPAppender;1
org.apache.log4j.net.SMTPAppender;getSMTPDebug();org.apache.log4j.net.SMTPAppender;1
org.apache.log4j.net.SMTPAppender;getSessionJNDI();org.apache.log4j.net.SMTPAppender;1
org.apache.log4j.net.SMTPAppender;setSessionJNDI(string);org.apache.log4j.net.SMTPAppender;1
org.apache.log4j.net.SMTPAppender;getSMTPPort();org.apache.log4j.net.SMTPAppender;1
org.apache.log4j.net.SMTPAppender;setSMTPPort(int);org.apache.log4j.net.SMTPAppender;1
org.apache.log4j.net.DefaultEvaluator;setExpression(string);org.apache.log4j.net.DefaultEvaluator;1
org.apache.log4j.net.DefaultEvaluator;activateOptions();org.apache.log4j.net.DefaultEvaluator;2
org.apache.log4j.net.DefaultEvaluator;isTriggeringEvent(loggingevent);org.apache.log4j.net.DefaultEvaluator;1
org.apache.log4j.net.test.SMTPMin;usage(string);java.lang.System;1
org.apache.log4j.net.test.SMTPMin;usage(string);java.lang.Class;1
org.apache.log4j.net.test.SMTPMin;test();java.lang.Thread;1
org.apache.log4j.net.test.SMTPMin;test();org.apache.log4j.net.test.SMTPMin;1
org.apache.log4j.net.test.SocketMin;main(string);org.apache.log4j.net.test.SocketMin;1
org.apache.log4j.net.test.SocketMin;usage(string);java.lang.System;1
org.apache.log4j.net.test.SocketMin;init(string, string);java.lang.System;1
org.apache.log4j.net.test.SocketMin;init(string, string);org.apache.log4j.net.test.SocketMin;2
org.apache.log4j.net.test.SocketMin;loop();java.lang.System;2
org.apache.log4j.net.test.SocketMin;loop();org.apache.log4j.net.test.SocketMin;1
org.apache.log4j.net.test.SocketMin;test();org.apache.log4j.net.test.SocketMin;1
org.apache.log4j.net.test.SyslogMin;Usage(string);java.lang.System;1
org.apache.log4j.net.test.SyslogMin;test(string);org.apache.log4j.net.test.SyslogMin;1
org.apache.log4j.net.test.Loop;usage(string);java.lang.System;1
org.apache.log4j.net.test.Loop;usage(string);java.lang.Class;1
org.apache.log4j.net.SimpleSocketServer;main(string);java.net.Socket;1
org.apache.log4j.net.SimpleSocketServer;main(string);org.apache.log4j.net.SimpleSocketServer;2
org.apache.log4j.net.SimpleSocketServer;usage(string);java.lang.System;1
org.apache.log4j.net.SimpleSocketServer;usage(string);java.lang.Class;1
org.apache.log4j.net.SimpleSocketServer;init(string, string);org.apache.log4j.net.SimpleSocketServer;1
org.apache.log4j.net.JMSReceiver;JMSReceiver(string, string, string, string, string);org.apache.log4j.net.JMSReceiver;5
org.apache.log4j.net.JMSReceiver;setJndiPath(string);org.apache.log4j.net.JMSReceiver;1
org.apache.log4j.net.JMSReceiver;getJndiPath();org.apache.log4j.net.JMSReceiver;1
org.apache.log4j.net.JMSReceiver;setTopicFactoryName(string);org.apache.log4j.net.JMSReceiver;1
org.apache.log4j.net.JMSReceiver;getTopicFactoryName();org.apache.log4j.net.JMSReceiver;1
org.apache.log4j.net.JMSReceiver;setTopicName(string);org.apache.log4j.net.JMSReceiver;1
org.apache.log4j.net.JMSReceiver;getTopicName();org.apache.log4j.net.JMSReceiver;1
org.apache.log4j.net.JMSReceiver;setUserId(string);org.apache.log4j.net.JMSReceiver;1
org.apache.log4j.net.JMSReceiver;getUserId();org.apache.log4j.net.JMSReceiver;1
org.apache.log4j.net.JMSReceiver;setPassword(string);org.apache.log4j.net.JMSReceiver;1
org.apache.log4j.net.JMSReceiver;getPassword();org.apache.log4j.net.JMSReceiver;1
org.apache.log4j.net.JMSReceiver;isEquivalent(plugin);org.apache.log4j.net.JMSReceiver;2
org.apache.log4j.net.JMSReceiver;isActive();org.apache.log4j.net.JMSReceiver;1
org.apache.log4j.net.JMSReceiver;setActive(boolean);org.apache.log4j.net.JMSReceiver;1
org.apache.log4j.net.JMSReceiver;activateOptions();org.apache.log4j.net.JMSReceiver;9
org.apache.log4j.net.JMSReceiver;activateOptions();javax.naming.Context;2
org.apache.log4j.net.JMSReceiver;shutdown();org.apache.log4j.net.JMSReceiver;2
org.apache.log4j.net.JMSReceiver;onMessage(message);org.apache.log4j.net.JMSReceiver;2
org.apache.log4j.net.JMSAppender;setTopicConnectionFactoryBindingName(string);org.apache.log4j.net.JMSAppender;1
org.apache.log4j.net.JMSAppender;getTopicConnectionFactoryBindingName();org.apache.log4j.net.JMSAppender;1
org.apache.log4j.net.JMSAppender;setTopicBindingName(string);org.apache.log4j.net.JMSAppender;1
org.apache.log4j.net.JMSAppender;getTopicBindingName();org.apache.log4j.net.JMSAppender;1
