Class;Method;DeclaringClass;NbFields
org.apache.velocity.servlet.VelocityServlet;init(ServletConfig);org.apache.velocity.servlet.VelocityServlet;5
org.apache.velocity.servlet.VelocityServlet;loadConfiguration(ServletConfig);org.apache.velocity.servlet.VelocityServlet;1
org.apache.velocity.servlet.VelocityServlet;doRequest(HttpServletRequest, HttpServletResponse);org.apache.velocity.servlet.VelocityServlet;1
org.apache.velocity.servlet.VelocityServlet;mergeTemplate(Context, HttpServletResponse, Template);org.apache.velocity.servlet.VelocityServlet;2
org.apache.velocity.servlet.VelocityServlet;setContentType(HttpServletRequest, HttpServletResponse);org.apache.velocity.servlet.VelocityServlet;1
org.apache.velocity.servlet.VelocityServlet;createContext(HttpServletRequest, HttpServletResponse);org.apache.velocity.servlet.VelocityServlet;2
org.apache.velocity.context.VMContext;VMContext(InternalContextAdapter, RuntimeServices);org.apache.velocity.context.VMContext;3
org.apache.velocity.context.VMContext;getInternalUserContext();org.apache.velocity.context.VMContext;1
org.apache.velocity.context.VMContext;getBaseContext();org.apache.velocity.context.VMContext;1
org.apache.velocity.context.VMContext;addVMProxyArg(VMProxyArg);org.apache.velocity.context.VMContext;3
org.apache.velocity.context.VMContext;put(Object, String);org.apache.velocity.context.VMContext;5
org.apache.velocity.context.VMContext;get(String);org.apache.velocity.context.VMContext;5
org.apache.velocity.context.VMContext;getKeys();org.apache.velocity.context.VMContext;1
org.apache.velocity.context.VMContext;remove(Object);org.apache.velocity.context.VMContext;1
org.apache.velocity.context.VMContext;pushCurrentTemplateName(String);org.apache.velocity.context.VMContext;1
org.apache.velocity.context.VMContext;popCurrentTemplateName();org.apache.velocity.context.VMContext;1
org.apache.velocity.context.VMContext;getCurrentTemplateName();org.apache.velocity.context.VMContext;1
org.apache.velocity.context.VMContext;getTemplateNameStack();org.apache.velocity.context.VMContext;1
org.apache.velocity.context.VMContext;icacheGet(Object);org.apache.velocity.context.VMContext;1
org.apache.velocity.context.VMContext;icachePut(IntrospectionCacheData, Object);org.apache.velocity.context.VMContext;1
org.apache.velocity.context.VMContext;attachEventCartridge(EventCartridge);org.apache.velocity.context.VMContext;1
org.apache.velocity.context.VMContext;getEventCartridge();org.apache.velocity.context.VMContext;1
org.apache.velocity.context.VMContext;setCurrentResource(Resource);org.apache.velocity.context.VMContext;1
org.apache.velocity.context.VMContext;getCurrentResource();org.apache.velocity.context.VMContext;1
org.apache.velocity.context.InternalContextBase;pushCurrentTemplateName(String);org.apache.velocity.context.InternalContextBase;1
org.apache.velocity.context.InternalContextBase;popCurrentTemplateName();org.apache.velocity.context.InternalContextBase;1
org.apache.velocity.context.InternalContextBase;getCurrentTemplateName();org.apache.velocity.context.InternalContextBase;1
org.apache.velocity.context.InternalContextBase;getTemplateNameStack();org.apache.velocity.context.InternalContextBase;1
org.apache.velocity.context.InternalContextBase;icacheGet(Object);org.apache.velocity.context.InternalContextBase;1
org.apache.velocity.context.InternalContextBase;icachePut(IntrospectionCacheData, Object);org.apache.velocity.context.InternalContextBase;1
org.apache.velocity.context.InternalContextBase;setCurrentResource(Resource);org.apache.velocity.context.InternalContextBase;1
org.apache.velocity.context.InternalContextBase;getCurrentResource();org.apache.velocity.context.InternalContextBase;1
org.apache.velocity.context.InternalContextBase;attachEventCartridge(EventCartridge);org.apache.velocity.context.InternalContextBase;1
org.apache.velocity.context.InternalContextBase;getEventCartridge();org.apache.velocity.context.InternalContextBase;1
org.apache.velocity.context.AbstractContext;AbstractContext(Context);org.apache.velocity.context.AbstractContext;1
org.apache.velocity.context.AbstractContext;get(String);org.apache.velocity.context.AbstractContext;1
org.apache.velocity.context.AbstractContext;getChainedContext();org.apache.velocity.context.AbstractContext;1
org.apache.velocity.context.InternalContextAdapterImpl;InternalContextAdapterImpl(Context);org.apache.velocity.context.InternalContextAdapterImpl;3
org.apache.velocity.context.InternalContextAdapterImpl;pushCurrentTemplateName(String);org.apache.velocity.context.InternalContextAdapterImpl;1
org.apache.velocity.context.InternalContextAdapterImpl;popCurrentTemplateName();org.apache.velocity.context.InternalContextAdapterImpl;1
org.apache.velocity.context.InternalContextAdapterImpl;getCurrentTemplateName();org.apache.velocity.context.InternalContextAdapterImpl;1
org.apache.velocity.context.InternalContextAdapterImpl;getTemplateNameStack();org.apache.velocity.context.InternalContextAdapterImpl;1
org.apache.velocity.context.InternalContextAdapterImpl;icacheGet(Object);org.apache.velocity.context.InternalContextAdapterImpl;1
org.apache.velocity.context.InternalContextAdapterImpl;icachePut(IntrospectionCacheData, Object);org.apache.velocity.context.InternalContextAdapterImpl;1
org.apache.velocity.context.InternalContextAdapterImpl;setCurrentResource(Resource);org.apache.velocity.context.InternalContextAdapterImpl;1
org.apache.velocity.context.InternalContextAdapterImpl;getCurrentResource();org.apache.velocity.context.InternalContextAdapterImpl;1
org.apache.velocity.context.InternalContextAdapterImpl;put(Object, String);org.apache.velocity.context.InternalContextAdapterImpl;1
org.apache.velocity.context.InternalContextAdapterImpl;get(String);org.apache.velocity.context.InternalContextAdapterImpl;1
