Class;Method;DeclaringClass;NbFields
org.argouml.moduleloader.ModuleLoader2;isEnabled(java.lang.String);org.argouml.moduleloader.ModuleLoader2;2
org.argouml.moduleloader.ModuleLoader2;isSelected(java.lang.String);org.argouml.moduleloader.ModuleLoader2;2
org.argouml.moduleloader.ModuleLoader2;addModule(org.argouml.moduleloader.ModuleInterface);org.argouml.moduleloader.ModuleLoader2;1
org.argouml.moduleloader.ModuleLoader2;addModule(org.argouml.moduleloader.ModuleInterface);org.argouml.moduleloader.ModuleInterface;1
org.argouml.moduleloader.ModuleLoader2;addModule(org.argouml.moduleloader.ModuleInterface);org.argouml.moduleloader.ModuleStatus;1
org.argouml.moduleloader.ModuleLoader2;getInstance();org.argouml.moduleloader.ModuleLoader2;1
org.argouml.moduleloader.ModuleLoader2;setSelected(boolean, java.lang.String);org.argouml.moduleloader.ModuleLoader2;2
org.argouml.moduleloader.ModuleLoader2;getDescription(java.lang.String);org.argouml.moduleloader.ModuleLoader2;2
org.argouml.moduleloader.ModuleLoader2;huntModulesFromNamedDirectory(java.lang.String);org.argouml.moduleloader.ModuleLoader2;1
org.argouml.moduleloader.ModuleLoader2;huntModulesFromNamedDirectory(java.lang.String);java.io.File;1
org.argouml.moduleloader.ModuleLoader2;availableModules();org.argouml.moduleloader.ModuleLoader2;1
org.argouml.moduleloader.ModuleLoader2;isSelectedInternal(java.lang.String);java.util.Map;1
org.argouml.moduleloader.ModuleLoader2;isSelectedInternal(java.lang.String);org.argouml.moduleloader.ModuleStatus;1
org.argouml.moduleloader.ModuleLoader2;addClass(java.lang.String);org.argouml.moduleloader.ModuleLoader2;1
org.argouml.moduleloader.ModuleLoader2;addClass(java.lang.String);java.lang.Class;1
org.argouml.moduleloader.ModuleLoader2;doInternal(boolean);org.argouml.moduleloader.ModuleLoader2;2
org.argouml.moduleloader.ModuleLoader2;doInternal(boolean);org.argouml.moduleloader.ModuleInterface;1
org.argouml.moduleloader.ModuleLoader2;doInternal(boolean);org.argouml.moduleloader.ModuleStatus;3
org.argouml.moduleloader.ModuleLoader2;isEnabledInternal(java.lang.String);java.util.Map;1
org.argouml.moduleloader.ModuleLoader2;isEnabledInternal(java.lang.String);org.argouml.moduleloader.ModuleStatus;1
org.argouml.moduleloader.ModuleLoader2;accept(java.io.File);java.io.File;2
org.argouml.moduleloader.ModuleLoader2;allModules();org.argouml.moduleloader.ModuleLoader2;1
org.argouml.moduleloader.ModuleLoader2;allModules();org.argouml.moduleloader.ModuleInterface;1
org.argouml.moduleloader.ModuleLoader2;setSelectedInternal(boolean, java.lang.String);java.util.Map;1
org.argouml.moduleloader.ModuleLoader2;setSelectedInternal(boolean, java.lang.String);org.argouml.moduleloader.ModuleStatus;1
org.argouml.moduleloader.ModuleLoader2;getDescriptionInternal(java.lang.String);org.argouml.moduleloader.ModuleInterface;4
org.argouml.moduleloader.ModuleLoader2;getDescriptionInternal(java.lang.String);java.util.Map;1
org.argouml.moduleloader.ModuleLoader2;findModule(java.lang.String);org.argouml.moduleloader.ModuleLoader2;1
org.argouml.moduleloader.ModuleLoader2;findModule(java.lang.String);java.util.Map;1
org.argouml.moduleloader.ModuleLoader2;findModule(java.lang.String);org.argouml.moduleloader.ModuleInterface;1
org.argouml.moduleloader.ModuleLoader2;processJarFile(java.io.File, java.lang.ClassLoader);java.util.jar.Manifest;1
org.argouml.moduleloader.ModuleLoader2;processJarFile(java.io.File, java.lang.ClassLoader);org.argouml.moduleloader.ModuleLoader2;2
org.argouml.moduleloader.ModuleLoader2;processJarFile(java.io.File, java.lang.ClassLoader);java.util.jar.JarFile;1
org.argouml.moduleloader.ModuleLoader2;addClass(java.lang.ClassLoader, java.lang.String);org.argouml.moduleloader.ModuleLoader2;1
org.argouml.moduleloader.ModuleLoader2;addClass(java.lang.ClassLoader, java.lang.String);java.lang.reflect.Modifier;1
org.argouml.moduleloader.ModuleLoader2;addClass(java.lang.ClassLoader, java.lang.String);java.lang.Class;1
org.argouml.moduleloader.ModuleLoader2;addClass(java.lang.ClassLoader, java.lang.String);java.lang.reflect.Constructor;1
org.argouml.moduleloader.ModuleLoader2;doLoad(boolean);org.argouml.moduleloader.ModuleLoader2;1
org.argouml.moduleloader.ModuleLoader2;huntForModulesFromExtensionDir();org.argouml.moduleloader.ModuleLoader2;3
org.argouml.moduleloader.ModuleLoader2;huntForModulesFromExtensionDir();java.lang.System;1
org.argouml.moduleloader.ModuleLoader2;huntForModulesFromExtensionDir();java.lang.Class;1
org.argouml.moduleloader.ModuleLoader2;huntForModulesFromExtensionDir();java.lang.Object;1
org.argouml.moduleloader.ModuleLoader2;huntForModulesFromExtensionDir();org.argouml.application.api.Argo;1
org.argouml.moduleloader.ModuleLoader2;huntForModulesFromExtensionDir();java.io.File;3
org.argouml.moduleloader.ModuleStatus;setSelected(boolean);org.argouml.moduleloader.ModuleStatus;2
org.argouml.moduleloader.ModuleStatus;setSelected();org.argouml.moduleloader.ModuleStatus;1
org.argouml.moduleloader.ModuleStatus;isSelected();org.argouml.moduleloader.ModuleStatus;1
org.argouml.moduleloader.ModuleStatus;setDisabled();org.argouml.moduleloader.ModuleStatus;1
org.argouml.moduleloader.ModuleStatus;setEnabled();org.argouml.moduleloader.ModuleStatus;1
org.argouml.moduleloader.ModuleStatus;setUnselect();org.argouml.moduleloader.ModuleStatus;1
org.argouml.moduleloader.ModuleStatus;isEnabled();org.argouml.moduleloader.ModuleStatus;1
org.argouml.moduleloader.SettingsTabModules;handleSettingsTabSave();org.argouml.moduleloader.ModuleLoader2;1
org.argouml.moduleloader.SettingsTabModules;handleSettingsTabSave();org.argouml.moduleloader.SettingsTabModules;1
org.argouml.moduleloader.SettingsTabModules;getValueAt(int, int);org.argouml.moduleloader.SettingsTabModules;1
org.argouml.moduleloader.SettingsTabModules;getValueAt(int, int);org.argouml.application.modules.ModuleLoader;2
org.argouml.moduleloader.SettingsTabModules;getValueAt(int, int);java.lang.Boolean;1
org.argouml.moduleloader.SettingsTabModules;handleSettingsTabRefresh();org.argouml.moduleloader.SettingsTabModules;1
org.argouml.moduleloader.SettingsTabModules;handleSettingsTabRefresh();javax.swing.JTable;1
org.argouml.moduleloader.SettingsTabModules;setValueAt(int, int, java.lang.Object);org.argouml.moduleloader.SettingsTabModules;1
org.argouml.moduleloader.SettingsTabModules;getRowCount();org.argouml.moduleloader.SettingsTabModules;1
org.argouml.moduleloader.SettingsTabModules;getRowCount();org.argouml.application.modules.ModuleLoader;2
org.argouml.moduleloader.SettingsTabModules;getColumnCount();org.argouml.moduleloader.SettingsTabModules;1
org.argouml.moduleloader.SettingsTabModules;getColumnName(int);org.argouml.moduleloader.SettingsTabModules;1
org.argouml.moduleloader.SettingsTabModules;createNotYetLoaded();org.argouml.moduleloader.SettingsTabModules;1
org.argouml.moduleloader.SettingsTabModules;createNotYetLoaded();java.util.Map;2
org.argouml.moduleloader.SettingsTabModules;createNotYetLoaded();java.lang.Object;1
org.argouml.moduleloader.SettingsTabModules;createNotYetLoaded();java.lang.Class;1
org.argouml.moduleloader.SettingsTabModules;createNotYetLoaded();javax.swing.JOptionPane;1
org.argouml.moduleloader.SettingsTabModules;createNotYetLoaded();java.awt.BorderLayout;1
org.argouml.moduleloader.SettingsTabModules;isCellEditable(int, int);org.argouml.moduleloader.SettingsTabModules;1
org.argouml.moduleloader.SettingsTabModules;actionPerformed(java.awt.event.ActionEvent);org.argouml.moduleloader.SettingsTabModules;1
org.argouml.moduleloader.SettingsTabModules;actionPerformed(java.awt.event.ActionEvent);java.lang.Object;1
org.argouml.moduleloader.SettingsTabModules;actionPerformed(java.awt.event.ActionEvent);java.lang.Class;1
org.argouml.moduleloader.SettingsTabModules;actionPerformed(java.awt.event.ActionEvent);javax.swing.JOptionPane;1
org.argouml.ui.JasonsTheme;getPrimary1();org.argouml.ui.JasonsTheme;1
org.argouml.ui.JasonsTheme;getUserTextFont();org.argouml.ui.JasonsTheme;1
org.argouml.ui.JasonsTheme;getPrimary2();org.argouml.ui.JasonsTheme;1
org.argouml.ui.JasonsTheme;getSystemTextFont();org.argouml.ui.JasonsTheme;1
org.argouml.ui.JasonsTheme;getControlTextFont();org.argouml.ui.JasonsTheme;1
org.argouml.ui.JasonsTheme;getPrimary3();org.argouml.ui.JasonsTheme;1
org.argouml.ui.JasonsTheme;getWindowTitleFont();org.argouml.ui.JasonsTheme;1
org.argouml.ui.JasonsTheme;getSubTextFont();org.argouml.ui.JasonsTheme;1
org.argouml.ui.JasonsTheme;getSecondary2();org.argouml.ui.JasonsTheme;1
org.argouml.ui.JasonsTheme;getSecondary3();org.argouml.ui.JasonsTheme;1
org.argouml.ui.JasonsTheme;getSecondary1();org.argouml.ui.JasonsTheme;1
org.argouml.ui.JasonsTheme;getMenuTextFont();org.argouml.ui.JasonsTheme;1
org.argouml.ui.FindDialog;doClearTabs();org.argouml.ui.FindDialog;3
org.argouml.ui.FindDialog;doClearTabs();javax.swing.AbstractButton;1
org.argouml.ui.FindDialog;mouseClicked(java.awt.event.MouseEvent);javax.swing.JTabbedPane;2
org.argouml.ui.FindDialog;mouseClicked(java.awt.event.MouseEvent);org.argouml.ui.FindDialog;1
org.argouml.ui.FindDialog;mouseClicked(java.awt.event.MouseEvent);java.awt.event.MouseEvent;3
org.argouml.ui.FindDialog;myDoubleClick(int);org.argouml.ui.FindDialog;2
org.argouml.ui.FindDialog;myDoubleClick(int);org.argouml.ui.AbstractArgoJPanel;1
org.argouml.ui.FindDialog;getInstance();org.argouml.ui.FindDialog;1
org.argouml.ui.FindDialog;initHelpTab();org.argouml.ui.FindDialog;2
org.argouml.ui.FindDialog;initHelpTab();java.awt.Container;1
org.argouml.ui.FindDialog;initHelpTab();java.awt.BorderLayout;1
org.argouml.ui.FindDialog;initHelpTab();javax.swing.text.JTextComponent;3
org.argouml.ui.FindDialog;doGoToSelection();org.argouml.ui.FindDialog;1
org.argouml.ui.FindDialog;doGoToSelection();javax.swing.JTabbedPane;1
org.argouml.ui.FindDialog;initNameLocTab();javax.swing.JComponent;3
org.argouml.ui.FindDialog;initNameLocTab();java.awt.Color;1
org.argouml.ui.FindDialog;initNameLocTab();javax.swing.ComboBoxEditor;1
org.argouml.ui.FindDialog;initNameLocTab();org.argouml.ui.FindDialog;8
org.argouml.ui.FindDialog;initNameLocTab();java.awt.Container;1
org.argouml.ui.FindDialog;initNameLocTab();java.awt.GridBagConstraints;10
org.argouml.ui.FindDialog;initNameLocTab();javax.swing.JComboBox;2
org.argouml.ui.FindDialog;initNameLocTab();java.awt.GridBagLayout;1
org.argouml.ui.FindDialog;initNameLocTab();java.awt.Component;2
org.argouml.ui.FindDialog;doResetFields(boolean);org.argouml.ui.FindDialog;3
org.argouml.ui.FindDialog;doSearch();org.argouml.kernel.ProjectManager;2
org.argouml.ui.FindDialog;doSearch();org.argouml.ui.FindDialog;9
org.argouml.ui.FindDialog;doSearch();javax.swing.JTabbedPane;1
org.argouml.ui.FindDialog;doSearch();org.argouml.ui.AbstractArgoJPanel;1
org.argouml.ui.FindDialog;doSearch();javax.swing.AbstractButton;1
org.argouml.ui.FindDialog;doSearch();org.argouml.uml.cognitive.ChildGenFind;1
org.argouml.ui.FindDialog;doSearch();org.argouml.ui.TabResults;3
org.argouml.ui.FindDialog;doSearch();javax.swing.JComboBox;1
org.argouml.ui.FindDialog;initTypes();org.argouml.ui.FindDialog;1
org.argouml.ui.FindDialog;actionPerformed(java.awt.event.ActionEvent);org.argouml.ui.FindDialog;2
org.argouml.ui.FindDialog;actionPerformed(java.awt.event.ActionEvent);java.util.EventObject;1
org.argouml.ui.CmdSetMode;putToolTip(java.lang.String);javax.swing.Action;1
org.argouml.ui.ActionSaveConfiguration;actionPerformed(java.awt.event.ActionEvent);org.argouml.ui.ProjectBrowser;1
org.argouml.ui.cmd.ActionOpenGoals;actionPerformed(java.awt.event.ActionEvent);org.argouml.ui.ProjectBrowser;1
org.argouml.ui.cmd.ActionSnooze;actionPerformed(java.awt.event.ActionEvent);org.argouml.cognitive.ToDoItem;1
org.argouml.ui.cmd.ActionSnooze;actionPerformed(java.awt.event.ActionEvent);org.argouml.ui.cmd.ToDoItemAction;1
