Class;Method;DeclaringClass;NbFields
macos.MacOSOptionPane;_init();macos.MacOSOptionPane;4
macos.MacOSOptionPane;_save();macos.MacOSOptionPane;3
macos.MacOSOptionPane;_save();javax.swing.AbstractButton;1
macos.MacOSOptionPane;getSettings();macos.MacOSOptionPane;3
macos.MacOSOptionPane;getSettings();javax.swing.AbstractButton;1
macos.script.ScriptFilter;accept(file);java.io.File;1
macos.script.AppleScriptHandler;accept(string);macos.script.AppleScriptHandler;1
macos.script.AppleScriptHandler;AppleScriptHandler();macos.script.AppleScriptHandler;1
macos.Delegate;Delegate();java.lang.System;1
macos.Delegate;handleAbout(applicationevent);com.apple.eawt.ApplicationEvent;1
macos.Delegate;handleFileCodes(bufferupdate);com.apple.eio.FileManager;3
macos.Delegate;handleOpenFile(applicationevent);com.apple.eawt.ApplicationEvent;2
macos.Delegate;handleOpenFile(applicationevent);macos.Delegate;1
macos.Delegate;handleOpenFile(viewupdate);macos.Delegate;1
macos.Delegate;handlePreferences(applicationevent);com.apple.eawt.ApplicationEvent;1
macos.Delegate;applicationDockMenu(nsapplication);macos.Delegate;1
macos.Delegate;applicationDockMenu(nsapplication);java.io.File;2
macos.Delegate;applicationOpenFiles(nsapplication, nsarray);java.io.File;2
macos.Delegate;openFile(nspasteboard, string);java.io.File;2
macos.Delegate;updateMenu();macos.Delegate;1
macos.Delegate;createMenu(nsmenu, vector);macos.Delegate;1
macos.Delegate;updateMenu();macos.Delegate;1
macos.Delegate;updateMenu();java.io.File;2
macos.Delegate;updateMenu();macos.Delegate;1
macos.Delegate;updateMenu();java.io.File;2
macos.Delegate;MacroAction(macro);macos.Delegate;1
macos.Delegate;doAction();macos.Delegate;1
macos.Delegate;ShowFileAction(string);macos.Delegate;1
macos.Delegate;doAction();macos.Delegate;1
macos.menu.ShowBufferMenu;construct();javax.swing.JMenuItem;1
macos.menu.ShowBufferMenu;construct();javax.swing.JMenu;1
macos.menu.ShowBufferMenu;construct();javax.swing.AbstractButton;1
macos.menu.ShowBufferMenu;ShowBufferMenuItem(string, string);macos.menu.ShowBufferMenu;1
macos.menu.ShowBufferMenu;actionPerformed(actionevent);macos.menu.ShowBufferMenu;1
macos.menu.ShowRecentDirMenu;construct();javax.swing.JMenuItem;1
macos.menu.ShowRecentDirMenu;construct();javax.swing.AbstractButton;1
macos.menu.ShowRecentDirMenu;construct();java.io.File;2
macos.menu.ShowRecentDirMenu;ShowRecentDirMenuItem(string, string);macos.menu.ShowRecentDirMenu;1
macos.menu.ShowRecentDirMenu;actionPerformed(actionevent);macos.menu.ShowRecentDirMenu;1
macos.menu.MacOSMenu;update(jmenu);javax.swing.JMenuItem;1
macos.menu.MacOSMenu;update(jmenu);java.io.File;3
macos.menu.MacOSMenu;ShowFileAction(string);macos.menu.MacOSMenu;1
macos.menu.MacOSMenu;actionPerformed(actionevent);macos.menu.MacOSMenu;1
macos.menu.MacOSMenu;ShowDirAction(string);macos.menu.MacOSMenu;1
macos.menu.MacOSMenu;actionPerformed(actionevent);macos.menu.MacOSMenu;1
macos.menu.ShowRecentMenu;construct();javax.swing.JMenuItem;1
macos.menu.ShowRecentMenu;construct();javax.swing.AbstractButton;1
macos.menu.ShowRecentMenu;construct();java.io.File;2
macos.menu.ShowRecentMenu;ShowRecentMenuItem(string, string);macos.menu.ShowRecentMenu;1
macos.menu.ShowRecentMenu;actionPerformed(actionevent);macos.menu.ShowRecentMenu;1
macos.MacOSPlugin;start();com.apple.eawt.Application;2
macos.MacOSPlugin;start();macos.MacOSPlugin;2
macos.MacOSPlugin;handleMessage(ebmessage);javax.swing.UIManager;1
macos.MacOSPlugin;handleMessage(ebmessage);macos.MacOSPlugin;3
