Class;Method;DeclaringClass;NbFields
jena.RuleMap;loadRules(string, string, string);java.io.File;1
jena.RuleMap;main(string);java.lang.System;3
jena.rdfcompare;main(string);java.lang.System;2
jena.rdfcompare;usage();java.lang.System;1
jena.turtle;main(string);java.lang.System;1
jena.turtle;parse(string, string);java.lang.System;1
jena.turtle;parse(inputstream, string);java.lang.Throwable;1
jena.turtle;parse(inputstream, string);java.lang.System;1
jena.rdfcat;action(string, string);jena.rdfcat;1
jena.rdfcat;action(string, string);jena.rdfcat;1
jena.rdfcat;action(string, string);jena.rdfcat;1
jena.rdfcat;action(string, string);jena.rdfcat;1
jena.rdfcat;action(string, string);jena.rdfcat;1
jena.rdfcat;action(string, string);jena.rdfcat;1
jena.rdfcat;action(string, string);jena.rdfcat;1
jena.rdfcat;go(string);jena.rdfcat;6
jena.rdfcat;expectInput(string);jena.rdfcat;1
jena.rdfcat;getExpectedInput();jena.rdfcat;1
jena.rdfcat;setOutput(string);jena.rdfcat;2
jena.rdfcat;getCheckedLanguage(string);jena.rdfcat;1
jena.rdfcat;setInclude(boolean);jena.rdfcat;1
jena.rdfcat;setRemoveIncludeStatements(boolean);jena.rdfcat;1
jena.rdfcat;readInput(string);java.util.List<jena.rdfcat.IncludeQueueEntry>;1
jena.rdfcat;readInput(string);java.lang.System;1
jena.rdfcat;readInput(string);jena.rdfcat;7
jena.rdfcat;getOutputStream();java.lang.System;1
jena.rdfcat;addIncludes(includequeueentry, model);jena.rdfcat;1
jena.rdfcat;usage();java.lang.System;1
jena.rdfcat;enableRIOTParser();java.lang.Throwable;1
jena.rdfcat;enableRIOTParser();java.lang.Class<>;1
jena.rdfcat;enableRIOTParser();jena.rdfcat;1
jena.rdfcat;handleUnrecognizedArg(string);java.lang.System;1
jena.rdfcat;handleUnrecognizedArg(string);jena.rdfcat;2
jena.rdfcat;IncludeQueueEntry(statement, string);jena.rdfcat;2
jena.rdfcat;ReadAction(string, string);jena.rdfcat;2
jena.rdfcat;run(rdfcat);jena.rdfcat;3
jena.rdfcopy;main(string);java.lang.System;2
jena.rdfcopy;main(string);java.io.File;1
jena.rdfcopy;usage();java.lang.System;1
jena.cmdline.Arg;Arg();jena.cmdline.Arg;2
jena.cmdline.Arg;Arg(string);jena.cmdline.Arg;1
jena.cmdline.Arg;Arg(string, string);jena.cmdline.Arg;2
jena.cmdline.Arg;setName(string);jena.cmdline.Arg;1
jena.cmdline.Arg;setValue(string);jena.cmdline.Arg;1
jena.cmdline.Arg;addValue(string);jena.cmdline.Arg;1
jena.cmdline.Arg;getName();jena.cmdline.Arg;1
