Class;Method;DeclaringClass;NbFields
net.n3.nanoxml.ValidatorPlugin;finalize();net.n3.nanoxml.ValidatorPlugin;1
net.n3.nanoxml.ValidatorPlugin;setDelegate(net.n3.nanoxml.IXMLValidator);net.n3.nanoxml.ValidatorPlugin;1
net.n3.nanoxml.ValidatorPlugin;attributeAdded(int, java.lang.String, java.lang.String, java.lang.String);net.n3.nanoxml.ValidatorPlugin;1
net.n3.nanoxml.ValidatorPlugin;getDelegate();net.n3.nanoxml.ValidatorPlugin;1
net.n3.nanoxml.ValidatorPlugin;PCDataAdded(int, java.lang.String);net.n3.nanoxml.ValidatorPlugin;1
net.n3.nanoxml.ValidatorPlugin;setParameterEntityResolver(net.n3.nanoxml.IXMLEntityResolver);net.n3.nanoxml.IXMLValidator;1
net.n3.nanoxml.ValidatorPlugin;setParameterEntityResolver(net.n3.nanoxml.IXMLEntityResolver);net.n3.nanoxml.ValidatorPlugin;1
net.n3.nanoxml.ValidatorPlugin;elementAttributesProcessed(int, java.lang.String, java.lang.String, java.util.Properties);net.n3.nanoxml.ValidatorPlugin;1
net.n3.nanoxml.ValidatorPlugin;getParameterEntityResolver();net.n3.nanoxml.IXMLValidator;1
net.n3.nanoxml.ValidatorPlugin;getParameterEntityResolver();net.n3.nanoxml.ValidatorPlugin;1
net.n3.nanoxml.ValidatorPlugin;parseDTD(boolean, java.lang.String, net.n3.nanoxml.IXMLEntityResolver, net.n3.nanoxml.IXMLReader);net.n3.nanoxml.ValidatorPlugin;1
net.n3.nanoxml.ValidatorPlugin;elementEnded(int, java.lang.String, java.lang.String);net.n3.nanoxml.ValidatorPlugin;1
net.n3.nanoxml.ValidatorPlugin;elementStarted(int, java.lang.String, java.lang.String);net.n3.nanoxml.ValidatorPlugin;1
net.n3.nanoxml.XMLParserFactory;createXMLParser(java.lang.String, net.n3.nanoxml.IXMLBuilder);net.n3.nanoxml.IXMLParser;2
net.n3.nanoxml.XMLParserFactory;createDefaultXMLParser();java.lang.System;1
net.n3.nanoxml.XMLParserFactory;createDefaultXMLParser();net.n3.nanoxml.XMLParserFactory;2
net.n3.nanoxml.XMLParserFactory;createDefaultXMLParser(net.n3.nanoxml.IXMLBuilder);java.lang.System;1
net.n3.nanoxml.XMLParserFactory;createDefaultXMLParser(net.n3.nanoxml.IXMLBuilder);net.n3.nanoxml.XMLParserFactory;2
net.n3.nanoxml.XMLValidationException;getAttributeName();net.n3.nanoxml.XMLValidationException;1
net.n3.nanoxml.XMLValidationException;finalize();net.n3.nanoxml.XMLValidationException;3
net.n3.nanoxml.XMLValidationException;getAttributeValue();net.n3.nanoxml.XMLValidationException;1
net.n3.nanoxml.XMLValidationException;getElementName();net.n3.nanoxml.XMLValidationException;1
net.n3.nanoxml.CDATAReader;finalize();net.n3.nanoxml.CDATAReader;1
net.n3.nanoxml.CDATAReader;read(char[], int, int);net.n3.nanoxml.CDATAReader;3
net.n3.nanoxml.CDATAReader;close();net.n3.nanoxml.CDATAReader;3
net.n3.nanoxml.XMLUtil;errorUnexpectedAttribute(int, java.lang.String, java.lang.String, java.lang.String);net.n3.nanoxml.XMLValidationException;1
net.n3.nanoxml.XMLUtil;errorUnexpectedElement(int, java.lang.String, java.lang.String, java.lang.String);net.n3.nanoxml.XMLValidationException;1
net.n3.nanoxml.XMLUtil;errorInvalidAttributeValue(int, java.lang.String, java.lang.String, java.lang.String, java.lang.String);net.n3.nanoxml.XMLValidationException;1
net.n3.nanoxml.XMLUtil;readChar(char, net.n3.nanoxml.IXMLReader);net.n3.nanoxml.IXMLReader;2
net.n3.nanoxml.XMLUtil;errorMissingPCData(int, java.lang.String, java.lang.String);net.n3.nanoxml.XMLValidationException;1
net.n3.nanoxml.XMLUtil;errorUnexpectedPCData(int, java.lang.String, java.lang.String);net.n3.nanoxml.XMLValidationException;1
net.n3.nanoxml.XMLUtil;processEntity(java.lang.String, net.n3.nanoxml.IXMLEntityResolver, net.n3.nanoxml.IXMLReader);net.n3.nanoxml.IXMLEntityResolver;2
net.n3.nanoxml.XMLUtil;processEntity(java.lang.String, net.n3.nanoxml.IXMLEntityResolver, net.n3.nanoxml.IXMLReader);net.n3.nanoxml.IXMLReader;2
net.n3.nanoxml.XMLUtil;validationError(int, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String);net.n3.nanoxml.XMLValidationException;1
net.n3.nanoxml.XMLUtil;errorMissingAttribute(int, java.lang.String, java.lang.String, java.lang.String);net.n3.nanoxml.XMLValidationException;1
net.n3.nanoxml.XMLUtil;errorMissingElement(int, java.lang.String, java.lang.String, java.lang.String);net.n3.nanoxml.XMLValidationException;1
net.n3.nanoxml.XMLUtil;skipComment(net.n3.nanoxml.IXMLReader);net.n3.nanoxml.IXMLReader;2
net.n3.nanoxml.XMLUtil;scanString(char, net.n3.nanoxml.IXMLEntityResolver, net.n3.nanoxml.IXMLReader);net.n3.nanoxml.IXMLReader;3
net.n3.nanoxml.XMLAttribute;getName();net.n3.nanoxml.XMLAttribute;1
net.n3.nanoxml.XMLAttribute;getValue();net.n3.nanoxml.XMLAttribute;1
net.n3.nanoxml.XMLAttribute;getType();net.n3.nanoxml.XMLAttribute;1
net.n3.nanoxml.XMLAttribute;setValue(java.lang.String);net.n3.nanoxml.XMLAttribute;1
net.n3.nanoxml.XMLAttribute;getFullName();net.n3.nanoxml.XMLAttribute;1
net.n3.nanoxml.XMLAttribute;getNamespace();net.n3.nanoxml.XMLAttribute;1
net.n3.nanoxml.XMLWriter;finalize();net.n3.nanoxml.XMLWriter;1
net.n3.nanoxml.XMLWriter;write(boolean, boolean, int, net.n3.nanoxml.IXMLElement);net.n3.nanoxml.XMLWriter;1
net.n3.nanoxml.XMLWriter;write(boolean, boolean, int, net.n3.nanoxml.IXMLElement);net.n3.nanoxml.IXMLElement;6
net.n3.nanoxml.XMLWriter;writeEncoded(java.lang.String);net.n3.nanoxml.XMLWriter;1
net.n3.nanoxml.PIReader;finalize();net.n3.nanoxml.PIReader;1
net.n3.nanoxml.PIReader;read(char[], int, int);net.n3.nanoxml.PIReader;2
net.n3.nanoxml.PIReader;close();net.n3.nanoxml.PIReader;2
net.n3.nanoxml.XMLException;printStackTrace();net.n3.nanoxml.XMLException;1
net.n3.nanoxml.XMLException;printStackTrace();java.lang.System;1
net.n3.nanoxml.XMLException;finalize();net.n3.nanoxml.XMLException;2
net.n3.nanoxml.XMLException;toString();net.n3.nanoxml.XMLException;1
net.n3.nanoxml.XMLException;getException();net.n3.nanoxml.XMLException;1
net.n3.nanoxml.XMLException;printStackTrace(java.io.PrintWriter);net.n3.nanoxml.XMLException;1
net.n3.nanoxml.XMLException;getSystemID();net.n3.nanoxml.XMLException;1
net.n3.nanoxml.XMLException;printStackTrace(java.io.PrintStream);net.n3.nanoxml.XMLException;1
net.n3.nanoxml.XMLException;getLineNr();net.n3.nanoxml.XMLException;1
net.n3.nanoxml.StdXMLBuilder;finalize();net.n3.nanoxml.StdXMLBuilder;3
net.n3.nanoxml.StdXMLBuilder;getResult();net.n3.nanoxml.StdXMLBuilder;1
net.n3.nanoxml.StdXMLBuilder;addPCData(int, java.io.Reader, java.lang.String);net.n3.nanoxml.StdXMLBuilder;2
net.n3.nanoxml.StdXMLBuilder;addPCData(int, java.io.Reader, java.lang.String);net.n3.nanoxml.IXMLElement;1
net.n3.nanoxml.StdXMLBuilder;startElement(int, java.lang.String, java.lang.String, java.lang.String, java.lang.String);net.n3.nanoxml.StdXMLBuilder;3
net.n3.nanoxml.StdXMLBuilder;addAttribute(java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String);net.n3.nanoxml.StdXMLBuilder;1
net.n3.nanoxml.StdXMLBuilder;addAttribute(java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String);net.n3.nanoxml.IXMLElement;3
net.n3.nanoxml.StdXMLBuilder;endElement(java.lang.String, java.lang.String, java.lang.String);net.n3.nanoxml.StdXMLBuilder;1
net.n3.nanoxml.StdXMLBuilder;endElement(java.lang.String, java.lang.String, java.lang.String);net.n3.nanoxml.IXMLElement;4
net.n3.nanoxml.StdXMLBuilder;startBuilding(int, java.lang.String);net.n3.nanoxml.StdXMLBuilder;2
net.n3.nanoxml.XMLElement;addChild(net.n3.nanoxml.IXMLElement);java.util.ArrayList<net.n3.nanoxml.IXMLElement>;1
net.n3.nanoxml.XMLElement;addChild(net.n3.nanoxml.IXMLElement);net.n3.nanoxml.XMLElement;2
net.n3.nanoxml.XMLElement;addChild(net.n3.nanoxml.IXMLElement);net.n3.nanoxml.IXMLElement;2
net.n3.nanoxml.XMLElement;getDoubleAttribute(double, java.lang.String, java.lang.String);net.n3.nanoxml.XMLAttribute;1
net.n3.nanoxml.XMLElement;removeAttribute(java.lang.String, java.lang.String);net.n3.nanoxml.XMLElement;1
net.n3.nanoxml.XMLElement;removeAttribute(java.lang.String, java.lang.String);net.n3.nanoxml.XMLAttribute;2
net.n3.nanoxml.XMLElement;getSystemID();net.n3.nanoxml.XMLElement;1
net.n3.nanoxml.XMLElement;getAttributeCount();net.n3.nanoxml.XMLElement;1
net.n3.nanoxml.XMLElement;getAttribute(java.lang.String);net.n3.nanoxml.XMLElement;1
net.n3.nanoxml.XMLElement;getAttribute(int, java.lang.String, java.lang.String);net.n3.nanoxml.XMLElement;1
net.n3.nanoxml.XMLElement;getName();net.n3.nanoxml.XMLElement;1
net.n3.nanoxml.XMLElement;dispose();net.n3.nanoxml.XMLElement;8
net.n3.nanoxml.XMLElement;getChildrenNamed(java.lang.String);net.n3.nanoxml.XMLElement;1
net.n3.nanoxml.XMLElement;getChildrenNamed(java.lang.String);net.n3.nanoxml.IXMLElement;1
net.n3.nanoxml.XMLElement;setName(java.lang.String, java.lang.String);net.n3.nanoxml.XMLElement;3
net.n3.nanoxml.XMLElement;hasChildren();java.util.ArrayList<net.n3.nanoxml.IXMLElement>;1
net.n3.nanoxml.XMLElement;hasChildren();net.n3.nanoxml.XMLElement;1
net.n3.nanoxml.XMLElement;isLeaf();java.util.ArrayList<net.n3.nanoxml.IXMLElement>;1
net.n3.nanoxml.XMLElement;isLeaf();net.n3.nanoxml.XMLElement;1
net.n3.nanoxml.XMLElement;getNamespace();net.n3.nanoxml.XMLElement;1
net.n3.nanoxml.XMLElement;iterateAttributeNames();net.n3.nanoxml.XMLElement;1
net.n3.nanoxml.XMLElement;iterateAttributeNames();net.n3.nanoxml.XMLAttribute;1
net.n3.nanoxml.XMLElement;setAttribute(java.lang.String, java.lang.String, java.lang.String);net.n3.nanoxml.XMLElement;1
net.n3.nanoxml.XMLElement;setAttribute(java.lang.String, java.lang.String, java.lang.String);net.n3.nanoxml.XMLAttribute;1
net.n3.nanoxml.XMLElement;getContent();net.n3.nanoxml.XMLElement;1
net.n3.nanoxml.XMLElement;findAttribute(java.lang.String, java.lang.String);net.n3.nanoxml.XMLElement;1
