Class;Method;DeclaringClass;NbFields
junit.textui.TestRunner;TestRunner();java.lang.System;1
junit.textui.TestRunner;TestRunner(resultprinter);junit.textui.TestRunner;1
junit.textui.TestRunner;doRun(boolean, test);junit.textui.TestRunner;1
junit.textui.TestRunner;pause(boolean);java.lang.System;1
junit.textui.TestRunner;pause(boolean);junit.textui.TestRunner;1
junit.textui.TestRunner;main(string);java.lang.Throwable;1
junit.textui.TestRunner;main(string);java.lang.System;1
junit.textui.TestRunner;main(string);junit.textui.TestRunner;3
junit.textui.TestRunner;start(string);java.lang.System;1
junit.textui.TestRunner;runFailed(string);java.lang.System;1
junit.textui.TestRunner;runFailed(string);junit.textui.TestRunner;1
junit.textui.TestRunner;setPrinter(resultprinter);junit.textui.TestRunner;1
junit.textui.ResultPrinter;ResultPrinter(printstream);junit.textui.ResultPrinter;1
junit.textui.ResultPrinter;printWaitPrompt();junit.textui.ResultPrinter;1
junit.textui.ResultPrinter;printHeader(long);junit.textui.ResultPrinter;1
junit.textui.ResultPrinter;printDefects(int, string, testfailure);junit.textui.ResultPrinter;1
junit.textui.ResultPrinter;printDefectHeader(int, testfailure);junit.textui.ResultPrinter;1
junit.textui.ResultPrinter;printDefectTrace(testfailure);junit.textui.ResultPrinter;1
junit.textui.ResultPrinter;printFooter(testresult);junit.textui.ResultPrinter;1
junit.textui.ResultPrinter;elapsedTimeAsString(long);java.text.NumberFormat;1
junit.textui.ResultPrinter;getWriter();junit.textui.ResultPrinter;1
junit.textui.ResultPrinter;addError(test, throwable);junit.textui.ResultPrinter;1
junit.textui.ResultPrinter;addFailure(assertionfailederror, test);junit.textui.ResultPrinter;1
junit.textui.ResultPrinter;startTest(test);junit.textui.ResultPrinter;2
junit.framework.ComparisonCompactor;ComparisonCompactor(int, string, string);junit.framework.ComparisonCompactor;3
junit.framework.ComparisonCompactor;compact(string);junit.framework.ComparisonCompactor;2
junit.framework.ComparisonCompactor;compactString(string);junit.framework.ComparisonCompactor;4
junit.framework.ComparisonCompactor;findCommonPrefix();junit.framework.ComparisonCompactor;3
junit.framework.ComparisonCompactor;findCommonSuffix();junit.framework.ComparisonCompactor;4
junit.framework.ComparisonCompactor;computeCommonPrefix();junit.framework.ComparisonCompactor;4
junit.framework.ComparisonCompactor;computeCommonSuffix();junit.framework.ComparisonCompactor;4
junit.framework.ComparisonCompactor;areStringsEqual();junit.framework.ComparisonCompactor;2
junit.framework.JUnit4TestCaseFacade;JUnit4TestCaseFacade(description);junit.framework.JUnit4TestCaseFacade;1
junit.framework.JUnit4TestCaseFacade;toString();junit.framework.JUnit4TestCaseFacade;1
junit.framework.JUnit4TestCaseFacade;getDescription();junit.framework.JUnit4TestCaseFacade;1
junit.framework.JUnit4TestAdapter;JUnit4TestAdapter(class, junit4testadaptercache);junit.framework.JUnit4TestAdapter;3
junit.framework.JUnit4TestAdapter;countTestCases();junit.framework.JUnit4TestAdapter;1
junit.framework.JUnit4TestAdapter;run(testresult);junit.framework.JUnit4TestAdapter;2
junit.framework.JUnit4TestAdapter;getTests();junit.framework.JUnit4TestAdapter;2
junit.framework.JUnit4TestAdapter;getTestClass();junit.framework.JUnit4TestAdapter;1
junit.framework.JUnit4TestAdapter;getDescription();junit.framework.JUnit4TestAdapter;1
junit.framework.JUnit4TestAdapter;removeIgnored(description);junit.framework.JUnit4TestAdapter;1
junit.framework.JUnit4TestAdapter;toString();java.lang.Class<>;1
junit.framework.JUnit4TestAdapter;toString();junit.framework.JUnit4TestAdapter;1
junit.framework.JUnit4TestAdapter;filter(filter);junit.framework.JUnit4TestAdapter;1
junit.framework.JUnit4TestAdapter;sort(sorter);junit.framework.JUnit4TestAdapter;1
junit.framework.ComparisonFailure;ComparisonFailure(string, string, string);junit.framework.ComparisonFailure;2
junit.framework.ComparisonFailure;getMessage();junit.framework.ComparisonFailure;3
junit.framework.ComparisonFailure;getActual();junit.framework.ComparisonFailure;1
junit.framework.ComparisonFailure;getExpected();junit.framework.ComparisonFailure;1
junit.framework.TestFailure;TestFailure(test, throwable);junit.framework.TestFailure;2
junit.framework.TestFailure;failedTest();junit.framework.TestFailure;1
junit.framework.TestFailure;thrownException();junit.framework.TestFailure;1
junit.framework.TestFailure;toString();java.lang.Throwable;1
junit.framework.TestFailure;toString();junit.framework.TestFailure;2
junit.framework.TestFailure;trace();java.io.StringWriter;1
junit.framework.TestFailure;exceptionMessage();java.lang.Throwable;1
junit.framework.TestResult;TestResult();junit.framework.TestResult;5
junit.framework.TestResult;addError(test, throwable);junit.framework.TestResult;1
junit.framework.TestResult;addFailure(assertionfailederror, test);junit.framework.TestResult;1
junit.framework.TestResult;addListener(testlistener);junit.framework.TestResult;1
junit.framework.TestResult;removeListener(testlistener);junit.framework.TestResult;1
junit.framework.TestResult;cloneListeners();junit.framework.TestResult;1
junit.framework.TestResult;errorCount();junit.framework.TestResult;1
junit.framework.TestResult;errors();junit.framework.TestResult;1
junit.framework.TestResult;failureCount();junit.framework.TestResult;1
junit.framework.TestResult;failures();junit.framework.TestResult;1
junit.framework.TestResult;runCount();junit.framework.TestResult;1
junit.framework.TestResult;shouldStop();junit.framework.TestResult;1
junit.framework.TestResult;startTest(test);junit.framework.TestResult;1
junit.framework.TestResult;stop();junit.framework.TestResult;1
junit.framework.TestCase;TestCase();junit.framework.TestCase;1
junit.framework.TestCase;TestCase(string);junit.framework.TestCase;1
junit.framework.TestCase;runBare();junit.framework.TestCase;1
junit.framework.TestCase;runTest();java.lang.reflect.Modifier;1
junit.framework.TestCase;runTest();java.lang.Object;1
junit.framework.TestCase;runTest();java.lang.Class;1
junit.framework.TestCase;runTest();junit.framework.TestCase;1
junit.framework.TestCase;runTest();java.lang.reflect.Method;1
junit.framework.TestCase;runTest();java.lang.reflect.InvocationTargetException;1
junit.framework.TestCase;toString();java.lang.Class;1
junit.framework.TestCase;toString();java.lang.Object;1
junit.framework.TestCase;toString();junit.framework.TestCase;1
junit.framework.TestCase;getName();junit.framework.TestCase;1
junit.framework.TestCase;setName(string);junit.framework.TestCase;1
junit.framework.JUnit4TestAdapterCache;getDefault();junit.framework.JUnit4TestAdapterCache;1
junit.framework.TestSuite;createTest(class, string);junit.framework.TestSuite;1
junit.framework.TestSuite;createTest(class, string);java.lang.Class<>;1
junit.framework.TestSuite;createTest(class, string);java.lang.reflect.Constructor<>;1
junit.framework.TestSuite;createTest(class, string);java.lang.reflect.InvocationTargetException;1
junit.framework.TestSuite;getTestConstructor(class);java.lang.Class<>;1
