Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	org.javacc.jjtree.CPPCodeGenerator::insertOpenNodeCode(org.javacc.jjtree.NodeScope, org.javacc.jjtree.IO, java.lang.String):void	org.javacc.jjtree.NodeScope	0/4	
Move Method	org.javacc.jjtree.CPPCodeGenerator::insertCloseNodeCode(org.javacc.jjtree.NodeScope, org.javacc.jjtree.IO, java.lang.String, boolean):void	org.javacc.jjtree.NodeScope	0/4	
Move Method	org.javacc.jjtree.JavaCodeGenerator::insertOpenNodeCode(org.javacc.jjtree.NodeScope, org.javacc.jjtree.IO, java.lang.String):void	org.javacc.jjtree.NodeScope	0/4	
Move Method	org.javacc.jjtree.JavaCodeGenerator::insertCloseNodeCode(org.javacc.jjtree.NodeScope, org.javacc.jjtree.IO, java.lang.String, boolean):void	org.javacc.jjtree.NodeScope	0/4	
Move Method	org.javacc.jjtree.JavaCodeGenerator::insertCatchBlocks(org.javacc.jjtree.NodeScope, org.javacc.jjtree.IO, java.util.Enumeration, java.lang.String):void	org.javacc.jjtree.NodeScope	0/4	
Move Method	org.javacc.jjtree.CPPCodeGenerator::insertCatchBlocks(org.javacc.jjtree.NodeScope, org.javacc.jjtree.IO, java.util.Enumeration, java.lang.String):void	org.javacc.jjtree.NodeScope	0/3	
Move Method	org.javacc.jjtree.JJTreeNode::translateImage(org.javacc.jjtree.Token):java.lang.String	org.javacc.jjtree.Token	0/1	
Move Method	org.javacc.jjtree.JJTreeNode::whiteOut(org.javacc.jjtree.Token):java.lang.String	org.javacc.jjtree.Token	0/1	
Move Method	org.javacc.parser.ParseEngine::genjj_3Call(org.javacc.parser.Expansion):java.lang.String	org.javacc.parser.Expansion	0/1	
Move Method	org.javacc.jjtree.CPPCodeGenerator::tryTokenSequence(org.javacc.jjtree.NodeScope, org.javacc.jjtree.IO, java.lang.String, org.javacc.jjtree.Token, org.javacc.jjtree.Token):void	org.javacc.jjtree.NodeScope	2/4	
Move Method	org.javacc.jjtree.JavaCodeGenerator::tryTokenSequence(org.javacc.jjtree.NodeScope, org.javacc.jjtree.IO, java.lang.String, org.javacc.jjtree.Token, org.javacc.jjtree.Token):void	org.javacc.jjtree.NodeScope	2/4	
