ClassName;NMD+NAD;nmdNadBound;LCOM5;lcom5Bound;ControllerClass;nbDataClass
org.argouml.application.Main;12.0;20.5;1.095238093818937;2.75;0;1
org.argouml.application.PostLoad;4.0;20.5;0.0;2.75;0;0
org.argouml.application.PreloadClasses;3.0;20.5;0.0;2.75;0;0
org.argouml.application.StartCritics;3.0;20.5;0.0;2.75;0;2
org.argouml.application.api.AboutTabPanel;2.0;20.5;0.0;2.75;0;0
org.argouml.application.api.Argo;44.0;20.5;1.125;2.75;0;0
org.argouml.application.api.ArgoEventListener;0.0;20.5;0.0;2.75;0;0
org.argouml.application.api.ArgoModule;12.0;20.5;1.1111111111111112;2.75;0;0
org.argouml.application.api.ArgoSingletonModule;5.0;20.5;0.0;2.75;0;0
org.argouml.application.api.CommandLineInterface;1.0;20.5;0.0;2.75;0;0
org.argouml.application.api.Configuration;36.0;20.5;0.9172413775633121;2.75;0;1
org.argouml.application.api.ConfigurationKey;2.0;20.5;0.0;2.75;0;0
org.argouml.application.api.Pluggable;4.0;20.5;0.0;2.75;0;0
org.argouml.application.api.PluggableAboutTab;1.0;20.5;0.0;2.75;0;0
org.argouml.application.api.PluggableDiagram;1.0;20.5;0.0;2.75;0;0
org.argouml.application.api.PluggableImport;6.0;20.5;0.0;2.75;0;0
org.argouml.application.api.PluggableMenu;9.0;20.5;2.0;2.75;0;0
org.argouml.application.api.PluggableNotation;0.0;20.5;0.0;2.75;0;0
org.argouml.application.api.PluggablePropertyPanel;2.0;20.5;0.0;2.75;0;0
org.argouml.application.api.PluggableResourceBundle;0.0;20.5;0.0;2.75;0;0
org.argouml.application.api.PluggableSettingsTab;1.0;20.5;0.0;2.75;0;0
org.argouml.application.api.QuadrantPanel;9.0;20.5;0.0;2.75;0;0
org.argouml.application.api.SettingsTabPanel;5.0;20.5;0.0;2.75;0;0
org.argouml.application.configuration.ConfigurationFactory;5.0;20.5;2.0;2.75;0;0
org.argouml.application.configuration.ConfigurationHandler;44.0;20.5;0.9890109868003771;2.75;0;0
org.argouml.application.configuration.ConfigurationKeyImpl;10.0;20.5;1.5;2.75;0;0
org.argouml.application.configuration.ConfigurationProperties;13.0;20.5;0.9285714285714286;2.75;0;0
org.argouml.application.events.ArgoEvent;6.0;20.5;1.3333333333333333;2.75;0;0
org.argouml.application.events.ArgoEventPump;17.0;20.5;0.8611111044883728;2.75;0;4
org.argouml.application.events.ArgoEventTypes;20.0;20.5;0.0;2.75;0;0
org.argouml.application.events.ArgoGeneratorEvent;2.0;20.5;0.0;2.75;0;0
org.argouml.application.events.ArgoGeneratorEventListener;3.0;20.5;0.0;2.75;0;0
org.argouml.application.events.ArgoModuleEvent;2.0;20.5;0.0;2.75;0;0
org.argouml.application.events.ArgoModuleEventListener;4.0;20.5;0.0;2.75;0;0
org.argouml.application.events.ArgoNotationEvent;2.0;20.5;0.0;2.75;0;0
org.argouml.application.events.ArgoNotationEventListener;5.0;20.5;0.0;2.75;0;0
org.argouml.application.helpers.DiagramHelper;10.0;20.5;1.1428571428571428;2.75;0;0
org.argouml.application.helpers.ModuleHelper;5.0;20.5;1.5;2.75;0;0
org.argouml.application.helpers.ResourceBundleHelper;7.0;20.5;0.0;2.75;0;0
org.argouml.application.helpers.ResourceLoaderWrapper;23.0;20.5;1.1224489786795206;2.75;0;0
org.argouml.application.helpers.SettingsTabHelper;14.0;20.5;0.0;2.75;0;0
org.argouml.application.modules.ModuleLoader;36.0;20.5;0.9903846153846154;2.75;0;0
org.argouml.application.security.ArgoAwtExceptionHandler;2.0;20.5;0.0;2.75;0;0
org.argouml.cognitive.AbstractCognitiveTranslator;3.0;20.5;0.0;2.75;0;0
org.argouml.cognitive.Decision;11.0;20.5;1.1111111094554265;2.75;0;0
org.argouml.cognitive.DecisionModel;8.0;20.5;0.4;2.75;0;1
org.argouml.cognitive.Designer;91.0;20.5;1.000548245614035;2.75;0;1
org.argouml.cognitive.Goal;12.0;20.5;1.095238093818937;2.75;0;0
org.argouml.cognitive.GoalModel;9.0;20.5;0.5;2.75;0;1
org.argouml.cognitive.ItemUID;10.0;20.5;1.25;2.75;1;1
org.argouml.cognitive.ListSet;51.0;20.5;0.7555555555555555;2.75;0;0
