ClassName;NMD+NAD;nmdNadBound;LCOM5;lcom5Bound;ControllerClass;nbDataClass
org.apache.derby.authentication.UserAuthenticator;1.0;47.0;0.0;2.8125;0;0
org.apache.derby.catalog.AliasInfo;13.0;47.0;0.0;2.8125;0;0
org.apache.derby.catalog.DefaultInfo;2.0;47.0;0.0;2.8125;0;0
org.apache.derby.catalog.Dependable;22.0;47.0;1.25;2.8125;0;0
org.apache.derby.catalog.DependableFinder;4.0;47.0;0.0;2.8125;0;0
org.apache.derby.catalog.GetProcedureColumns;20.0;47.0;1.1111111094554265;2.8125;1;0
org.apache.derby.catalog.IndexDescriptor;12.0;47.0;0.0;2.8125;0;0
org.apache.derby.catalog.ReferencedColumns;1.0;47.0;0.0;2.8125;0;0
org.apache.derby.catalog.Statistics;1.0;47.0;0.0;2.8125;0;0
org.apache.derby.catalog.SystemProcedures;54.0;47.0;1.0181159419210062;2.8125;1;3
org.apache.derby.catalog.TriggerNewTransitionRows;6.0;47.0;0.6666666666666666;2.8125;0;1
org.apache.derby.catalog.TriggerOldTransitionRows;5.0;47.0;1.0;2.8125;0;1
org.apache.derby.catalog.TypeDescriptor;9.0;47.0;1.1428571428571428;2.8125;0;0
org.apache.derby.catalog.UUID;5.0;47.0;1.3333333333333333;2.8125;0;0
org.apache.derby.catalog.types.BaseTypeIdImpl;19.0;47.0;1.0454545454545454;2.8125;0;0
org.apache.derby.catalog.types.DecimalTypeIdImpl;4.0;47.0;0.0;2.8125;0;0
org.apache.derby.catalog.types.DefaultInfoImpl;15.0;47.0;1.125;2.8125;0;0
org.apache.derby.catalog.types.IndexDescriptorImpl;25.0;47.0;1.0352941172964432;2.8125;0;0
org.apache.derby.catalog.types.MethodAliasInfo;8.0;47.0;1.25;2.8125;0;0
org.apache.derby.catalog.types.ReferencedColumnsDescriptorImpl;8.0;47.0;1.25;2.8125;0;0
org.apache.derby.catalog.types.RoutineAliasInfo;34.0;47.0;1.0678733031337078;2.8125;0;0
org.apache.derby.catalog.types.StatisticsImpl;9.0;47.0;1.25;2.8125;0;0
org.apache.derby.catalog.types.SynonymAliasInfo;11.0;47.0;1.1666666666666667;2.8125;0;0
org.apache.derby.catalog.types.TypeDescriptorImpl;25.0;47.0;1.0142857134342194;2.8125;0;0
org.apache.derby.catalog.types.TypesImplInstanceGetter;2.0;47.0;0.0;2.8125;0;0
org.apache.derby.catalog.types.UserDefinedTypeIdImpl;9.0;47.0;1.2;2.8125;0;0
org.apache.derby.database.Database;10.0;47.0;0.0;2.8125;0;0
org.apache.derby.database.UserUtility;8.0;47.0;1.25;2.8125;0;2
org.apache.derby.diag.ConglomInfo;7.0;47.0;1.5;2.8125;0;0
org.apache.derby.diag.ErrorLogReader;33.0;47.0;1.1730769202113152;2.8125;0;0
org.apache.derby.diag.ErrorMessages;21.0;47.0;1.066666666418314;2.8125;0;0
org.apache.derby.diag.LockTable;24.0;47.0;1.076923075132072;2.8125;0;2
org.apache.derby.diag.SpaceTable;25.0;47.0;1.0499999995032947;2.8125;0;3
org.apache.derby.diag.StatementCache;15.0;47.0;1.0476190447807312;2.8125;0;1
org.apache.derby.diag.StatementDuration;29.0;47.0;1.13333333209157;2.8125;0;0
org.apache.derby.diag.TransactionTable;15.0;47.0;1.1428571428571428;2.8125;0;1
org.apache.derby.iapi.db.ConnectionInfo;3.0;47.0;0.0;2.8125;0;1
org.apache.derby.iapi.db.ConsistencyChecker;2.0;47.0;0.0;2.8125;0;5
org.apache.derby.iapi.db.Database;7.0;47.0;0.0;2.8125;0;0
org.apache.derby.iapi.db.DatabaseContext;2.0;47.0;0.0;2.8125;0;0
org.apache.derby.iapi.db.Factory;3.0;47.0;0.0;2.8125;0;1
org.apache.derby.iapi.db.OnlineCompress;7.0;47.0;0.0;2.8125;0;4
org.apache.derby.iapi.db.OptimizerTrace;5.0;47.0;0.0;2.8125;0;1
org.apache.derby.iapi.db.PropertyInfo;6.0;47.0;0.0;2.8125;0;2
org.apache.derby.iapi.db.TriggerExecutionContext;14.0;47.0;1.1;2.8125;0;0
org.apache.derby.iapi.error.ExceptionSeverity;0.0;47.0;0.0;2.8125;0;0
org.apache.derby.iapi.error.PassThroughException;3.0;47.0;0.0;2.8125;0;0
org.apache.derby.iapi.error.PublicAPI;2.0;47.0;0.0;2.8125;0;0
org.apache.derby.iapi.error.StandardException;60.0;47.0;1.0217391304347827;2.8125;0;0
org.apache.derby.iapi.jdbc.AuthenticationService;2.0;47.0;0.0;2.8125;0;0
org.apache.derby.iapi.jdbc.BrokeredCallableStatement;31.0;47.0;0.0;2.8125;0;0
org.apache.derby.iapi.jdbc.BrokeredCallableStatement30;56.0;47.0;0.0;2.8125;0;0
org.apache.derby.iapi.jdbc.BrokeredCallableStatement40;55.0;47.0;0.0;2.8125;0;0
org.apache.derby.iapi.jdbc.BrokeredConnection;50.0;47.0;0.9686411124903981;2.8125;0;0
org.apache.derby.iapi.jdbc.BrokeredConnection30;14.0;47.0;0.0;2.8125;0;0
org.apache.derby.iapi.jdbc.BrokeredConnection40;19.0;47.0;0.0;2.8125;0;0
org.apache.derby.iapi.jdbc.BrokeredConnectionControl;15.0;47.0;0.0;2.8125;0;0
org.apache.derby.iapi.jdbc.BrokeredPreparedStatement;41.0;47.0;1.0263157894736843;2.8125;0;0
org.apache.derby.iapi.jdbc.BrokeredPreparedStatement30;5.0;47.0;1.0;2.8125;0;0
org.apache.derby.iapi.jdbc.BrokeredPreparedStatement40;23.0;47.0;0.0;2.8125;0;0
org.apache.derby.iapi.jdbc.BrokeredStatement;53.0;47.0;1.0129870125515894;2.8125;0;0
org.apache.derby.iapi.jdbc.BrokeredStatement40;5.0;47.0;0.0;2.8125;0;0
org.apache.derby.iapi.jdbc.BrokeredStatementControl;5.0;47.0;0.0;2.8125;0;0
org.apache.derby.iapi.jdbc.ConnectionContext;3.0;47.0;2.0;2.8125;0;0
org.apache.derby.iapi.jdbc.DRDAServerStarter;15.0;47.0;1.1999999980131786;2.8125;0;0
org.apache.derby.iapi.jdbc.EngineConnection;6.0;47.0;0.0;2.8125;0;0
org.apache.derby.iapi.jdbc.EngineParameterMetaData;9.0;47.0;0.0;2.8125;0;0
org.apache.derby.iapi.jdbc.EnginePreparedStatement;1.0;47.0;0.0;2.8125;0;0
org.apache.derby.iapi.jdbc.EngineResultSet;1.0;47.0;0.0;2.8125;0;0
org.apache.derby.iapi.jdbc.EngineStatement;2.0;47.0;0.0;2.8125;0;0
org.apache.derby.iapi.jdbc.FailedProperties40;8.0;47.0;1.3333333333333333;2.8125;0;0
org.apache.derby.iapi.jdbc.JDBCBoot;5.0;47.0;1.5;2.8125;0;0
org.apache.derby.iapi.jdbc.ResourceAdapter;5.0;47.0;0.0;2.8125;0;0
org.apache.derby.iapi.reference.Attribute;29.0;47.0;0.0;2.8125;0;0
org.apache.derby.iapi.reference.ClassName;54.0;47.0;0.0;2.8125;0;0
org.apache.derby.iapi.reference.ContextId;2.0;47.0;0.0;2.8125;0;0
org.apache.derby.iapi.reference.DRDAConstants;138.0;47.0;0.0;2.8125;0;0
org.apache.derby.iapi.reference.EngineType;4.0;47.0;0.0;2.8125;0;0
org.apache.derby.iapi.reference.JDBC20Translation;19.0;47.0;0.0;2.8125;0;0
org.apache.derby.iapi.reference.JDBC30Translation;0.0;47.0;0.0;2.8125;0;0
org.apache.derby.iapi.reference.JDBC40Translation;0.0;47.0;0.0;2.8125;0;0
org.apache.derby.iapi.reference.Limits;35.0;47.0;0.0;2.8125;0;0
org.apache.derby.iapi.reference.MessageId;0.0;47.0;0.0;2.8125;0;0
org.apache.derby.iapi.reference.Module;8.0;47.0;0.0;2.8125;0;0
org.apache.derby.iapi.reference.Property;97.0;47.0;0.0;2.8125;0;0
org.apache.derby.iapi.reference.SQLState;0.0;47.0;0.0;2.8125;0;0
org.apache.derby.iapi.services.cache.CacheFactory;2.0;47.0;0.0;2.8125;0;0
org.apache.derby.iapi.services.cache.CacheManager;19.0;47.0;0.0;2.8125;0;0
org.apache.derby.iapi.services.cache.Cacheable;6.0;47.0;0.0;2.8125;0;0
org.apache.derby.iapi.services.cache.CacheableFactory;1.0;47.0;0.0;2.8125;0;0
org.apache.derby.iapi.services.cache.ClassSize;28.0;47.0;1.0848484845323996;2.8125;0;0
org.apache.derby.iapi.services.cache.SizedCacheable;1.0;47.0;0.0;2.8125;0;0
org.apache.derby.iapi.services.classfile.AttributeEntry;8.0;47.0;1.1666666567325592;2.8125;0;1
org.apache.derby.iapi.services.classfile.Attributes;5.0;47.0;1.5;2.8125;0;0
org.apache.derby.iapi.services.classfile.CONSTANT_Double_info;6.0;47.0;1.3333333333333333;2.8125;0;0
org.apache.derby.iapi.services.classfile.CONSTANT_Float_info;6.0;47.0;1.3333333333333333;2.8125;0;0
org.apache.derby.iapi.services.classfile.CONSTANT_Index_info;10.0;47.0;1.1666666666666667;2.8125;0;0
org.apache.derby.iapi.services.classfile.CONSTANT_Integer_info;6.0;47.0;1.3333333333333333;2.8125;0;0
org.apache.derby.iapi.services.classfile.CONSTANT_Long_info;6.0;47.0;1.3333333333333333;2.8125;0;0
org.apache.derby.iapi.services.classfile.CONSTANT_Utf8_info;11.0;47.0;1.1111111094554265;2.8125;0;0
org.apache.derby.iapi.services.classfile.ClassEnumeration;12.0;47.0;1.0399999976158143;2.8125;0;0
org.apache.derby.iapi.services.classfile.ClassFormatOutput;10.0;47.0;0.0;2.8125;0;1
org.apache.derby.iapi.services.classfile.ClassHolder;58.0;47.0;0.9876033047383482;2.8125;0;0
org.apache.derby.iapi.services.classfile.ClassInput;4.0;47.0;0.0;2.8125;0;0
