Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	com.hp.hpl.jena.rdf.arp.states.WantPropertyElement::mustBeEmpty(com.hp.hpl.jena.rdf.arp.impl.AttributeLexer, org.xml.sax.Attributes, int):boolean	com.hp.hpl.jena.rdf.arp.impl.AttributeLexer	0/3	
Move Method	com.hp.hpl.jena.graph.impl.GraphMatcher.Bucket::bind(com.hp.hpl.jena.graph.impl.GraphMatcher.AnonResource, com.hp.hpl.jena.graph.impl.GraphMatcher.Bucket, com.hp.hpl.jena.graph.impl.GraphMatcher.AnonResource):boolean	com.hp.hpl.jena.graph.impl.GraphMatcher.AnonResource	0/2	
Move Method	com.hp.hpl.jena.graph.impl.SimpleReifier::matchesStatement(com.hp.hpl.jena.graph.Node):boolean	com.hp.hpl.jena.graph.Node	0/2	
Move Method	com.hp.hpl.jena.mem.GraphMemBase::isSafeForEquality(com.hp.hpl.jena.graph.Triple):boolean	com.hp.hpl.jena.graph.Triple	0/2	
Move Method	com.hp.hpl.jena.assembler.assemblers.ModelAssembler::addContent(com.hp.hpl.jena.rdf.model.Resource, com.hp.hpl.jena.rdf.model.Model, com.hp.hpl.jena.assembler.Content):void	com.hp.hpl.jena.assembler.Content	0/1	
Move Method	com.hp.hpl.jena.assembler.assemblers.UnionModelAssembler::addSubModels(com.hp.hpl.jena.assembler.Assembler, com.hp.hpl.jena.rdf.model.Resource, com.hp.hpl.jena.graph.compose.MultiUnion, com.hp.hpl.jena.assembler.Mode):void	com.hp.hpl.jena.graph.compose.MultiUnion	0/1	
Move Method	com.hp.hpl.jena.graph.impl.ReificationWrapper::tripleFromRSPO(com.hp.hpl.jena.graph.query.Domain):com.hp.hpl.jena.graph.Triple	com.hp.hpl.jena.graph.query.Domain	0/1	
Move Method	com.hp.hpl.jena.graph.impl.ReificationWrapper::tripleFromSPO(com.hp.hpl.jena.graph.query.Domain):com.hp.hpl.jena.graph.Triple	com.hp.hpl.jena.graph.query.Domain	0/1	
Move Method	com.hp.hpl.jena.graph.impl.SimpleReifierFragmentsMap::explodeFragments(com.hp.hpl.jena.graph.Triple, com.hp.hpl.jena.graph.Node, com.hp.hpl.jena.graph.impl.Fragments):com.hp.hpl.jena.util.iterator.ExtendedIterator<com.hp.hpl.jena.graph.Triple>	com.hp.hpl.jena.graph.impl.Fragments	0/1	
Move Method	com.hp.hpl.jena.graph.query.ConstraintStage::evalConstraint(com.hp.hpl.jena.graph.query.Domain, com.hp.hpl.jena.graph.query.ValuatorSet):boolean	com.hp.hpl.jena.graph.query.ValuatorSet	0/1	
