Snapshot;Date;Entity;ChangeType
9edadf11a7ac700a529f49e46822e2983ed551e4;16 Jan 2013;com.android.internal.telephony.cat.BerTlv.isLengthValid();ADDED
9edadf11a7ac700a529f49e46822e2983ed551e4;16 Jan 2013;com.android.internal.telephony.cat.BerTlv.decode(byte);BODY_MODIFIED
9edadf11a7ac700a529f49e46822e2983ed551e4;16 Jan 2013;com.android.internal.telephony.cat.CommandParamsFactory.make(bertlv);BODY_MODIFIED
c26fb77c4e637466cf0483a4995fe82e6f68b8d3;27 Sep 2012;com.android.internal.telephony.ServiceStateTracker.dispose();BODY_MODIFIED
3de1a7e5535f36e86d82da12df2b17aeeafabdc6;29 Jun 2012;com.android.internal.telephony.cdma.sms.BearerData.encodeUserDataPayload(userdata);BODY_MODIFIED
3de1a7e5535f36e86d82da12df2b17aeeafabdc6;29 Jun 2012;com.android.internal.telephony.cdma.sms.BearerData.decode(byte, int);BODY_MODIFIED
3de1a7e5535f36e86d82da12df2b17aeeafabdc6;29 Jun 2012;com.android.internal.telephony.cdma.sms.BearerData.decodeUserDataPayload(boolean, userdata);BODY_MODIFIED
3de1a7e5535f36e86d82da12df2b17aeeafabdc6;29 Jun 2012;com.android.internal.telephony.cdma.sms.BearerData.decodeShiftJis(byte, int, int);ADDED
3de1a7e5535f36e86d82da12df2b17aeeafabdc6;29 Jun 2012;com.android.internal.telephony.cdma.sms.BearerData.decodeReserved(bearerdata, bitwiseinputstream, int);ADDED
3de1a7e5535f36e86d82da12df2b17aeeafabdc6;29 Jun 2012;com.android.internal.telephony.cdma.sms.BearerData.encodeShiftJis(string);ADDED
e72ec3f4031a24982d402bb35a7d17dc1868958d;16 Aug 2012;com.android.internal.telephony.cdma.SmsMessage.parsePdu(byte);BODY_MODIFIED
e72ec3f4031a24982d402bb35a7d17dc1868958d;16 Aug 2012;com.android.internal.telephony.cdma.SmsMessage.parsePduFromEfRecord(byte);BODY_MODIFIED
892e1fecf3c3736c4c04cf219d01034f71307065;9 Jan 2013;com.android.internal.telephony.RIL.findAndRemoveRequestFromList(int);BODY_MODIFIED
892e1fecf3c3736c4c04cf219d01034f71307065;9 Jan 2013;com.android.internal.telephony.RIL.clearRequestsList(boolean, int);DELETED
892e1fecf3c3736c4c04cf219d01034f71307065;9 Jan 2013;com.android.internal.telephony.RIL.run();BODY_MODIFIED
892e1fecf3c3736c4c04cf219d01034f71307065;9 Jan 2013;com.android.internal.telephony.RIL.clearRequestList(boolean, int);ADDED
892e1fecf3c3736c4c04cf219d01034f71307065;9 Jan 2013;com.android.internal.telephony.RIL.dump(filedescriptor, printwriter, string);BODY_MODIFIED
892e1fecf3c3736c4c04cf219d01034f71307065;9 Jan 2013;com.android.internal.telephony.RIL.handleMessage(message);BODY_MODIFIED
9b41acc443e068fa3c3e547e820f710c6e2297ba;30 Nov 2012;com.android.internal.telephony.cdma.CdmaCallTracker.checkMtFindNewRinging(drivercall, int);BODY_MODIFIED
9b41acc443e068fa3c3e547e820f710c6e2297ba;30 Nov 2012;com.android.internal.telephony.gsm.GsmCallTracker.handlePollCalls(asyncresult);BODY_MODIFIED
2cbcc15677797f5879cf8c907876b366b034d433;27 Dec 2012;com.android.internal.telephony.gsm.SmsMessage.parseSmsSubmit(int, pduparser);ADDED
2cbcc15677797f5879cf8c907876b366b034d433;27 Dec 2012;com.android.internal.telephony.gsm.SmsMessage.parsePdu(byte);BODY_MODIFIED
05ef3b65972826780859b9acbd1fa9580d099832;28 Dec 2012;com.android.internal.telephony.DebugService.dump(filedescriptor, printwriter, string);BODY_MODIFIED
05ef3b65972826780859b9acbd1fa9580d099832;28 Dec 2012;com.android.internal.telephony.RIL.dump(filedescriptor, printwriter, string);BODY_MODIFIED
05ef3b65972826780859b9acbd1fa9580d099832;28 Dec 2012;com.android.internal.telephony.uicc.IccCardProxy.dump(filedescriptor, printwriter, string);ADDED
05ef3b65972826780859b9acbd1fa9580d099832;28 Dec 2012;com.android.internal.telephony.uicc.IccRecords.dump(filedescriptor, printwriter, string);ADDED
05ef3b65972826780859b9acbd1fa9580d099832;28 Dec 2012;com.android.internal.telephony.uicc.IsimUiccRecords.dump(filedescriptor, printwriter, string);ADDED
05ef3b65972826780859b9acbd1fa9580d099832;28 Dec 2012;com.android.internal.telephony.uicc.RuimRecords.dump(filedescriptor, printwriter, string);ADDED
05ef3b65972826780859b9acbd1fa9580d099832;28 Dec 2012;com.android.internal.telephony.uicc.SIMRecords.dump(filedescriptor, printwriter, string);ADDED
05ef3b65972826780859b9acbd1fa9580d099832;28 Dec 2012;com.android.internal.telephony.uicc.UiccCard.dump(filedescriptor, printwriter, string);ADDED
05ef3b65972826780859b9acbd1fa9580d099832;28 Dec 2012;com.android.internal.telephony.uicc.UiccCardApplication.dump(filedescriptor, printwriter, string);ADDED
05ef3b65972826780859b9acbd1fa9580d099832;28 Dec 2012;com.android.internal.telephony.uicc.UiccController.dump(filedescriptor, printwriter, string);ADDED
10e574acd0992d22abce257b420d333f5a49e71d;14 Aug 2012;com.android.internal.telephony.gsm.GsmMmiCode.isShortCodeUSSD(gsmphone, string);BODY_MODIFIED
9aaa228cbb37657d12a87b5058676e449866f2ac;5 Dec 2012;com.android.internal.telephony.DataConnectionTracker.startDataStallAlarm(boolean);BODY_MODIFIED
86968438e444728053137c764cc37cf9c0a15d16;8 Aug 2012;com.android.internal.telephony.cat.CommandParamsFactory.make(bertlv);BODY_MODIFIED
43198cf78f564c631ef08dddb7a183d4ba5b137d;26 Nov 2012;com.android.internal.telephony.IccProvider.delete(string, string, uri);BODY_MODIFIED
2d7aad7791b92186dabc779b3ab43794aceebcda;29 Nov 2012;com.android.internal.telephony.cat.CatResponseMessage.setAdditionalInfo(int);ADDED
2d7aad7791b92186dabc779b3ab43794aceebcda;29 Nov 2012;com.android.internal.telephony.cat.CatService.handleCmdResponse(catresponsemessage);BODY_MODIFIED
a5d65ff9d36808aec38d60ebe30f2109fcfcb8bc;8 Dec 2012;com.android.internal.telephony.CallManager.setAudioMode();BODY_MODIFIED
a5d65ff9d36808aec38d60ebe30f2109fcfcb8bc;8 Dec 2012;com.android.internal.telephony.CallManager.acceptCall(call);BODY_MODIFIED
ded9c0af7fa49504c047275ed34c2d3b22bf0c3a;7 Dec 2012;com.android.internal.telephony.mockril.MockRilController.getRadioState();BODY_MODIFIED
ded9c0af7fa49504c047275ed34c2d3b22bf0c3a;7 Dec 2012;com.android.internal.telephony.mockril.MockRilController.getCtrlResponse();BODY_MODIFIED
ded9c0af7fa49504c047275ed34c2d3b22bf0c3a;7 Dec 2012;com.android.internal.telephony.mockril.MockRilController.setRadioState(int);BODY_MODIFIED
ded9c0af7fa49504c047275ed34c2d3b22bf0c3a;7 Dec 2012;com.android.internal.telephony.mockril.MockRilController.setAlertCallToActive();BODY_MODIFIED
ded9c0af7fa49504c047275ed34c2d3b22bf0c3a;7 Dec 2012;com.android.internal.telephony.mockril.MockRilController.sendCtrlCommand(int, int, long, messagemicro);BODY_MODIFIED
ded9c0af7fa49504c047275ed34c2d3b22bf0c3a;7 Dec 2012;com.android.internal.telephony.mockril.MockRilController.setDialCallToAlert();BODY_MODIFIED
ded9c0af7fa49504c047275ed34c2d3b22bf0c3a;7 Dec 2012;com.android.internal.telephony.mockril.MockRilController.hangupRemote(int, int);BODY_MODIFIED
ded9c0af7fa49504c047275ed34c2d3b22bf0c3a;7 Dec 2012;com.android.internal.telephony.mockril.MockRilController.setCallTransitionFlag(boolean);BODY_MODIFIED
ded9c0af7fa49504c047275ed34c2d3b22bf0c3a;7 Dec 2012;com.android.internal.telephony.mockril.MockRilController.startIncomingCall(string);BODY_MODIFIED
ded9c0af7fa49504c047275ed34c2d3b22bf0c3a;7 Dec 2012;android.provider.Telephony.getOrCreateThreadId(context, set);BODY_MODIFIED
ded9c0af7fa49504c047275ed34c2d3b22bf0c3a;7 Dec 2012;android.telephony.SmsMessage.fragmentText(string);BODY_MODIFIED
ded9c0af7fa49504c047275ed34c2d3b22bf0c3a;7 Dec 2012;android.telephony.SmsMessage.createFromPdu(byte, string);BODY_MODIFIED
