Snapshot;Date;Entity;ChangeType
e7734def8b0961af37c37eb1964a7e9ffdd052ca;30 Jun 2006;org.apache.tools.ant.taskdefs.optional.junit.AggregateTransformer.getStylesheet();ADDED
e7734def8b0961af37c37eb1964a7e9ffdd052ca;30 Jun 2006;org.apache.tools.ant.taskdefs.optional.junit.AggregateTransformer.transform();BODY_MODIFIED
e7734def8b0961af37c37eb1964a7e9ffdd052ca;30 Jun 2006;org.apache.tools.ant.taskdefs.optional.junit.AggregateTransformer.createParam();ADDED
e7734def8b0961af37c37eb1964a7e9ffdd052ca;30 Jun 2006;org.apache.tools.ant.taskdefs.optional.junit.JUnitReportTest.testWithParams();ADDED
e7734def8b0961af37c37eb1964a7e9ffdd052ca;30 Jun 2006;org.apache.tools.ant.taskdefs.optional.junit.JUnitReportTest.testWithStyleFromClasspath();ADDED
e7734def8b0961af37c37eb1964a7e9ffdd052ca;30 Jun 2006;org.apache.tools.ant.taskdefs.optional.junit.JUnitReportTest.testWithStyleFromDir();ADDED
761201eca25ffe38373a5b37d7747f6ff3d759f9;29 Jun 2006;org.apache.tools.ant.taskdefs.ExecuteJava.execute(project);BODY_MODIFIED
87c740f8a7024d16874ec4f65ccd688a77320724;27 Jun 2006;org.apache.tools.ant.IntrospectionHelper.buildFinished(buildevent);BODY_MODIFIED
87c740f8a7024d16874ec4f65ccd688a77320724;27 Jun 2006;org.apache.tools.ant.IntrospectionHelper.getHelper(class, project);BODY_MODIFIED
fe2d7e6728ee0645c750e137c004d16af2205115;27 Jun 2006;org.apache.tools.ant.taskdefs.optional.ssh.Scp.parseUri(string);BODY_MODIFIED
8d20a46835846d0ff4bf0bf2244c7d809832aa03;27 Jun 2006;org.apache.tools.ant.taskdefs.FixCRLF.processFile(string);BODY_MODIFIED
8d20a46835846d0ff4bf0bf2244c7d809832aa03;27 Jun 2006;org.apache.tools.ant.taskdefs.FixCRLF.setOutputEncoding(string);ADDED
8d20a46835846d0ff4bf0bf2244c7d809832aa03;27 Jun 2006;org.apache.tools.ant.taskdefs.FixCRLF.execute();BODY_MODIFIED
8d20a46835846d0ff4bf0bf2244c7d809832aa03;27 Jun 2006;org.apache.tools.ant.taskdefs.FixCrLfTest.testOutputEncoding();ADDED
fe678d1937dfca00eda5019956c3352d557accc6;26 Jun 2006;org.apache.tools.ant.taskdefs.AbstractJarSignerTask.bindToKeystore(exectask);BODY_MODIFIED
fe678d1937dfca00eda5019956c3352d557accc6;26 Jun 2006;org.apache.tools.ant.taskdefs.ExecTask.resolveExecutable(boolean, string);BODY_MODIFIED
fe678d1937dfca00eda5019956c3352d557accc6;26 Jun 2006;org.apache.tools.ant.taskdefs.Javac.execute();BODY_MODIFIED
fe678d1937dfca00eda5019956c3352d557accc6;26 Jun 2006;org.apache.tools.ant.taskdefs.Javadoc.execute();BODY_MODIFIED
fe678d1937dfca00eda5019956c3352d557accc6;26 Jun 2006;org.apache.tools.ant.taskdefs.Javadoc.setLinkoffline(string);BODY_MODIFIED
fe678d1937dfca00eda5019956c3352d557accc6;26 Jun 2006;org.apache.tools.ant.taskdefs.Javadoc.setSourcefiles(string);BODY_MODIFIED
fe678d1937dfca00eda5019956c3352d557accc6;26 Jun 2006;org.apache.tools.ant.taskdefs.TempFile.execute();BODY_MODIFIED
fe678d1937dfca00eda5019956c3352d557accc6;26 Jun 2006;org.apache.tools.ant.taskdefs.Touch.touch(long, resource);BODY_MODIFIED
fe678d1937dfca00eda5019956c3352d557accc6;26 Jun 2006;org.apache.tools.ant.taskdefs.XSLTProcess.execute();BODY_MODIFIED
18784a313b7d3cc5ebc714ca4d7c2eacdf0718ab;25 Jun 2006;org.apache.tools.ant.taskdefs.XSLTProcess.resolveProcessor(string);BODY_MODIFIED
18784a313b7d3cc5ebc714ca4d7c2eacdf0718ab;25 Jun 2006;org.apache.tools.ant.taskdefs.XSLTProcess.getLiaison();BODY_MODIFIED
