Snapshot;Date;Entity;ChangeType
5426ab1212ae49b0c1b4bdcce66f4a90ccbc29c8;24 Jun 2004;org.apache.lucene.index.IndexWriter.getSegmentsCounter();ADDED
5d4bddceef4eee6df89c84ea5a07f79f1dce655d;18 Jun 2004;org.apache.lucene.search.FilteredQuery.getQuery();ADDED
5ca4cb27e26448af68123db2e293e15e758c4759;9 Jun 2004;org.apache.lucene.index.IndexWriter.mergeSegments(int);BODY_MODIFIED
cdd960115840de3d09e37a7b0e22e76f85e15f3c;30 May 2004;org.apache.lucene.analysis.de.GermanStemmer.resubstitute(stringbuffer);BODY_MODIFIED
cdd960115840de3d09e37a7b0e22e76f85e15f3c;30 May 2004;org.apache.lucene.analysis.de.GermanStemmer.substitute(stringbuffer);BODY_MODIFIED
cdd960115840de3d09e37a7b0e22e76f85e15f3c;30 May 2004;org.apache.lucene.queryParser.TestQueryParser.testSimple();BODY_MODIFIED
5884c9c8a89c1246843d135964635b170e6dc938;25 May 2004;org.apache.lucene.search.spans.TestSpans.testSpanNearOrdered05();ADDED
5884c9c8a89c1246843d135964635b170e6dc938;25 May 2004;org.apache.lucene.search.spans.TestSpans.testSpanNearOrdered02();BODY_MODIFIED
5884c9c8a89c1246843d135964635b170e6dc938;25 May 2004;org.apache.lucene.search.spans.TestSpans.testSpanNearOrdered01();ADDED
5884c9c8a89c1246843d135964635b170e6dc938;25 May 2004;org.apache.lucene.search.spans.TestSpans.orderedSlopTest3(int, int);ADDED
5884c9c8a89c1246843d135964635b170e6dc938;25 May 2004;org.apache.lucene.search.spans.TestSpans.makeTerm(string);DELETED
5884c9c8a89c1246843d135964635b170e6dc938;25 May 2004;org.apache.lucene.search.spans.TestSpans.checkHits(int, query);BODY_MODIFIED
5884c9c8a89c1246843d135964635b170e6dc938;25 May 2004;org.apache.lucene.search.spans.TestSpans.testSpanNearOrdered03();BODY_MODIFIED
5884c9c8a89c1246843d135964635b170e6dc938;25 May 2004;org.apache.lucene.search.spans.TestSpans.testSpanNearOrdered04();ADDED
5884c9c8a89c1246843d135964635b170e6dc938;25 May 2004;org.apache.lucene.search.spans.TestSpans.makeSpanTermQuery(string);BODY_MODIFIED
9c2a2fee32154054a05852ee5cb756c8afd2c6c1;24 May 2004;org.apache.lucene.search.FieldCacheImpl.getStringIndex(indexreader, string);BODY_MODIFIED
9c2a2fee32154054a05852ee5cb756c8afd2c6c1;24 May 2004;org.apache.lucene.search.FieldDocSortedHitQueue.lessThan(object, object);BODY_MODIFIED
9c2a2fee32154054a05852ee5cb756c8afd2c6c1;24 May 2004;org.apache.lucene.search.FieldDocSortedHitQueue.hasCollators(sortfield);ADDED
9c2a2fee32154054a05852ee5cb756c8afd2c6c1;24 May 2004;org.apache.lucene.search.FieldDocSortedHitQueue.setFields(sortfield);BODY_MODIFIED
9c2a2fee32154054a05852ee5cb756c8afd2c6c1;24 May 2004;org.apache.lucene.search.SortField.toString();BODY_MODIFIED
9c2a2fee32154054a05852ee5cb756c8afd2c6c1;24 May 2004;org.apache.lucene.search.SortField.getLocale();ADDED
9c2a2fee32154054a05852ee5cb756c8afd2c6c1;24 May 2004;org.apache.lucene.search.TestSort.testLocaleSort();ADDED
9c2a2fee32154054a05852ee5cb756c8afd2c6c1;24 May 2004;org.apache.lucene.search.TestSort.runMultiSorts(searcher);BODY_MODIFIED
9c2a2fee32154054a05852ee5cb756c8afd2c6c1;24 May 2004;org.apache.lucene.search.TestSort.getIndex(boolean, boolean);BODY_MODIFIED
9c2a2fee32154054a05852ee5cb756c8afd2c6c1;24 May 2004;org.apache.lucene.search.TestSort.testEmptyFieldSort();ADDED
9c2a2fee32154054a05852ee5cb756c8afd2c6c1;24 May 2004;org.apache.lucene.search.TestSort.setUp();BODY_MODIFIED
ee00e19246fa777e891202422a22316445585210;22 May 2004;org.apache.lucene.queryParser.QueryParser.Term(string);BODY_MODIFIED
ee00e19246fa777e891202422a22316445585210;22 May 2004;org.apache.lucene.queryParser.QueryParser.getFieldQuery(analyzer, int, string, string);ADDED
4e486c14349b20278c5d1e00b9335db0a1dffe86;19 May 2004;org.apache.lucene.search.FieldDocSortedHitQueue.lessThan(object, object);BODY_MODIFIED
4e486c14349b20278c5d1e00b9335db0a1dffe86;19 May 2004;org.apache.lucene.search.FieldSortedHitQueue.lessThan(object, object);BODY_MODIFIED
4e486c14349b20278c5d1e00b9335db0a1dffe86;19 May 2004;org.apache.lucene.search.FieldSortedHitQueue.lookup(indexreader, int, object, string);ADDED
4e486c14349b20278c5d1e00b9335db0a1dffe86;19 May 2004;org.apache.lucene.search.FieldSortedHitQueue.store(indexreader, int, object, object, string);ADDED
4e486c14349b20278c5d1e00b9335db0a1dffe86;19 May 2004;org.apache.lucene.search.FieldSortedHitQueue.fillFields(fielddoc);ADDED
4e486c14349b20278c5d1e00b9335db0a1dffe86;19 May 2004;org.apache.lucene.search.FieldSortedHitQueue.comparatorAuto(indexreader, string);ADDED
4e486c14349b20278c5d1e00b9335db0a1dffe86;19 May 2004;org.apache.lucene.search.FieldSortedHitQueue.getCachedComparator(indexreader, int, sortcomparatorsource, string);BODY_MODIFIED
4e486c14349b20278c5d1e00b9335db0a1dffe86;19 May 2004;org.apache.lucene.search.FieldSortedHitQueue.getFields();ADDED
4e486c14349b20278c5d1e00b9335db0a1dffe86;19 May 2004;org.apache.lucene.search.FieldSortedHitQueue.clearCache();DELETED
4e486c14349b20278c5d1e00b9335db0a1dffe86;19 May 2004;org.apache.lucene.search.FieldSortedHitQueue.determineComparator(indexreader, string);DELETED
4e486c14349b20278c5d1e00b9335db0a1dffe86;19 May 2004;org.apache.lucene.search.FieldSortedHitQueue.initializeSort(indexreader, string);DELETED
4e486c14349b20278c5d1e00b9335db0a1dffe86;19 May 2004;org.apache.lucene.search.FieldSortedHitQueue.createComparator(indexreader, string);DELETED
4e486c14349b20278c5d1e00b9335db0a1dffe86;19 May 2004;org.apache.lucene.search.TestSort.testCustomSorts();BODY_MODIFIED
4e486c14349b20278c5d1e00b9335db0a1dffe86;19 May 2004;org.apache.lucene.search.TestSort.testRemoteCustomSort();BODY_MODIFIED
1e2715d18d980e4f8c8cb5ac12abf3752851ee10;19 May 2004;org.apache.lucene.store.FSDirectory.create();BODY_MODIFIED
1e2715d18d980e4f8c8cb5ac12abf3752851ee10;19 May 2004;org.apache.lucene.store.FSDirectory.makeLock(string);BODY_MODIFIED
2a4dd6cb6297d5b318a502a35f79736f7f8b991c;18 May 2004;org.apache.lucene.store.FSDirectory.create();BODY_MODIFIED
2a4dd6cb6297d5b318a502a35f79736f7f8b991c;18 May 2004;org.apache.lucene.store.FSDirectory.deleteFile(string);BODY_MODIFIED
2a4dd6cb6297d5b318a502a35f79736f7f8b991c;18 May 2004;org.apache.lucene.store.FSDirectory.renameFile(string, string);BODY_MODIFIED
aaf0f4b01df406944e05d2ba09f08081317b6c0e;17 May 2004;org.apache.lucene.index.MultiTermDocs.freq();BODY_MODIFIED
aaf0f4b01df406944e05d2ba09f08081317b6c0e;17 May 2004;org.apache.lucene.index.MultiTermDocs.close();BODY_MODIFIED
aaf0f4b01df406944e05d2ba09f08081317b6c0e;17 May 2004;org.apache.lucene.index.MultiTermDocs.doc();BODY_MODIFIED
aaf0f4b01df406944e05d2ba09f08081317b6c0e;17 May 2004;org.apache.lucene.index.MultiTermPositions.nextPosition();BODY_MODIFIED
aaf0f4b01df406944e05d2ba09f08081317b6c0e;17 May 2004;org.apache.lucene.index.MultiTermDocs.termDocs(int);BODY_MODIFIED
aaf0f4b01df406944e05d2ba09f08081317b6c0e;17 May 2004;org.apache.lucene.index.MultiTermPositions.termDocs(indexreader);BODY_MODIFIED
07013dfaf9115c446552c56241bcd6d84ba2e759;11 May 2004;org.apache.lucene.search.BooleanScorer.collectHits(hitcollector);DELETED
03b25ce6bb7098d2ef5d249ef2018019c94d8af7;11 May 2004;org.apache.lucene.search.spans.NearSpans.firstNonOrderedNextToPartialList();BODY_MODIFIED
fd147a146efb3c460b7d7848818ee504bd66bbd1;11 May 2004;org.apache.lucene.search.spans.NearSpans.listToQueue();BODY_MODIFIED
fd147a146efb3c460b7d7848818ee504bd66bbd1;11 May 2004;org.apache.lucene.search.spans.NearSpans.firstNonOrderedNextToPartialList();ADDED
fd147a146efb3c460b7d7848818ee504bd66bbd1;11 May 2004;org.apache.lucene.search.spans.NearSpans.checkSlop();ADDED
fd147a146efb3c460b7d7848818ee504bd66bbd1;11 May 2004;org.apache.lucene.search.spans.NearSpans.atMatch();BODY_MODIFIED
fd147a146efb3c460b7d7848818ee504bd66bbd1;11 May 2004;org.apache.lucene.search.spans.NearSpans.partialListToQueue();ADDED
fd147a146efb3c460b7d7848818ee504bd66bbd1;11 May 2004;org.apache.lucene.search.spans.NearSpans.next();BODY_MODIFIED
6809069823fbac59930ebbccab18268ee8019c98;11 May 2004;org.apache.lucene.search.FilteredQuery.rewrite(indexreader);ADDED
9ed56d3d04ad1cdc3853988c3e97d9abe33ee200;11 May 2004;org.apache.lucene.store.FSDirectory.makeLock(string);BODY_MODIFIED
9ed56d3d04ad1cdc3853988c3e97d9abe33ee200;11 May 2004;org.apache.lucene.store.Lock.obtain(long);BODY_MODIFIED
c735ac4d006827a332248776eb05310f1da60c9c;11 May 2004;org.apache.lucene.search.BooleanQuery.scorer(indexreader);BODY_MODIFIED
7e5763e5ca7c02fc51214633283590000387547e;10 May 2004;org.apache.lucene.store.FSDirectory.makeLock(string);BODY_MODIFIED
7e5763e5ca7c02fc51214633283590000387547e;10 May 2004;org.apache.lucene.store.Lock.obtain(long);BODY_MODIFIED
5bc629692781ffb313571dd869c9c4645719ed53;9 May 2004;org.apache.lucene.store.FSDirectory.makeLock(string);BODY_MODIFIED
5bc629692781ffb313571dd869c9c4645719ed53;9 May 2004;org.apache.lucene.store.Lock.obtain(long);BODY_MODIFIED
5bc629692781ffb313571dd869c9c4645719ed53;9 May 2004;org.apache.lucene.store.RAMDirectory.touchFile(string);BODY_MODIFIED
f0017af92143b46e782e7ccf557d416277f947e3;8 May 2004;org.apache.lucene.search.CachingWrapperFilter.toString();ADDED
f0017af92143b46e782e7ccf557d416277f947e3;8 May 2004;org.apache.lucene.search.FilteredQuery.toString(string);BODY_MODIFIED
f0017af92143b46e782e7ccf557d416277f947e3;8 May 2004;org.apache.lucene.search.QueryFilter.toString();ADDED
f0017af92143b46e782e7ccf557d416277f947e3;8 May 2004;org.apache.lucene.search.SortField.toString();BODY_MODIFIED
8271ebd473498601a95d6d4e32bf5f7091d173b9;8 May 2004;org.apache.lucene.search.TestFilteredQuery.testRangeQuery();ADDED
8271ebd473498601a95d6d4e32bf5f7091d173b9;8 May 2004;org.apache.lucene.search.TestFilteredQuery.testFilteredQuery();BODY_MODIFIED
d9cd661cde5f25d63a295b68be8fcddcb653cee2;7 May 2004;org.apache.lucene.search.FieldSortedHitQueue.getCachedComparator(indexreader, int, sortcomparatorsource, string);BODY_MODIFIED
c8f455b48221f806b7916ef23833a5adce77cd13;22 Apr 2004;org.apache.lucene.search.FieldDocSortedHitQueue.lessThan(object, object);BODY_MODIFIED
c8f455b48221f806b7916ef23833a5adce77cd13;22 Apr 2004;org.apache.lucene.search.MultiFieldSortedHitQueue.fillFields(fielddoc);BODY_MODIFIED
c8f455b48221f806b7916ef23833a5adce77cd13;22 Apr 2004;org.apache.lucene.search.SortField.getFactory();ADDED
c8f455b48221f806b7916ef23833a5adce77cd13;22 Apr 2004;org.apache.lucene.search.SortField.toString();BODY_MODIFIED
c8f455b48221f806b7916ef23833a5adce77cd13;22 Apr 2004;org.apache.lucene.search.TestSort.testCustomSorts();ADDED
c8f455b48221f806b7916ef23833a5adce77cd13;22 Apr 2004;org.apache.lucene.search.TestSort.getIndex(boolean, boolean);BODY_MODIFIED
c8f455b48221f806b7916ef23833a5adce77cd13;22 Apr 2004;org.apache.lucene.search.TestSort.testRemoteCustomSort();ADDED
1646bda9ef3ee82cfef7604ef0d2637e7cc41f52;21 Apr 2004;org.apache.lucene.search.FilteredQuery.toString(string);BODY_MODIFIED
96e1b41127f44119e4140cd46d069e57c8b5f050;21 Apr 2004;org.apache.lucene.search.IndexSearcher.close();BODY_MODIFIED
771fbd4b9d08877b3849057438de22abcb3c6811;21 Apr 2004;org.apache.lucene.index.TestSegmentTermDocs.testSkipTo();ADDED
771fbd4b9d08877b3849057438de22abcb3c6811;21 Apr 2004;org.apache.lucene.index.TestSegmentTermDocs.addDoc(indexwriter, string);ADDED
e51e76636ceb4e31c83022f43a0d3b171f73924e;21 Apr 2004;org.apache.lucene.search.ConjunctionScorer.skipTo(int);BODY_MODIFIED
e51e76636ceb4e31c83022f43a0d3b171f73924e;21 Apr 2004;org.apache.lucene.search.ConjunctionScorer.next();BODY_MODIFIED
e51e76636ceb4e31c83022f43a0d3b171f73924e;21 Apr 2004;org.apache.lucene.search.ConjunctionScorer.doNext();ADDED
e51e76636ceb4e31c83022f43a0d3b171f73924e;21 Apr 2004;org.apache.lucene.search.PhraseScorer.doNext();ADDED
e51e76636ceb4e31c83022f43a0d3b171f73924e;21 Apr 2004;org.apache.lucene.search.PhraseScorer.skipTo(int);BODY_MODIFIED
e51e76636ceb4e31c83022f43a0d3b171f73924e;21 Apr 2004;org.apache.lucene.search.PhraseScorer.next();BODY_MODIFIED
e51e76636ceb4e31c83022f43a0d3b171f73924e;21 Apr 2004;org.apache.lucene.search.TestPhraseQuery.setUp();BODY_MODIFIED
e51e76636ceb4e31c83022f43a0d3b171f73924e;21 Apr 2004;org.apache.lucene.search.TestPhraseQuery.testPhraseQueryInConjunctionScorer();BODY_MODIFIED
e51e76636ceb4e31c83022f43a0d3b171f73924e;21 Apr 2004;org.apache.lucene.search.TestPhraseQuery.tearDown();BODY_MODIFIED
0cc255bf7bdbbd71c6dc7a23236b4d35980272d2;20 Apr 2004;org.apache.lucene.index.IndexWriter.close();BODY_MODIFIED
0cc255bf7bdbbd71c6dc7a23236b4d35980272d2;20 Apr 2004;org.apache.lucene.index.IndexWriter.mergeSegments(int);BODY_MODIFIED
0cc255bf7bdbbd71c6dc7a23236b4d35980272d2;20 Apr 2004;org.apache.lucene.index.SegmentMerger.merge();BODY_MODIFIED
0cc255bf7bdbbd71c6dc7a23236b4d35980272d2;20 Apr 2004;org.apache.lucene.index.SegmentMerger.closeReaders();ADDED
0cc255bf7bdbbd71c6dc7a23236b4d35980272d2;20 Apr 2004;org.apache.lucene.index.DocTest.merge(string, string, string);BODY_MODIFIED
0cc255bf7bdbbd71c6dc7a23236b4d35980272d2;20 Apr 2004;org.apache.lucene.index.TestDoc.merge(boolean, string, string, string);BODY_MODIFIED
0cc255bf7bdbbd71c6dc7a23236b4d35980272d2;20 Apr 2004;org.apache.lucene.index.TestSegmentMerger.testMerge();BODY_MODIFIED
8256d94f567c832be1e6a8b79aadb7e2cfae7a68;20 Apr 2004;org.apache.lucene.index.IndexReader.isLocked(string);BODY_MODIFIED
6a9665f792b3c80bc708274e4e4252a0a4be42c4;20 Apr 2004;org.apache.lucene.document.Document.removeFields(string);ADDED
6a9665f792b3c80bc708274e4e4252a0a4be42c4;20 Apr 2004;org.apache.lucene.document.Document.removeField(string);ADDED
6a9665f792b3c80bc708274e4e4252a0a4be42c4;20 Apr 2004;org.apache.lucene.document.TestDocument.testRemoveForNewDocument();ADDED
