Method;TargetClass;NbAccessedEntities;Distance_TC
android.support.v4.net.TrafficStatsCompat.clearThreadStatsTag();android.support.v4.net.TrafficStatsCompatIcs;0;1.0
android.support.v4.net.TrafficStatsCompat.getThreadStatsTag();android.support.v4.net.TrafficStatsCompatIcs;0;1.0
android.support.v4.net.TrafficStatsCompat.incrementOperationCount(int);android.support.v4.net.TrafficStatsCompatIcs;0;1.0
android.support.v4.net.TrafficStatsCompat.incrementOperationCount(int, int);android.support.v4.net.TrafficStatsCompatIcs;0;1.0
android.support.v4.net.TrafficStatsCompat.setThreadStatsTag(int);android.support.v4.net.TrafficStatsCompatIcs;0;1.0
android.support.v4.net.TrafficStatsCompat.tagSocket(java.net.Socket);android.support.v4.net.TrafficStatsCompatIcs;0;1.0
android.support.v4.net.TrafficStatsCompat.untagSocket(java.net.Socket);android.support.v4.net.TrafficStatsCompatIcs;0;1.0
android.support.v4.app.NotificationCompat.build(android.support.v4.app.NotificationCompat.Builder);android.support.v4.app.NotificationCompatJellybean;5;0.972972972972973
android.support.v4.app.NotificationCompat.build(android.support.v4.app.NotificationCompat.Builder);android.support.v4.app.NotificationCompat;32;0.619718309859155
android.support.v4.app.FragmentManagerImpl.run();android.support.v4.app.FragmentActivity;1;0.9795918367346939
android.support.v4.app.FragmentManagerImpl.run();android.support.v4.app.FragmentManagerImpl;1;1.0
android.support.v4.app.FragmentManagerImpl.popBackStack();android.support.v4.app.FragmentActivity;1;0.9803921568627451
android.support.v4.app.FragmentManagerImpl.popBackStack();android.support.v4.app.FragmentManagerImpl;3;0.989247311827957
android.support.v4.app.FragmentManagerImpl.popBackStackImmediate();android.support.v4.app.FragmentActivity;1;0.9803921568627451
android.support.v4.app.FragmentManagerImpl.popBackStackImmediate();android.support.v4.app.FragmentManagerImpl;3;0.9782608695652174
android.support.v4.app.FragmentManagerImpl.popBackStack(int, java.lang.String);android.support.v4.app.FragmentActivity;1;0.9803921568627451
android.support.v4.app.FragmentManagerImpl.popBackStack(int, java.lang.String);android.support.v4.app.FragmentManagerImpl;3;0.989247311827957
android.support.v4.app.FragmentManagerImpl.popBackStackImmediate(int, java.lang.String);android.support.v4.app.FragmentActivity;1;0.9803921568627451
android.support.v4.app.FragmentManagerImpl.popBackStackImmediate(int, java.lang.String);android.support.v4.app.FragmentManagerImpl;3;0.9782608695652174
android.support.v4.app.FragmentManagerImpl.popBackStack(int, int);android.support.v4.app.FragmentActivity;1;0.9803921568627451
android.support.v4.app.FragmentManagerImpl.popBackStack(int, int);android.support.v4.app.FragmentManagerImpl;3;0.989247311827957
android.support.v4.app.FragmentManagerImpl.popBackStackImmediate(int, int);android.support.v4.app.FragmentActivity;1;0.9803921568627451
android.support.v4.app.FragmentManagerImpl.popBackStackImmediate(int, int);android.support.v4.app.FragmentManagerImpl;3;0.9782608695652174
android.support.v4.app.FragmentManagerImpl.putFragment(android.support.v4.app.Bundle, android.support.v4.app.Fragment, java.lang.String);android.support.v4.app.Fragment;1;0.9895833333333334
android.support.v4.app.FragmentManagerImpl.saveFragmentInstanceState(android.support.v4.app.Fragment);android.support.v4.app.Fragment;3;0.979381443298969
android.support.v4.app.FragmentManagerImpl.saveFragmentInstanceState(android.support.v4.app.Fragment);android.support.v4.app.FragmentManagerImpl;1;0.9891304347826086
android.support.v4.app.FragmentManagerImpl.toString();android.support.v4.util.DebugUtils;0;1.0
android.support.v4.app.FragmentManagerImpl.toString();android.support.v4.app.FragmentManagerImpl;0;1.0
android.support.v4.app.FragmentManagerImpl.dump(java.io.FileDescriptor, java.io.PrintWriter, java.lang.String, java.lang.String[]);android.support.v4.app.Fragment;15;0.9922480620155039
android.support.v4.app.FragmentManagerImpl.dump(java.io.FileDescriptor, java.io.PrintWriter, java.lang.String, java.lang.String[]);android.support.v4.app.BackStackRecord;1;1.0
android.support.v4.app.FragmentManagerImpl.dump(java.io.FileDescriptor, java.io.PrintWriter, java.lang.String, java.lang.String[]);android.support.v4.app.FragmentManagerImpl;13;0.8828828828828829
android.support.v4.app.FragmentManagerImpl.loadAnimation(android.support.v4.app.Fragment, boolean, int, int);android.support.v4.app.Fragment;3;0.9897959183673469
android.support.v4.app.FragmentManagerImpl.loadAnimation(android.support.v4.app.Fragment, boolean, int, int);android.support.v4.app.FragmentManagerImpl;1;1.0
android.support.v4.app.FragmentManagerImpl.performPendingDeferredStart(android.support.v4.app.Fragment);android.support.v4.app.Fragment;5;0.99
android.support.v4.app.FragmentManagerImpl.performPendingDeferredStart(android.support.v4.app.Fragment);android.support.v4.app.FragmentManagerImpl;4;0.967391304347826
android.support.v4.app.FragmentManagerImpl.moveToState(android.support.v4.app.Fragment, boolean, int, int, int);android.support.v4.app.FragmentActivity;1;0.9894736842105263
android.support.v4.app.FragmentManagerImpl.moveToState(android.support.v4.app.Fragment, boolean, int, int, int);android.support.v4.app.Fragment;47;0.6909090909090909
android.support.v4.app.FragmentManagerImpl.moveToState(android.support.v4.app.Fragment, boolean, int, int, int);android.support.v4.app.FragmentManagerImpl;10;0.9384615384615385
android.support.v4.app.FragmentManagerImpl.moveToState(android.support.v4.app.Fragment, boolean, int, int, int);android.support.v4.app.NoSaveStateFrameLayout;0;1.0
android.support.v4.app.FragmentManagerImpl.onAnimationEnd(android.support.v4.app.Animation);android.support.v4.app.Fragment;3;0.979381443298969
android.support.v4.app.FragmentManagerImpl.onAnimationEnd(android.support.v4.app.Animation);android.support.v4.app.FragmentManagerImpl;1;1.0
android.support.v4.app.FragmentManagerImpl.moveToState(boolean, int, int, int);android.support.v4.app.FragmentActivity;1;0.9821428571428571
android.support.v4.app.FragmentManagerImpl.moveToState(boolean, int, int, int);android.support.v4.app.Fragment;6;1.0
android.support.v4.app.FragmentManagerImpl.moveToState(boolean, int, int, int);android.support.v4.app.FragmentManagerImpl;5;0.9578947368421052
android.support.v4.app.FragmentManagerImpl.moveToState(boolean, int, int, int);android.support.v4.app.LoaderManagerImpl;1;0.9795918367346939
android.support.v4.app.FragmentManagerImpl.makeActive(android.support.v4.app.Fragment);android.support.v4.app.Fragment;4;0.9805825242718447
android.support.v4.app.FragmentManagerImpl.makeActive(android.support.v4.app.Fragment);android.support.v4.app.FragmentManagerImpl;2;0.979381443298969
android.support.v4.app.FragmentManagerImpl.makeInactive(android.support.v4.app.Fragment);android.support.v4.app.FragmentActivity;1;0.9814814814814815
android.support.v4.app.FragmentManagerImpl.makeInactive(android.support.v4.app.Fragment);android.support.v4.app.Fragment;5;0.9801980198019802
android.support.v4.app.FragmentManagerImpl.makeInactive(android.support.v4.app.Fragment);android.support.v4.app.FragmentManagerImpl;2;0.9789473684210527
android.support.v4.app.FragmentManagerImpl.addFragment(android.support.v4.app.Fragment, boolean);android.support.v4.app.Fragment;9;0.9504950495049505
android.support.v4.app.FragmentManagerImpl.addFragment(android.support.v4.app.Fragment, boolean);android.support.v4.app.FragmentManagerImpl;4;0.9583333333333334
android.support.v4.app.FragmentManagerImpl.removeFragment(android.support.v4.app.Fragment, int, int);android.support.v4.app.Fragment;10;0.9299999999999999
android.support.v4.app.FragmentManagerImpl.removeFragment(android.support.v4.app.Fragment, int, int);android.support.v4.app.FragmentManagerImpl;3;0.9797979797979798
android.support.v4.app.FragmentManagerImpl.hideFragment(android.support.v4.app.Fragment, int, int);android.support.v4.app.Fragment;8;0.9387755102040817
android.support.v4.app.FragmentManagerImpl.hideFragment(android.support.v4.app.Fragment, int, int);android.support.v4.app.FragmentManagerImpl;2;0.9896907216494846
android.support.v4.app.FragmentManagerImpl.showFragment(android.support.v4.app.Fragment, int, int);android.support.v4.app.Fragment;8;0.9387755102040817
android.support.v4.app.FragmentManagerImpl.showFragment(android.support.v4.app.Fragment, int, int);android.support.v4.app.FragmentManagerImpl;2;0.9896907216494846
android.support.v4.app.FragmentManagerImpl.detachFragment(android.support.v4.app.Fragment, int, int);android.support.v4.app.Fragment;7;0.96
android.support.v4.app.FragmentManagerImpl.detachFragment(android.support.v4.app.Fragment, int, int);android.support.v4.app.FragmentManagerImpl;3;0.9791666666666666
android.support.v4.app.FragmentManagerImpl.attachFragment(android.support.v4.app.Fragment, int, int);android.support.v4.app.Fragment;8;0.9603960396039604
android.support.v4.app.FragmentManagerImpl.attachFragment(android.support.v4.app.Fragment, int, int);android.support.v4.app.FragmentManagerImpl;4;0.96875
android.support.v4.app.FragmentManagerImpl.findFragmentById(int);android.support.v4.app.Fragment;3;0.99
android.support.v4.app.FragmentManagerImpl.findFragmentById(int);android.support.v4.app.FragmentManagerImpl;2;0.978494623655914
android.support.v4.app.FragmentManagerImpl.findFragmentByTag(java.lang.String);android.support.v4.app.Fragment;3;0.9900990099009901
android.support.v4.app.FragmentManagerImpl.findFragmentByTag(java.lang.String);android.support.v4.app.FragmentManagerImpl;2;0.9787234042553191
android.support.v4.app.FragmentManagerImpl.findFragmentByWho(java.lang.String);android.support.v4.app.Fragment;2;0.99
android.support.v4.app.FragmentManagerImpl.findFragmentByWho(java.lang.String);android.support.v4.app.FragmentManagerImpl;1;0.9893617021276596
android.support.v4.app.FragmentManagerImpl.enqueueAction(boolean, java.lang.Runnable);android.support.v4.app.FragmentActivity;1;0.9811320754716981
android.support.v4.app.FragmentManagerImpl.enqueueAction(boolean, java.lang.Runnable);android.support.v4.app.FragmentManagerImpl;3;0.967741935483871
android.support.v4.app.FragmentManagerImpl.execPendingActions();android.support.v4.app.FragmentActivity;1;0.9838709677419355
android.support.v4.app.FragmentManagerImpl.execPendingActions();android.support.v4.app.Fragment;8;1.0
android.support.v4.app.FragmentManagerImpl.execPendingActions();android.support.v4.app.FragmentManagerImpl;7;0.9285714285714286
android.support.v4.app.FragmentManagerImpl.execPendingActions();android.support.v4.app.LoaderManagerImpl;1;0.9818181818181818
android.support.v4.app.FragmentManagerImpl.reportBackStackChanged();android.support.v4.app.FragmentManager;2;1.0
android.support.v4.app.FragmentManagerImpl.reportBackStackChanged();android.support.v4.app.FragmentManagerImpl;1;0.989247311827957
android.support.v4.app.FragmentManagerImpl.popBackStackState(android.support.v4.app.Handler, int, int, java.lang.String);android.support.v4.app.FragmentManager;2;1.0
android.support.v4.app.FragmentManagerImpl.popBackStackState(android.support.v4.app.Handler, int, int, java.lang.String);android.support.v4.app.BackStackRecord;3;0.9538461538461538
android.support.v4.app.FragmentManagerImpl.popBackStackState(android.support.v4.app.Handler, int, int, java.lang.String);android.support.v4.app.FragmentManagerImpl;2;0.9795918367346939
android.support.v4.app.FragmentManagerImpl.retainNonConfig();android.support.v4.app.Fragment;5;0.96
android.support.v4.app.FragmentManagerImpl.retainNonConfig();android.support.v4.app.FragmentManagerImpl;1;0.9896907216494846
android.support.v4.app.FragmentManagerImpl.saveFragmentViewState(android.support.v4.app.Fragment);android.support.v4.app.Fragment;3;0.979381443298969
android.support.v4.app.FragmentManagerImpl.saveFragmentViewState(android.support.v4.app.Fragment);android.support.v4.app.FragmentManagerImpl;1;0.9891304347826086
android.support.v4.app.FragmentManagerImpl.saveFragmentBasicState(android.support.v4.app.Fragment);android.support.v4.app.Fragment;6;0.9591836734693877
android.support.v4.app.FragmentManagerImpl.saveFragmentBasicState(android.support.v4.app.Fragment);android.support.v4.app.FragmentManagerImpl;2;0.9787234042553191
android.support.v4.app.FragmentManagerImpl.saveAllState();android.support.v4.app.Fragment;16;0.9642857142857143
android.support.v4.app.FragmentManagerImpl.saveAllState();android.support.v4.app.FragmentManagerImpl;8;0.9423076923076923
android.support.v4.app.FragmentManagerImpl.saveAllState();android.support.v4.app.FragmentManagerState;3;0.875
android.support.v4.app.FragmentManagerImpl.saveAllState();android.support.v4.app.FragmentState;1;0.9705882352941176
android.support.v4.app.FragmentManagerImpl.restoreAllState(android.support.v4.app.Parcelable, java.util.ArrayList<android.support.v4.app.Fragment>);android.support.v4.app.Fragment;16;0.9473684210526316
android.support.v4.app.FragmentManagerImpl.restoreAllState(android.support.v4.app.Parcelable, java.util.ArrayList<android.support.v4.app.Fragment>);android.support.v4.app.BackStackRecord;1;0.9876543209876543
android.support.v4.app.FragmentManagerImpl.restoreAllState(android.support.v4.app.Parcelable, java.util.ArrayList<android.support.v4.app.Fragment>);android.support.v4.app.BackStackState;1;0.972972972972973
android.support.v4.app.FragmentManagerImpl.restoreAllState(android.support.v4.app.Parcelable, java.util.ArrayList<android.support.v4.app.Fragment>);android.support.v4.app.FragmentManagerState;3;0.8928571428571429
android.support.v4.app.FragmentManagerImpl.restoreAllState(android.support.v4.app.Parcelable, java.util.ArrayList<android.support.v4.app.Fragment>);android.support.v4.app.FragmentManagerImpl;5;0.9636363636363636
android.support.v4.app.FragmentManagerImpl.restoreAllState(android.support.v4.app.Parcelable, java.util.ArrayList<android.support.v4.app.Fragment>);android.support.v4.app.FragmentState;2;0.9459459459459459
android.support.v4.app.FragmentManagerImpl.dispatchCreate();android.support.v4.app.Fragment;2;1.0
