Method;TargetClass;NbAccessedEntities;Distance_TC
org.argouml.moduleloader.ModuleLoader2.isSelectedInternal(java.lang.String);org.argouml.moduleloader.ModuleLoader2;1;0.9411764705882353
org.argouml.moduleloader.ModuleLoader2.isSelectedInternal(java.lang.String);org.argouml.moduleloader.ModuleStatus;1;0.8888888888888888
org.argouml.moduleloader.ModuleLoader2.setSelectedInternal(boolean, java.lang.String);org.argouml.moduleloader.ModuleLoader2;1;0.9411764705882353
org.argouml.moduleloader.ModuleLoader2.setSelectedInternal(boolean, java.lang.String);org.argouml.moduleloader.ModuleStatus;1;0.8888888888888888
org.argouml.moduleloader.ModuleLoader2.doInternal(boolean);org.argouml.moduleloader.ModuleLoader2;3;0.8846153846153846
org.argouml.moduleloader.ModuleLoader2.doInternal(boolean);org.argouml.moduleloader.ModuleStatus;4;0.7647058823529411
org.argouml.moduleloader.ModuleLoader2.isEnabledInternal(java.lang.String);org.argouml.moduleloader.ModuleLoader2;1;0.9411764705882353
org.argouml.moduleloader.ModuleLoader2.isEnabledInternal(java.lang.String);org.argouml.moduleloader.ModuleStatus;1;0.8888888888888888
org.argouml.moduleloader.ModuleLoader2.huntForModulesFromExtensionDir();org.argouml.moduleloader.ModuleLoader2;1;0.9642857142857143
org.argouml.moduleloader.ModuleLoader2.huntForModulesFromExtensionDir();org.argouml.application.api.Argo;0;1.0
org.argouml.moduleloader.ModuleLoader2.huntModulesFromNamedDirectory(java.lang.String);org.argouml.moduleloader.ModuleLoader2;1;1.0
org.argouml.moduleloader.ModuleLoader2.huntModulesFromNamedDirectory(java.lang.String);org.argouml.i18n.Translator;0;1.0
org.argouml.moduleloader.ModuleLoader2.addModule(org.argouml.moduleloader.ModuleInterface);org.argouml.moduleloader.ModuleLoader2;1;0.9565217391304348
org.argouml.moduleloader.ModuleLoader2.addModule(org.argouml.moduleloader.ModuleInterface);org.argouml.moduleloader.ModuleStatus;1;0.9333333333333333
org.argouml.moduleloader.SettingsTabModules.getRowCount();org.argouml.moduleloader.SettingsTabModules;1;0.9583333333333334
org.argouml.moduleloader.SettingsTabModules.getRowCount();org.argouml.application.modules.ModuleLoader;1;0.9615384615384616
org.argouml.moduleloader.SettingsTabModules.getValueAt(int, int);org.argouml.moduleloader.SettingsTabModules;1;0.96
org.argouml.moduleloader.SettingsTabModules.getValueAt(int, int);org.argouml.application.modules.ModuleLoader;1;0.962962962962963
org.argouml.moduleloader.SettingsTabModules.createNotYetLoaded();org.argouml.moduleloader.ModuleLoader2;0;1.0
org.argouml.moduleloader.SettingsTabModules.createNotYetLoaded();org.argouml.moduleloader.SettingsTabModules;3;0.9230769230769231
org.argouml.moduleloader.SettingsTabModules.actionPerformed(java.awt.event.ActionEvent);org.argouml.moduleloader.ModuleLoader2;0;1.0
org.argouml.moduleloader.SettingsTabModules.actionPerformed(java.awt.event.ActionEvent);org.argouml.moduleloader.SettingsTabModules;2;0.9259259259259259
org.argouml.moduleloader.SettingsTabModules.handleSettingsTabSave();org.argouml.moduleloader.ModuleLoader2;1;1.0
org.argouml.moduleloader.SettingsTabModules.handleSettingsTabSave();org.argouml.moduleloader.SettingsTabModules;2;0.9166666666666666
org.argouml.ui.FindDialog.initNameLocTab();org.argouml.ui.FindDialog;9;0.8421052631578947
org.argouml.ui.FindDialog.initNameLocTab();org.argouml.i18n.Translator;0;1.0
org.argouml.ui.FindDialog.initHelpTab();org.argouml.ui.FindDialog;1;0.975
org.argouml.ui.FindDialog.initHelpTab();org.argouml.i18n.Translator;0;1.0
org.argouml.ui.FindDialog.initTypes();org.argouml.ui.PredicateMType;0;1.0
org.argouml.ui.FindDialog.initTypes();org.argouml.ui.FindDialog;1;0.9714285714285714
org.argouml.ui.FindDialog.nameButtons();org.argouml.ui.ArgoDialog;2;0.6666666666666667
org.argouml.ui.FindDialog.doSearch();org.argouml.kernel.ProjectManager;1;0.9782608695652174
org.argouml.ui.FindDialog.doSearch();org.argouml.ui.FindDialog;7;0.875
org.argouml.ui.FindDialog.doSearch();org.argouml.ui.AbstractArgoJPanel;1;0.9696969696969697
org.argouml.ui.FindDialog.doSearch();org.argouml.i18n.Translator;1;1.0
org.argouml.ui.FindDialog.doSearch();org.argouml.uml.cognitive.ChildGenFind;0;1.0
org.argouml.ui.FindDialog.doSearch();org.argouml.ui.TabResults;4;0.9245283018867925
org.argouml.ui.FindDialog.doResetFields(boolean);org.argouml.ui.FindDialog;3;0.9166666666666666
