Method;TargetClass;NbAccessedEntities;Distance_TC
org.apache.html.dom.HTMLAreaElementImpl.getAccessKey();org.apache.html.dom.HTMLElementImpl;1;0.9583333333333334
org.apache.html.dom.HTMLAreaElementImpl.setAccessKey(java.lang.String);org.apache.xerces.dom.ElementImpl;1;0.9772727272727273
org.apache.html.dom.HTMLAreaElementImpl.getAlt();org.apache.html.dom.HTMLElementImpl;1;0.9545454545454546
org.apache.html.dom.HTMLAreaElementImpl.setAlt(java.lang.String);org.apache.xerces.dom.ElementImpl;1;0.9761904761904762
org.apache.html.dom.HTMLAreaElementImpl.getCoords();org.apache.html.dom.HTMLElementImpl;1;0.9545454545454546
org.apache.html.dom.HTMLAreaElementImpl.setCoords(java.lang.String);org.apache.xerces.dom.ElementImpl;1;0.9761904761904762
org.apache.html.dom.HTMLAreaElementImpl.getHref();org.apache.html.dom.HTMLElementImpl;1;0.9545454545454546
org.apache.html.dom.HTMLAreaElementImpl.setHref(java.lang.String);org.apache.xerces.dom.ElementImpl;1;0.9761904761904762
org.apache.html.dom.HTMLAreaElementImpl.getNoHref();org.apache.html.dom.HTMLElementImpl;1;0.9545454545454546
org.apache.html.dom.HTMLAreaElementImpl.setNoHref(boolean);org.apache.html.dom.HTMLElementImpl;1;1.0
org.apache.html.dom.HTMLAreaElementImpl.getShape();org.apache.html.dom.HTMLElementImpl;2;0.9090909090909091
org.apache.html.dom.HTMLAreaElementImpl.setShape(java.lang.String);org.apache.xerces.dom.ElementImpl;1;0.9761904761904762
org.apache.html.dom.HTMLAreaElementImpl.getTabIndex();org.apache.html.dom.HTMLElementImpl;2;0.9090909090909091
org.apache.html.dom.HTMLAreaElementImpl.setTabIndex(int);org.apache.xerces.dom.ElementImpl;1;0.9767441860465116
org.apache.html.dom.HTMLAreaElementImpl.getTarget();org.apache.html.dom.HTMLElementImpl;1;0.9545454545454546
org.apache.html.dom.HTMLAreaElementImpl.setTarget(java.lang.String);org.apache.xerces.dom.ElementImpl;1;0.9761904761904762
org.apache.html.dom.HTMLLegendElementImpl.getAccessKey();org.apache.html.dom.HTMLElementImpl;1;0.9583333333333334
org.apache.html.dom.HTMLLegendElementImpl.setAccessKey(java.lang.String);org.apache.xerces.dom.ElementImpl;1;0.9772727272727273
org.apache.html.dom.HTMLLegendElementImpl.getAlign();org.apache.html.dom.HTMLElementImpl;1;0.9545454545454546
org.apache.html.dom.HTMLLegendElementImpl.setAlign(java.lang.String);org.apache.xerces.dom.ElementImpl;1;0.9761904761904762
org.apache.html.dom.HTMLModElementImpl.getCite();org.apache.html.dom.HTMLElementImpl;1;0.9545454545454546
org.apache.html.dom.HTMLModElementImpl.setCite(java.lang.String);org.apache.xerces.dom.ElementImpl;1;0.9761904761904762
org.apache.html.dom.HTMLModElementImpl.getDateTime();org.apache.html.dom.HTMLElementImpl;1;0.9545454545454546
org.apache.html.dom.HTMLModElementImpl.setDateTime(java.lang.String);org.apache.xerces.dom.ElementImpl;1;0.9761904761904762
org.apache.html.dom.HTMLMapElementImpl.getAreas();org.apache.html.dom.HTMLCollectionImpl;0;1.0
org.apache.html.dom.HTMLMapElementImpl.getAreas();org.apache.html.dom.HTMLMapElementImpl;1;0.8
org.apache.html.dom.HTMLMapElementImpl.getName();org.apache.html.dom.HTMLElementImpl;1;0.9545454545454546
org.apache.html.dom.HTMLMapElementImpl.setName(java.lang.String);org.apache.xerces.dom.ElementImpl;1;0.9761904761904762
org.apache.html.dom.HTMLMapElementImpl.cloneNode(boolean);org.apache.xerces.dom.ElementImpl;1;0.9767441860465116
org.apache.html.dom.HTMLMapElementImpl.cloneNode(boolean);org.apache.html.dom.HTMLMapElementImpl;1;0.8333333333333334
org.apache.html.dom.HTMLHRElementImpl.getAlign();org.apache.html.dom.HTMLElementImpl;2;0.9090909090909091
org.apache.html.dom.HTMLHRElementImpl.setAlign(java.lang.String);org.apache.xerces.dom.ElementImpl;1;0.9761904761904762
org.apache.html.dom.HTMLHRElementImpl.getNoShade();org.apache.html.dom.HTMLElementImpl;1;0.9545454545454546
org.apache.html.dom.HTMLHRElementImpl.setNoShade(boolean);org.apache.html.dom.HTMLElementImpl;1;1.0
org.apache.html.dom.HTMLHRElementImpl.getSize();org.apache.html.dom.HTMLElementImpl;1;0.9545454545454546
org.apache.html.dom.HTMLHRElementImpl.setSize(java.lang.String);org.apache.xerces.dom.ElementImpl;1;0.9761904761904762
org.apache.html.dom.HTMLHRElementImpl.getWidth();org.apache.html.dom.HTMLElementImpl;1;0.9545454545454546
org.apache.html.dom.HTMLHRElementImpl.setWidth(java.lang.String);org.apache.xerces.dom.ElementImpl;1;0.9761904761904762
org.apache.html.dom.HTMLStyleElementImpl.getDisabled();org.apache.html.dom.HTMLElementImpl;1;0.9545454545454546
org.apache.html.dom.HTMLStyleElementImpl.setDisabled(boolean);org.apache.html.dom.HTMLElementImpl;1;1.0
org.apache.html.dom.HTMLStyleElementImpl.getMedia();org.apache.html.dom.HTMLElementImpl;1;0.9545454545454546
org.apache.html.dom.HTMLStyleElementImpl.setMedia(java.lang.String);org.apache.xerces.dom.ElementImpl;1;0.9761904761904762
org.apache.html.dom.HTMLStyleElementImpl.getType();org.apache.html.dom.HTMLElementImpl;1;0.9545454545454546
org.apache.html.dom.HTMLStyleElementImpl.setType(java.lang.String);org.apache.xerces.dom.ElementImpl;1;0.9761904761904762
org.apache.html.dom.HTMLHeadingElementImpl.getAlign();org.apache.html.dom.HTMLElementImpl;1;0.9545454545454546
org.apache.html.dom.HTMLHeadingElementImpl.setAlign(java.lang.String);org.apache.xerces.dom.ElementImpl;1;0.9761904761904762
org.apache.html.dom.HTMLOptionElementImpl.getDefaultSelected();org.apache.html.dom.HTMLElementImpl;1;0.9545454545454546
org.apache.html.dom.HTMLOptionElementImpl.setDefaultSelected(boolean);org.apache.html.dom.HTMLElementImpl;1;1.0
org.apache.html.dom.HTMLOptionElementImpl.getText();org.apache.xerces.dom.ParentNode;1;0.9722222222222222
org.apache.html.dom.HTMLOptionElementImpl.setText(java.lang.String);org.apache.xerces.dom.ParentNode;3;0.9117647058823529
org.apache.html.dom.HTMLOptionElementImpl.getIndex();org.apache.xerces.dom.ChildNode;1;0.9
org.apache.html.dom.HTMLOptionElementImpl.setIndex(int);org.apache.xerces.dom.ChildNode;1;0.9090909090909091
org.apache.html.dom.HTMLOptionElementImpl.getDisabled();org.apache.html.dom.HTMLElementImpl;1;0.9545454545454546
org.apache.html.dom.HTMLOptionElementImpl.setDisabled(boolean);org.apache.html.dom.HTMLElementImpl;1;1.0
