Snapshot;Date;Entity;ChangeType
5237878e5ee527761a5fb79868b09288ca2109dd;1 Aug 2010;org.jhotdraw.draw.DefaultDrawingView;M
3e0e90fd3bb058078ef1fb0e2202ecf7c798db43;1 Aug 2010;org.jhotdraw.draw.DefaultDrawing;M
3e0e90fd3bb058078ef1fb0e2202ecf7c798db43;1 Aug 2010;org.jhotdraw.draw.DefaultDrawingView;M
3e0e90fd3bb058078ef1fb0e2202ecf7c798db43;1 Aug 2010;org.jhotdraw.draw.QuadTreeDrawing;M
be1127257ddbdd8da8c7872abcb18ffed399695e;29 Jul 2010;org.jhotdraw.xml.NanoXMLDOMInput;M
8125bea3b1888723dfdaf0f369ba8e31cab30415;29 Jul 2010;org.jhotdraw.draw.AbstractCompositeFigure;M
8125bea3b1888723dfdaf0f369ba8e31cab30415;29 Jul 2010;org.jhotdraw.draw.Drawing;M
ab7b75ea0657191145b0d0bc4a5e822b9a087e57;29 Jul 2010;org.jhotdraw.draw.action.AbstractDrawingViewAction;M
ab7b75ea0657191145b0d0bc4a5e822b9a087e57;29 Jul 2010;org.jhotdraw.draw.action.DrawingColorChooserHandler;M
ab7b75ea0657191145b0d0bc4a5e822b9a087e57;29 Jul 2010;org.jhotdraw.gui.JComponentPopup;M
cd5caf6ff7a359c4ea4894c8997633f296fb153e;29 Jul 2010;org.jhotdraw.gui.JComponentPopup;M
cd5caf6ff7a359c4ea4894c8997633f296fb153e;29 Jul 2010;org.jhotdraw.gui.plaf.palette.PaletteLookAndFeel;M
cd5caf6ff7a359c4ea4894c8997633f296fb153e;29 Jul 2010;org.jhotdraw.gui.plaf.palette.colorchooser.PaletteColorSlidersChooser;M
3e8d9857759ea5e0278f318fe340541489f5d4c1;28 Jul 2010;org.jhotdraw.app.AppletApplication;M
3e8d9857759ea5e0278f318fe340541489f5d4c1;28 Jul 2010;org.jhotdraw.app.Application;M
3e8d9857759ea5e0278f318fe340541489f5d4c1;28 Jul 2010;org.jhotdraw.app.MDIApplication;M
3e8d9857759ea5e0278f318fe340541489f5d4c1;28 Jul 2010;org.jhotdraw.app.OSXApplication;M
3e8d9857759ea5e0278f318fe340541489f5d4c1;28 Jul 2010;org.jhotdraw.app.SDIApplication;M
6906a4512f1303844c317b70de55ab095fb43de9;28 Jul 2010;org.jhotdraw.app.View;M
6906a4512f1303844c317b70de55ab095fb43de9;28 Jul 2010;org.jhotdraw.draw.AbstractCompositeFigure;M
aad951b4b9718d49806669f7adbe63101f7566da;28 Jul 2010;org.jhotdraw.annotations.NotNull;M
aad951b4b9718d49806669f7adbe63101f7566da;28 Jul 2010;org.jhotdraw.annotations.Nullable;M
aad951b4b9718d49806669f7adbe63101f7566da;28 Jul 2010;org.jhotdraw.app.AbstractApplicationModel;M
aad951b4b9718d49806669f7adbe63101f7566da;28 Jul 2010;org.jhotdraw.app.action.app.AbstractPreferencesAction;M
aad951b4b9718d49806669f7adbe63101f7566da;28 Jul 2010;org.jhotdraw.app.action.app.OpenApplicationAction;M
aad951b4b9718d49806669f7adbe63101f7566da;28 Jul 2010;org.jhotdraw.app.action.app.ReOpenApplicationAction;M
aad951b4b9718d49806669f7adbe63101f7566da;28 Jul 2010;org.jhotdraw.app.action.edit.AbstractSelectionAction;M
aad951b4b9718d49806669f7adbe63101f7566da;28 Jul 2010;org.jhotdraw.color.CMYKGenericColorSpace;M
aad951b4b9718d49806669f7adbe63101f7566da;28 Jul 2010;org.jhotdraw.color.NamedColorSpace;M
aad951b4b9718d49806669f7adbe63101f7566da;28 Jul 2010;org.jhotdraw.draw.event.CompositeFigureEdit;M
aad951b4b9718d49806669f7adbe63101f7566da;28 Jul 2010;org.jhotdraw.geom.Polygon2D;M
aad951b4b9718d49806669f7adbe63101f7566da;28 Jul 2010;org.jhotdraw.gui.JFileURIChooser;M
aad951b4b9718d49806669f7adbe63101f7566da;28 Jul 2010;org.jhotdraw.gui.URIChooser;M
