Snapshot;Date;Entity;ChangeType
0663eb2a1301f7622f017496c5983789b1cbae38;17 Sep 2003;org.apache.log4j.Hierarchy.shutdown(boolean);BODY_MODIFIED
0663eb2a1301f7622f017496c5983789b1cbae38;17 Sep 2003;org.apache.log4j.LogManager.internalConf();ADDED
8a095aaa0b140ee6543c919a6caf16781a9b3117;17 Sep 2003;org.apache.log4j.chainsaw.ChainsawStatusBar.setSelectedLine(int, int, int);BODY_MODIFIED
ff326c5f5cc959a6d4ed63f7e20db55be64686ff;17 Sep 2003;org.apache.log4j.chainsaw.LoggingEventFieldResolver.isField(string);ADDED
ff326c5f5cc959a6d4ed63f7e20db55be64686ff;17 Sep 2003;org.apache.log4j.chainsaw.LoggingEventFieldResolver.getValue(loggingevent, string);BODY_MODIFIED
ff326c5f5cc959a6d4ed63f7e20db55be64686ff;17 Sep 2003;org.apache.log4j.chainsaw.rule.RuleTest.evaluate(string, string);BODY_MODIFIED
ff326c5f5cc959a6d4ed63f7e20db55be64686ff;17 Sep 2003;org.apache.log4j.chainsaw.rule.RuleTest.createEvent(string, string, string);DELETED
ff326c5f5cc959a6d4ed63f7e20db55be64686ff;17 Sep 2003;org.apache.log4j.chainsaw.rule.RuleTest.main(string);BODY_MODIFIED
941587c63ad0eb3898b9fa399c5be422c50fe34b;17 Sep 2003;org.apache.log4j.chainsaw.LoggingEventFieldResolver.getValue(loggingevent, string);BODY_MODIFIED
32176442fb83240cd2b1055ddd4b633a6824f6e8;17 Sep 2003;org.apache.log4j.chainsaw.ChainsawStatusBar.receivedEvent();DELETED
32176442fb83240cd2b1055ddd4b633a6824f6e8;17 Sep 2003;org.apache.log4j.chainsaw.ChainsawStatusBar.setPaused(boolean);BODY_MODIFIED
23d003d10f758c1c2f8521b6c8348feb3776f636;17 Sep 2003;org.apache.log4j.chainsaw.RuleMediator.getInclusionRule();ADDED
23d003d10f758c1c2f8521b6c8348feb3776f636;17 Sep 2003;org.apache.log4j.chainsaw.RuleMediator.setLoggerRule(rule);ADDED
23d003d10f758c1c2f8521b6c8348feb3776f636;17 Sep 2003;org.apache.log4j.chainsaw.RuleMediator.getExclusionRule();ADDED
23d003d10f758c1c2f8521b6c8348feb3776f636;17 Sep 2003;org.apache.log4j.chainsaw.RuleMediator.getRefinementRule();ADDED
