Snapshot;Date;Entity;ChangeType
00e55c9385219410eef3ee4535383e37ea78ec10;7 Jul 2002;org.apache.velocity.runtime.directive.VMProxyArg.setup();BODY_MODIFIED
00e55c9385219410eef3ee4535383e37ea78ec10;7 Jul 2002;org.apache.velocity.runtime.parser.node.ASTMethod.execute(internalcontextadapter, object);BODY_MODIFIED
00e55c9385219410eef3ee4535383e37ea78ec10;7 Jul 2002;org.apache.velocity.runtime.parser.node.ASTMethod.init(internalcontextadapter, object);BODY_MODIFIED
562b241d6adaa9a7494b15588cf3a28c60220b23;14 Mar 2002;org.apache.velocity.util.introspection.ClassMap.makeMethodKey(object, string);BODY_MODIFIED
36a408eff5d97ec1a24d9a796640e1781564a266;28 Feb 2002;org.apache.velocity.runtime.directive.VMProxyArg.setup();BODY_MODIFIED
419ed65a62561e9da11d4fa6ae3aa89c736c87c5;28 Feb 2002;org.apache.velocity.runtime.VelocimacroManager.parseTree(internalcontextadapter);BODY_MODIFIED
419ed65a62561e9da11d4fa6ae3aa89c736c87c5;28 Feb 2002;org.apache.velocity.runtime.VelocimacroManager.addVM(string, string, string, string);BODY_MODIFIED
419ed65a62561e9da11d4fa6ae3aa89c736c87c5;28 Feb 2002;org.apache.velocity.runtime.VelocimacroManager.get(string, string);BODY_MODIFIED
88602f2cf7b77c5a46fd22e5c679a7321dca7f91;28 Feb 2002;org.apache.velocity.runtime.parser.node.ASTStringLiteral.init(internalcontextadapter, object);BODY_MODIFIED
4e2490236e2ef0b7f5c7cd232b51875c0861d117;23 Feb 2002;org.apache.velocity.runtime.parser.node.ASTReference.getRoot();BODY_MODIFIED
f5a1751bea10aeb5da63469faa64da1c18a956ba;23 Feb 2002;org.apache.velocity.runtime.parser.node.ASTStringLiteral.init(internalcontextadapter, object);BODY_MODIFIED
db75bf1153e51a107e527aa2fd28400c52fa2dea;22 Feb 2002;org.apache.velocity.runtime.parser.node.ASTStringLiteral.init(internalcontextadapter, object);BODY_MODIFIED
8152d24bf0f6eb892ea3deffa388563ab000a4f5;22 Feb 2002;org.apache.velocity.runtime.parser.ParserTokenManager.MoreLexicalActions();BODY_MODIFIED
033936552d3b460bb5bb99a0018efc61082702ad;22 Feb 2002;org.apache.velocity.runtime.parser.node.ASTStringLiteral.value(internalcontextadapter);BODY_MODIFIED
033936552d3b460bb5bb99a0018efc61082702ad;22 Feb 2002;org.apache.velocity.runtime.parser.node.ASTStringLiteral.init(internalcontextadapter, object);BODY_MODIFIED
41e6ee9bf2d4812f57f67a210c870521049d34d6;20 Feb 2002;org.apache.velocity.util.StringUtils.stringSubstitution(map, string);ADDED
41e6ee9bf2d4812f57f67a210c870521049d34d6;20 Feb 2002;org.apache.velocity.util.StringUtils.stringSubstitution(hashtable, string);BODY_MODIFIED
41e6ee9bf2d4812f57f67a210c870521049d34d6;20 Feb 2002;org.apache.velocity.util.StringUtils.chop(int, string, string);BODY_MODIFIED
469ce2e06933424e950b049ecaf7a013fe846a00;14 Feb 2002;org.apache.velocity.runtime.parser.node.ASTNotNode.value(internalcontextadapter);ADDED
066ef78f1c4a1ded382f7fde67f20b115a57ac62;12 Feb 2002;org.apache.velocity.runtime.RuntimeInstance.setConfiguration(extendedproperties);BODY_MODIFIED
61cd5846de5b1a396ba57b2e295824219ebac65e;12 Feb 2002;org.apache.velocity.runtime.resource.loader.PathMapAdapter.init(extendedproperties);BODY_MODIFIED
2f1398cf3f9d361db2d4b930cd695e2dbcf043e8;12 Feb 2002;org.apache.velocity.runtime.resource.loader.PathMapAdapter.init(extendedproperties);BODY_MODIFIED
2f1398cf3f9d361db2d4b930cd695e2dbcf043e8;12 Feb 2002;org.apache.velocity.runtime.resource.loader.PathMapAdapter.openStream(string, string);BODY_MODIFIED
2f1398cf3f9d361db2d4b930cd695e2dbcf043e8;12 Feb 2002;org.apache.velocity.runtime.resource.loader.PathMapAdapter.normalizePath(string);BODY_MODIFIED
0ea3d58d5357af749868e22b59ba5886e0851765;12 Feb 2002;org.apache.velocity.runtime.resource.loader.LoaderAdapter.initLoader(extendedproperties);BODY_MODIFIED
2d30686b7e3209168f64d6830a46839484392e1f;12 Feb 2002;org.apache.velocity.runtime.resource.loader.PathMapAdapter.getResourceStream(string);BODY_MODIFIED
46f91be20af3817884e7c65f0057acfa65d7be2b;10 Feb 2002;org.apache.velocity.runtime.resource.loader.DataSourceResourceLoader.readLastModified(resource, string);BODY_MODIFIED
4e2a0f7a004d887aa4f95dfb9972a80124006c2d;6 Feb 2002;org.apache.velocity.servlet.VelocityServlet.loadConfiguration(servletconfig);BODY_MODIFIED
8fbda97e4f035e1af2552e6727a801f3614042bb;19 Jan 2002;org.apache.velocity.runtime.resource.ResourceManagerImpl.initialize(runtimeservices);BODY_MODIFIED
b2d13c42895e7e76f466182228984ebc83337549;19 Jan 2002;org.apache.velocity.runtime.resource.ResourceManagerImpl.getResource(int, string, string);BODY_MODIFIED
2ce9ddad1e15305827afacaa610240445de08e49;3 Jan 2002;org.apache.velocity.app.Velocity.setApplicationAttribute(object, object);ADDED
2ce9ddad1e15305827afacaa610240445de08e49;3 Jan 2002;org.apache.velocity.app.Velocity.setApplicationContext(object);DELETED
