Snapshot;Date;Entity;ChangeType
25c9cfc539564de53d71a022815f3033630ba7c2;28 Feb 2018;com.mxgraph.swing.util.mxMorphing.updateAnimation();BODY_MODIFIED
25c9cfc539564de53d71a022815f3033630ba7c2;28 Feb 2018;com.mxgraph.util.mxRectangle.rotate90();ADDED
25c9cfc539564de53d71a022815f3033630ba7c2;28 Feb 2018;com.mxgraph.view.mxGraph.getConnectionPoint(mxcellstate, mxconnectionconstraint);BODY_MODIFIED
2d60bf9e61040f18975be8a0007f3f1001263c7d;19 Jan 2018;com.mxgraph.analysis.mxGraphGenerator.getSimpleRandomTree(int, mxanalysisgraph);BODY_MODIFIED
2d60bf9e61040f18975be8a0007f3f1001263c7d;19 Jan 2018;com.mxgraph.canvas.mxGraphicsCanvas2D.cloneState(canvasstate);BODY_MODIFIED
2d60bf9e61040f18975be8a0007f3f1001263c7d;19 Jan 2018;com.mxgraph.canvas.mxSvgCanvas.getEmbeddedImageElement(string);BODY_MODIFIED
2d60bf9e61040f18975be8a0007f3f1001263c7d;19 Jan 2018;com.mxgraph.io.mxCodec.encode(object);BODY_MODIFIED
2d60bf9e61040f18975be8a0007f3f1001263c7d;19 Jan 2018;com.mxgraph.io.mxCodec.decode(node, object);BODY_MODIFIED
2d60bf9e61040f18975be8a0007f3f1001263c7d;19 Jan 2018;com.mxgraph.io.mxCodecRegistry.getInstanceForName(string);BODY_MODIFIED
2d60bf9e61040f18975be8a0007f3f1001263c7d;19 Jan 2018;com.mxgraph.io.mxCodecRegistry.getCodec(string);BODY_MODIFIED
2d60bf9e61040f18975be8a0007f3f1001263c7d;19 Jan 2018;com.mxgraph.io.mxCodecRegistry.getClassForName(string);BODY_MODIFIED
2d60bf9e61040f18975be8a0007f3f1001263c7d;19 Jan 2018;com.mxgraph.io.mxGdCodec.decode(mxgraph, string);BODY_MODIFIED
2d60bf9e61040f18975be8a0007f3f1001263c7d;19 Jan 2018;com.mxgraph.io.mxObjectCodec.cloneTemplate(node);BODY_MODIFIED
2d60bf9e61040f18975be8a0007f3f1001263c7d;19 Jan 2018;com.mxgraph.io.mxObjectCodec.writeComplexAttribute(mxcodec, node, object, object, string);BODY_MODIFIED
2d60bf9e61040f18975be8a0007f3f1001263c7d;19 Jan 2018;com.mxgraph.io.mxObjectCodec.getField(object, string);BODY_MODIFIED
2d60bf9e61040f18975be8a0007f3f1001263c7d;19 Jan 2018;com.mxgraph.io.mxObjectCodec.encodeValue(mxcodec, node, object, object, string);BODY_MODIFIED
2d60bf9e61040f18975be8a0007f3f1001263c7d;19 Jan 2018;com.mxgraph.io.mxObjectCodec.setFieldValue(object, object, string);BODY_MODIFIED
2d60bf9e61040f18975be8a0007f3f1001263c7d;19 Jan 2018;com.mxgraph.io.mxObjectCodec.processInclude(mxcodec, node, object);BODY_MODIFIED
2d60bf9e61040f18975be8a0007f3f1001263c7d;19 Jan 2018;com.mxgraph.io.mxObjectCodec.setFieldValueWithAccessor(field, object, object);BODY_MODIFIED
2d60bf9e61040f18975be8a0007f3f1001263c7d;19 Jan 2018;com.mxgraph.io.mxObjectCodec.getFieldValue(object, string);BODY_MODIFIED
2d60bf9e61040f18975be8a0007f3f1001263c7d;19 Jan 2018;com.mxgraph.io.mxObjectCodec.getMethod(class, object, string);BODY_MODIFIED
2d60bf9e61040f18975be8a0007f3f1001263c7d;19 Jan 2018;com.mxgraph.io.mxObjectCodec.decodeAttribute(mxcodec, node, object);BODY_MODIFIED
2d60bf9e61040f18975be8a0007f3f1001263c7d;19 Jan 2018;com.mxgraph.io.mxObjectCodec.getFieldValueWithAccessor(field, object);BODY_MODIFIED
2d60bf9e61040f18975be8a0007f3f1001263c7d;19 Jan 2018;com.mxgraph.io.mxObjectCodec.getAccessor(boolean, field, object);BODY_MODIFIED
2d60bf9e61040f18975be8a0007f3f1001263c7d;19 Jan 2018;com.mxgraph.layout.hierarchical.mxHierarchicalLayout.setLoggerLevel(level);DELETED
2d60bf9e61040f18975be8a0007f3f1001263c7d;19 Jan 2018;com.mxgraph.layout.hierarchical.stage.mxCoordinateAssignment.calculateWidestRank(mxgraph, mxgraphhierarchymodel);BODY_MODIFIED
2d60bf9e61040f18975be8a0007f3f1001263c7d;19 Jan 2018;com.mxgraph.layout.hierarchical.stage.mxCoordinateAssignment.printStatus();BODY_MODIFIED
