Snapshot;Date;Entity;ChangeType
a3b1041393db03d72d32e4d51554941be55e07e3;14 Oct 2008;com.ecyrd.jspwiki.content.PageRenamer.replaceSingleLink(string, string, string, wikicontext);BODY_MODIFIED
a3b1041393db03d72d32e4d51554941be55e07e3;14 Oct 2008;com.ecyrd.jspwiki.content.PageRenamerTest.testReferrerChangeWithBlanks2();ADDED
a3b1041393db03d72d32e4d51554941be55e07e3;14 Oct 2008;com.ecyrd.jspwiki.content.PageRenamerTest.tearDown();BODY_MODIFIED
2a4d28c499f78579ceed2185aa764d8df42e3ad6;14 Oct 2008;com.ecyrd.jspwiki.url.ShortURLConstructor.makeURL(boolean, string, string);BODY_MODIFIED
be1d2e09406a914704f2733a4c756d81ba01ae58;14 Oct 2008;com.ecyrd.jspwiki.auth.AuthorizationManager.initialize(properties, wikiengine);BODY_MODIFIED
be1d2e09406a914704f2733a4c756d81ba01ae58;14 Oct 2008;com.ecyrd.jspwiki.auth.AuthorizationManagerTest.testUserPolicy();ADDED
be1d2e09406a914704f2733a4c756d81ba01ae58;14 Oct 2008;com.ecyrd.jspwiki.auth.AuthorizationManagerTest.setUp();BODY_MODIFIED
dd8c00c9e4e48a6dfbb5ba0bcdb122ab59997e4a;9 Oct 2008;com.ecyrd.jspwiki.auth.user.XMLUserDatabase.findByAttribute(string, string);BODY_MODIFIED
36deb43b04b3c51830ec93c0c32e791ca15eaca1;2 Oct 2008;com.ecyrd.jspwiki.auth.AuthenticationManager.login(string, string, wikisession);BODY_MODIFIED
b1fad1c4032c2f57b38c6841ca13c1bedb07d5c8;21 Sep 2008;com.ecyrd.jspwiki.WikiContext.deepClone();ADDED
b1fad1c4032c2f57b38c6841ca13c1bedb07d5c8;21 Sep 2008;com.ecyrd.jspwiki.tags.TranslateTag.doAfterBody();BODY_MODIFIED
4f4cd1672e152eed929b433463c2395d355a4ec4;21 Sep 2008;com.ecyrd.jspwiki.providers.VersioningFileProviderTest.testGetOldVersionUTF8();BODY_MODIFIED
4779ce552fcd5c935f2c78994f2612e0989d311c;21 Sep 2008;com.ecyrd.jspwiki.htmltowiki.HtmlStringToWikiTranslatorTest.testTable();BODY_MODIFIED
4779ce552fcd5c935f2c78994f2612e0989d311c;21 Sep 2008;com.ecyrd.jspwiki.htmltowiki.HtmlStringToWikiTranslatorTest.testBoldAndItalic();BODY_MODIFIED
8a66ea33940a1328c3957e0c450df0aa475e7c1c;21 Sep 2008;com.ecyrd.jspwiki.providers.BasicAttachmentProviderTest.testPutAttachmentUTF8();BODY_MODIFIED
0c32b3041ad0567cdbdcc1429e6433bc3b4e72a8;17 Sep 2008;com.ecyrd.jspwiki.ReferenceManager.updateReferredBy(string, string);BODY_MODIFIED
0c32b3041ad0567cdbdcc1429e6433bc3b4e72a8;17 Sep 2008;com.ecyrd.jspwiki.content.PageRenamer.getReferencesToChange(wikiengine, wikipage);ADDED
0c32b3041ad0567cdbdcc1429e6433bc3b4e72a8;17 Sep 2008;com.ecyrd.jspwiki.content.PageRenamer.renamePage(boolean, string, string, wikicontext);BODY_MODIFIED
0c32b3041ad0567cdbdcc1429e6433bc3b4e72a8;17 Sep 2008;com.ecyrd.jspwiki.ReferenceManagerTest.testUpdatePluralOnlyRef();BODY_MODIFIED
0c32b3041ad0567cdbdcc1429e6433bc3b4e72a8;17 Sep 2008;com.ecyrd.jspwiki.ReferenceManagerTest.testUpdateBothExist();BODY_MODIFIED
0c32b3041ad0567cdbdcc1429e6433bc3b4e72a8;17 Sep 2008;com.ecyrd.jspwiki.ReferenceManagerTest.testUpdateBothExist2();BODY_MODIFIED
0c32b3041ad0567cdbdcc1429e6433bc3b4e72a8;17 Sep 2008;com.ecyrd.jspwiki.ReferenceManagerTest.testReferrers();BODY_MODIFIED
0c32b3041ad0567cdbdcc1429e6433bc3b4e72a8;17 Sep 2008;com.ecyrd.jspwiki.ReferenceManagerTest.testSelf();ADDED
0c32b3041ad0567cdbdcc1429e6433bc3b4e72a8;17 Sep 2008;com.ecyrd.jspwiki.TestEngine.deleteTestPage(string);BODY_MODIFIED
0c32b3041ad0567cdbdcc1429e6433bc3b4e72a8;17 Sep 2008;com.ecyrd.jspwiki.TestEngine.deleteAttachments(string);BODY_MODIFIED
0c32b3041ad0567cdbdcc1429e6433bc3b4e72a8;17 Sep 2008;com.ecyrd.jspwiki.content.PageRenamerTest.tearDown();BODY_MODIFIED
f9307680e2291d4bae7c97190788d48ee5280a83;5 Sep 2008;com.ecyrd.jspwiki.search.SearchManagerTest.testSimpleSearch3();BODY_MODIFIED
f9307680e2291d4bae7c97190788d48ee5280a83;5 Sep 2008;com.ecyrd.jspwiki.search.SearchManagerTest.testTitleSearch2();BODY_MODIFIED
f9307680e2291d4bae7c97190788d48ee5280a83;5 Sep 2008;com.ecyrd.jspwiki.search.SearchManagerTest.testTitleSearch();BODY_MODIFIED
f9307680e2291d4bae7c97190788d48ee5280a83;5 Sep 2008;com.ecyrd.jspwiki.search.SearchManagerTest.testSimpleSearch2();BODY_MODIFIED
f9307680e2291d4bae7c97190788d48ee5280a83;5 Sep 2008;com.ecyrd.jspwiki.search.SearchManagerTest.testSimpleSearch();BODY_MODIFIED
11340de5a5a7948e8e3c0796be4f0f089e30c974;3 Sep 2008;com.ecyrd.jspwiki.ui.WikiJSPFilter.doFilter(filterchain, servletrequest, servletresponse);BODY_MODIFIED
11340de5a5a7948e8e3c0796be4f0f089e30c974;3 Sep 2008;com.ecyrd.jspwiki.ui.WikiJSPFilter.init(filterconfig);DELETED
99f7971b3d9cf0dec304ca4e58b4af6a4cad1aa9;3 Sep 2008;com.ecyrd.jspwiki.ui.WikiJSPFilter.doFilter(filterchain, servletrequest, servletresponse);BODY_MODIFIED
99f7971b3d9cf0dec304ca4e58b4af6a4cad1aa9;3 Sep 2008;com.ecyrd.jspwiki.ui.WikiJSPFilter.init(filterconfig);ADDED
c0aafc06a6ac5ab994c515c7b36de4dbf5c86186;31 Aug 2008;com.ecyrd.jspwiki.content.PageRenamer.updateReferrers(wikicontext, wikipage, wikipage);BODY_MODIFIED
c0aafc06a6ac5ab994c515c7b36de4dbf5c86186;31 Aug 2008;com.ecyrd.jspwiki.content.PageRenamer.renamePage(boolean, string, string, wikicontext);BODY_MODIFIED
541fb507108a6a45660000866096d3ca7076952c;30 Aug 2008;com.ecyrd.jspwiki.ui.TemplateManager.removeTemplatePart(string);BODY_MODIFIED
b1a00c711436da1d2e57e58973a24c1bcf31335c;30 Aug 2008;com.ecyrd.jspwiki.preferences.Preferences.getLocale(wikicontext);BODY_MODIFIED
ee7bff0e8c97f98c96706cdd10f107ad9a109350;30 Aug 2008;com.ecyrd.jspwiki.preferences.Preferences.getLocale(wikicontext);BODY_MODIFIED
e9c60bf867eb0adc1b4c4c4413b65630b8ea2f2c;30 Aug 2008;com.ecyrd.jspwiki.ReferenceManager.serializeAttrsToDisk(wikipage);BODY_MODIFIED
9c8f01200644bb51ad9b8798d1a17fd025d88743;30 Aug 2008;com.ecyrd.jspwiki.search.SearchManager.getSuggestions(int, string);BODY_MODIFIED
403ce1141889e8a82361f8058afb3479b3081761;24 Aug 2008;com.ecyrd.jspwiki.auth.user.AbstractUserDatabase.generateUid(userdatabase);BODY_MODIFIED
403ce1141889e8a82361f8058afb3479b3081761;24 Aug 2008;com.ecyrd.jspwiki.auth.user.JDBCUserDatabase.save(userprofile);BODY_MODIFIED
403ce1141889e8a82361f8058afb3479b3081761;24 Aug 2008;com.ecyrd.jspwiki.auth.user.JDBCUserDatabase.findByPreparedStatement(object, string);BODY_MODIFIED
403ce1141889e8a82361f8058afb3479b3081761;24 Aug 2008;com.ecyrd.jspwiki.auth.user.XMLUserDatabase.findByAttribute(string, string);BODY_MODIFIED
403ce1141889e8a82361f8058afb3479b3081761;24 Aug 2008;com.ecyrd.jspwiki.auth.user.JDBCUserDatabaseTest.testFindByFullName();BODY_MODIFIED
403ce1141889e8a82361f8058afb3479b3081761;24 Aug 2008;com.ecyrd.jspwiki.auth.user.JDBCUserDatabaseTest.testFindByWikiName();BODY_MODIFIED
403ce1141889e8a82361f8058afb3479b3081761;24 Aug 2008;com.ecyrd.jspwiki.auth.user.JDBCUserDatabaseTest.testFindByEmail();BODY_MODIFIED
403ce1141889e8a82361f8058afb3479b3081761;24 Aug 2008;com.ecyrd.jspwiki.auth.user.JDBCUserDatabaseTest.testFindByLoginName();BODY_MODIFIED
403ce1141889e8a82361f8058afb3479b3081761;24 Aug 2008;com.ecyrd.jspwiki.auth.user.JDBCUserDatabaseTest.testFindByUid();BODY_MODIFIED
403ce1141889e8a82361f8058afb3479b3081761;24 Aug 2008;com.ecyrd.jspwiki.auth.user.UserProfileTest.testSetUid();BODY_MODIFIED
403ce1141889e8a82361f8058afb3479b3081761;24 Aug 2008;com.ecyrd.jspwiki.auth.user.XMLUserDatabaseTest.testFindByEmail();BODY_MODIFIED
403ce1141889e8a82361f8058afb3479b3081761;24 Aug 2008;com.ecyrd.jspwiki.auth.user.XMLUserDatabaseTest.testFindByWikiName();BODY_MODIFIED
403ce1141889e8a82361f8058afb3479b3081761;24 Aug 2008;com.ecyrd.jspwiki.auth.user.XMLUserDatabaseTest.testFindByUid();BODY_MODIFIED
403ce1141889e8a82361f8058afb3479b3081761;24 Aug 2008;com.ecyrd.jspwiki.auth.user.XMLUserDatabaseTest.testFindByFullName();BODY_MODIFIED
403ce1141889e8a82361f8058afb3479b3081761;24 Aug 2008;com.ecyrd.jspwiki.auth.user.XMLUserDatabaseTest.testFindByLoginName();BODY_MODIFIED
f5e273247e7a0bb92d6a52c9d99a2526f3d7c692;24 Aug 2008;com.ecyrd.jspwiki.auth.authorize.GroupManager.validateGroup(group, wikicontext);BODY_MODIFIED
f5e273247e7a0bb92d6a52c9d99a2526f3d7c692;24 Aug 2008;com.ecyrd.jspwiki.ui.InputValidatorTest.setUp();BODY_MODIFIED
2a66111bb295ebb6ec78318639994f674e7c2e5d;23 Aug 2008;com.ecyrd.jspwiki.auth.authorize.GroupManager.validateGroup(group, wikicontext);BODY_MODIFIED
4a1adb38b8d82f26bfa480a0d1a4a5168813ccbf;23 Aug 2008;com.ecyrd.jspwiki.preferences.Preferences.reloadPreferences(pagecontext);BODY_MODIFIED
c5b4c44caa14f8c5ac1b52dfd35191307d9508e4;23 Aug 2008;com.ecyrd.jspwiki.auth.UserManager.validateProfile(userprofile, wikicontext);BODY_MODIFIED
