Snapshot;Date;Entity;ChangeType
751f75986b11336ac8310d73c89003b0b09ecb92;3 Jan 2011;junit.runner.Version.id();BODY_MODIFIED
6ee76dc22e56457cb5904eb6c5c0bf97939880cb;3 Jan 2011;junit.runner.Version.id();BODY_MODIFIED
81b50e9f3bdb66543d07e7349026bd3b447f433e;16 Nov 2010;org.junit.runners.BlockJUnit4ClassRunner.getMethodRules(object);ADDED
81b50e9f3bdb66543d07e7349026bd3b447f433e;16 Nov 2010;org.junit.runners.BlockJUnit4ClassRunner.getTestRules(object);ADDED
81b50e9f3bdb66543d07e7349026bd3b447f433e;16 Nov 2010;org.junit.runners.BlockJUnit4ClassRunner.withMethodRules(frameworkmethod, object, statement);BODY_MODIFIED
81b50e9f3bdb66543d07e7349026bd3b447f433e;16 Nov 2010;org.junit.runners.BlockJUnit4ClassRunner.withTestRules(frameworkmethod, object, statement);BODY_MODIFIED
81b50e9f3bdb66543d07e7349026bd3b447f433e;16 Nov 2010;org.junit.tests.experimental.rules.TestRuleTest.onlyApplyOnceEvenIfImplementsBothInterfaces();ADDED
d21d4edb6a5c55a3d8930dd26762a26cad67d827;9 Nov 2010;org.junit.runners.BlockJUnit4ClassRunner.withTestRules(frameworkmethod, object, statement);ADDED
d21d4edb6a5c55a3d8930dd26762a26cad67d827;9 Nov 2010;org.junit.runners.BlockJUnit4ClassRunner.isMethodRule(class);ADDED
d21d4edb6a5c55a3d8930dd26762a26cad67d827;9 Nov 2010;org.junit.runners.BlockJUnit4ClassRunner.withRules(frameworkmethod, object, statement);BODY_MODIFIED
d21d4edb6a5c55a3d8930dd26762a26cad67d827;9 Nov 2010;org.junit.runners.BlockJUnit4ClassRunner.withMethodRules(frameworkmethod, object, statement);ADDED
d21d4edb6a5c55a3d8930dd26762a26cad67d827;9 Nov 2010;org.junit.runners.BlockJUnit4ClassRunner.isTestRule(class);ADDED
d21d4edb6a5c55a3d8930dd26762a26cad67d827;9 Nov 2010;org.junit.runners.BlockJUnit4ClassRunner.validateRuleField(field, list);BODY_MODIFIED
0815c4d619b177431e64a2485baa0f746f3e2886;25 Oct 2010;org.junit.rules.ExternalResource.apply(frameworkmethod, object, statement);DELETED
0815c4d619b177431e64a2485baa0f746f3e2886;25 Oct 2010;org.junit.runners.BlockJUnit4ClassRunner.validateRuleField(field, list);BODY_MODIFIED
0815c4d619b177431e64a2485baa0f746f3e2886;25 Oct 2010;org.junit.runners.BlockJUnit4ClassRunner.withRules(frameworkmethod, object, statement);BODY_MODIFIED
0815c4d619b177431e64a2485baa0f746f3e2886;25 Oct 2010;org.junit.runners.ParentRunner.withClassRules(statement);BODY_MODIFIED
0815c4d619b177431e64a2485baa0f746f3e2886;25 Oct 2010;org.junit.runners.ParentRunner.getClassRule(frameworkfield);BODY_MODIFIED
0815c4d619b177431e64a2485baa0f746f3e2886;25 Oct 2010;org.junit.runners.ParentRunner.classRules();BODY_MODIFIED
0815c4d619b177431e64a2485baa0f746f3e2886;25 Oct 2010;org.junit.runners.model.TestClass.getAnnotatedFieldValues(class, class, object);BODY_MODIFIED
0815c4d619b177431e64a2485baa0f746f3e2886;25 Oct 2010;org.junit.tests.experimental.rules.RulesTest.useCustomMethodRule();ADDED
c7895eb8695d79b14ff2f903fbb2fab3e52e4c43;25 Oct 2010;org.junit.experimental.categories.Categories.canHaveCategorizedChildren(description);BODY_MODIFIED
c7895eb8695d79b14ff2f903fbb2fab3e52e4c43;25 Oct 2010;org.junit.runners.ParentRunner.withClassRules(statement);BODY_MODIFIED
c7895eb8695d79b14ff2f903fbb2fab3e52e4c43;25 Oct 2010;org.junit.runners.ParentRunner.getClassRule(frameworkfield);BODY_MODIFIED
c7895eb8695d79b14ff2f903fbb2fab3e52e4c43;25 Oct 2010;org.junit.runners.ParentRunner.classRules();BODY_MODIFIED
c7895eb8695d79b14ff2f903fbb2fab3e52e4c43;25 Oct 2010;org.junit.tests.experimental.rules.ClassRulesTest.customRuleIsAppliedOnce();ADDED
403f761da11bdaf9a03538139e7ae51601c36b0e;12 Oct 2010;org.junit.experimental.categories.Categories.assertNoDescendantsHaveCategoryAnnotations(description);ADDED
403f761da11bdaf9a03538139e7ae51601c36b0e;12 Oct 2010;org.junit.experimental.categories.Categories.canHaveCategorizedChildren(description);ADDED
403f761da11bdaf9a03538139e7ae51601c36b0e;12 Oct 2010;org.junit.experimental.categories.Categories.parentDescription(description);BODY_MODIFIED
403f761da11bdaf9a03538139e7ae51601c36b0e;12 Oct 2010;org.junit.experimental.categories.Categories.isParameterizedClass(description);DELETED
403f761da11bdaf9a03538139e7ae51601c36b0e;12 Oct 2010;org.junit.experimental.categories.Categories.assertNoCategorizedDescendentsOfUncategorizeableParents(description);ADDED
403f761da11bdaf9a03538139e7ae51601c36b0e;12 Oct 2010;org.junit.experimental.categories.Categories.shouldRun(description);BODY_MODIFIED
403f761da11bdaf9a03538139e7ae51601c36b0e;12 Oct 2010;org.junit.experimental.categories.Categories.directCategories(description);BODY_MODIFIED
403f761da11bdaf9a03538139e7ae51601c36b0e;12 Oct 2010;org.junit.tests.CategoriesAndParameterizedTest.shouldSucceedWithAParameterizedClassSomewhere();BODY_MODIFIED
403f761da11bdaf9a03538139e7ae51601c36b0e;12 Oct 2010;org.junit.tests.CategoriesAndParameterizedTest.shouldFailWithMethodLevelCategoryAnnotationSwapped();ADDED
403f761da11bdaf9a03538139e7ae51601c36b0e;12 Oct 2010;org.junit.tests.CategoriesAndParameterizedTest.shouldFailWith();DELETED
403f761da11bdaf9a03538139e7ae51601c36b0e;12 Oct 2010;org.junit.tests.CategoriesAndParameterizedTest.shouldFailWithMethodLevelCategoryAnnotation();ADDED
b3831d600d2d893ec6250ee930188cc373d81ee5;30 Aug 2010;org.junit.experimental.categories.Categories.shouldRun(description);BODY_MODIFIED
b3831d600d2d893ec6250ee930188cc373d81ee5;30 Aug 2010;org.junit.experimental.categories.Categories.isParameterizedClass(description);ADDED
568e29c871ea144e12f273dc7e12c949a5a507da;19 May 2010;org.junit.rules.ExternalResource.statement(statement);ADDED
568e29c871ea144e12f273dc7e12c949a5a507da;19 May 2010;org.junit.rules.ExternalResource.apply(statement, testclass);ADDED
568e29c871ea144e12f273dc7e12c949a5a507da;19 May 2010;org.junit.rules.ExternalResource.apply(frameworkmethod, object, statement);BODY_MODIFIED
568e29c871ea144e12f273dc7e12c949a5a507da;19 May 2010;org.junit.runners.BlockJUnit4ClassRunner.createRule(frameworkfield, object);DELETED
568e29c871ea144e12f273dc7e12c949a5a507da;19 May 2010;org.junit.runners.BlockJUnit4ClassRunner.validateRuleField(field, list);BODY_MODIFIED
568e29c871ea144e12f273dc7e12c949a5a507da;19 May 2010;org.junit.runners.BlockJUnit4ClassRunner.rules(object);DELETED
568e29c871ea144e12f273dc7e12c949a5a507da;19 May 2010;org.junit.runners.ParentRunner.withClassRules(statement);BODY_MODIFIED
568e29c871ea144e12f273dc7e12c949a5a507da;19 May 2010;org.junit.runners.ParentRunner.getClassRule(frameworkfield);BODY_MODIFIED
568e29c871ea144e12f273dc7e12c949a5a507da;19 May 2010;org.junit.runners.ParentRunner.classRuleFields();ADDED
568e29c871ea144e12f273dc7e12c949a5a507da;19 May 2010;org.junit.runners.ParentRunner.classRules();BODY_MODIFIED
568e29c871ea144e12f273dc7e12c949a5a507da;19 May 2010;org.junit.runners.ParentRunner.ruleFields();DELETED
568e29c871ea144e12f273dc7e12c949a5a507da;19 May 2010;org.junit.tests.experimental.rules.ClassRulesTest.secondTest();BODY_MODIFIED
568e29c871ea144e12f273dc7e12c949a5a507da;19 May 2010;org.junit.tests.experimental.rules.ClassRulesTest.ruleIsAppliedOnce();BODY_MODIFIED
