Snapshot;Date;Entity;ChangeType
4199be83fdc93982144db3b4dc0668d0682dd458;26 Oct 2011;com.mongodb.DBApiLayer.createIndex(dbencoder, dbobject, dbobject);BODY_MODIFIED
385a892c34e6412f667c49ddf4c1435253a5701e;25 Oct 2011;com.mongodb.DBCollectionTest.testEnsureNestedIndex();ADDED
3a8549e88f21e4fa7e0e11d4f2b396259ea403a5;24 Oct 2011;com.mongodb.WriteConcern.getCommand();BODY_MODIFIED
3a8549e88f21e4fa7e0e11d4f2b396259ea403a5;24 Oct 2011;com.mongodb.ReplSetTest.main(string);BODY_MODIFIED
e8e2bc8962816572740a08e51307d10b3003ef38;24 Oct 2011;com.mongodb.WriteConcern.getCommand();BODY_MODIFIED
f9180ed4a26256193a458d2e6b3caaff4678b8c5;24 Oct 2011;com.mongodb.ReadPreference.withTags(map);DELETED
f9180ed4a26256193a458d2e6b3caaff4678b8c5;24 Oct 2011;com.mongodb.ReadPreference.withTags(dbobject);DELETED
dec0cab53584b1e011f3d90f64b5fd238cd72dce;24 Oct 2011;com.mongodb.DBCollection.ensureIndex(boolean, dbobject, string);BODY_MODIFIED
dec0cab53584b1e011f3d90f64b5fd238cd72dce;24 Oct 2011;com.mongodb.Mongo.toString();BODY_MODIFIED
dec0cab53584b1e011f3d90f64b5fd238cd72dce;24 Oct 2011;com.mongodb.MongoURI._parseBoolean(string);BODY_MODIFIED
dec0cab53584b1e011f3d90f64b5fd238cd72dce;24 Oct 2011;com.mongodb.ReplicaSetStatus.toJSON();BODY_MODIFIED
dec0cab53584b1e011f3d90f64b5fd238cd72dce;24 Oct 2011;com.mongodb.ReplicaSetStatus.updateAll();BODY_MODIFIED
e177d745d6e0a76a7b03e09147035075a0e77494;24 Oct 2011;com.mongodb.gridfs.GridFSFile.validate();BODY_MODIFIED
defc4a7897d1b83eb7fab1e38a05cdbcbade880b;24 Oct 2011;com.mongodb.DBApiLayer.createIndex(dbencoder, dbobject, dbobject);BODY_MODIFIED
9701ea6017f52c085efb8b740580660b5feb96bc;24 Oct 2011;com.mongodb.LazyDBObject.markAsPartialObject();BODY_MODIFIED
9701ea6017f52c085efb8b740580660b5feb96bc;24 Oct 2011;com.mongodb.LazyDBObject.isPartialObject();BODY_MODIFIED
9701ea6017f52c085efb8b740580660b5feb96bc;24 Oct 2011;org.bson.LazyBSONCallback.createArray(byte, int);ADDED
9701ea6017f52c085efb8b740580660b5feb96bc;24 Oct 2011;org.bson.LazyBSONList.next();BODY_MODIFIED
9701ea6017f52c085efb8b740580660b5feb96bc;24 Oct 2011;org.bson.LazyBSONObject.readBinary(int);BODY_MODIFIED
9701ea6017f52c085efb8b740580660b5feb96bc;24 Oct 2011;org.bson.LazyBSONObject.getElementValue(elementrecord);BODY_MODIFIED
9701ea6017f52c085efb8b740580660b5feb96bc;24 Oct 2011;com.mongodb.JavaClientTest.testMapReduceInlineSecondary();BODY_MODIFIED
9701ea6017f52c085efb8b740580660b5feb96bc;24 Oct 2011;com.mongodb.LazyDBObjectTest.testLazyReadAllTypes();BODY_MODIFIED
9701ea6017f52c085efb8b740580660b5feb96bc;24 Oct 2011;com.mongodb.LazyDBObjectTest.testNormalReadAllTypes();BODY_MODIFIED
960e825bbac0feb64e0632fe23ab4c68633dbcdc;23 Oct 2011;com.mongodb.ReplicaSetStatus.getASecondary(dbobject);BODY_MODIFIED
960e825bbac0feb64e0632fe23ab4c68633dbcdc;23 Oct 2011;com.mongodb.ReplicaSetStatus.getASecondary(string, string);BODY_MODIFIED
c77d478406bf0a45a400f4a2e80eeebb0ffe18f5;23 Oct 2011;com.mongodb.ReplicaSetStatus.getASecondary(dbobject);BODY_MODIFIED
c77d478406bf0a45a400f4a2e80eeebb0ffe18f5;23 Oct 2011;com.mongodb.ReplicaSetStatus.getASecondary(string, string);BODY_MODIFIED
c77d478406bf0a45a400f4a2e80eeebb0ffe18f5;23 Oct 2011;com.mongodb.JavaClientTest.testMapReduceInlineSecondary();BODY_MODIFIED
9573f647b09312ca4794195b1928478819e76658;22 Oct 2011;com.mongodb.CommandResult.getServerUsed();ADDED
9573f647b09312ca4794195b1928478819e76658;22 Oct 2011;com.mongodb.DB.command(dbobject, int);BODY_MODIFIED
9573f647b09312ca4794195b1928478819e76658;22 Oct 2011;com.mongodb.DB.command(dbobject, int, readpreference);ADDED
9573f647b09312ca4794195b1928478819e76658;22 Oct 2011;com.mongodb.DBCollection.mapReduce(mapreducecommand);BODY_MODIFIED
9573f647b09312ca4794195b1928478819e76658;22 Oct 2011;com.mongodb.DBPort.runCommand(dbobject, string);BODY_MODIFIED
9573f647b09312ca4794195b1928478819e76658;22 Oct 2011;com.mongodb.DBPort.serverAddress();ADDED
9573f647b09312ca4794195b1928478819e76658;22 Oct 2011;com.mongodb.DBPort.findOne(db, dbobject, string);BODY_MODIFIED
9573f647b09312ca4794195b1928478819e76658;22 Oct 2011;com.mongodb.DBPort.findOne(dbobject, string);BODY_MODIFIED
9573f647b09312ca4794195b1928478819e76658;22 Oct 2011;com.mongodb.DBPort.convertToCR(response);ADDED
9573f647b09312ca4794195b1928478819e76658;22 Oct 2011;com.mongodb.DBPort.runCommand(db, dbobject);BODY_MODIFIED
9573f647b09312ca4794195b1928478819e76658;22 Oct 2011;com.mongodb.DBTCPConnector.say(db, outmessage, serveraddress, writeconcern);BODY_MODIFIED
9573f647b09312ca4794195b1928478819e76658;22 Oct 2011;com.mongodb.DefaultDBCallback._create(list);BODY_MODIFIED
9573f647b09312ca4794195b1928478819e76658;22 Oct 2011;com.mongodb.MapReduceOutput.getRaw();BODY_MODIFIED
9573f647b09312ca4794195b1928478819e76658;22 Oct 2011;com.mongodb.MapReduceOutput.getServerUsed();ADDED
9573f647b09312ca4794195b1928478819e76658;22 Oct 2011;com.mongodb.MapReduceOutput.getCommandResult();ADDED
9573f647b09312ca4794195b1928478819e76658;22 Oct 2011;com.mongodb.MapReduceOutput.toString();BODY_MODIFIED
9573f647b09312ca4794195b1928478819e76658;22 Oct 2011;com.mongodb.OutMessage.setReadPreference(readpreference);DELETED
9573f647b09312ca4794195b1928478819e76658;22 Oct 2011;com.mongodb.OutMessage.query(dbencoder, dbobject, dbobject, int, int, int, mongo, readpreference, string);BODY_MODIFIED
9573f647b09312ca4794195b1928478819e76658;22 Oct 2011;com.mongodb.ReplicaSetStatus.toJSON();ADDED
9573f647b09312ca4794195b1928478819e76658;22 Oct 2011;com.mongodb.ReplicaSetStatus.toString();ADDED
9573f647b09312ca4794195b1928478819e76658;22 Oct 2011;com.mongodb.ReplicaSetStatus.isMaster(serveraddress);ADDED
9573f647b09312ca4794195b1928478819e76658;22 Oct 2011;com.mongodb.Response.serverUsed();ADDED
9573f647b09312ca4794195b1928478819e76658;22 Oct 2011;com.mongodb.JavaClientTest.testMapReduceInline();BODY_MODIFIED
9573f647b09312ca4794195b1928478819e76658;22 Oct 2011;com.mongodb.JavaClientTest.testMapReduceInlineSecondary();ADDED
40743ca51f8ce1997e9cb49e7bf0271274a0bdb6;20 Oct 2011;com.mongodb.DBCollection.findOne(dbobject, object);BODY_MODIFIED
40743ca51f8ce1997e9cb49e7bf0271274a0bdb6;20 Oct 2011;com.mongodb.DBCollection.findOne(dbobject, readpreference);DELETED
40743ca51f8ce1997e9cb49e7bf0271274a0bdb6;20 Oct 2011;com.mongodb.DBCollection.find(dbobject, dbobject);BODY_MODIFIED
40743ca51f8ce1997e9cb49e7bf0271274a0bdb6;20 Oct 2011;com.mongodb.DBCollection.find(dbobject, dbobject, readpreference);DELETED
40743ca51f8ce1997e9cb49e7bf0271274a0bdb6;20 Oct 2011;com.mongodb.DBCollection.findOne(dbobject, object, readpreference);DELETED
40743ca51f8ce1997e9cb49e7bf0271274a0bdb6;20 Oct 2011;com.mongodb.DBCollection.find();BODY_MODIFIED
40743ca51f8ce1997e9cb49e7bf0271274a0bdb6;20 Oct 2011;com.mongodb.DBCollection.find(dbobject);BODY_MODIFIED
40743ca51f8ce1997e9cb49e7bf0271274a0bdb6;20 Oct 2011;com.mongodb.DBCollection.find(dbobject, readpreference);DELETED
40743ca51f8ce1997e9cb49e7bf0271274a0bdb6;20 Oct 2011;com.mongodb.DBCollection.findOne(object);BODY_MODIFIED
40743ca51f8ce1997e9cb49e7bf0271274a0bdb6;20 Oct 2011;com.mongodb.DBCollection.find(readpreference);DELETED
40743ca51f8ce1997e9cb49e7bf0271274a0bdb6;20 Oct 2011;com.mongodb.DBCollection.findOne(object, readpreference);DELETED
40743ca51f8ce1997e9cb49e7bf0271274a0bdb6;20 Oct 2011;com.mongodb.DBCollection.findOne(readpreference);DELETED
40743ca51f8ce1997e9cb49e7bf0271274a0bdb6;20 Oct 2011;com.mongodb.ReplSetTest.main(string);BODY_MODIFIED
c715a138eca38234d08d1d2f730ecec45e4de325;19 Oct 2011;com.mongodb.DBApiLayer.hasNext();BODY_MODIFIED
c715a138eca38234d08d1d2f730ecec45e4de325;19 Oct 2011;com.mongodb.DBCursor.toString();BODY_MODIFIED
c715a138eca38234d08d1d2f730ecec45e4de325;19 Oct 2011;com.mongodb.DBCursor._next();BODY_MODIFIED
c715a138eca38234d08d1d2f730ecec45e4de325;19 Oct 2011;com.mongodb.Response.hasGetMore(int);BODY_MODIFIED
c715a138eca38234d08d1d2f730ecec45e4de325;19 Oct 2011;com.mongodb.DBCursorTest.testTailable();BODY_MODIFIED
c715a138eca38234d08d1d2f730ecec45e4de325;19 Oct 2011;com.mongodb.DBCursorTest.testTailableAwait();ADDED
d99cd45b002987eabf75070eae18ac6fdec77ede;19 Oct 2011;com.mongodb.DBCollectionTest.mongodIsVersion20Plus();BODY_MODIFIED
d7bb040befc1e4fae65d03a81ac62606ac7f72f2;19 Oct 2011;com.mongodb.DBCollectionTest.mongodIsVersion20Plus();BODY_MODIFIED
d5fd8989acf216fd781f7575da1a6d28d1d0874c;19 Oct 2011;com.mongodb.DBCollectionTest.mongodIsVersion20Plus();BODY_MODIFIED
8d5f99b6cd8652118d71b1a78dfbb6981f06e3e0;19 Oct 2011;com.mongodb.DBCollectionTest.mongodIsVersion20Plus();ADDED
