ClassName;NMD+NAD;nmdNadBound;LCOM5;lcom5Bound;ControllerClass;nbDataClass
com.hp.hpl.jena.Jena;10.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.JenaRuntime;14.0;34.0;1.0833333308498065;2.8571428571428568;0;0
com.hp.hpl.jena.assembler.Assembler;21.0;34.0;1.25;2.8571428571428568;0;0
com.hp.hpl.jena.assembler.AssemblerHelp;24.0;34.0;1.0476190476190477;2.8571428571428568;0;0
com.hp.hpl.jena.assembler.BadObjectException;5.0;34.0;1.5;2.8571428571428568;0;0
com.hp.hpl.jena.assembler.Content;6.0;34.0;1.0;2.8571428571428568;0;0
com.hp.hpl.jena.assembler.ImportManager;10.0;34.0;1.1666666666666667;2.8571428571428568;1;0
com.hp.hpl.jena.assembler.JA;80.0;34.0;1.2;2.8571428571428568;0;0
com.hp.hpl.jena.assembler.Mode;9.0;34.0;2.0;2.8571428571428568;0;0
com.hp.hpl.jena.assembler.ModelExpansion;21.0;34.0;1.0555555555555556;2.8571428571428568;0;0
com.hp.hpl.jena.assembler.RuleSet;9.0;34.0;1.25;2.8571428571428568;0;0
com.hp.hpl.jena.assembler.assemblers.AssemblerBase;20.0;34.0;1.0625;2.8571428571428568;0;0
com.hp.hpl.jena.assembler.assemblers.AssemblerGroup;6.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.assembler.assemblers.ContentAssembler;21.0;34.0;1.0666666666666667;2.8571428571428568;0;0
com.hp.hpl.jena.assembler.assemblers.DefaultModelAssembler;3.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.assembler.assemblers.DocumentManagerAssembler;5.0;34.0;0.0;2.8571428571428568;1;0
com.hp.hpl.jena.assembler.assemblers.FileManagerAssembler;3.0;34.0;0.0;2.8571428571428568;1;0
com.hp.hpl.jena.assembler.assemblers.FileModelAssembler;8.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.assembler.assemblers.InfModelAssembler;5.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.assembler.assemblers.LocationMapperAssembler;2.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.assembler.assemblers.MemoryModelAssembler;3.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.assembler.assemblers.ModelAssembler;17.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.assembler.assemblers.ModelSourceAssembler;2.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.assembler.assemblers.NamedModelAssembler;2.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.assembler.assemblers.OntModelAssembler;6.0;34.0;1.3333333333333333;2.8571428571428568;0;0
com.hp.hpl.jena.assembler.assemblers.OntModelSpecAssembler;11.0;34.0;1.125;2.8571428571428568;0;0
com.hp.hpl.jena.assembler.assemblers.PrefixMappingAssembler;5.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.assembler.assemblers.ReasonerFactoryAssembler;14.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.assembler.assemblers.RuleSetAssembler;7.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.assembler.assemblers.UnionModelAssembler;5.0;34.0;1.5;2.8571428571428568;0;0
com.hp.hpl.jena.assembler.exceptions.AmbiguousSpecificTypeException;5.0;34.0;1.5;2.8571428571428568;0;0
com.hp.hpl.jena.assembler.exceptions.AssemblerException;13.0;34.0;1.125;2.8571428571428568;0;0
com.hp.hpl.jena.assembler.exceptions.CannotConstructException;10.0;34.0;1.2;2.8571428571428568;0;0
com.hp.hpl.jena.assembler.exceptions.CannotHaveRulesException;2.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.assembler.exceptions.CannotLoadClassException;4.0;34.0;2.0;2.8571428571428568;0;0
com.hp.hpl.jena.assembler.exceptions.NoImplementationException;6.0;34.0;1.5;2.8571428571428568;0;0
com.hp.hpl.jena.assembler.exceptions.NoSpecificTypeException;1.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.assembler.exceptions.NotExpectedTypeException;5.0;34.0;2.0;2.8571428571428568;0;0
com.hp.hpl.jena.assembler.exceptions.NotUniqueException;4.0;34.0;2.0;2.8571428571428568;0;0
com.hp.hpl.jena.assembler.exceptions.PropertyRequiredException;4.0;34.0;2.0;2.8571428571428568;0;0
com.hp.hpl.jena.assembler.exceptions.ReasonerClashException;1.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.assembler.exceptions.TransactionAbortedException;2.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.assembler.exceptions.UnknownEncodingException;4.0;34.0;2.0;2.8571428571428568;0;0
com.hp.hpl.jena.assembler.exceptions.UnknownReasonerException;4.0;34.0;2.0;2.8571428571428568;0;0
com.hp.hpl.jena.assembler.exceptions.UnknownStyleException;4.0;34.0;2.0;2.8571428571428568;0;0
com.hp.hpl.jena.datatypes.BaseDatatype;17.0;34.0;1.0714285714285714;2.8571428571428568;0;0
com.hp.hpl.jena.datatypes.DatatypeFormatException;3.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.datatypes.RDFDatatype;12.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.datatypes.TypeMapper;12.0;34.0;1.095238093818937;2.8571428571428568;0;0
com.hp.hpl.jena.datatypes.xsd.AbstractDateTime;37.0;34.0;1.0625;2.8571428571428568;0;0
com.hp.hpl.jena.datatypes.xsd.IllegalDateTimeFieldException;1.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.datatypes.xsd.XSDDatatype;67.0;34.0;1.0543209876244266;2.8571428571428568;0;0
com.hp.hpl.jena.datatypes.xsd.XSDDateTime;22.0;34.0;1.0769230769230769;2.8571428571428568;0;0
com.hp.hpl.jena.datatypes.xsd.XSDDuration;16.0;34.0;1.0833333333333333;2.8571428571428568;0;0
com.hp.hpl.jena.datatypes.xsd.XSDbase64Binary;5.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.datatypes.xsd.XSDhexBinary;5.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.datatypes.xsd.impl.XMLLiteralType;5.0;34.0;1.5;2.8571428571428568;0;0
com.hp.hpl.jena.datatypes.xsd.impl.XSDAbstractDateTimeType;37.0;34.0;1.0666666666666667;2.8571428571428568;0;0
com.hp.hpl.jena.datatypes.xsd.impl.XSDBaseNumericType;13.0;34.0;1.1428571428571428;2.8571428571428568;0;0
com.hp.hpl.jena.datatypes.xsd.impl.XSDBaseStringType;3.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.datatypes.xsd.impl.XSDByteType;2.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.datatypes.xsd.impl.XSDDateTimeType;2.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.datatypes.xsd.impl.XSDDateType;2.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.datatypes.xsd.impl.XSDDayType;3.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.datatypes.xsd.impl.XSDDouble;7.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.datatypes.xsd.impl.XSDDurationType;2.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.datatypes.xsd.impl.XSDFloat;7.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.datatypes.xsd.impl.XSDGenericType;1.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.datatypes.xsd.impl.XSDMonthDayType;3.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.datatypes.xsd.impl.XSDMonthType;2.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.datatypes.xsd.impl.XSDPlainType;3.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.datatypes.xsd.impl.XSDTimeType;3.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.datatypes.xsd.impl.XSDYearMonthType;2.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.datatypes.xsd.impl.XSDYearType;2.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.enhanced.AlreadyLinkedViewException;1.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.enhanced.BuiltinPersonalities;4.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.enhanced.EnhGraph;13.0;34.0;1.1428571428571428;2.8571428571428568;0;0
com.hp.hpl.jena.enhanced.EnhNode;18.0;34.0;1.0714285714285714;2.8571428571428568;0;0
com.hp.hpl.jena.enhanced.GraphPersonality;1.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.enhanced.Implementation;3.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.enhanced.NodePersonality;1.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.enhanced.Personality;9.0;34.0;1.2;2.8571428571428568;0;0
com.hp.hpl.jena.enhanced.PersonalityConfigException;2.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.enhanced.Polymorphic;12.0;34.0;1.25;2.8571428571428568;0;0
com.hp.hpl.jena.enhanced.UnsupportedPolymorphismException;7.0;34.0;1.3333333333333333;2.8571428571428568;0;0
com.hp.hpl.jena.graph.BulkUpdateHandler;12.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.graph.Capabilities;9.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.graph.Factory;6.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.graph.FrontsNode;1.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.graph.FrontsTriple;1.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.graph.GetTriple;1.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.graph.Graph;20.0;34.0;1.0555555555555556;2.8571428571428568;0;0
com.hp.hpl.jena.graph.GraphAdd;1.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.graph.GraphEventManager;5.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.graph.GraphEvents;13.0;34.0;1.0999999990065892;2.8571428571428568;0;0
com.hp.hpl.jena.graph.GraphExtract;4.0;34.0;2.0;2.8571428571428568;0;0
com.hp.hpl.jena.graph.GraphListener;11.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.graph.GraphMaker;12.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.graph.GraphStatisticsHandler;1.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.graph.GraphUtil;2.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.graph.Node;54.0;34.0;1.0194444444030524;2.8571428571428568;0;0
com.hp.hpl.jena.graph.NodeVisitor;5.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.graph.Node_ANY;6.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.graph.Node_Blank;5.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.graph.Node_Concrete;2.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.graph.Node_Fluid;2.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.graph.Node_Literal;15.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.graph.Node_NULL;4.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.graph.Node_URI;10.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.graph.Node_Variable;8.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.graph.Reifier;16.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.graph.TransactionHandler;5.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.graph.Triple;33.0;34.0;1.0434782608695652;2.8571428571428568;0;0
com.hp.hpl.jena.graph.TripleBoundary;3.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.graph.TripleIterator;1.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.graph.TripleMatch;4.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.graph.TripleMatchFilter;3.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.graph.TripleMatchIterator;1.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.graph.compose.CompositionBase;8.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.graph.compose.Delta;9.0;34.0;1.1666666666666667;2.8571428571428568;0;0
com.hp.hpl.jena.graph.compose.Difference;4.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.graph.compose.DisjointUnion;5.0;34.0;0.0;2.8571428571428568;0;0
com.hp.hpl.jena.graph.compose.Dyadic;8.0;34.0;1.25;2.8571428571428568;0;0
