ClassName;NMD+NAD;nmdNadBound;LCOM5;lcom5Bound;ControllerClass;nbDataClass
javacc;2.0;38.0;0.0;2.6923076923076925;0;0
jjdoc;2.0;38.0;0.0;2.6923076923076925;0;0
jjtree;2.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.JavaCCTestCase;4.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.Version;5.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjdoc.BNFGenerator;31.0;38.0;1.01;2.6923076923076925;0;0
org.javacc.jjdoc.Generator;23.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjdoc.HTMLGenerator;24.0;38.0;1.025;2.6923076923076925;0;0
org.javacc.jjdoc.JJDoc;19.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjdoc.JJDocGlobals;9.0;38.0;1.25;2.6923076923076925;0;0
org.javacc.jjdoc.JJDocMain;4.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjdoc.JJDocOptions;8.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjdoc.TextGenerator;26.0;38.0;0.7391304347826086;2.6923076923076925;0;0
org.javacc.jjdoc.XTextGenerator;25.0;38.0;1.0333333328366279;2.6923076923076925;0;0
org.javacc.jjdoc.test.JJDocMainTest;6.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.ASTBNF;4.0;38.0;2.0;2.6923076923076925;0;0
org.javacc.jjtree.ASTBNFAction;3.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.ASTBNFAssignment;3.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.ASTBNFChoice;3.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.ASTBNFDeclaration;3.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.ASTBNFLookahead;3.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.ASTBNFNodeScope;4.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.ASTBNFNonTerminal;3.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.ASTBNFOneOrMore;3.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.ASTBNFParenthesized;3.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.ASTBNFSequence;3.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.ASTBNFTryBlock;3.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.ASTBNFZeroOrMore;3.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.ASTBNFZeroOrOne;3.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.ASTCharDescriptor;3.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.ASTCompilationUnit;2.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.ASTExpansionNodeScope;4.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.ASTGrammar;3.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.ASTJavacode;3.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.ASTJavacodeBody;3.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.ASTLHS;2.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.ASTNodeDescriptor;23.0;38.0;1.0204081609845161;2.6923076923076925;0;0
org.javacc.jjtree.ASTNodeDescriptorExpression;3.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.ASTOptionBinding;8.0;38.0;1.25;2.6923076923076925;0;0
org.javacc.jjtree.ASTOptions;3.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.ASTPrimaryExpression;3.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.ASTProduction;7.0;38.0;1.75;2.6923076923076925;0;0
org.javacc.jjtree.ASTProductions;3.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.ASTRE;3.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.ASTRECharList;3.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.ASTREChoice;3.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.ASTREEOF;3.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.ASTRENamed;3.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.ASTREOneOrMore;3.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.ASTREParenthesized;3.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.ASTREReference;3.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.ASTRESequence;3.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.ASTRESpec;3.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.ASTREStringLiteral;3.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.ASTREZeroOrMore;3.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.ASTREZeroOrOne;3.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.ASTRRepetitionRange;3.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.ASTTokenDecls;3.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.CPPCodeGenerator;24.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.CPPJJTreeState;3.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.CPPNodeFiles;26.0;38.0;0.9841269822347731;2.6923076923076925;0;0
org.javacc.jjtree.DefaultJJTreeVisitor;44.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.IO;20.0;38.0;0.9999999975164732;2.6923076923076925;0;0
org.javacc.jjtree.JJTJJTreeParserState;17.0;38.0;0.8799999967217446;2.6923076923076925;0;0
org.javacc.jjtree.JJTree;6.0;38.0;1.3333333333333333;2.6923076923076925;0;0
org.javacc.jjtree.JJTreeGlobals;12.0;38.0;1.7777777761220932;2.6923076923076925;0;0
org.javacc.jjtree.JJTreeIOException;1.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.JJTreeNode;17.0;38.0;1.1;2.6923076923076925;0;0
org.javacc.jjtree.JJTreeOptions;21.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.JJTreeOptionsTest;6.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.JJTreeParser;573.0;38.0;1.0017195767136635;2.6923076923076925;0;0
org.javacc.jjtree.JJTreeParserConstants;127.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.JJTreeParserDefaultVisitor;44.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.JJTreeParserTokenManager;128.0;38.0;1.0229489386436486;2.6923076923076925;1;0
org.javacc.jjtree.JJTreeParserTreeConstants;43.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.JJTreeParserVisitor;42.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.JJTreeState;5.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.JavaCharStream;57.0;38.0;1.032567049794156;2.6923076923076925;0;0
org.javacc.jjtree.JavaCodeGenerator;24.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.Main;2.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.Node;8.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.jjtree.NodeFiles;16.0;38.0;1.0416666666666667;2.6923076923076925;0;0
org.javacc.jjtree.NodeScope;14.0;38.0;1.1666666666666667;2.6923076923076925;0;0
org.javacc.jjtree.ParseException;10.0;38.0;2.0;2.6923076923076925;0;0
org.javacc.jjtree.SimpleNode;21.0;38.0;1.0769230769230769;2.6923076923076925;0;0
org.javacc.jjtree.Token;15.0;38.0;1.3333333333333333;2.6923076923076925;0;0
org.javacc.jjtree.TokenMgrError;11.0;38.0;1.5;2.6923076923076925;0;0
org.javacc.jjtree.TokenMgrException;12.0;38.0;1.5;2.6923076923076925;0;0
org.javacc.jjtree.TokenUtils;8.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.parser.Action;4.0;38.0;2.0;2.6923076923076925;0;0
org.javacc.parser.BNFProduction;6.0;38.0;1.5;2.6923076923076925;0;0
org.javacc.parser.CPPFiles;17.0;38.0;1.1;2.6923076923076925;0;0
org.javacc.parser.CharacterRange;14.0;38.0;1.1428571428571428;2.6923076923076925;0;0
org.javacc.parser.Choice;7.0;38.0;1.5;2.6923076923076925;0;0
org.javacc.parser.CodeGenerator;37.0;38.0;0.9885057457562151;2.6923076923076925;0;0
org.javacc.parser.Container;2.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.parser.Expansion;21.0;38.0;1.1111111111111112;2.6923076923076925;0;0
org.javacc.parser.ExpansionTest;13.0;38.0;1.1111111111111112;2.6923076923076925;0;0
org.javacc.parser.ExpansionTreeWalker;3.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.parser.JavaCCErrors;17.0;38.0;1.0833333333333333;2.6923076923076925;0;0
org.javacc.parser.JavaCCGlobals;54.0;38.0;1.0476190476190477;2.6923076923076925;0;0
org.javacc.parser.JavaCCParser;568.0;38.0;1.0017724413916749;2.6923076923076925;0;0
org.javacc.parser.JavaCCParserConstants;133.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.parser.JavaCCParserInternals;24.0;38.0;1.0352941172964432;2.6923076923076925;0;0
org.javacc.parser.JavaCCParserTokenManager;135.0;38.0;1.0212005108594895;2.6923076923076925;1;0
org.javacc.parser.JavaCharStream;57.0;38.0;1.032567049794156;2.6923076923076925;0;0
org.javacc.parser.JavaCodeProduction;3.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.parser.JavaFiles;20.0;38.0;1.0909090909090908;2.6923076923076925;0;0
org.javacc.parser.KindInfo;7.0;38.0;2.0;2.6923076923076925;0;0
org.javacc.parser.LexGen;63.0;38.0;1.0608695651094118;2.6923076923076925;0;0
org.javacc.parser.LexGenCPP;14.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.parser.Lookahead;13.0;38.0;1.1428571428571428;2.6923076923076925;0;0
org.javacc.parser.LookaheadCalc;9.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.parser.LookaheadWalk;8.0;38.0;1.125;2.6923076923076925;0;0
org.javacc.parser.Main;7.0;38.0;1.25;2.6923076923076925;0;0
org.javacc.parser.MatchInfo;5.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.parser.MetaParseException;1.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.parser.Nfa;4.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.parser.NfaState;127.0;38.0;0.9903896111462798;2.6923076923076925;0;0
org.javacc.parser.NonTerminal;14.0;38.0;1.125;2.6923076923076925;0;1
org.javacc.parser.NormalProduction;46.0;38.0;1.0357142857142858;2.6923076923076925;0;0
org.javacc.parser.OneOrMore;4.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.parser.Options;67.0;38.0;0.9854545449668711;2.6923076923076925;0;0
org.javacc.parser.OptionsTest;9.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.parser.OtherFilesGen;5.0;38.0;1.5;2.6923076923076925;0;0
org.javacc.parser.OtherFilesGenCPP;5.0;38.0;1.0;2.6923076923076925;0;0
org.javacc.parser.OutputFile;23.0;38.0;1.0729166651144624;2.6923076923076925;0;0
org.javacc.parser.ParseEngine;36.0;38.0;1.0245614020447982;2.6923076923076925;0;0
org.javacc.parser.ParseException;10.0;38.0;2.0;2.6923076923076925;0;0
org.javacc.parser.ParseGen;3.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.parser.ParseGenCPP;3.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.parser.Phase3Data;3.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.parser.RCharacterList;15.0;38.0;0.9999999978712627;2.6923076923076925;0;0
org.javacc.parser.RChoice;8.0;38.0;1.2;2.6923076923076925;0;0
org.javacc.parser.REndOfFile;2.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.parser.RJustName;4.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.parser.ROneOrMore;4.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.parser.RRepetitionRange;6.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.parser.RSequence;4.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.parser.RStringLiteral;38.0;38.0;1.0272108834414255;2.6923076923076925;0;0
org.javacc.parser.RZeroOrMore;4.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.parser.RZeroOrOne;3.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.parser.RegExprSpec;5.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.parser.RegularExpression;11.0;38.0;2.0;2.6923076923076925;0;0
org.javacc.parser.Semanticize;14.0;38.0;1.0;2.6923076923076925;0;0
org.javacc.parser.Sequence;4.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.parser.SingleCharacter;9.0;38.0;1.3333333333333333;2.6923076923076925;0;0
org.javacc.parser.Token;15.0;38.0;1.3333333333333333;2.6923076923076925;0;0
org.javacc.parser.TokenMgrError;11.0;38.0;1.5;2.6923076923076925;0;0
org.javacc.parser.TokenProduction;19.0;38.0;1.3333333333333333;2.6923076923076925;0;0
org.javacc.parser.TreeWalkerOp;2.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.parser.TryBlock;7.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.parser.ZeroOrMore;4.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.parser.ZeroOrOne;4.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.parser.test.NfaStateTest;27.0;38.0;1.0416666666666667;2.6923076923076925;0;0
org.javacc.utils.ConditionParser;38.0;38.0;1.0396825394460134;2.6923076923076925;0;0
org.javacc.utils.ConditionParserConstants;19.0;38.0;0.0;2.6923076923076925;0;0
org.javacc.utils.ConditionParserTokenManager;56.0;38.0;1.0330459769686748;2.6923076923076925;1;0
org.javacc.utils.JavaCharStream;57.0;38.0;1.032567049794156;2.6923076923076925;0;0
org.javacc.utils.JavaFileGenerator;15.0;38.0;1.066666665673256;2.6923076923076925;0;0
org.javacc.utils.ParseException;10.0;38.0;2.0;2.6923076923076925;0;0
org.javacc.utils.Token;15.0;38.0;1.3333333333333333;2.6923076923076925;0;0
org.javacc.utils.TokenMgrError;11.0;38.0;1.5;2.6923076923076925;0;0
