ClassName;NMD+NAD;nmdNadBound;LCOM5;lcom5Bound;ControllerClass;nbDataClass
com.mxgraph.analysis.StructuralException;2.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.analysis.mxAnalysisGraph;18.0;57.5;0.9230769184919504;2.604166666666667;0;0
com.mxgraph.analysis.mxConstantCostFunction;3.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.analysis.mxDistanceCostFunction;2.0;57.5;0.0;2.604166666666667;0;2
com.mxgraph.analysis.mxFibonacciHeap;17.0;57.5;1.0555555547277133;2.604166666666667;0;0
com.mxgraph.analysis.mxGraphAnalysis;12.0;57.5;1.1111111111111112;2.604166666666667;0;1
com.mxgraph.analysis.mxGraphGenerator;40.0;57.5;1.0190476187637874;2.604166666666667;0;2
com.mxgraph.analysis.mxGraphProperties;9.0;57.5;1.3333333333333333;2.604166666666667;0;0
com.mxgraph.analysis.mxGraphStructure;31.0;57.5;1.0384615384615385;2.604166666666667;0;1
com.mxgraph.analysis.mxICostFunction;1.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.analysis.mxTraversal;11.0;57.5;0.0;2.604166666666667;0;1
com.mxgraph.analysis.mxUnionFind;6.0;57.5;1.0;2.604166666666667;0;0
com.mxgraph.canvas.mxBasicCanvas;19.0;57.5;1.071428570151329;2.604166666666667;0;0
com.mxgraph.canvas.mxGraphics2DCanvas;30.0;57.5;0.9736842105263158;2.604166666666667;0;3
com.mxgraph.canvas.mxGraphicsCanvas2D;93.0;57.5;1.0068407957789614;2.604166666666667;0;0
com.mxgraph.canvas.mxHtmlCanvas;12.0;57.5;0.75;2.604166666666667;0;2
com.mxgraph.canvas.mxICanvas;6.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.canvas.mxICanvas2D;42.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.canvas.mxImageCanvas;14.0;57.5;0.8333333246409893;2.604166666666667;0;0
com.mxgraph.canvas.mxSvgCanvas;29.0;57.5;0.9333333298563957;2.604166666666667;0;2
com.mxgraph.canvas.mxVmlCanvas;11.0;57.5;0.5714285714285714;2.604166666666667;0;2
com.mxgraph.costfunction.mxConstCostFunction;3.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.costfunction.mxCostFunction;1.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.costfunction.mxDoubleValCostFunction;2.0;57.5;0.0;2.604166666666667;0;1
com.mxgraph.generatorfunction.mxGeneratorConstFunction;3.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.generatorfunction.mxGeneratorFunction;1.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.generatorfunction.mxGeneratorRandomFunction;10.0;57.5;1.2;2.604166666666667;0;0
com.mxgraph.generatorfunction.mxGeneratorRandomIntFunction;7.0;57.5;1.3333333333333333;2.604166666666667;0;0
com.mxgraph.io.mxCellCodec;6.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.io.mxChildChangeCodec;6.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.io.mxCodec;26.0;57.5;0.9777777766187986;2.604166666666667;0;0
com.mxgraph.io.mxCodecRegistry;12.0;57.5;0.75;2.604166666666667;0;0
com.mxgraph.io.mxGdCodec;5.0;57.5;1.0;2.604166666666667;0;0
com.mxgraph.io.mxGenericChangeCodec;4.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.io.mxModelCodec;5.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.io.mxObjectCodec;50.0;57.5;0.9707602335042075;2.604166666666667;0;0
com.mxgraph.io.mxRootChangeCodec;5.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.io.mxStylesheetCodec;6.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.io.mxTerminalChangeCodec;3.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.layout.hierarchical.model.mxGraphAbstractHierarchyCell;19.0;57.5;1.5;2.604166666666667;0;0
com.mxgraph.layout.hierarchical.model.mxGraphHierarchyEdge;14.0;57.5;1.125;2.604166666666667;0;0
com.mxgraph.layout.hierarchical.model.mxGraphHierarchyModel;21.0;57.5;1.0113636363636365;2.604166666666667;0;0
com.mxgraph.layout.hierarchical.model.mxGraphHierarchyNode;14.0;57.5;1.0857142848627908;2.604166666666667;0;0
com.mxgraph.layout.hierarchical.model.mxGraphHierarchyRank;2.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.layout.hierarchical.mxHierarchicalLayout;48.0;57.5;1.0264423075132072;2.604166666666667;0;1
com.mxgraph.layout.hierarchical.stage.mxCoordinateAssignment;57.0;57.5;1.0198412690725591;2.604166666666667;0;2
com.mxgraph.layout.hierarchical.stage.mxHierarchicalLayoutStage;1.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.layout.hierarchical.stage.mxMedianHybridCrossingReduction;14.0;57.5;1.1388888880610466;2.604166666666667;0;2
com.mxgraph.layout.hierarchical.stage.mxMinimumCycleRemover;3.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.layout.mxCircleLayout;22.0;57.5;1.0769230769230769;2.604166666666667;0;0
com.mxgraph.layout.mxCompactTreeLayout;56.0;57.5;1.0244360901415348;2.604166666666667;0;1
com.mxgraph.layout.mxEdgeLabelLayout;4.0;57.5;0.0;2.604166666666667;0;2
com.mxgraph.layout.mxFastOrganicLayout;46.0;57.5;1.0433884296904912;2.604166666666667;0;0
com.mxgraph.layout.mxGraphLayout;21.0;57.5;0.8333333265036345;2.604166666666667;0;2
com.mxgraph.layout.mxIGraphLayout;2.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.layout.mxOrganicLayout;104.0;57.5;1.015625;2.604166666666667;0;0
com.mxgraph.layout.mxParallelEdgeLayout;8.0;57.5;1.25;2.604166666666667;0;1
com.mxgraph.layout.mxPartitionLayout;11.0;57.5;1.5;2.604166666666667;0;0
com.mxgraph.layout.mxStackLayout;16.0;57.5;1.3333333333333333;2.604166666666667;0;1
com.mxgraph.layout.orthogonal.model.mxOrthogonalModel;1.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.layout.orthogonal.model.mxPointPair;1.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.layout.orthogonal.model.mxPointSequence;1.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.layout.orthogonal.model.mxSegment;1.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.layout.orthogonal.mxOrthogonalLayout;4.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.model.mxCell;64.0;57.5;1.0059259250760078;2.604166666666667;0;0
com.mxgraph.model.mxCellPath;6.0;57.5;1.3333333333333333;2.604166666666667;0;0
com.mxgraph.model.mxGeometry;27.0;57.5;1.0234375;2.604166666666667;0;1
com.mxgraph.model.mxGraphModel;95.0;57.5;1.001338688005884;2.604166666666667;0;1
com.mxgraph.model.mxICell;34.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.model.mxIGraphModel;32.0;57.5;0.0;2.604166666666667;0;0
com.mxgraph.reader.mxDomOutputParser;6.0;57.5;1.0;2.604166666666667;0;0
com.mxgraph.reader.mxGraphViewImageReader;24.0;57.5;1.0769230769230769;2.604166666666667;0;0
com.mxgraph.reader.mxGraphViewReader;12.0;57.5;1.1111111094554265;2.604166666666667;0;1
com.mxgraph.reader.mxSaxOutputHandler;8.0;57.5;1.0;2.604166666666667;0;0
com.mxgraph.shape.mxActorShape;2.0;57.5;0.0;2.604166666666667;0;1
com.mxgraph.shape.mxArrowShape;2.0;57.5;0.0;2.604166666666667;0;2
com.mxgraph.shape.mxBasicShape;9.0;57.5;0.0;2.604166666666667;0;1
com.mxgraph.shape.mxCloudShape;2.0;57.5;0.0;2.604166666666667;0;1
com.mxgraph.shape.mxConnectorShape;7.0;57.5;0.0;2.604166666666667;0;2
com.mxgraph.shape.mxCurveLabelShape;29.0;57.5;1.0764705881476402;2.604166666666667;0;2
com.mxgraph.shape.mxCurveShape;8.0;57.5;0.5;2.604166666666667;0;0
com.mxgraph.shape.mxCylinderShape;2.0;57.5;0.0;2.604166666666667;0;1
com.mxgraph.shape.mxDefaultTextShape;3.0;57.5;0.0;2.604166666666667;0;1
com.mxgraph.shape.mxDoubleEllipseShape;2.0;57.5;0.0;2.604166666666667;0;1
com.mxgraph.shape.mxDoubleRectangleShape;2.0;57.5;0.0;2.604166666666667;0;1
com.mxgraph.shape.mxEllipseShape;2.0;57.5;0.0;2.604166666666667;0;1
