ClassName;NMD+NAD;nmdNadBound;LCOM5;lcom5Bound;ControllerClass;nbDataClass
org.jgroups.Address;2.0;66.5;0.0;2.3515151509507133;0;0
org.jgroups.BlockEvent;2.0;66.5;0.0;2.3515151509507133;0;0
org.jgroups.Channel;56.0;66.5;1.0242424229780833;2.3515151509507133;0;0
org.jgroups.ChannelClosedException;4.0;66.5;0.0;2.3515151509507133;0;0
org.jgroups.ChannelException;4.0;66.5;0.0;2.3515151509507133;0;0
org.jgroups.ChannelFactory;9.0;66.5;0.0;2.3515151509507133;0;0
org.jgroups.ChannelListener;5.0;66.5;0.0;2.3515151509507133;0;0
org.jgroups.ChannelNotConnectedException;4.0;66.5;0.0;2.3515151509507133;0;0
org.jgroups.Event;56.0;66.5;1.2;2.3515151509507133;0;0
org.jgroups.ExitEvent;2.0;66.5;0.0;2.3515151509507133;0;0
org.jgroups.ExtendedMembershipListener;1.0;66.5;0.0;2.3515151509507133;0;0
org.jgroups.ExtendedMessageListener;6.0;66.5;0.0;2.3515151509507133;0;0
org.jgroups.ExtendedReceiver;0.0;66.5;0.0;2.3515151509507133;0;0
org.jgroups.ExtendedReceiverAdapter;14.0;66.5;0.0;2.3515151509507133;0;0
org.jgroups.GetStateEvent;6.0;66.5;1.5;2.3515151509507133;0;0
org.jgroups.Global;34.0;66.5;1.5;2.3515151509507133;0;0
org.jgroups.Header;4.0;66.5;2.0;2.3515151509507133;0;0
org.jgroups.JChannel;98.0;66.5;0.9961067859468788;2.3515151509507133;0;0
org.jgroups.JChannelFactory;51.0;66.5;0.995192306349054;2.3515151509507133;0;0
org.jgroups.Membership;20.0;66.5;0.8;2.3515151509507133;0;0
org.jgroups.MembershipListener;3.0;66.5;0.0;2.3515151509507133;0;0
org.jgroups.MergeView;12.0;66.5;0.7142857142857143;2.3515151509507133;0;0
org.jgroups.Message;68.0;66.5;0.9953379944348947;2.3515151509507133;0;1
org.jgroups.MessageListener;3.0;66.5;0.0;2.3515151509507133;0;0
org.jgroups.Receiver;0.0;66.5;0.0;2.3515151509507133;0;0
org.jgroups.ReceiverAdapter;7.0;66.5;0.0;2.3515151509507133;0;0
org.jgroups.SetStateEvent;6.0;66.5;1.5;2.3515151509507133;0;0
org.jgroups.StreamingGetStateEvent;5.0;66.5;2.0;2.3515151509507133;0;0
org.jgroups.StreamingSetStateEvent;5.0;66.5;2.0;2.3515151509507133;0;0
org.jgroups.SuspectEvent;4.0;66.5;2.0;2.3515151509507133;0;0
org.jgroups.SuspectedException;5.0;66.5;0.0;2.3515151509507133;0;0
org.jgroups.TimeoutException;4.0;66.5;0.0;2.3515151509507133;0;0
org.jgroups.Transport;2.0;66.5;0.0;2.3515151509507133;0;0
org.jgroups.UnblockEvent;2.0;66.5;0.0;2.3515151509507133;0;0
org.jgroups.UpHandler;1.0;66.5;0.0;2.3515151509507133;0;0
org.jgroups.Version;22.0;66.5;1.125;2.3515151509507133;0;0
org.jgroups.View;20.0;66.5;0.6785714285714286;2.3515151509507133;0;0
org.jgroups.ViewId;19.0;66.5;1.0769230769230769;2.3515151509507133;0;0
org.jgroups.auth.AuthToken;5.0;66.5;0.0;2.3515151509507133;0;0
org.jgroups.auth.FixedMembershipToken;10.0;66.5;1.125;2.3515151509507133;0;0
org.jgroups.auth.MD5Token;13.0;66.5;1.1;2.3515151509507133;0;0
org.jgroups.auth.SimpleToken;9.0;66.5;1.125;2.3515151509507133;0;0
org.jgroups.auth.X509Token;26.0;66.5;1.1684210523962975;2.3515151509507133;0;0
org.jgroups.blocks.BasicConnectionTable;58.0;66.5;1.0224867723882198;2.3515151509507133;0;0
org.jgroups.blocks.ConnectionTable;11.0;66.5;0.0;2.3515151509507133;0;0
org.jgroups.blocks.ConnectionTableNIO;46.0;66.5;1.0210526313632726;2.3515151509507133;0;0
org.jgroups.blocks.DistributedHashtable;55.0;66.5;0.976890753954649;2.3515151509507133;0;0
org.jgroups.blocks.DistributedLockManager;36.0;66.5;0.9761904740617389;2.3515151509507133;1;0
org.jgroups.blocks.DistributedQueue;51.0;66.5;0.9562499960884452;2.3515151509507133;0;0
org.jgroups.blocks.DistributedTree;59.0;66.5;0.9786821692142376;2.3515151509507133;0;0
org.jgroups.blocks.GroupRequest;45.0;66.5;1.0025062647305036;2.3515151509507133;0;0
org.jgroups.blocks.LockManager;3.0;66.5;0.0;2.3515151509507133;0;0
org.jgroups.blocks.LockMultiLockedException;3.0;66.5;0.0;2.3515151509507133;0;0
org.jgroups.blocks.LockNotGrantedException;3.0;66.5;0.0;2.3515151509507133;0;0
org.jgroups.blocks.LockNotReleasedException;3.0;66.5;0.0;2.3515151509507133;0;0
org.jgroups.blocks.LockingException;5.0;66.5;0.0;2.3515151509507133;0;0
org.jgroups.blocks.MembershipListenerAdapter;9.0;66.5;0.6;2.3515151509507133;0;0
org.jgroups.blocks.MessageDispatcher;43.0;66.5;1.0074074048962858;2.3515151509507133;0;0
org.jgroups.blocks.MessageListenerAdapter;17.0;66.5;0.7575757476416501;2.3515151509507133;0;0
org.jgroups.blocks.MethodCall;44.0;66.5;1.0317460309181894;2.3515151509507133;0;0
org.jgroups.blocks.MethodLookup;1.0;66.5;0.0;2.3515151509507133;0;0
org.jgroups.blocks.NBMessageForm_NIO;11.0;66.5;1.0714285522699356;2.3515151509507133;0;0
org.jgroups.blocks.NotificationBus;34.0;66.5;0.9722222216427326;2.3515151509507133;0;0
org.jgroups.blocks.PullPushAdapter;35.0;66.5;0.9415584369139238;2.3515151509507133;0;5
org.jgroups.blocks.ReplicatedHashMap;54.0;66.5;0.9722222201526165;2.3515151509507133;0;0
org.jgroups.blocks.ReplicatedHashtable;36.0;66.5;0.9619565217391305;2.3515151509507133;0;0
org.jgroups.blocks.ReplicatedTree;63.0;66.5;0.9851190476190477;2.3515151509507133;0;0
org.jgroups.blocks.RequestCorrelator;41.0;66.5;0.9963369944265911;2.3515151509507133;0;0
org.jgroups.blocks.RequestHandler;1.0;66.5;0.0;2.3515151509507133;0;0
org.jgroups.blocks.RpcDispatcher;42.0;66.5;0.9624999989755452;2.3515151509507133;0;0
org.jgroups.blocks.RspCollector;3.0;66.5;0.0;2.3515151509507133;0;0
org.jgroups.blocks.TwoPhaseVotingAdapter;7.0;66.5;0.5;2.3515151509507133;0;0
