ClassName;NMD+NAD;nmdNadBound;LCOM5;lcom5Bound;ControllerClass;nbDataClass
junit.extensions.ActiveTestSuite;9.0;21.5;1.3333333333333333;2.6666666629413767;0;0
junit.extensions.RepeatedTest;5.0;21.5;1.5;2.6666666629413767;0;0
junit.extensions.TestDecorator;7.0;21.5;0.5;2.6666666629413767;0;0
junit.extensions.TestSetup;4.0;21.5;0.0;2.6666666629413767;0;0
junit.framework.Assert;39.0;21.5;0.0;2.6666666629413767;0;0
junit.framework.AssertionFailedError;3.0;21.5;0.0;2.6666666629413767;0;0
junit.framework.ComparisonCompactor;16.0;21.5;1.0208333333333333;2.6666666629413767;0;0
junit.framework.ComparisonFailure;8.0;21.5;1.5;2.6666666629413767;0;0
junit.framework.JUnit4TestAdapter;15.0;21.5;0.8888888822661506;2.6666666629413767;0;0
junit.framework.JUnit4TestAdapterCache;8.0;21.5;1.25;2.6666666629413767;0;0
junit.framework.JUnit4TestCaseFacade;6.0;21.5;1.3333333333333333;2.6666666629413767;0;0
junit.framework.Protectable;1.0;21.5;0.0;2.6666666629413767;0;0
junit.framework.Test;2.0;21.5;0.0;2.6666666629413767;0;0
junit.framework.TestCase;14.0;21.5;1.1;2.6666666629413767;0;0
junit.framework.TestFailure;9.0;21.5;1.1;2.6666666629413767;0;0
junit.framework.TestListener;4.0;21.5;0.0;2.6666666629413767;0;0
junit.framework.TestResult;23.0;21.5;0.9874999988824129;2.6666666629413767;0;0
junit.framework.TestSuite;28.0;21.5;0.9210526315789473;2.6666666629413767;0;0
junit.runner.BaseTestRunner;35.0;21.5;1.033333333209157;2.6666666629413767;0;0
junit.runner.TestRunListener;8.0;21.5;1.2;2.6666666629413767;0;0
junit.runner.Version;3.0;21.5;0.0;2.6666666629413767;0;0
junit.textui.ResultPrinter;19.0;21.5;1.0666666666666667;2.6666666629413767;0;0
junit.textui.TestRunner;22.0;21.5;1.0357142857142858;2.6666666629413767;0;0
org.junit.Assert;50.0;21.5;0.0;2.6666666629413767;0;0
org.junit.Assume;5.0;21.5;0.0;2.6666666629413767;0;0
org.junit.ComparisonFailure;8.0;21.5;1.5;2.6666666629413767;0;0
org.junit.experimental.ParallelComputer;8.0;21.5;1.25;2.6666666629413767;0;0
org.junit.experimental.categories.Categories;6.0;21.5;0.0;2.6666666629413767;0;0
org.junit.experimental.max.CouldNotReadCoreException;2.0;21.5;0.0;2.6666666629413767;0;0
