ClassName;NMD+NAD;nmdNadBound;LCOM5;lcom5Bound;ControllerClass;nbDataClass
org.apache.lucene.analysis.Analyzer;3.0;35.0;0.0;2.727272727272727;0;0
org.apache.lucene.analysis.CharTokenizer;11.0;35.0;2.0;2.727272727272727;0;0
org.apache.lucene.analysis.LetterTokenizer;2.0;35.0;0.0;2.727272727272727;0;0
org.apache.lucene.analysis.LowerCaseFilter;2.0;35.0;0.0;2.727272727272727;0;0
org.apache.lucene.analysis.LowerCaseTokenizer;2.0;35.0;0.0;2.727272727272727;0;0
org.apache.lucene.analysis.PerFieldAnalyzerWrapper;5.0;35.0;1.0;2.727272727272727;0;0
org.apache.lucene.analysis.PorterStemFilter;3.0;35.0;0.0;2.727272727272727;0;0
org.apache.lucene.analysis.PorterStemmer;35.0;35.0;1.04;2.727272727272727;0;0
org.apache.lucene.analysis.SimpleAnalyzer;2.0;35.0;0.0;2.727272727272727;0;0
org.apache.lucene.analysis.StopAnalyzer;5.0;35.0;0.0;2.727272727272727;0;0
org.apache.lucene.analysis.StopFilter;7.0;35.0;1.0;2.727272727272727;0;0
org.apache.lucene.analysis.Token;13.0;35.0;1.2;2.727272727272727;0;0
org.apache.lucene.analysis.TokenFilter;4.0;35.0;0.0;2.727272727272727;0;0
org.apache.lucene.analysis.TokenStream;3.0;35.0;0.0;2.727272727272727;0;0
org.apache.lucene.analysis.Tokenizer;4.0;35.0;0.0;2.727272727272727;0;0
org.apache.lucene.analysis.WhitespaceAnalyzer;2.0;35.0;0.0;2.727272727272727;0;0
org.apache.lucene.analysis.WhitespaceTokenizer;2.0;35.0;0.0;2.727272727272727;0;0
org.apache.lucene.analysis.de.GermanAnalyzer;11.0;35.0;1.3333333333333333;2.727272727272727;0;1
org.apache.lucene.analysis.de.GermanStemFilter;10.0;35.0;0.9999999900658926;2.727272727272727;0;0
org.apache.lucene.analysis.de.GermanStemmer;10.0;35.0;1.0833333333333333;2.727272727272727;0;0
org.apache.lucene.analysis.de.WordlistLoader;6.0;35.0;0.0;2.727272727272727;0;0
org.apache.lucene.analysis.ru.RussianAnalyzer;41.0;35.0;2.0;2.727272727272727;0;0
org.apache.lucene.analysis.ru.RussianCharsets;5.0;35.0;0.0;2.727272727272727;0;0
org.apache.lucene.analysis.ru.RussianLetterTokenizer;3.0;35.0;0.0;2.727272727272727;0;0
org.apache.lucene.analysis.ru.RussianLowerCaseFilter;3.0;35.0;0.0;2.727272727272727;0;0
org.apache.lucene.analysis.ru.RussianStemFilter;5.0;35.0;1.0;2.727272727272727;0;0
org.apache.lucene.analysis.ru.RussianStemmer;73.0;35.0;1.0526315789473684;2.727272727272727;0;0
org.apache.lucene.analysis.standard.CharStream;12.0;35.0;0.0;2.727272727272727;0;0
org.apache.lucene.analysis.standard.FastCharStream;20.0;35.0;1.0555555547277133;2.727272727272727;0;0
org.apache.lucene.analysis.standard.ParseException;10.0;35.0;2.0;2.727272727272727;0;0
org.apache.lucene.analysis.standard.StandardAnalyzer;5.0;35.0;0.0;2.727272727272727;0;0
org.apache.lucene.analysis.standard.StandardFilter;4.0;35.0;0.0;2.727272727272727;0;0
org.apache.lucene.analysis.standard.StandardTokenizer;24.0;35.0;1.0399999991059303;2.727272727272727;0;0
org.apache.lucene.analysis.standard.StandardTokenizerConstants;17.0;35.0;0.0;2.727272727272727;0;0
org.apache.lucene.analysis.standard.StandardTokenizerTokenManager;49.0;35.0;1.056249999674037;2.727272727272727;1;0
org.apache.lucene.analysis.standard.Token;11.0;35.0;2.0;2.727272727272727;0;0
org.apache.lucene.analysis.standard.TokenMgrError;11.0;35.0;1.5;2.727272727272727;0;0
org.apache.lucene.document.DateField;8.0;35.0;1.2;2.727272727272727;0;0
org.apache.lucene.document.Document;14.0;35.0;0.75;2.727272727272727;0;0
org.apache.lucene.document.Field;30.0;35.0;1.0555555555555556;2.727272727272727;0;0
