ClassName;NMD+NAD;nmdNadBound;LCOM5;lcom5Bound;ControllerClass;nbDataClass
com.mongodb.BasicDBList;7.0;49.5;1.3333333333333333;2.512987012987013;0;0
com.mongodb.BasicDBObject;11.0;49.5;1.25;2.512987012987013;0;0
com.mongodb.BasicDBObjectBuilder;12.0;49.5;0.5555555555555556;2.512987012987013;0;0
com.mongodb.Bytes;20.0;49.5;0.0;2.512987012987013;0;0
com.mongodb.CommandResult;11.0;49.5;1.1111111094554265;2.512987012987013;1;0
com.mongodb.DB;58.0;49.5;1.002906976744186;2.512987012987013;0;1
com.mongodb.DBAddress;15.0;49.5;0.875;2.512987012987013;0;0
com.mongodb.DBApiLayer;22.0;49.5;1.0202020174927182;2.512987012987013;0;0
com.mongodb.DBCallback;0.0;49.5;0.0;2.512987012987013;0;0
com.mongodb.DBCallbackFactory;1.0;49.5;0.0;2.512987012987013;0;0
com.mongodb.DBCollection;117.0;49.5;0.987980768394967;2.512987012987013;0;2
com.mongodb.DBConnector;9.0;49.5;0.0;2.512987012987013;0;0
com.mongodb.DBCursor;71.0;49.5;0.9990079361014068;2.512987012987013;0;1
com.mongodb.DBDecoder;3.0;49.5;0.0;2.512987012987013;0;0
com.mongodb.DBDecoderFactory;1.0;49.5;0.0;2.512987012987013;0;0
com.mongodb.DBEncoder;1.0;49.5;0.0;2.512987012987013;0;0
com.mongodb.DBEncoderFactory;1.0;49.5;0.0;2.512987012987013;0;0
com.mongodb.DBObject;2.0;49.5;0.0;2.512987012987013;0;0
com.mongodb.DBPointer;7.0;49.5;2.0;2.512987012987013;0;0
com.mongodb.DBPort;44.0;49.5;1.0289855071383973;2.512987012987013;0;0
com.mongodb.DBPortPool;14.0;49.5;1.0625;2.512987012987013;0;1
com.mongodb.DBRef;4.0;49.5;0.0;2.512987012987013;0;0
com.mongodb.DBRefBase;12.0;49.5;1.0799999982118607;2.512987012987013;0;0
com.mongodb.DBTCPConnector;42.0;49.5;0.9607142845966986;2.512987012987013;0;1
com.mongodb.DefaultDBCallback;14.0;49.5;1.0857142848627908;2.512987012987013;0;0
com.mongodb.DefaultDBDecoder;5.0;49.5;1.5;2.512987012987013;0;0
com.mongodb.DefaultDBEncoder;6.0;49.5;1.3333333333333333;2.512987012987013;0;0
com.mongodb.GroupCommand;8.0;49.5;0.0;2.512987012987013;1;0
com.mongodb.LazyDBCallback;6.0;49.5;2.0;2.512987012987013;0;0
com.mongodb.LazyDBDecoder;5.0;49.5;1.5;2.512987012987013;0;0
com.mongodb.LazyDBObject;7.0;49.5;2.0;2.512987012987013;0;0
com.mongodb.LazyWriteableDBCallback;3.0;49.5;0.0;2.512987012987013;0;0
com.mongodb.LazyWriteableDBDecoder;3.0;49.5;0.0;2.512987012987013;0;0
com.mongodb.LazyWriteableDBObject;13.0;49.5;0.14285714285714285;2.512987012987013;0;0
com.mongodb.MapReduceCommand;38.0;49.5;1.0422077920626511;2.512987012987013;1;0
com.mongodb.MapReduceOutput;16.0;49.5;1.0816326503242766;2.512987012987013;0;0
com.mongodb.Mongo;55.0;49.5;0.9923076907793681;2.512987012987013;0;2
com.mongodb.MongoException;10.0;49.5;1.5;2.512987012987013;0;1
com.mongodb.MongoInternalException;3.0;49.5;0.0;2.512987012987013;0;0
com.mongodb.MongoOptions;22.0;49.5;1.5;2.512987012987013;0;0
com.mongodb.MongoURI;24.0;49.5;1.0683760683123882;2.512987012987013;0;0
com.mongodb.OutMessage;25.0;49.5;0.9890109850810125;2.512987012987013;0;0
com.mongodb.QueryBuilder;27.0;49.5;0.9565217391304348;2.512987012987013;0;0
com.mongodb.QueryOperators;14.0;49.5;0.0;2.512987012987013;0;0
com.mongodb.RawDBObject;23.0;49.5;1.015625;2.512987012987013;0;0
com.mongodb.ReadPreference;3.0;49.5;0.0;2.512987012987013;0;0
com.mongodb.ReflectionDBObject;21.0;49.5;1.05;2.512987012987013;0;0
com.mongodb.ReplicaSetStatus;39.0;49.5;1.0147058822214603;2.512987012987013;0;0
com.mongodb.Response;19.0;49.5;1.1142857138599669;2.512987012987013;0;1
com.mongodb.ServerAddress;23.0;49.5;0.9791666666666666;2.512987012987013;0;0
com.mongodb.ServerError;9.0;49.5;1.1;2.512987012987013;0;0
com.mongodb.WriteConcern;44.0;49.5;1.0445344126538227;2.512987012987013;0;0
com.mongodb.WriteResult;17.0;49.5;1.08333333209157;2.512987012987013;0;0
com.mongodb.gridfs.CLI;9.0;49.5;1.3333333333333333;2.512987012987013;0;0
com.mongodb.gridfs.GridFS;28.0;49.5;0.9999999984314567;2.512987012987013;0;0
com.mongodb.gridfs.GridFSDBFile;7.0;49.5;0.0;2.512987012987013;0;0
com.mongodb.gridfs.GridFSFile;38.0;49.5;1.0181818175315858;2.512987012987013;0;0
com.mongodb.gridfs.GridFSInputFile;23.0;49.5;1.0555555552244187;2.512987012987013;0;0
com.mongodb.io.ByteBufferFactory;1.0;49.5;0.0;2.512987012987013;0;0
com.mongodb.io.ByteBufferHolder;16.0;49.5;0.9444444444444444;2.512987012987013;0;0
com.mongodb.io.ByteBufferInputStream;13.0;49.5;0.875;2.512987012987013;0;0
com.mongodb.io.ByteBufferOutputStream;14.0;49.5;1.0476190447807312;2.512987012987013;0;0
com.mongodb.io.ByteStream;2.0;49.5;0.0;2.512987012987013;0;0
com.mongodb.io.StreamUtil;15.0;49.5;0.0;2.512987012987013;0;0
com.mongodb.io.ZipUtil;2.0;49.5;0.0;2.512987012987013;0;0
com.mongodb.util.Args;5.0;49.5;1.0;2.512987012987013;0;0
com.mongodb.util.FastStack;9.0;49.5;0.0;2.512987012987013;0;0
com.mongodb.util.Hash;18.0;49.5;1.0666666666666667;2.512987012987013;0;0
com.mongodb.util.IdentitySet;13.0;49.5;0.3333333333333333;2.512987012987013;0;0
com.mongodb.util.JSON;6.0;49.5;0.0;2.512987012987013;0;4
com.mongodb.util.JSONCallback;6.0;49.5;1.3333333333333333;2.512987012987013;0;0
com.mongodb.util.JSONParseException;5.0;49.5;0.0;2.512987012987013;0;0
com.mongodb.util.JSONParser;22.0;49.5;0.8333333265036345;2.512987012987013;0;0
com.mongodb.util.MyAsserts;25.0;49.5;1.0;2.512987012987013;0;0
com.mongodb.util.OptionMap;3.0;49.5;0.0;2.512987012987013;0;0
com.mongodb.util.SimplePool;44.0;49.5;0.9893333306908607;2.512987012987013;0;0
com.mongodb.util.StringBuilderPool;5.0;49.5;1.5;2.512987012987013;0;0
com.mongodb.util.StringParseUtil;8.0;49.5;0.0;2.512987012987013;0;0
com.mongodb.util.TestCase;13.0;49.5;0.8666666567325592;2.512987012987013;0;1
com.mongodb.util.TestNGListener;10.0;49.5;1.1428571428571428;2.512987012987013;0;0
com.mongodb.util.ThreadPool;14.0;49.5;0.9999999900658926;2.512987012987013;0;0
com.mongodb.util.ThreadUtil;10.0;49.5;1.0;2.512987012987013;0;0
com.mongodb.util.TimeConstants;16.0;49.5;0.0;2.512987012987013;0;0
com.mongodb.util.UniqueList;4.0;49.5;2.0;2.512987012987013;0;0
com.mongodb.util.Util;4.0;49.5;0.0;2.512987012987013;0;0
com.mongodb.util.WeakBag;10.0;49.5;0.14285714285714285;2.512987012987013;0;0
org.bson.BSON;56.0;49.5;1.0308823528699578;2.512987012987013;0;0
org.bson.BSONCallback;30.0;49.5;0.0;2.512987012987013;0;0
org.bson.BSONDecoder;4.0;49.5;0.0;2.512987012987013;0;0
org.bson.BSONEncoder;4.0;49.5;0.0;2.512987012987013;0;0
org.bson.BSONException;8.0;49.5;2.0;2.512987012987013;0;0
org.bson.BSONLazyDecoder;1.0;49.5;0.0;2.512987012987013;0;0
org.bson.BSONObject;9.0;49.5;0.0;2.512987012987013;0;0
org.bson.BasicBSONCallback;43.0;49.5;0.9298245585278461;2.512987012987013;0;0
org.bson.BasicBSONDecoder;12.0;49.5;0.5;2.512987012987013;0;0
org.bson.BasicBSONEncoder;40.0;49.5;0.7777777777777778;2.512987012987013;0;4
org.bson.BasicBSONObject;24.0;49.5;1.0555555555555556;2.512987012987013;0;0
org.bson.EmptyBSONCallback;31.0;49.5;0.0;2.512987012987013;0;0
org.bson.KeyCachingLazyBSONObject;8.0;49.5;0.5;2.512987012987013;0;0
org.bson.LazyBSONCallback;14.0;49.5;1.1;2.512987012987013;0;0
org.bson.LazyBSONDecoder;8.0;49.5;1.125;2.512987012987013;0;1
org.bson.LazyBSONList;26.0;49.5;0.0;2.512987012987013;0;0
org.bson.LazyBSONObject;30.0;49.5;0.9499999985098839;2.512987012987013;0;0
org.bson.LazyDBList;9.0;49.5;1.5;2.512987012987013;0;0
org.bson.Transformer;1.0;49.5;0.0;2.512987012987013;0;0
org.bson.io.BSONByteBuffer;42.0;49.5;0.8970588195849868;2.512987012987013;0;0
org.bson.io.BSONInput;26.0;49.5;1.044444444278876;2.512987012987013;0;0
org.bson.io.BasicOutputBuffer;17.0;49.5;1.0833333333333333;2.512987012987013;0;0
org.bson.io.Bits;12.0;49.5;0.0;2.512987012987013;0;0
org.bson.io.OutputBuffer;21.0;49.5;0.0;2.512987012987013;0;0
org.bson.io.PoolOutputBuffer;24.0;49.5;0.8839285714285714;2.512987012987013;0;0
org.bson.io.UTF8Encoding;9.0;49.5;1.5;2.512987012987013;0;0
org.bson.types.BSONTimestamp;9.0;49.5;1.2222222189108531;2.512987012987013;0;0
org.bson.types.BasicBSONList;14.0;49.5;1.0909090909090908;2.512987012987013;0;0
org.bson.types.Binary;7.0;49.5;1.5;2.512987012987013;0;0
org.bson.types.Code;6.0;49.5;0.6666666666666666;2.512987012987013;0;0
org.bson.types.CodeWScope;5.0;49.5;0.5;2.512987012987013;0;0
org.bson.types.MaxKey;2.0;49.5;0.0;2.512987012987013;0;0
org.bson.types.MinKey;2.0;49.5;0.0;2.512987012987013;0;0
org.bson.types.ObjectId;41.0;49.5;1.0364583333333333;2.512987012987013;0;0
org.bson.types.Symbol;4.0;49.5;2.0;2.512987012987013;0;0
org.bson.util.ClassMap;31.0;49.5;1.0384615384615385;2.512987012987013;0;0
org.bson.util.ExposedByteArrayInputStream;3.0;49.5;0.0;2.512987012987013;0;0
org.bson.util.SimplePool;8.0;49.5;1.0;2.512987012987013;0;0
org.bson.util.StringRangeSet;17.0;49.5;1.0833333333333333;2.512987012987013;0;0
