ClassName;NMD+NAD;nmdNadBound;LCOM5;lcom5Bound;ControllerClass;nbDataClass
org.apache.html.dom.CollectionIndex;5.0;51.0;1.5;1.7256944440305233;0;0
org.apache.html.dom.HTMLAnchorElementImpl;28.0;51.0;1.04;1.7256944440305233;0;0
org.apache.html.dom.HTMLAppletElementImpl;24.0;51.0;1.0476190476190477;1.7256944440305233;0;0
org.apache.html.dom.HTMLAreaElementImpl;18.0;51.0;1.0666666666666667;1.7256944440305233;0;0
org.apache.html.dom.HTMLBRElementImpl;4.0;51.0;2.0;1.7256944440305233;0;0
org.apache.html.dom.HTMLBaseElementImpl;6.0;51.0;1.3333333333333333;1.7256944440305233;0;0
org.apache.html.dom.HTMLBaseFontElementImpl;8.0;51.0;1.2;1.7256944440305233;0;0
org.apache.html.dom.HTMLBodyElementImpl;14.0;51.0;1.0909090909090908;1.7256944440305233;0;0
org.apache.html.dom.HTMLBuilder;17.0;51.0;0.9259259204069773;1.7256944440305233;0;0
org.apache.html.dom.HTMLButtonElementImpl;13.0;51.0;1.1;1.7256944440305233;0;0
org.apache.html.dom.HTMLCollectionImpl;22.0;51.0;1.1428571428571428;1.7256944440305233;0;0
org.apache.html.dom.HTMLDListElementImpl;4.0;51.0;2.0;1.7256944440305233;0;0
org.apache.html.dom.HTMLDOMImplementationImpl;4.0;51.0;2.0;1.7256944440305233;0;0
org.apache.html.dom.HTMLDirectoryElementImpl;4.0;51.0;2.0;1.7256944440305233;0;0
org.apache.html.dom.HTMLDivElementImpl;4.0;51.0;2.0;1.7256944440305233;0;0
org.apache.html.dom.HTMLDocumentImpl;42.0;51.0;1.0179211468465867;1.7256944440305233;0;0
org.apache.html.dom.HTMLElementImpl;24.0;51.0;1.0476190476190477;1.7256944440305233;0;0
org.apache.html.dom.HTMLFieldSetElementImpl;2.0;51.0;0.0;1.7256944440305233;0;0
org.apache.html.dom.HTMLFontElementImpl;8.0;51.0;1.2;1.7256944440305233;0;0
org.apache.html.dom.HTMLFormControl;0.0;51.0;0.0;1.7256944440305233;0;0
org.apache.html.dom.HTMLFormElementImpl;21.0;51.0;1.0588235294117647;1.7256944440305233;0;0
org.apache.html.dom.HTMLFrameElementImpl;18.0;51.0;1.0666666666666667;1.7256944440305233;0;0
org.apache.html.dom.HTMLFrameSetElementImpl;6.0;51.0;1.3333333333333333;1.7256944440305233;0;0
org.apache.html.dom.HTMLHRElementImpl;10.0;51.0;1.1428571428571428;1.7256944440305233;0;0
org.apache.html.dom.HTMLHeadElementImpl;4.0;51.0;2.0;1.7256944440305233;0;0
org.apache.html.dom.HTMLHeadingElementImpl;4.0;51.0;2.0;1.7256944440305233;0;0
org.apache.html.dom.HTMLHtmlElementImpl;4.0;51.0;2.0;1.7256944440305233;0;0
org.apache.html.dom.HTMLIFrameElementImpl;22.0;51.0;1.0526315789473684;1.7256944440305233;0;0
org.apache.html.dom.HTMLImageElementImpl;28.0;51.0;1.04;1.7256944440305233;0;0
org.apache.html.dom.HTMLInputElementImpl;39.0;51.0;1.0277777777777777;1.7256944440305233;0;0
org.apache.html.dom.HTMLIsIndexElementImpl;4.0;51.0;2.0;1.7256944440305233;0;0
org.apache.html.dom.HTMLLIElementImpl;6.0;51.0;1.3333333333333333;1.7256944440305233;0;0
org.apache.html.dom.HTMLLabelElementImpl;6.0;51.0;1.3333333333333333;1.7256944440305233;0;0
org.apache.html.dom.HTMLLegendElementImpl;6.0;51.0;1.3333333333333333;1.7256944440305233;0;0
org.apache.html.dom.HTMLLinkElementImpl;20.0;51.0;1.0588235294117647;1.7256944440305233;0;0
org.apache.html.dom.HTMLMapElementImpl;7.0;51.0;1.3333333333333333;1.7256944440305233;0;0
org.apache.html.dom.HTMLMenuElementImpl;4.0;51.0;2.0;1.7256944440305233;0;0
org.apache.html.dom.HTMLMetaElementImpl;10.0;51.0;1.1428571428571428;1.7256944440305233;0;0
org.apache.html.dom.HTMLModElementImpl;6.0;51.0;1.3333333333333333;1.7256944440305233;0;0
org.apache.html.dom.HTMLOListElementImpl;8.0;51.0;1.2;1.7256944440305233;0;0
org.apache.html.dom.HTMLObjectElementImpl;36.0;51.0;1.0303030303030303;1.7256944440305233;0;0
org.apache.html.dom.HTMLOptGroupElementImpl;6.0;51.0;1.3333333333333333;1.7256944440305233;0;0
org.apache.html.dom.HTMLOptionElementImpl;16.0;51.0;1.0769230769230769;1.7256944440305233;0;0
org.apache.html.dom.HTMLParagraphElementImpl;4.0;51.0;2.0;1.7256944440305233;0;0
org.apache.html.dom.HTMLParamElementImpl;10.0;51.0;1.1428571428571428;1.7256944440305233;0;0
org.apache.html.dom.HTMLPreElementImpl;4.0;51.0;2.0;1.7256944440305233;0;0
org.apache.html.dom.HTMLQuoteElementImpl;4.0;51.0;2.0;1.7256944440305233;0;0
org.apache.html.dom.HTMLScriptElementImpl;16.0;51.0;1.0769230769230769;1.7256944440305233;0;0
org.apache.html.dom.HTMLSelectElementImpl;26.0;51.0;1.0454545454545454;1.7256944440305233;0;1
org.apache.html.dom.HTMLStyleElementImpl;8.0;51.0;1.2;1.7256944440305233;0;0
org.apache.html.dom.HTMLTableCaptionElementImpl;4.0;51.0;2.0;1.7256944440305233;0;0
org.apache.html.dom.HTMLTableCellElementImpl;32.0;51.0;1.0344827586206897;1.7256944440305233;0;0
org.apache.html.dom.HTMLTableColElementImpl;14.0;51.0;1.0909090909090908;1.7256944440305233;0;0
org.apache.html.dom.HTMLTableElementImpl;40.0;51.0;1.0285714285714285;1.7256944440305233;0;0
org.apache.html.dom.HTMLTableRowElementImpl;23.0;51.0;1.0526315789473684;1.7256944440305233;0;0
org.apache.html.dom.HTMLTableSectionElementImpl;17.0;51.0;1.0769230769230769;1.7256944440305233;0;0
org.apache.html.dom.HTMLTextAreaElementImpl;24.0;51.0;1.0476190476190477;1.7256944440305233;0;0
org.apache.html.dom.HTMLTitleElementImpl;4.0;51.0;2.0;1.7256944440305233;0;0
org.apache.html.dom.HTMLUListElementImpl;6.0;51.0;1.3333333333333333;1.7256944440305233;0;0
org.apache.html.dom.NameNodeListImpl;2.0;51.0;0.0;1.7256944440305233;0;0
org.apache.html.dom.ObjectFactory;13.0;51.0;1.133333332836628;1.7256944440305233;0;1
org.apache.html.dom.SecuritySupport;11.0;51.0;1.125;1.7256944440305233;0;0
org.apache.wml.WMLAElement;8.0;51.0;0.0;1.7256944440305233;0;0
org.apache.wml.WMLAccessElement;4.0;51.0;0.0;1.7256944440305233;0;0
org.apache.wml.WMLAnchorElement;4.0;51.0;0.0;1.7256944440305233;0;0
org.apache.wml.WMLBElement;2.0;51.0;0.0;1.7256944440305233;0;0
org.apache.wml.WMLBigElement;2.0;51.0;0.0;1.7256944440305233;0;0
org.apache.wml.WMLBrElement;2.0;51.0;0.0;1.7256944440305233;0;0
org.apache.wml.WMLCardElement;14.0;51.0;0.0;1.7256944440305233;0;0
org.apache.wml.WMLDOMImplementation;0.0;51.0;0.0;1.7256944440305233;0;0
org.apache.wml.WMLDoElement;10.0;51.0;0.0;1.7256944440305233;0;0
org.apache.wml.WMLDocument;0.0;51.0;0.0;1.7256944440305233;0;0
org.apache.wml.WMLElement;4.0;51.0;0.0;1.7256944440305233;0;0
org.apache.wml.WMLEmElement;2.0;51.0;0.0;1.7256944440305233;0;0
org.apache.wml.WMLFieldsetElement;4.0;51.0;0.0;1.7256944440305233;0;0
org.apache.wml.WMLGoElement;8.0;51.0;0.0;1.7256944440305233;0;0
org.apache.wml.WMLHeadElement;0.0;51.0;0.0;1.7256944440305233;0;0
org.apache.wml.WMLIElement;2.0;51.0;0.0;1.7256944440305233;0;0
org.apache.wml.WMLImgElement;18.0;51.0;0.0;1.7256944440305233;0;0
org.apache.wml.WMLInputElement;20.0;51.0;0.0;1.7256944440305233;0;0
org.apache.wml.WMLMetaElement;10.0;51.0;0.0;1.7256944440305233;0;0
org.apache.wml.WMLNoopElement;0.0;51.0;0.0;1.7256944440305233;0;0
