Class;Method;DeclaringClass;NbFields
org.apache.log4j.selector.servlet.ContextDetachingSCL;contextDestroyed(org.apache.log4j.selector.servlet.ServletContextEvent);org.apache.log4j.helpers.JNDIUtil;1
org.apache.log4j.selector.servlet.ContextDetachingSCL;contextDestroyed(org.apache.log4j.selector.servlet.ServletContextEvent);java.lang.System;1
org.apache.log4j.selector.servlet.ContextDetachingSCL;contextDestroyed(org.apache.log4j.selector.servlet.ServletContextEvent);org.apache.log4j.spi.LoggerRepositoryEx;1
org.apache.log4j.selector.servlet.ContextDetachingSCL;contextDestroyed(org.apache.log4j.selector.servlet.ServletContextEvent);java.lang.Class;1
org.apache.log4j.selector.servlet.ContextDetachingSCL;contextDestroyed(org.apache.log4j.selector.servlet.ServletContextEvent);org.apache.log4j.spi.LoggerRepository;1
org.apache.log4j.selector.servlet.ContextDetachingSCL;contextDestroyed(org.apache.log4j.selector.servlet.ServletContextEvent);org.apache.log4j.LogManager;1
org.apache.log4j.selector.servlet.ContextDetachingSCL;contextDestroyed(org.apache.log4j.selector.servlet.ServletContextEvent);org.apache.log4j.selector.servlet.ContextDetachingSCL;1
org.apache.log4j.selector.servlet.ContextDetachingSCL;contextDestroyed(org.apache.log4j.selector.servlet.ServletContextEvent);org.apache.log4j.helpers.Constants;1
org.apache.log4j.selector.ContextJNDISelector;detachRepository(java.lang.String);org.apache.log4j.selector.ContextJNDISelector;1
org.apache.log4j.selector.ContextJNDISelector;getLoggerRepository();org.apache.log4j.helpers.JNDIUtil;1
org.apache.log4j.selector.ContextJNDISelector;getLoggerRepository();org.apache.log4j.Level;1
org.apache.log4j.selector.ContextJNDISelector;getLoggerRepository();org.apache.log4j.selector.ContextJNDISelector;3
org.apache.log4j.selector.ContextJNDISelector;getLoggerRepository();org.apache.log4j.LogManager;1
org.apache.log4j.selector.ContextJNDISelector;getLoggerRepository();org.apache.log4j.Hierarchy;1
org.apache.log4j.selector.ContextJNDISelector;getLoggerRepository();org.apache.log4j.helpers.Constants;2
org.apache.log4j.selector.ContextJNDISelector;getLoggerRepository(java.lang.String);org.apache.log4j.selector.ContextJNDISelector;1
org.apache.log4j.selector.ContextJNDISelector;getLoggerRepository(java.lang.String);org.apache.log4j.LogManager;1
org.apache.log4j.selector.ContextJNDISelector;getLoggerRepository(java.lang.String);org.apache.log4j.helpers.Constants;1
org.apache.log4j.WriterAppender;checkEntryConditions();org.apache.log4j.WriterAppender;4
org.apache.log4j.WriterAppender;writeFooter();org.apache.log4j.WriterAppender;2
org.apache.log4j.WriterAppender;writeFooter();org.apache.log4j.Layout;1
org.apache.log4j.WriterAppender;getEncoding();org.apache.log4j.WriterAppender;1
org.apache.log4j.WriterAppender;error(int, java.lang.Exception, java.lang.String);org.apache.log4j.WriterAppender;4
