Class;Method;DeclaringClass;NbFields
org.apache.velocity.servlet.VelocityServlet;mergeTemplate(org.apache.velocity.context.Context, org.apache.velocity.servlet.HttpServletResponse, org.apache.velocity.Template);org.apache.velocity.servlet.VelocityServlet;2
org.apache.velocity.servlet.VelocityServlet;setContentType(org.apache.velocity.servlet.HttpServletRequest, org.apache.velocity.servlet.HttpServletResponse);org.apache.velocity.servlet.VelocityServlet;1
org.apache.velocity.servlet.VelocityServlet;init(org.apache.velocity.servlet.ServletConfig);org.apache.velocity.servlet.VelocityServlet;5
org.apache.velocity.servlet.VelocityServlet;init(org.apache.velocity.servlet.ServletConfig);org.apache.velocity.runtime.RuntimeConstants;1
org.apache.velocity.servlet.VelocityServlet;init(org.apache.velocity.servlet.ServletConfig);org.apache.velocity.runtime.RuntimeSingleton;1
org.apache.velocity.servlet.VelocityServlet;getTemplate(java.lang.String, java.lang.String);org.apache.velocity.runtime.RuntimeSingleton;1
org.apache.velocity.servlet.VelocityServlet;loadConfiguration(org.apache.velocity.servlet.ServletConfig);org.apache.velocity.servlet.VelocityServlet;1
org.apache.velocity.servlet.VelocityServlet;doRequest(org.apache.velocity.servlet.HttpServletRequest, org.apache.velocity.servlet.HttpServletResponse);org.apache.velocity.servlet.VelocityServlet;1
org.apache.velocity.servlet.VelocityServlet;createContext(org.apache.velocity.servlet.HttpServletRequest, org.apache.velocity.servlet.HttpServletResponse);org.apache.velocity.servlet.VelocityServlet;2
org.apache.velocity.servlet.VelocityServlet;getTemplate(java.lang.String);org.apache.velocity.runtime.RuntimeSingleton;1
org.apache.velocity.context.VMContext;getEventCartridge();org.apache.velocity.context.InternalEventContext;1
org.apache.velocity.context.VMContext;getEventCartridge();org.apache.velocity.context.VMContext;1
org.apache.velocity.context.VMContext;put(java.lang.Object, java.lang.String);org.apache.velocity.runtime.directive.VMProxyArg;1
org.apache.velocity.context.VMContext;put(java.lang.Object, java.lang.String);org.apache.velocity.context.VMContext;5
org.apache.velocity.context.VMContext;attachEventCartridge(org.apache.velocity.app.event.EventCartridge);org.apache.velocity.context.VMContext;1
org.apache.velocity.context.VMContext;getBaseContext();org.apache.velocity.context.VMContext;1
org.apache.velocity.context.VMContext;getBaseContext();org.apache.velocity.context.InternalWrapperContext;1
org.apache.velocity.context.VMContext;addVMProxyArg(org.apache.velocity.runtime.directive.VMProxyArg);org.apache.velocity.runtime.directive.VMProxyArg;3
org.apache.velocity.context.VMContext;addVMProxyArg(org.apache.velocity.runtime.directive.VMProxyArg);org.apache.velocity.context.VMContext;3
org.apache.velocity.context.VMContext;icacheGet(java.lang.Object);org.apache.velocity.context.VMContext;1
org.apache.velocity.context.VMContext;icachePut(java.lang.Object, org.apache.velocity.util.introspection.IntrospectionCacheData);org.apache.velocity.context.VMContext;1
org.apache.velocity.context.VMContext;getTemplateNameStack();org.apache.velocity.context.VMContext;1
org.apache.velocity.context.VMContext;getTemplateNameStack();org.apache.velocity.context.InternalHousekeepingContext;1
org.apache.velocity.context.VMContext;setCurrentResource(org.apache.velocity.runtime.resource.Resource);org.apache.velocity.context.VMContext;1
org.apache.velocity.context.VMContext;setCurrentResource(org.apache.velocity.runtime.resource.Resource);org.apache.velocity.context.InternalHousekeepingContext;1
org.apache.velocity.context.VMContext;popCurrentTemplateName();org.apache.velocity.context.VMContext;1
org.apache.velocity.context.VMContext;getInternalUserContext();org.apache.velocity.context.VMContext;1
org.apache.velocity.context.VMContext;getInternalUserContext();org.apache.velocity.context.InternalWrapperContext;1
org.apache.velocity.context.VMContext;remove(java.lang.Object);org.apache.velocity.context.VMContext;1
org.apache.velocity.context.VMContext;getCurrentTemplateName();org.apache.velocity.context.VMContext;1
org.apache.velocity.context.VMContext;getCurrentTemplateName();org.apache.velocity.context.InternalHousekeepingContext;1
org.apache.velocity.context.VMContext;get(java.lang.String);org.apache.velocity.runtime.directive.VMProxyArg;1
org.apache.velocity.context.VMContext;get(java.lang.String);org.apache.velocity.context.VMContext;5
org.apache.velocity.context.VMContext;getKeys();org.apache.velocity.context.VMContext;1
org.apache.velocity.context.VMContext;pushCurrentTemplateName(java.lang.String);org.apache.velocity.context.VMContext;1
org.apache.velocity.context.VMContext;getCurrentResource();org.apache.velocity.context.VMContext;1
org.apache.velocity.context.VMContext;getCurrentResource();org.apache.velocity.context.InternalHousekeepingContext;1
org.apache.velocity.context.InternalContextBase;getTemplateNameStack();org.apache.velocity.context.InternalContextBase;1
org.apache.velocity.context.InternalContextBase;setCurrentResource(org.apache.velocity.runtime.resource.Resource);org.apache.velocity.context.InternalContextBase;1
org.apache.velocity.context.InternalContextBase;getEventCartridge();org.apache.velocity.context.InternalContextBase;1
org.apache.velocity.context.InternalContextBase;popCurrentTemplateName();org.apache.velocity.context.InternalContextBase;1
org.apache.velocity.context.InternalContextBase;attachEventCartridge(org.apache.velocity.app.event.EventCartridge);org.apache.velocity.context.InternalContextBase;1
org.apache.velocity.context.InternalContextBase;getCurrentTemplateName();org.apache.velocity.context.InternalContextBase;1
org.apache.velocity.context.InternalContextBase;icacheGet(java.lang.Object);org.apache.velocity.context.InternalContextBase;1
org.apache.velocity.context.InternalContextBase;pushCurrentTemplateName(java.lang.String);org.apache.velocity.context.InternalContextBase;1
org.apache.velocity.context.InternalContextBase;icachePut(java.lang.Object, org.apache.velocity.util.introspection.IntrospectionCacheData);org.apache.velocity.context.InternalContextBase;1
org.apache.velocity.context.InternalContextBase;getCurrentResource();org.apache.velocity.context.InternalContextBase;1
org.apache.velocity.context.AbstractContext;getChainedContext();org.apache.velocity.context.AbstractContext;1
org.apache.velocity.context.AbstractContext;get(java.lang.String);org.apache.velocity.context.AbstractContext;1
org.apache.velocity.context.InternalContextAdapterImpl;getEventCartridge();org.apache.velocity.context.InternalEventContext;1
org.apache.velocity.context.InternalContextAdapterImpl;getEventCartridge();org.apache.velocity.context.InternalContextAdapterImpl;1
org.apache.velocity.context.InternalContextAdapterImpl;containsKey(java.lang.Object);org.apache.velocity.context.InternalContextAdapterImpl;1
org.apache.velocity.context.InternalContextAdapterImpl;put(java.lang.Object, java.lang.String);org.apache.velocity.context.InternalContextAdapterImpl;1
org.apache.velocity.context.InternalContextAdapterImpl;attachEventCartridge(org.apache.velocity.app.event.EventCartridge);org.apache.velocity.context.InternalContextAdapterImpl;1
org.apache.velocity.context.InternalContextAdapterImpl;icacheGet(java.lang.Object);org.apache.velocity.context.InternalContextAdapterImpl;1
org.apache.velocity.context.InternalContextAdapterImpl;icachePut(java.lang.Object, org.apache.velocity.util.introspection.IntrospectionCacheData);org.apache.velocity.context.InternalContextAdapterImpl;1
org.apache.velocity.context.InternalContextAdapterImpl;getTemplateNameStack();org.apache.velocity.context.InternalContextAdapterImpl;1
org.apache.velocity.context.InternalContextAdapterImpl;getTemplateNameStack();org.apache.velocity.context.InternalHousekeepingContext;1
org.apache.velocity.context.InternalContextAdapterImpl;setCurrentResource(org.apache.velocity.runtime.resource.Resource);org.apache.velocity.context.InternalContextAdapterImpl;1
org.apache.velocity.context.InternalContextAdapterImpl;setCurrentResource(org.apache.velocity.runtime.resource.Resource);org.apache.velocity.context.InternalHousekeepingContext;1
org.apache.velocity.context.InternalContextAdapterImpl;popCurrentTemplateName();org.apache.velocity.context.InternalContextAdapterImpl;1
org.apache.velocity.context.InternalContextAdapterImpl;getInternalUserContext();org.apache.velocity.context.InternalContextAdapterImpl;1
org.apache.velocity.context.InternalContextAdapterImpl;remove(java.lang.Object);org.apache.velocity.context.InternalContextAdapterImpl;1
