Method;TargetClass;NbAccessedEntities;Distance_TC
android.telephony.CellBroadcastMessage.writeToParcel(android.telephony.Parcel, int);android.telephony.CellBroadcastMessage;2;0.9166666666666666
android.telephony.CellBroadcastMessage.writeToParcel(android.telephony.Parcel, int);android.telephony.SmsCbMessage;1;0.9411764705882353
android.telephony.CellBroadcastMessage.getContentValues();android.provider.Telephony;0;1.0
android.telephony.CellBroadcastMessage.getContentValues();android.telephony.CellBroadcastMessage;2;0.95
android.telephony.CellBroadcastMessage.getContentValues();android.telephony.SmsCbCmasInfo;6;0.75
android.telephony.CellBroadcastMessage.getContentValues();android.telephony.SmsCbMessage;7;0.7407407407407407
android.telephony.CellBroadcastMessage.getContentValues();android.telephony.SmsCbLocation;3;0.8928571428571429
android.telephony.CellBroadcastMessage.getContentValues();android.telephony.SmsCbEtwsInfo;1;0.9655172413793104
android.telephony.CellBroadcastMessage.getLanguageCode();android.telephony.CellBroadcastMessage;0;1.0
android.telephony.CellBroadcastMessage.getLanguageCode();android.telephony.SmsCbMessage;1;0.9333333333333333
android.telephony.CellBroadcastMessage.getServiceCategory();android.telephony.CellBroadcastMessage;0;1.0
android.telephony.CellBroadcastMessage.getServiceCategory();android.telephony.SmsCbMessage;1;0.9333333333333333
android.telephony.CellBroadcastMessage.getMessageBody();android.telephony.CellBroadcastMessage;0;1.0
android.telephony.CellBroadcastMessage.getMessageBody();android.telephony.SmsCbMessage;1;0.9333333333333333
android.telephony.CellBroadcastMessage.getSerialNumber();android.telephony.CellBroadcastMessage;0;1.0
android.telephony.CellBroadcastMessage.getSerialNumber();android.telephony.SmsCbMessage;1;0.9333333333333333
android.telephony.CellBroadcastMessage.getCmasWarningInfo();android.telephony.CellBroadcastMessage;0;1.0
android.telephony.CellBroadcastMessage.getCmasWarningInfo();android.telephony.SmsCbMessage;0;1.0
android.telephony.CellBroadcastMessage.getEtwsWarningInfo();android.telephony.CellBroadcastMessage;0;1.0
android.telephony.CellBroadcastMessage.getEtwsWarningInfo();android.telephony.SmsCbMessage;0;1.0
android.telephony.CellBroadcastMessage.isPublicAlertMessage();android.telephony.CellBroadcastMessage;0;1.0
android.telephony.CellBroadcastMessage.isPublicAlertMessage();android.telephony.SmsCbMessage;1;0.9333333333333333
android.telephony.CellBroadcastMessage.isEmergencyAlertMessage();android.telephony.CellBroadcastMessage;0;1.0
android.telephony.CellBroadcastMessage.isEmergencyAlertMessage();android.telephony.SmsCbCmasInfo;1;0.9166666666666666
android.telephony.CellBroadcastMessage.isEmergencyAlertMessage();android.telephony.SmsCbMessage;1;0.9375
android.telephony.CellBroadcastMessage.isEtwsMessage();android.telephony.CellBroadcastMessage;0;1.0
android.telephony.CellBroadcastMessage.isEtwsMessage();android.telephony.SmsCbMessage;1;0.9333333333333333
android.telephony.CellBroadcastMessage.isCmasMessage();android.telephony.CellBroadcastMessage;0;1.0
android.telephony.CellBroadcastMessage.isCmasMessage();android.telephony.SmsCbMessage;1;0.9333333333333333
android.telephony.CellBroadcastMessage.getCmasMessageClass();android.telephony.CellBroadcastMessage;0;1.0
android.telephony.CellBroadcastMessage.getCmasMessageClass();android.telephony.SmsCbCmasInfo;1;0.9166666666666666
android.telephony.CellBroadcastMessage.getCmasMessageClass();android.telephony.SmsCbMessage;1;0.9375
android.telephony.CellBroadcastMessage.isEtwsPopupAlert();android.telephony.CellBroadcastMessage;0;1.0
android.telephony.CellBroadcastMessage.isEtwsPopupAlert();android.telephony.SmsCbMessage;0;1.0
android.telephony.CellBroadcastMessage.isEtwsPopupAlert();android.telephony.SmsCbEtwsInfo;1;0.9090909090909091
android.telephony.CellBroadcastMessage.isEtwsEmergencyUserAlert();android.telephony.CellBroadcastMessage;0;1.0
android.telephony.CellBroadcastMessage.isEtwsEmergencyUserAlert();android.telephony.SmsCbMessage;0;1.0
android.telephony.CellBroadcastMessage.isEtwsEmergencyUserAlert();android.telephony.SmsCbEtwsInfo;1;0.9090909090909091
android.telephony.CellBroadcastMessage.isEtwsTestMessage();android.telephony.CellBroadcastMessage;0;1.0
android.telephony.CellBroadcastMessage.isEtwsTestMessage();android.telephony.SmsCbMessage;0;1.0
