Method;TargetClass;NbAccessedEntities;Distance_TC
org.apache.tools.ant.DirectoryScanner.checkIncludePatterns();org.apache.tools.ant.util.FileUtils;1;0.9848484848484849
org.apache.tools.ant.DirectoryScanner.checkIncludePatterns();org.apache.tools.ant.types.selectors.SelectorUtils;1;1.0
org.apache.tools.ant.DirectoryScanner.checkIncludePatterns();org.apache.tools.ant.DirectoryScanner;10;0.9325842696629214
org.apache.tools.ant.DirectoryScanner.scandir(boolean, java.io.File, java.lang.String);org.apache.tools.ant.util.FileUtils;1;0.9838709677419355
org.apache.tools.ant.DirectoryScanner.scandir(boolean, java.io.File, java.lang.String);org.apache.tools.ant.DirectoryScanner;12;0.8902439024390244
org.apache.tools.ant.DirectoryScanner.isDeeper(java.lang.String, java.lang.String);org.apache.tools.ant.types.selectors.SelectorUtils;0;1.0
org.apache.tools.ant.DirectoryScanner.contentsExcluded(java.lang.String);org.apache.tools.ant.types.selectors.SelectorUtils;1;1.0
org.apache.tools.ant.DirectoryScanner.contentsExcluded(java.lang.String);org.apache.tools.ant.DirectoryScanner;2;0.9722222222222222
org.apache.tools.ant.DirectoryScanner.findFile(boolean, java.io.File, java.lang.String);org.apache.tools.ant.util.FileUtils;3;0.9285714285714286
org.apache.tools.ant.DirectoryScanner.findFile(boolean, java.io.File, java.lang.String);org.apache.tools.ant.types.selectors.SelectorUtils;0;1.0
org.apache.tools.ant.DirectoryScanner.findFile(boolean, java.io.File, java.lang.String);org.apache.tools.ant.DirectoryScanner;1;1.0
org.apache.tools.ant.DirectoryScanner.isSymlink(java.io.File, java.lang.String);org.apache.tools.ant.types.selectors.SelectorUtils;0;1.0
org.apache.tools.ant.DirectoryScanner.isSymlink(java.io.File, java.lang.String);org.apache.tools.ant.DirectoryScanner;1;0.9850746268656716
org.apache.tools.ant.DirectoryScanner.isSymlink(java.io.File, java.util.Vector);org.apache.tools.ant.util.FileUtils;1;0.9772727272727273
org.apache.tools.ant.DirectoryScanner.isSymlink(java.io.File, java.util.Vector);org.apache.tools.ant.DirectoryScanner;1;0.9861111111111112
org.apache.tools.ant.DirectoryScanner.fillNonPatternSet(java.lang.String[], java.util.Set);org.apache.tools.ant.types.selectors.SelectorUtils;0;1.0
org.apache.tools.ant.DirectoryScanner.fillNonPatternSet(java.lang.String[], java.util.Set);org.apache.tools.ant.DirectoryScanner;1;0.9863013698630136
org.apache.tools.ant.filters.TokenFilter.initialize();org.apache.tools.ant.types.RegularExpression;2;0.8666666666666667
org.apache.tools.ant.filters.TokenFilter.initialize();org.apache.tools.ant.filters.TokenFilter;5;0.8863636363636364
org.apache.tools.ant.filters.TokenFilter.initialize();org.apache.tools.ant.types.Substitution;1;0.9
org.apache.tools.ant.filters.TokenFilter.initialize();org.apache.tools.ant.ProjectComponent;0;1.0
org.apache.tools.ant.filters.BaseFilterReader.readFully();org.apache.tools.ant.util.FileUtils;1;1.0
org.apache.tools.ant.filters.BaseFilterReader.readFully();org.apache.tools.ant.filters.BaseFilterReader;0;1.0
org.apache.tools.ant.filters.util.ChainReaderHelper.getAssembledReader();org.apache.tools.ant.types.AntFilterReader;2;0.9166666666666666
org.apache.tools.ant.filters.util.ChainReaderHelper.getAssembledReader();org.apache.tools.ant.types.FilterChain;1;0.975609756097561
org.apache.tools.ant.filters.util.ChainReaderHelper.getAssembledReader();org.apache.tools.ant.Project;1;0.9916666666666667
org.apache.tools.ant.filters.util.ChainReaderHelper.getAssembledReader();org.apache.tools.ant.filters.util.ChainReaderHelper;3;0.8571428571428572
org.apache.tools.ant.filters.util.ChainReaderHelper.getAssembledReader();org.apache.tools.ant.ProjectComponent;0;1.0
org.apache.tools.ant.filters.util.ChainReaderHelper.setProjectOnObject(java.lang.Object);org.apache.tools.ant.Project;1;0.9902912621359223
org.apache.tools.ant.filters.util.ChainReaderHelper.setProjectOnObject(java.lang.Object);org.apache.tools.ant.filters.BaseFilterReader;0;1.0
org.apache.tools.ant.filters.util.ChainReaderHelper.setProjectOnObject(java.lang.Object);org.apache.tools.ant.filters.util.ChainReaderHelper;0;1.0
org.apache.tools.ant.filters.util.ChainReaderHelper.readFully(java.io.Reader);org.apache.tools.ant.util.FileUtils;1;1.0
org.apache.tools.ant.filters.util.ChainReaderHelper.readFully(java.io.Reader);org.apache.tools.ant.filters.util.ChainReaderHelper;1;0.8571428571428572
org.apache.tools.ant.filters.BaseParamFilterReader.setParameters(org.apache.tools.ant.types.Parameter[]);org.apache.tools.ant.filters.BaseParamFilterReader;1;0.6666666666666667
org.apache.tools.ant.filters.BaseParamFilterReader.setParameters(org.apache.tools.ant.types.Parameter[]);org.apache.tools.ant.filters.BaseFilterReader;1;0.8333333333333334
org.apache.tools.ant.filters.ConcatFilter.read();org.apache.tools.ant.filters.ConcatFilter;3;0.7272727272727273
org.apache.tools.ant.filters.ConcatFilter.read();org.apache.tools.ant.filters.BaseFilterReader;1;0.9090909090909091
org.apache.tools.ant.filters.ConcatFilter.initialize();org.apache.tools.ant.filters.ConcatFilter;4;0.7142857142857143
org.apache.tools.ant.filters.ConcatFilter.initialize();org.apache.tools.ant.filters.BaseParamFilterReader;1;0.9166666666666666
org.apache.tools.ant.filters.ConcatFilter.initialize();org.apache.tools.ant.types.Parameter;2;0.8333333333333334
org.apache.tools.ant.filters.ConcatFilter.initialize();org.apache.tools.ant.Project;1;0.9911504424778761
org.apache.tools.ant.filters.ConcatFilter.initialize();org.apache.tools.ant.filters.BaseFilterReader;0;1.0
org.apache.tools.ant.filters.LineContainsRegExp.read();org.apache.tools.ant.types.RegularExpression;1;0.9545454545454546
org.apache.tools.ant.filters.LineContainsRegExp.read();org.apache.tools.ant.filters.BaseFilterReader;2;0.8823529411764706
org.apache.tools.ant.filters.LineContainsRegExp.read();org.apache.tools.ant.filters.LineContainsRegExp;5;0.6875
org.apache.tools.ant.filters.LineContainsRegExp.initialize();org.apache.tools.ant.types.RegularExpression;1;0.9375
org.apache.tools.ant.filters.LineContainsRegExp.initialize();org.apache.tools.ant.filters.BaseParamFilterReader;1;0.8888888888888888
org.apache.tools.ant.filters.LineContainsRegExp.initialize();org.apache.tools.ant.types.Parameter;2;0.7777777777777778
org.apache.tools.ant.filters.LineContainsRegExp.initialize();org.apache.tools.ant.Project;0;1.0
org.apache.tools.ant.filters.LineContainsRegExp.initialize();org.apache.tools.ant.filters.LineContainsRegExp;2;0.8461538461538461
org.apache.tools.ant.filters.PrefixLines.read();org.apache.tools.ant.filters.PrefixLines;4;0.6
org.apache.tools.ant.filters.PrefixLines.read();org.apache.tools.ant.filters.BaseFilterReader;2;0.8333333333333334
org.apache.tools.ant.filters.PrefixLines.chain(java.io.Reader);org.apache.tools.ant.filters.PrefixLines;1;0.8333333333333334
org.apache.tools.ant.filters.PrefixLines.chain(java.io.Reader);org.apache.tools.ant.filters.BaseFilterReader;1;0.8333333333333334
org.apache.tools.ant.filters.PrefixLines.initialize();org.apache.tools.ant.filters.PrefixLines;1;0.8888888888888888
org.apache.tools.ant.filters.PrefixLines.initialize();org.apache.tools.ant.filters.BaseParamFilterReader;1;0.8333333333333334
org.apache.tools.ant.filters.PrefixLines.initialize();org.apache.tools.ant.types.Parameter;2;0.6666666666666667
org.apache.tools.ant.filters.LineContains.read();org.apache.tools.ant.filters.LineContains;5;0.6875
org.apache.tools.ant.filters.LineContains.read();org.apache.tools.ant.filters.BaseFilterReader;2;0.875
org.apache.tools.ant.filters.LineContains.initialize();org.apache.tools.ant.filters.LineContains;2;0.8461538461538461
org.apache.tools.ant.filters.LineContains.initialize();org.apache.tools.ant.filters.BaseParamFilterReader;1;0.875
org.apache.tools.ant.filters.LineContains.initialize();org.apache.tools.ant.types.Parameter;2;0.75
org.apache.tools.ant.filters.LineContains.initialize();org.apache.tools.ant.Project;0;1.0
org.apache.tools.ant.filters.FixCrLfFilter.equals(java.lang.Object);org.apache.tools.ant.types.EnumeratedAttribute;1;0.8333333333333334
org.apache.tools.ant.filters.FixCrLfFilter.hashCode();org.apache.tools.ant.types.EnumeratedAttribute;1;0.8333333333333334
org.apache.tools.ant.filters.FixCrLfFilter.newInstance();org.apache.tools.ant.types.EnumeratedAttribute;1;0.8333333333333334
org.apache.tools.ant.filters.FixCrLfFilter.newInstance();org.apache.tools.ant.filters.FixCrLfFilter;0;1.0
org.apache.tools.ant.filters.StripLineBreaks.read();org.apache.tools.ant.filters.StripLineBreaks;2;0.75
org.apache.tools.ant.filters.StripLineBreaks.read();org.apache.tools.ant.filters.BaseFilterReader;1;0.9
org.apache.tools.ant.filters.StripLineBreaks.chain(java.io.Reader);org.apache.tools.ant.filters.StripLineBreaks;1;0.8
org.apache.tools.ant.filters.StripLineBreaks.chain(java.io.Reader);org.apache.tools.ant.filters.BaseFilterReader;1;0.8333333333333334
org.apache.tools.ant.filters.StripLineBreaks.initialize();org.apache.tools.ant.filters.StripLineBreaks;1;0.875
org.apache.tools.ant.filters.StripLineBreaks.initialize();org.apache.tools.ant.filters.BaseParamFilterReader;1;0.8333333333333334
org.apache.tools.ant.filters.StripLineBreaks.initialize();org.apache.tools.ant.types.Parameter;2;0.6666666666666667
org.apache.tools.ant.filters.StripLineComments.read();org.apache.tools.ant.filters.BaseFilterReader;2;0.8666666666666667
org.apache.tools.ant.filters.StripLineComments.read();org.apache.tools.ant.filters.StripLineComments;4;0.7333333333333334
org.apache.tools.ant.filters.StripLineComments.chain(java.io.Reader);org.apache.tools.ant.filters.BaseFilterReader;1;0.8333333333333334
org.apache.tools.ant.filters.StripLineComments.chain(java.io.Reader);org.apache.tools.ant.filters.StripLineComments;1;0.875
org.apache.tools.ant.filters.StripLineComments.initialize();org.apache.tools.ant.filters.BaseParamFilterReader;1;0.8571428571428572
org.apache.tools.ant.filters.StripLineComments.initialize();org.apache.tools.ant.types.Parameter;2;0.7142857142857143
