Method;TargetClass;NbAccessedEntities;Distance_TC
org.apache.derby.impl.io.JarDBFile.getEntry();org.apache.derby.impl.io.JarDBFile;0;1.0
org.apache.derby.impl.io.JarDBFile.getEntry();org.apache.derby.impl.io.JarStorageFactory;1;0.875
org.apache.derby.impl.io.JarDBFile.getEntry();org.apache.derby.impl.io.InputStreamFile;1;0.9615384615384616
org.apache.derby.impl.io.JarDBFile.getParentDir(int);org.apache.derby.impl.io.JarDBFile;0;1.0
org.apache.derby.impl.io.JarDBFile.getParentDir(int);org.apache.derby.impl.io.InputStreamFile;1;0.9583333333333334
org.apache.derby.impl.io.JarDBFile.getInputStream();org.apache.derby.impl.io.JarDBFile;1;0.8888888888888888
org.apache.derby.impl.io.JarDBFile.getInputStream();org.apache.derby.impl.io.InputStreamFile;1;0.962962962962963
org.apache.derby.impl.io.JarDBFile.getInputStream();org.apache.derby.impl.io.JarStorageFactory;1;0.8888888888888888
org.apache.derby.impl.io.JarDBFile.getURL();org.apache.derby.impl.io.JarDBFile;0;1.0
org.apache.derby.impl.io.JarDBFile.getURL();org.apache.derby.impl.io.JarStorageFactory;1;0.9
org.apache.derby.impl.io.JarDBFile.getURL();org.apache.derby.impl.io.InputStreamFile;1;0.9642857142857143
org.apache.derby.impl.io.DirFile4.releaseExclusiveFileLock();org.apache.derby.impl.io.DirFile4;3;0.7692307692307692
org.apache.derby.impl.io.DirFile4.releaseExclusiveFileLock();org.apache.derby.impl.io.DirFile;4;0.9375
org.apache.derby.impl.io.JarStorageFactory.doInit();org.apache.derby.impl.io.JarStorageFactory;2;0.875
org.apache.derby.impl.io.JarStorageFactory.doInit();org.apache.derby.impl.io.BaseStorageFactory;4;0.8461538461538461
org.apache.derby.impl.io.JarStorageFactory.getJarFile(java.lang.String);org.apache.derby.impl.io.BaseStorageFactory;1;0.9473684210526316
org.apache.derby.impl.io.DirStorageFactory.newPersistentFile(java.lang.String);org.apache.derby.impl.io.BaseStorageFactory;1;0.9444444444444444
org.apache.derby.impl.io.DirStorageFactory.newPersistentFile(java.lang.String, java.lang.String);org.apache.derby.impl.io.BaseStorageFactory;1;0.9444444444444444
org.apache.derby.impl.io.DirStorageFactory.doInit();org.apache.derby.impl.io.BaseStorageFactory;6;0.7142857142857143
org.apache.derby.impl.io.URLFile.getParentDir(int);org.apache.derby.impl.io.URLFile;0;1.0
org.apache.derby.impl.io.URLFile.getParentDir(int);org.apache.derby.impl.io.InputStreamFile;1;0.9583333333333334
org.apache.derby.impl.io.URLFile.getInputStream();org.apache.derby.impl.io.InputStreamFile;1;0.96
org.apache.derby.impl.io.URLStorageFactory.doInit();org.apache.derby.impl.io.BaseStorageFactory;4;0.8095238095238095
org.apache.derby.impl.io.CPFile.getParentDir(int);org.apache.derby.impl.io.CPFile;0;1.0
org.apache.derby.impl.io.CPFile.getParentDir(int);org.apache.derby.impl.io.InputStreamFile;1;0.9583333333333334
org.apache.derby.impl.io.CPFile.getInputStream();org.apache.derby.impl.io.InputStreamFile;1;0.9666666666666667
org.apache.derby.impl.io.CPFile.getURL();org.apache.derby.impl.io.InputStreamFile;1;0.9666666666666667
org.apache.derby.impl.io.InputStreamFile.getCanonicalPath();org.apache.derby.impl.io.InputStreamFile;1;0.96
org.apache.derby.impl.io.InputStreamFile.getCanonicalPath();org.apache.derby.impl.io.BaseStorageFactory;1;0.9473684210526316
org.apache.derby.impl.io.InputStreamFile.getParentDir();org.apache.derby.impl.io.InputStreamFile;2;0.9642857142857143
org.apache.derby.impl.io.InputStreamFile.getParentDir();org.apache.derby.impl.io.BaseStorageFactory;1;0.9545454545454546
org.apache.derby.impl.io.DirStorageFactory4.newPersistentFile(java.lang.String);org.apache.derby.impl.io.DirStorageFactory4;0;1.0
org.apache.derby.impl.io.DirStorageFactory4.newPersistentFile(java.lang.String);org.apache.derby.impl.io.BaseStorageFactory;1;0.9444444444444444
org.apache.derby.impl.io.DirStorageFactory4.newPersistentFile(java.lang.String, java.lang.String);org.apache.derby.impl.io.DirStorageFactory4;0;1.0
org.apache.derby.impl.io.DirStorageFactory4.newPersistentFile(java.lang.String, java.lang.String);org.apache.derby.impl.io.BaseStorageFactory;1;0.9444444444444444
org.apache.derby.impl.io.CPStorageFactory.doInit();org.apache.derby.impl.io.BaseStorageFactory;4;0.7777777777777778
org.apache.derby.impl.jdbc.EmbedCallableStatement40.getCharacterStream(java.lang.String);org.apache.derby.impl.jdbc.Util;0;1.0
org.apache.derby.impl.jdbc.EmbedCallableStatement40.getNCharacterStream(int);org.apache.derby.impl.jdbc.Util;0;1.0
org.apache.derby.impl.jdbc.EmbedCallableStatement40.getNCharacterStream(java.lang.String);org.apache.derby.impl.jdbc.Util;0;1.0
org.apache.derby.impl.jdbc.EmbedCallableStatement40.getNString(int);org.apache.derby.impl.jdbc.Util;0;1.0
org.apache.derby.impl.jdbc.EmbedCallableStatement40.getNString(java.lang.String);org.apache.derby.impl.jdbc.Util;0;1.0
org.apache.derby.impl.jdbc.EmbedCallableStatement40.setBlob(java.lang.String, java.sql.Blob);org.apache.derby.impl.jdbc.Util;0;1.0
org.apache.derby.impl.jdbc.EmbedCallableStatement40.setClob(java.lang.String, java.sql.Clob);org.apache.derby.impl.jdbc.Util;0;1.0
org.apache.derby.impl.jdbc.EmbedCallableStatement40.getRowId(int);org.apache.derby.impl.jdbc.Util;0;1.0
org.apache.derby.impl.jdbc.EmbedCallableStatement40.getRowId(java.lang.String);org.apache.derby.impl.jdbc.Util;0;1.0
org.apache.derby.impl.jdbc.EmbedCallableStatement40.setRowId(java.lang.String, java.sql.RowId);org.apache.derby.impl.jdbc.Util;0;1.0
org.apache.derby.impl.jdbc.EmbedCallableStatement40.setNString(java.lang.String, java.lang.String);org.apache.derby.impl.jdbc.Util;0;1.0
org.apache.derby.impl.jdbc.EmbedCallableStatement40.setNCharacterStream(java.io.Reader, java.lang.String, long);org.apache.derby.impl.jdbc.Util;0;1.0
org.apache.derby.impl.jdbc.EmbedCallableStatement40.setNClob(java.lang.String, java.sql.NClob);org.apache.derby.impl.jdbc.Util;0;1.0
org.apache.derby.impl.jdbc.EmbedCallableStatement40.setClob(java.io.Reader, java.lang.String, long);org.apache.derby.impl.jdbc.Util;0;1.0
org.apache.derby.impl.jdbc.EmbedCallableStatement40.setBlob(java.io.InputStream, java.lang.String, long);org.apache.derby.impl.jdbc.Util;0;1.0
org.apache.derby.impl.jdbc.EmbedCallableStatement40.setNClob(java.io.Reader, java.lang.String, long);org.apache.derby.impl.jdbc.Util;0;1.0
org.apache.derby.impl.jdbc.EmbedCallableStatement40.getNClob(int);org.apache.derby.impl.jdbc.Util;0;1.0
org.apache.derby.impl.jdbc.EmbedCallableStatement40.getNClob(java.lang.String);org.apache.derby.impl.jdbc.Util;0;1.0
org.apache.derby.impl.jdbc.EmbedCallableStatement40.setSQLXML(java.lang.String, java.sql.SQLXML);org.apache.derby.impl.jdbc.Util;0;1.0
org.apache.derby.impl.jdbc.EmbedCallableStatement40.getSQLXML(int);org.apache.derby.impl.jdbc.Util;0;1.0
org.apache.derby.impl.jdbc.EmbedCallableStatement40.getSQLXML(java.lang.String);org.apache.derby.impl.jdbc.Util;0;1.0
org.apache.derby.impl.jdbc.EmbedCallableStatement40.setRowId(int, java.sql.RowId);org.apache.derby.impl.jdbc.Util;0;1.0
org.apache.derby.impl.jdbc.EmbedCallableStatement40.setNString(int, java.lang.String);org.apache.derby.impl.jdbc.Util;0;1.0
org.apache.derby.impl.jdbc.EmbedCallableStatement40.setNCharacterStream(int, java.io.Reader);org.apache.derby.impl.jdbc.Util;0;1.0
org.apache.derby.impl.jdbc.EmbedCallableStatement40.setNCharacterStream(int, java.io.Reader, long);org.apache.derby.impl.jdbc.Util;0;1.0
org.apache.derby.impl.jdbc.EmbedCallableStatement40.setNClob(int, java.sql.NClob);org.apache.derby.impl.jdbc.Util;0;1.0
org.apache.derby.impl.jdbc.EmbedCallableStatement40.setNClob(int, java.io.Reader);org.apache.derby.impl.jdbc.Util;0;1.0
org.apache.derby.impl.jdbc.EmbedCallableStatement40.setNClob(int, java.io.Reader, long);org.apache.derby.impl.jdbc.Util;0;1.0
org.apache.derby.impl.jdbc.EmbedCallableStatement40.setSQLXML(int, java.sql.SQLXML);org.apache.derby.impl.jdbc.Util;0;1.0
org.apache.derby.impl.jdbc.EmbedCallableStatement40.getParameterMetaData();org.apache.derby.impl.jdbc.EmbedStatement;1;0.987012987012987
org.apache.derby.impl.jdbc.EmbedCallableStatement40.getParameterMetaData();org.apache.derby.impl.jdbc.EmbedPreparedStatement;1;0.9876543209876543
org.apache.derby.impl.jdbc.EmbedCallableStatement40.isWrapperFor(java.lang.Class<?>);org.apache.derby.impl.jdbc.EmbedStatement;1;0.9868421052631579
org.apache.derby.impl.jdbc.EmbedCallableStatement40.setAsciiStream(java.io.InputStream, java.lang.String);org.apache.derby.impl.jdbc.Util;0;1.0
org.apache.derby.impl.jdbc.EmbedCallableStatement40.setBinaryStream(java.io.InputStream, java.lang.String);org.apache.derby.impl.jdbc.Util;0;1.0
org.apache.derby.impl.jdbc.EmbedCallableStatement40.setBlob(java.io.InputStream, java.lang.String);org.apache.derby.impl.jdbc.Util;0;1.0
org.apache.derby.impl.jdbc.EmbedCallableStatement40.setCharacterStream(java.io.Reader, java.lang.String);org.apache.derby.impl.jdbc.Util;0;1.0
org.apache.derby.impl.jdbc.EmbedCallableStatement40.setClob(java.io.Reader, java.lang.String);org.apache.derby.impl.jdbc.Util;0;1.0
org.apache.derby.impl.jdbc.EmbedCallableStatement40.setNCharacterStream(java.io.Reader, java.lang.String);org.apache.derby.impl.jdbc.Util;0;1.0
org.apache.derby.impl.jdbc.EmbedCallableStatement40.setNClob(java.io.Reader, java.lang.String);org.apache.derby.impl.jdbc.Util;0;1.0
org.apache.derby.impl.jdbc.EmbedCallableStatement40.unwrap(java.lang.Class<T>);org.apache.derby.impl.jdbc.EmbedStatement;1;0.987012987012987
org.apache.derby.impl.jdbc.EmbedCallableStatement40.unwrap(java.lang.Class<T>);org.apache.derby.impl.jdbc.ConnectionChild;1;1.0
org.apache.derby.impl.jdbc.EmbedCallableStatement40.setAsciiStream(java.io.InputStream, java.lang.String, long);org.apache.derby.impl.jdbc.Util;0;1.0
org.apache.derby.impl.jdbc.EmbedCallableStatement40.setBinaryStream(java.io.InputStream, java.lang.String, long);org.apache.derby.impl.jdbc.Util;0;1.0
org.apache.derby.impl.jdbc.EmbedCallableStatement40.setCharacterStream(java.io.Reader, java.lang.String, long);org.apache.derby.impl.jdbc.Util;0;1.0
