Method;TargetClass;NbAccessedEntities;Distance_TC
org.javacc.utils.ConditionParserTokenManager.jjStartNfaWithStates_0(int, int, int);org.javacc.utils.JavaCharStream;1;0.9795918367346939
org.javacc.utils.ConditionParserTokenManager.jjStartNfaWithStates_0(int, int, int);org.javacc.utils.ConditionParserTokenManager;4;0.9047619047619048
org.javacc.utils.ConditionParserTokenManager.jjMoveStringLiteralDfa1_0(long);org.javacc.utils.JavaCharStream;1;0.9803921568627451
org.javacc.utils.ConditionParserTokenManager.jjMoveStringLiteralDfa1_0(long);org.javacc.utils.ConditionParserTokenManager;6;0.8571428571428572
org.javacc.utils.ConditionParserTokenManager.jjMoveStringLiteralDfa2_0(long, long);org.javacc.utils.JavaCharStream;1;0.9795918367346939
org.javacc.utils.ConditionParserTokenManager.jjMoveStringLiteralDfa2_0(long, long);org.javacc.utils.ConditionParserTokenManager;4;0.9047619047619048
org.javacc.utils.ConditionParserTokenManager.jjMoveStringLiteralDfa3_0(long, long);org.javacc.utils.JavaCharStream;1;0.98
org.javacc.utils.ConditionParserTokenManager.jjMoveStringLiteralDfa3_0(long, long);org.javacc.utils.ConditionParserTokenManager;5;0.8809523809523809
org.javacc.utils.ConditionParserTokenManager.jjMoveStringLiteralDfa4_0(long, long);org.javacc.utils.JavaCharStream;1;0.9795918367346939
org.javacc.utils.ConditionParserTokenManager.jjMoveStringLiteralDfa4_0(long, long);org.javacc.utils.ConditionParserTokenManager;4;0.9047619047619048
org.javacc.utils.ConditionParserTokenManager.jjMoveNfa_0(int, int);org.javacc.utils.JavaCharStream;1;0.9811320754716981
org.javacc.utils.ConditionParserTokenManager.jjMoveNfa_0(int, int);org.javacc.utils.ConditionParserTokenManager;8;0.8095238095238095
org.javacc.utils.ConditionParserTokenManager.jjMoveStringLiteralDfa1_3(long);org.javacc.utils.JavaCharStream;1;0.9787234042553191
org.javacc.utils.ConditionParserTokenManager.jjMoveStringLiteralDfa1_3(long);org.javacc.utils.ConditionParserTokenManager;2;0.9523809523809523
org.javacc.utils.ConditionParserTokenManager.jjMoveNfa_1(int, int);org.javacc.utils.JavaCharStream;1;0.9807692307692307
org.javacc.utils.ConditionParserTokenManager.jjMoveNfa_1(int, int);org.javacc.utils.ConditionParserTokenManager;7;0.8333333333333334
org.javacc.utils.ConditionParserTokenManager.jjMoveStringLiteralDfa1_2(long);org.javacc.utils.JavaCharStream;1;0.9787234042553191
org.javacc.utils.ConditionParserTokenManager.jjMoveStringLiteralDfa1_2(long);org.javacc.utils.ConditionParserTokenManager;2;0.9523809523809523
org.javacc.utils.ConditionParserTokenManager.SwitchTo(int);org.javacc.utils.TokenMgrError;0;1.0
org.javacc.utils.ConditionParserTokenManager.SwitchTo(int);org.javacc.utils.ConditionParserTokenManager;1;0.975609756097561
org.javacc.utils.ConditionParserTokenManager.jjFillToken();org.javacc.utils.JavaCharStream;5;0.9
org.javacc.utils.ConditionParserTokenManager.jjFillToken();org.javacc.utils.Token;4;0.6923076923076923
org.javacc.utils.ConditionParserTokenManager.jjFillToken();org.javacc.utils.ConditionParserTokenManager;1;0.98
org.javacc.utils.ConditionParserTokenManager.getNextToken();org.javacc.utils.TokenMgrError;0;1.0
org.javacc.utils.ConditionParserTokenManager.getNextToken();org.javacc.utils.JavaCharStream;6;0.896551724137931
org.javacc.utils.ConditionParserTokenManager.getNextToken();org.javacc.utils.Token;0;1.0
org.javacc.utils.ConditionParserTokenManager.getNextToken();org.javacc.utils.ConditionParserTokenManager;13;0.7234042553191489
org.javacc.utils.ConditionParserTokenManager.MoreLexicalActions();org.javacc.utils.JavaCharStream;2;0.9607843137254902
org.javacc.utils.ConditionParserTokenManager.MoreLexicalActions();org.javacc.utils.ConditionParserTokenManager;5;0.8863636363636364
org.javacc.utils.ConditionParser.Name();org.javacc.utils.Token;1;0.9375
org.javacc.utils.ConditionParser.Name();org.javacc.utils.ConditionParser;4;0.9090909090909091
org.javacc.utils.ConditionParser.ReInit(java.io.InputStream, java.lang.String);org.javacc.utils.JavaCharStream;1;1.0
org.javacc.utils.ConditionParser.ReInit(java.io.InputStream, java.lang.String);org.javacc.utils.ConditionParserTokenManager;1;0.9777777777777777
org.javacc.utils.ConditionParser.ReInit(java.io.InputStream, java.lang.String);org.javacc.utils.ConditionParser;4;0.8928571428571429
org.javacc.utils.ConditionParser.ReInit(java.io.Reader);org.javacc.utils.JavaCharStream;1;1.0
org.javacc.utils.ConditionParser.ReInit(java.io.Reader);org.javacc.utils.ConditionParserTokenManager;1;0.9777777777777777
org.javacc.utils.ConditionParser.ReInit(java.io.Reader);org.javacc.utils.ConditionParser;4;0.8928571428571429
org.javacc.utils.ConditionParser.jj_consume_token(int);org.javacc.utils.Token;1;0.9166666666666666
org.javacc.utils.ConditionParser.jj_consume_token(int);org.javacc.utils.ConditionParserTokenManager;1;0.9782608695652174
org.javacc.utils.ConditionParser.jj_consume_token(int);org.javacc.utils.ConditionParser;5;0.8571428571428572
org.javacc.utils.ConditionParser.getNextToken();org.javacc.utils.Token;0;1.0
org.javacc.utils.ConditionParser.getNextToken();org.javacc.utils.ConditionParserTokenManager;1;0.9767441860465116
org.javacc.utils.ConditionParser.getNextToken();org.javacc.utils.ConditionParser;3;0.9259259259259259
org.javacc.utils.ConditionParser.getToken(int);org.javacc.utils.Token;0;1.0
org.javacc.utils.ConditionParser.getToken(int);org.javacc.utils.ConditionParserTokenManager;1;0.975609756097561
org.javacc.utils.ConditionParser.getToken(int);org.javacc.utils.ConditionParser;1;1.0
org.javacc.utils.ConditionParser.jj_ntk();org.javacc.utils.Token;1;0.8888888888888888
org.javacc.utils.ConditionParser.jj_ntk();org.javacc.utils.ConditionParserTokenManager;1;0.9767441860465116
org.javacc.utils.ConditionParser.jj_ntk();org.javacc.utils.ConditionParser;2;0.9642857142857143
org.javacc.utils.ParseException.getMessage();org.javacc.utils.ParseException;5;0.6428571428571428
org.javacc.utils.ParseException.getMessage();org.javacc.utils.Token;4;0.75
org.javacc.utils.JavaFileGenerator.evaluate(java.lang.String);org.javacc.utils.JavaFileGenerator;1;0.9333333333333333
org.javacc.utils.JavaFileGenerator.evaluate(java.lang.String);org.javacc.utils.ConditionParser;1;0.9642857142857143
org.javacc.parser.Lookahead.dump(int, java.util.Set);org.javacc.parser.Expansion;1;0.9444444444444444
org.javacc.parser.Lookahead.dump(int, java.util.Set);org.javacc.parser.Lookahead;1;0.8888888888888888
org.javacc.parser.OutputFile.checkVersion(java.io.File, java.lang.String);org.javacc.parser.JavaCCGlobals;0;1.0
org.javacc.parser.OutputFile.checkVersion(java.io.File, java.lang.String);org.javacc.parser.JavaCCErrors;0;1.0
org.javacc.parser.OutputFile.checkVersion(java.io.File, java.lang.String);org.javacc.parser.OutputFile;1;0.9545454545454546
org.javacc.parser.OutputFile.checkOptions(java.io.File, java.lang.String[]);org.javacc.parser.JavaCCErrors;0;1.0
org.javacc.parser.OutputFile.checkOptions(java.io.File, java.lang.String[]);org.javacc.parser.Options;0;1.0
org.javacc.parser.OutputFile.getPrintWriter();org.javacc.parser.JavaCCGlobals;0;1.0
org.javacc.parser.OutputFile.getPrintWriter();org.javacc.parser.OutputFile;6;0.7142857142857143
org.javacc.parser.OutputFile.getPrintWriter();org.javacc.parser.Options;0;1.0
org.javacc.parser.OutputFile.getPrintWriter();org.javacc.Version;0;1.0
org.javacc.parser.ROneOrMore.GenerateNfa(boolean);org.javacc.parser.Nfa;1;1.0
org.javacc.parser.ROneOrMore.GenerateNfa(boolean);org.javacc.parser.ROneOrMore;0;1.0
org.javacc.parser.ROneOrMore.GenerateNfa(boolean);org.javacc.parser.RegularExpression;1;1.0
org.javacc.parser.ROneOrMore.GenerateNfa(boolean);org.javacc.parser.NfaState;1;0.9824561403508771
org.javacc.parser.NormalProduction.dump(int, java.util.Set);org.javacc.parser.NormalProduction;4;0.8461538461538461
org.javacc.parser.NormalProduction.dump(int, java.util.Set);org.javacc.parser.Expansion;1;0.9583333333333334
org.javacc.parser.Sequence.dump(int, java.util.Set);org.javacc.parser.Expansion;2;0.9166666666666666
org.javacc.parser.Sequence.dump(int, java.util.Set);org.javacc.parser.Sequence;1;0.9285714285714286
org.javacc.parser.Semanticize.action(org.javacc.parser.Expansion);org.javacc.parser.LookaheadCalc;0;1.0
org.javacc.parser.Semanticize.action(org.javacc.parser.Expansion);org.javacc.parser.Semanticize;0;1.0
org.javacc.parser.Semanticize.action(org.javacc.parser.Expansion);org.javacc.parser.OneOrMore;0;1.0
org.javacc.parser.Semanticize.action(org.javacc.parser.Expansion);org.javacc.parser.ZeroOrMore;0;1.0
org.javacc.parser.Semanticize.action(org.javacc.parser.Expansion);org.javacc.parser.ZeroOrOne;0;1.0
org.javacc.parser.Semanticize.action(org.javacc.parser.Expansion);org.javacc.parser.Options;0;1.0
org.javacc.parser.ZeroOrOne.dump(int, java.util.Set);org.javacc.parser.Expansion;1;0.9411764705882353
org.javacc.parser.ZeroOrOne.dump(int, java.util.Set);org.javacc.parser.ZeroOrOne;0;1.0
org.javacc.parser.ParseGenCPP.start();org.javacc.parser.CodeGenerator;13;0.6904761904761905
org.javacc.parser.ParseGenCPP.start();org.javacc.parser.JavaCCGlobals;0;1.0
org.javacc.parser.ParseGenCPP.start();org.javacc.parser.Token;0;1.0
org.javacc.parser.ParseGenCPP.start();org.javacc.parser.JavaCCErrors;0;1.0
org.javacc.parser.ParseGenCPP.start();org.javacc.parser.Options;0;1.0
org.javacc.parser.ParseGenCPP.start();org.javacc.parser.ParseEngine;1;0.9807692307692307
org.javacc.parser.NfaState.AddChar(char);org.javacc.parser.LexGen;0;1.0
org.javacc.parser.NfaState.AddChar(char);org.javacc.parser.NfaState;4;0.9285714285714286
org.javacc.parser.NfaState.AddChar(char);org.javacc.parser.JavaCCErrors;0;1.0
org.javacc.parser.NfaState.AddChar(char);org.javacc.parser.Main;0;1.0
org.javacc.parser.NfaState.AddChar(char);org.javacc.parser.Options;0;1.0
org.javacc.parser.NfaState.AddRange(char, char);org.javacc.parser.LexGen;0;1.0
org.javacc.parser.NfaState.AddRange(char, char);org.javacc.parser.NfaState;3;0.9464285714285714
org.javacc.parser.NfaState.AddRange(char, char);org.javacc.parser.JavaCCErrors;0;1.0
org.javacc.parser.NfaState.AddRange(char, char);org.javacc.parser.Main;0;1.0
org.javacc.parser.NfaState.AddRange(char, char);org.javacc.parser.Options;0;1.0
org.javacc.parser.NfaState.MergeMoves(org.javacc.parser.NfaState);org.javacc.parser.NfaState;8;0.8596491228070176
org.javacc.parser.NfaState.MergeMoves(org.javacc.parser.NfaState);org.javacc.parser.JavaCCErrors;0;1.0
org.javacc.parser.NfaState.GenerateNonAsciiMoves(org.javacc.parser.CodeGenerator);org.javacc.parser.CodeGenerator;4;0.9148936170212766
org.javacc.parser.NfaState.GenerateNonAsciiMoves(org.javacc.parser.CodeGenerator);org.javacc.parser.NfaState;5;0.9253731343283582
org.javacc.parser.NfaState.GenerateNonAsciiMoves(org.javacc.parser.CodeGenerator);org.javacc.parser.Options;0;1.0
org.javacc.parser.NfaState.PrintNoBreak(boolean[], int, org.javacc.parser.CodeGenerator);org.javacc.parser.CodeGenerator;1;0.975609756097561
org.javacc.parser.NfaState.PrintNoBreak(boolean[], int, org.javacc.parser.CodeGenerator);org.javacc.parser.NfaState;6;0.9137931034482758
org.javacc.parser.NfaState.DumpAsciiMoveForCompositeState(boolean, int, org.javacc.parser.CodeGenerator);org.javacc.parser.CodeGenerator;2;0.9574468085106383
org.javacc.parser.NfaState.DumpAsciiMoveForCompositeState(boolean, int, org.javacc.parser.CodeGenerator);org.javacc.parser.NfaState;7;0.8888888888888888
org.javacc.parser.NfaState.DumpAsciiMove(boolean[], int, org.javacc.parser.CodeGenerator);org.javacc.parser.CodeGenerator;2;0.9591836734693877
org.javacc.parser.NfaState.DumpAsciiMove(boolean[], int, org.javacc.parser.CodeGenerator);org.javacc.parser.NfaState;8;0.875
org.javacc.parser.NfaState.DumpNonAsciiMoveForCompositeState(org.javacc.parser.CodeGenerator);org.javacc.parser.CodeGenerator;2;0.96
org.javacc.parser.NfaState.DumpNonAsciiMoveForCompositeState(org.javacc.parser.CodeGenerator);org.javacc.parser.NfaState;8;0.8769230769230769
org.javacc.parser.NfaState.DumpNonAsciiMoveForCompositeState(org.javacc.parser.CodeGenerator);org.javacc.parser.Options;0;1.0
org.javacc.parser.NfaState.DumpNonAsciiMove(boolean[], org.javacc.parser.CodeGenerator);org.javacc.parser.CodeGenerator;2;0.9615384615384616
org.javacc.parser.NfaState.DumpNonAsciiMove(boolean[], org.javacc.parser.CodeGenerator);org.javacc.parser.NfaState;9;0.8636363636363636
org.javacc.parser.NfaState.DumpNonAsciiMove(boolean[], org.javacc.parser.CodeGenerator);org.javacc.parser.Options;0;1.0
org.javacc.parser.NfaState.DumpNonAsciiMoveMethod(org.javacc.parser.CodeGenerator);org.javacc.parser.CodeGenerator;3;0.9285714285714286
org.javacc.parser.NfaState.DumpNonAsciiMoveMethod(org.javacc.parser.CodeGenerator);org.javacc.parser.LexGen;0;1.0
org.javacc.parser.NfaState.DumpNonAsciiMoveMethod(org.javacc.parser.CodeGenerator);org.javacc.parser.NfaState;3;0.9523809523809523
org.javacc.parser.NfaState.DumpNonAsciiMoveMethod(org.javacc.parser.CodeGenerator);org.javacc.parser.Main;0;1.0
org.javacc.parser.NfaState.DumpNonAsciiMoveMethod(org.javacc.parser.CodeGenerator);org.javacc.parser.Options;0;1.0
org.javacc.parser.RChoice.GenerateNfa(boolean);org.javacc.parser.Nfa;1;1.0
org.javacc.parser.RChoice.GenerateNfa(boolean);org.javacc.parser.RegularExpression;1;1.0
org.javacc.parser.RChoice.GenerateNfa(boolean);org.javacc.parser.NfaState;1;0.9836065573770492
org.javacc.parser.RChoice.GenerateNfa(boolean);org.javacc.parser.RChoice;2;0.7777777777777778
org.javacc.parser.RChoice.CompressCharLists();org.javacc.parser.RStringLiteral;1;0.9411764705882353
org.javacc.parser.RChoice.CompressCharLists();org.javacc.parser.RJustName;0;1.0
org.javacc.parser.RChoice.CompressCharLists();org.javacc.parser.RChoice;2;0.875
org.javacc.parser.RChoice.CompressCharLists();org.javacc.parser.RCharacterList;3;0.8333333333333334
org.javacc.parser.RChoice.CompressChoices();org.javacc.parser.RJustName;0;1.0
org.javacc.parser.RChoice.CompressChoices();org.javacc.parser.RChoice;1;0.8888888888888888
org.javacc.parser.RChoice.CheckUnmatchability();org.javacc.parser.RegularExpression;3;0.7
org.javacc.parser.RChoice.CheckUnmatchability();org.javacc.parser.LexGen;0;1.0
org.javacc.parser.RChoice.CheckUnmatchability();org.javacc.parser.Main;0;1.0
