Method;TargetClass;NbAccessedEntities;Distance_TC
org.jgroups.blocks.RpcDispatcher.setResponseMarshaller(org.jgroups.blocks.RpcDispatcher.Marshaller);org.jgroups.blocks.RequestCorrelator;1;0.9782608695652174
org.jgroups.blocks.RpcDispatcher.setResponseMarshaller(org.jgroups.blocks.RpcDispatcher.Marshaller);org.jgroups.blocks.RpcDispatcher;1;0.9655172413793104
org.jgroups.blocks.RpcDispatcher.setResponseMarshaller(org.jgroups.blocks.RpcDispatcher.Marshaller);org.jgroups.blocks.MessageDispatcher;0;1.0
org.jgroups.blocks.RpcDispatcher.castMessage(int, java.util.Vector, long, org.jgroups.Message);org.jgroups.blocks.MessageDispatcher;1;0.9736842105263158
org.jgroups.blocks.RpcDispatcher.sendMessage(int, long, org.jgroups.Message);org.jgroups.blocks.MessageDispatcher;1;0.9736842105263158
org.jgroups.blocks.RpcDispatcher.callRemoteMethods(boolean, boolean, int, java.util.Vector, long, org.jgroups.blocks.MethodCall);org.jgroups.util.Util;0;1.0
org.jgroups.blocks.RpcDispatcher.callRemoteMethods(boolean, boolean, int, java.util.Vector, long, org.jgroups.blocks.MethodCall);org.jgroups.Message;1;0.9777777777777777
org.jgroups.blocks.RpcDispatcher.callRemoteMethods(boolean, boolean, int, java.util.Vector, long, org.jgroups.blocks.MethodCall);org.jgroups.blocks.RpcDispatcher;2;0.9736842105263158
org.jgroups.blocks.RpcDispatcher.callRemoteMethods(boolean, boolean, int, java.util.Vector, long, org.jgroups.blocks.MethodCall);org.jgroups.blocks.MethodCall;1;0.9696969696969697
org.jgroups.blocks.RpcDispatcher.callRemoteMethods(boolean, boolean, int, java.util.Vector, long, org.jgroups.blocks.MethodCall);org.jgroups.blocks.MessageDispatcher;2;0.9791666666666666
org.jgroups.blocks.RpcDispatcher.callRemoteMethod(boolean, int, long, org.jgroups.Address, org.jgroups.blocks.MethodCall);org.jgroups.util.Util;0;1.0
org.jgroups.blocks.RpcDispatcher.callRemoteMethod(boolean, int, long, org.jgroups.Address, org.jgroups.blocks.MethodCall);org.jgroups.Message;1;0.9743589743589743
org.jgroups.blocks.RpcDispatcher.callRemoteMethod(boolean, int, long, org.jgroups.Address, org.jgroups.blocks.MethodCall);org.jgroups.blocks.RpcDispatcher;2;0.96875
org.jgroups.blocks.RpcDispatcher.callRemoteMethod(boolean, int, long, org.jgroups.Address, org.jgroups.blocks.MethodCall);org.jgroups.blocks.MessageDispatcher;2;0.9761904761904762
