Method;TargetClass;NbAccessedEntities;Distance_TC
net.n3.nanoxml.ValidatorPlugin.missingElement(int, java.lang.String, java.lang.String, java.lang.String);net.n3.nanoxml.XMLUtil;1;1.0
net.n3.nanoxml.ValidatorPlugin.unexpectedElement(int, java.lang.String, java.lang.String, java.lang.String);net.n3.nanoxml.XMLUtil;1;1.0
net.n3.nanoxml.ValidatorPlugin.missingAttribute(int, java.lang.String, java.lang.String, java.lang.String);net.n3.nanoxml.XMLUtil;1;1.0
net.n3.nanoxml.ValidatorPlugin.unexpectedAttribute(int, java.lang.String, java.lang.String, java.lang.String);net.n3.nanoxml.XMLUtil;1;1.0
net.n3.nanoxml.ValidatorPlugin.invalidAttributeValue(int, java.lang.String, java.lang.String, java.lang.String, java.lang.String);net.n3.nanoxml.XMLUtil;1;1.0
net.n3.nanoxml.ValidatorPlugin.missingPCData(int, java.lang.String, java.lang.String);net.n3.nanoxml.XMLUtil;1;1.0
net.n3.nanoxml.ValidatorPlugin.unexpectedPCData(int, java.lang.String, java.lang.String);net.n3.nanoxml.XMLUtil;1;1.0
net.n3.nanoxml.ValidatorPlugin.validationError(int, java.lang.String, java.lang.String, java.lang.String, java.lang.String, java.lang.String);net.n3.nanoxml.XMLUtil;1;1.0
net.n3.nanoxml.XMLValidationException.finalize();net.n3.nanoxml.XMLException;1;0.9090909090909091
net.n3.nanoxml.XMLValidationException.finalize();net.n3.nanoxml.XMLValidationException;3;0.5
net.n3.nanoxml.XMLElement.findAttribute(java.lang.String);net.n3.nanoxml.XMLElement;1;0.9830508474576272
net.n3.nanoxml.XMLElement.findAttribute(java.lang.String);net.n3.nanoxml.XMLAttribute;1;0.9
net.n3.nanoxml.XMLElement.findAttribute(java.lang.String, java.lang.String);net.n3.nanoxml.XMLElement;1;0.9833333333333333
net.n3.nanoxml.XMLElement.findAttribute(java.lang.String, java.lang.String);net.n3.nanoxml.XMLAttribute;2;0.8
net.n3.nanoxml.XMLElement.getAttribute(java.lang.String, java.lang.String);net.n3.nanoxml.XMLElement;1;0.9818181818181818
net.n3.nanoxml.XMLElement.getAttribute(java.lang.String, java.lang.String);net.n3.nanoxml.XMLAttribute;1;0.8333333333333334
net.n3.nanoxml.XMLElement.getAttribute(java.lang.String, java.lang.String, java.lang.String);net.n3.nanoxml.XMLElement;1;0.9818181818181818
net.n3.nanoxml.XMLElement.getAttribute(java.lang.String, java.lang.String, java.lang.String);net.n3.nanoxml.XMLAttribute;1;0.8333333333333334
net.n3.nanoxml.XMLElement.getDoubleAttribute(double, java.lang.String, java.lang.String);net.n3.nanoxml.XMLElement;1;0.9821428571428571
net.n3.nanoxml.XMLElement.getDoubleAttribute(double, java.lang.String, java.lang.String);net.n3.nanoxml.XMLAttribute;1;0.8571428571428572
net.n3.nanoxml.XMLElement.getAttributeType(java.lang.String);net.n3.nanoxml.XMLElement;1;0.9818181818181818
net.n3.nanoxml.XMLElement.getAttributeType(java.lang.String);net.n3.nanoxml.XMLAttribute;1;0.8333333333333334
net.n3.nanoxml.XMLElement.getAttributeNamespace(java.lang.String);net.n3.nanoxml.XMLElement;1;0.9818181818181818
net.n3.nanoxml.XMLElement.getAttributeNamespace(java.lang.String);net.n3.nanoxml.XMLAttribute;1;0.8333333333333334
net.n3.nanoxml.XMLElement.getAttributeType(java.lang.String, java.lang.String);net.n3.nanoxml.XMLElement;1;0.9818181818181818
net.n3.nanoxml.XMLElement.getAttributeType(java.lang.String, java.lang.String);net.n3.nanoxml.XMLAttribute;1;0.8333333333333334
net.n3.nanoxml.XMLElement.setAttribute(java.lang.String, java.lang.String);net.n3.nanoxml.XMLElement;2;0.9642857142857143
net.n3.nanoxml.XMLElement.setAttribute(java.lang.String, java.lang.String);net.n3.nanoxml.XMLAttribute;1;0.875
net.n3.nanoxml.XMLElement.setAttribute(java.lang.String, java.lang.String, java.lang.String);net.n3.nanoxml.XMLElement;2;0.9655172413793104
net.n3.nanoxml.XMLElement.setAttribute(java.lang.String, java.lang.String, java.lang.String);net.n3.nanoxml.XMLAttribute;1;0.9
net.n3.nanoxml.XMLElement.removeAttribute(java.lang.String);net.n3.nanoxml.XMLElement;1;0.9830508474576272
net.n3.nanoxml.XMLElement.removeAttribute(java.lang.String);net.n3.nanoxml.XMLAttribute;1;0.9
net.n3.nanoxml.XMLElement.removeAttribute(java.lang.String, java.lang.String);net.n3.nanoxml.XMLElement;1;0.9833333333333333
net.n3.nanoxml.XMLElement.removeAttribute(java.lang.String, java.lang.String);net.n3.nanoxml.XMLAttribute;2;0.8
net.n3.nanoxml.XMLElement.iterateAttributeNames();net.n3.nanoxml.XMLElement;1;0.9830508474576272
net.n3.nanoxml.XMLElement.iterateAttributeNames();net.n3.nanoxml.XMLAttribute;1;0.9
net.n3.nanoxml.XMLElement.getAttributes();net.n3.nanoxml.XMLElement;1;0.9833333333333333
net.n3.nanoxml.XMLElement.getAttributes();net.n3.nanoxml.XMLAttribute;2;0.8
net.n3.nanoxml.XMLElement.getAttributesInNamespace(java.lang.String);net.n3.nanoxml.XMLElement;1;0.9838709677419355
net.n3.nanoxml.XMLElement.getAttributesInNamespace(java.lang.String);net.n3.nanoxml.XMLAttribute;3;0.7272727272727273
net.n3.nanoxml.XMLElement.equalsXMLElement(net.n3.nanoxml.IXMLElement);net.n3.nanoxml.XMLElement;4;0.9444444444444444
net.n3.nanoxml.XMLElement.equalsXMLElement(net.n3.nanoxml.IXMLElement);net.n3.nanoxml.XMLAttribute;4;0.8260869565217391
net.n3.nanoxml.XMLElement.toString();net.n3.nanoxml.XMLWriter;1;0.8888888888888888
net.n3.nanoxml.ContentReader.read(char[], int, int);net.n3.nanoxml.ContentReader;2;0.8181818181818181
net.n3.nanoxml.ContentReader.read(char[], int, int);net.n3.nanoxml.XMLUtil;2;1.0
net.n3.nanoxml.ContentReader.close();net.n3.nanoxml.ContentReader;2;0.8181818181818181
net.n3.nanoxml.ContentReader.close();net.n3.nanoxml.XMLUtil;2;1.0
net.n3.nanoxml.StdXMLParser.scanData();net.n3.nanoxml.XMLUtil;3;1.0
net.n3.nanoxml.StdXMLParser.scanData();net.n3.nanoxml.StdXMLParser;1;0.9473684210526316
net.n3.nanoxml.StdXMLParser.scanSomeTag(boolean, java.lang.String, java.util.Properties);net.n3.nanoxml.XMLUtil;2;1.0
net.n3.nanoxml.StdXMLParser.scanSomeTag(boolean, java.lang.String, java.util.Properties);net.n3.nanoxml.StdXMLParser;3;0.8125
net.n3.nanoxml.StdXMLParser.processPI();net.n3.nanoxml.XMLUtil;1;1.0
net.n3.nanoxml.StdXMLParser.processPI();net.n3.nanoxml.StdXMLParser;0;1.0
net.n3.nanoxml.StdXMLParser.processSpecialTag(boolean);net.n3.nanoxml.XMLUtil;3;1.0
net.n3.nanoxml.StdXMLParser.processSpecialTag(boolean);net.n3.nanoxml.StdXMLParser;2;0.875
net.n3.nanoxml.StdXMLParser.processCDATA();net.n3.nanoxml.XMLUtil;2;1.0
net.n3.nanoxml.StdXMLParser.processCDATA();net.n3.nanoxml.StdXMLParser;0;1.0
net.n3.nanoxml.StdXMLParser.processDocType();net.n3.nanoxml.XMLUtil;3;1.0
net.n3.nanoxml.StdXMLParser.processDocType();net.n3.nanoxml.StdXMLParser;0;1.0
net.n3.nanoxml.StdXMLParser.processElement(java.lang.String, java.util.Properties);net.n3.nanoxml.XMLUtil;6;1.0
net.n3.nanoxml.StdXMLParser.processElement(java.lang.String, java.util.Properties);net.n3.nanoxml.StdXMLParser;2;0.9583333333333334
net.n3.nanoxml.StdXMLParser.processAttribute(java.util.Vector, java.util.Vector, java.util.Vector);net.n3.nanoxml.XMLUtil;4;1.0
net.n3.nanoxml.StdXMLParser.processAttribute(java.util.Vector, java.util.Vector, java.util.Vector);net.n3.nanoxml.StdXMLParser;0;1.0
net.n3.nanoxml.NonValidator.parseDTD(boolean, java.lang.String, net.n3.nanoxml.IXMLEntityResolver, net.n3.nanoxml.IXMLReader);net.n3.nanoxml.NonValidator;1;1.0
net.n3.nanoxml.NonValidator.parseDTD(boolean, java.lang.String, net.n3.nanoxml.IXMLEntityResolver, net.n3.nanoxml.IXMLReader);net.n3.nanoxml.XMLUtil;4;1.0
net.n3.nanoxml.NonValidator.processElement(net.n3.nanoxml.IXMLEntityResolver, net.n3.nanoxml.IXMLReader);net.n3.nanoxml.NonValidator;3;1.0
net.n3.nanoxml.NonValidator.processElement(net.n3.nanoxml.IXMLEntityResolver, net.n3.nanoxml.IXMLReader);net.n3.nanoxml.XMLUtil;1;1.0
net.n3.nanoxml.NonValidator.processConditionalSection(net.n3.nanoxml.IXMLEntityResolver, net.n3.nanoxml.IXMLReader);net.n3.nanoxml.NonValidator;1;1.0
net.n3.nanoxml.NonValidator.processConditionalSection(net.n3.nanoxml.IXMLEntityResolver, net.n3.nanoxml.IXMLReader);net.n3.nanoxml.XMLUtil;3;1.0
net.n3.nanoxml.NonValidator.processIgnoreSection(net.n3.nanoxml.IXMLEntityResolver, net.n3.nanoxml.IXMLReader);net.n3.nanoxml.XMLUtil;3;1.0
net.n3.nanoxml.NonValidator.processAttList(net.n3.nanoxml.IXMLEntityResolver, net.n3.nanoxml.IXMLReader);net.n3.nanoxml.NonValidator;1;0.96
net.n3.nanoxml.NonValidator.processAttList(net.n3.nanoxml.IXMLEntityResolver, net.n3.nanoxml.IXMLReader);net.n3.nanoxml.XMLUtil;5;1.0
net.n3.nanoxml.NonValidator.processEntity(net.n3.nanoxml.IXMLEntityResolver, net.n3.nanoxml.IXMLReader);net.n3.nanoxml.NonValidator;0;1.0
net.n3.nanoxml.NonValidator.processEntity(net.n3.nanoxml.IXMLEntityResolver, net.n3.nanoxml.IXMLReader);net.n3.nanoxml.XMLUtil;4;1.0
org.jhotdraw.app.DefaultApplicationModel.createActionMap(org.jhotdraw.app.Application, org.jhotdraw.app.View);org.jhotdraw.app.action.edit.CopyAction;0;1.0
org.jhotdraw.app.DefaultApplicationModel.createActionMap(org.jhotdraw.app.Application, org.jhotdraw.app.View);org.jhotdraw.app.action.edit.DuplicateAction;0;1.0
org.jhotdraw.app.DefaultApplicationModel.createActionMap(org.jhotdraw.app.Application, org.jhotdraw.app.View);org.jhotdraw.app.action.edit.UndoAction;0;1.0
org.jhotdraw.app.DefaultApplicationModel.createActionMap(org.jhotdraw.app.Application, org.jhotdraw.app.View);org.jhotdraw.app.action.file.NewFileAction;0;1.0
org.jhotdraw.app.DefaultApplicationModel.createActionMap(org.jhotdraw.app.Application, org.jhotdraw.app.View);org.jhotdraw.app.action.file.CloseFileAction;0;1.0
org.jhotdraw.app.DefaultApplicationModel.createActionMap(org.jhotdraw.app.Application, org.jhotdraw.app.View);org.jhotdraw.app.action.edit.DeleteAction;0;1.0
org.jhotdraw.app.DefaultApplicationModel.createActionMap(org.jhotdraw.app.Application, org.jhotdraw.app.View);org.jhotdraw.app.action.edit.ClearSelectionAction;0;1.0
org.jhotdraw.app.DefaultApplicationModel.createActionMap(org.jhotdraw.app.Application, org.jhotdraw.app.View);org.jhotdraw.app.action.file.SaveFileAction;0;1.0
org.jhotdraw.app.DefaultApplicationModel.createActionMap(org.jhotdraw.app.Application, org.jhotdraw.app.View);org.jhotdraw.app.action.file.SaveFileAsAction;0;1.0
org.jhotdraw.app.DefaultApplicationModel.createActionMap(org.jhotdraw.app.Application, org.jhotdraw.app.View);org.jhotdraw.app.action.edit.CutAction;0;1.0
org.jhotdraw.app.DefaultApplicationModel.createActionMap(org.jhotdraw.app.Application, org.jhotdraw.app.View);org.jhotdraw.app.action.edit.PasteAction;0;1.0
org.jhotdraw.app.DefaultApplicationModel.createActionMap(org.jhotdraw.app.Application, org.jhotdraw.app.View);org.jhotdraw.app.action.file.OpenFileAction;0;1.0
org.jhotdraw.app.DefaultApplicationModel.createActionMap(org.jhotdraw.app.Application, org.jhotdraw.app.View);org.jhotdraw.app.action.edit.RedoAction;0;1.0
org.jhotdraw.app.DefaultApplicationModel.createActionMap(org.jhotdraw.app.Application, org.jhotdraw.app.View);org.jhotdraw.app.action.edit.SelectAllAction;0;1.0
org.jhotdraw.app.osx.OSXPaletteHandler.windowGainedFocus(java.awt.event.WindowEvent);org.jhotdraw.app.AbstractApplication;1;0.9827586206896551
org.jhotdraw.app.osx.OSXPaletteHandler.windowGainedFocus(java.awt.event.WindowEvent);org.jhotdraw.app.osx.OSXPaletteHandler;3;0.8571428571428572
org.jhotdraw.app.AppletApplication.init();org.jhotdraw.app.AbstractApplication;3;0.9444444444444444
org.jhotdraw.app.AbstractApplicationModel.setName(java.lang.String);org.jhotdraw.app.AbstractApplicationModel;1;0.9545454545454546
org.jhotdraw.app.AbstractApplicationModel.setName(java.lang.String);org.jhotdraw.beans.AbstractBean;1;1.0
org.jhotdraw.app.AbstractApplicationModel.setVersion(java.lang.String);org.jhotdraw.app.AbstractApplicationModel;1;0.9545454545454546
org.jhotdraw.app.AbstractApplicationModel.setVersion(java.lang.String);org.jhotdraw.beans.AbstractBean;1;1.0
org.jhotdraw.app.AbstractApplicationModel.setCopyright(java.lang.String);org.jhotdraw.app.AbstractApplicationModel;1;0.9545454545454546
org.jhotdraw.app.AbstractApplicationModel.setCopyright(java.lang.String);org.jhotdraw.beans.AbstractBean;1;1.0
org.jhotdraw.app.AbstractApplicationModel.setViewClassName(java.lang.String);org.jhotdraw.app.AbstractApplicationModel;1;0.9545454545454546
