Method;TargetClass;NbAccessedEntities;Distance_TC
com.ecyrd.jspwiki.SearchMatcher.matchPageContent(java.lang.String, java.lang.String);com.ecyrd.jspwiki.SearchMatcher;1;0.9
com.ecyrd.jspwiki.SearchMatcher.matchPageContent(java.lang.String, java.lang.String);com.ecyrd.jspwiki.QueryItem;2;0.7142857142857143
com.ecyrd.jspwiki.filters.ProfanityFilter.preTranslate(com.ecyrd.jspwiki.WikiContext, java.lang.String);com.ecyrd.jspwiki.filters.ProfanityFilter;0;1.0
com.ecyrd.jspwiki.filters.ProfanityFilter.preTranslate(com.ecyrd.jspwiki.WikiContext, java.lang.String);com.ecyrd.jspwiki.TextUtil;0;1.0
com.ecyrd.jspwiki.filters.PingWeblogsComFilter.postSave(com.ecyrd.jspwiki.WikiContext, java.lang.String);com.ecyrd.jspwiki.WikiPage;1;0.9655172413793104
com.ecyrd.jspwiki.filters.PingWeblogsComFilter.postSave(com.ecyrd.jspwiki.WikiContext, java.lang.String);com.ecyrd.jspwiki.WikiContext;0;1.0
com.ecyrd.jspwiki.filters.PingWeblogsComFilter.postSave(com.ecyrd.jspwiki.WikiContext, java.lang.String);com.ecyrd.jspwiki.WikiEngine;2;0.989010989010989
com.ecyrd.jspwiki.filters.PingWeblogsComFilter.postSave(com.ecyrd.jspwiki.WikiContext, java.lang.String);com.ecyrd.jspwiki.filters.PingWeblogsComFilter;3;0.9411764705882353
com.ecyrd.jspwiki.filters.FilterManager.addPageFilter(com.ecyrd.jspwiki.filters.PageFilter, int);com.ecyrd.jspwiki.filters.FilterManager;0;1.0
com.ecyrd.jspwiki.filters.FilterManager.addPageFilter(com.ecyrd.jspwiki.filters.PageFilter, int);com.ecyrd.jspwiki.util.PriorityList;1;1.0
com.ecyrd.jspwiki.filters.FilterManager.initPageFilter(java.lang.String, java.util.Properties);com.ecyrd.jspwiki.modules.WikiModuleInfo;1;0.9545454545454546
com.ecyrd.jspwiki.filters.FilterManager.initPageFilter(java.lang.String, java.util.Properties);com.ecyrd.jspwiki.util.ClassUtil;0;1.0
com.ecyrd.jspwiki.filters.FilterManager.initPageFilter(java.lang.String, java.util.Properties);com.ecyrd.jspwiki.filters.FilterManager;2;0.9
com.ecyrd.jspwiki.filters.FilterManager.initPageFilter(java.lang.String, java.util.Properties);com.ecyrd.jspwiki.modules.ModuleManager;1;0.8888888888888888
com.ecyrd.jspwiki.filters.FilterManager.initialize(java.util.Properties);com.ecyrd.jspwiki.WikiEngine;1;0.9880952380952381
com.ecyrd.jspwiki.filters.FilterManager.initialize(java.util.Properties);com.ecyrd.jspwiki.filters.FilterManager;2;0.8888888888888888
com.ecyrd.jspwiki.filters.FilterManager.initialize(java.util.Properties);com.ecyrd.jspwiki.modules.ModuleManager;0;1.0
com.ecyrd.jspwiki.filters.FilterManager.doPreTranslateFiltering(com.ecyrd.jspwiki.WikiContext, java.lang.String);com.ecyrd.jspwiki.event.WikiPageEvent;0;1.0
com.ecyrd.jspwiki.filters.FilterManager.doPreTranslateFiltering(com.ecyrd.jspwiki.WikiContext, java.lang.String);com.ecyrd.jspwiki.filters.FilterManager;1;1.0
com.ecyrd.jspwiki.filters.FilterManager.doPostTranslateFiltering(com.ecyrd.jspwiki.WikiContext, java.lang.String);com.ecyrd.jspwiki.event.WikiPageEvent;0;1.0
com.ecyrd.jspwiki.filters.FilterManager.doPostTranslateFiltering(com.ecyrd.jspwiki.WikiContext, java.lang.String);com.ecyrd.jspwiki.filters.FilterManager;1;1.0
com.ecyrd.jspwiki.filters.FilterManager.doPreSaveFiltering(com.ecyrd.jspwiki.WikiContext, java.lang.String);com.ecyrd.jspwiki.event.WikiPageEvent;0;1.0
com.ecyrd.jspwiki.filters.FilterManager.doPreSaveFiltering(com.ecyrd.jspwiki.WikiContext, java.lang.String);com.ecyrd.jspwiki.filters.FilterManager;1;1.0
com.ecyrd.jspwiki.filters.FilterManager.doPostSaveFiltering(com.ecyrd.jspwiki.WikiContext, java.lang.String);com.ecyrd.jspwiki.event.WikiPageEvent;0;1.0
com.ecyrd.jspwiki.filters.FilterManager.doPostSaveFiltering(com.ecyrd.jspwiki.WikiContext, java.lang.String);com.ecyrd.jspwiki.filters.FilterManager;1;1.0
com.ecyrd.jspwiki.filters.FilterManager.destroy();com.ecyrd.jspwiki.filters.FilterManager;0;1.0
com.ecyrd.jspwiki.filters.FilterManager.destroy();com.ecyrd.jspwiki.modules.ModuleManager;0;1.0
