Method;TargetClass;NbAccessedEntities;Distance_TC
junit.textui.TestRunner.doRun(boolean, junit.framework.Test);junit.framework.TestResult;1;0.9615384615384616
junit.textui.TestRunner.doRun(boolean, junit.framework.Test);junit.textui.TestRunner;2;0.8571428571428572
junit.textui.TestRunner.doRun(boolean, junit.framework.Test);junit.textui.ResultPrinter;1;0.9545454545454546
junit.textui.TestRunner.pause(boolean);junit.textui.TestRunner;0;1.0
junit.textui.TestRunner.pause(boolean);junit.textui.ResultPrinter;1;0.9473684210526316
junit.textui.TestRunner.start(java.lang.String[]);junit.runner.Version;0;1.0
junit.textui.TestRunner.start(java.lang.String[]);junit.runner.BaseTestRunner;2;0.9
junit.textui.TestRunner.start(java.lang.String[]);junit.textui.TestRunner;2;1.0
junit.textui.TestRunner.runSingleMethod(boolean, java.lang.String, java.lang.String);junit.framework.TestSuite;0;1.0
junit.textui.TestRunner.runSingleMethod(boolean, java.lang.String, java.lang.String);junit.runner.BaseTestRunner;1;0.9285714285714286
junit.textui.TestRunner.runSingleMethod(boolean, java.lang.String, java.lang.String);junit.textui.TestRunner;1;1.0
junit.textui.ResultPrinter.printErrors(junit.framework.TestResult);junit.framework.TestResult;2;0.9090909090909091
junit.textui.ResultPrinter.printErrors(junit.framework.TestResult);junit.textui.ResultPrinter;1;1.0
junit.textui.ResultPrinter.printFailures(junit.framework.TestResult);junit.framework.TestResult;2;0.9090909090909091
junit.textui.ResultPrinter.printFailures(junit.framework.TestResult);junit.textui.ResultPrinter;1;1.0
junit.textui.ResultPrinter.printDefectHeader(int, junit.framework.TestFailure);junit.framework.TestFailure;0;1.0
junit.textui.ResultPrinter.printDefectHeader(int, junit.framework.TestFailure);junit.textui.ResultPrinter;1;0.9444444444444444
junit.textui.ResultPrinter.printDefectTrace(junit.framework.TestFailure);junit.runner.BaseTestRunner;0;1.0
junit.textui.ResultPrinter.printDefectTrace(junit.framework.TestFailure);junit.framework.TestFailure;1;0.8571428571428572
junit.textui.ResultPrinter.printDefectTrace(junit.framework.TestFailure);junit.textui.ResultPrinter;1;0.9473684210526316
junit.textui.ResultPrinter.printFooter(junit.framework.TestResult);junit.framework.TestResult;4;0.84
junit.textui.ResultPrinter.printFooter(junit.framework.TestResult);junit.textui.ResultPrinter;1;0.9583333333333334
junit.framework.ComparisonCompactor.compact(java.lang.String);junit.framework.Assert;1;1.0
junit.framework.ComparisonCompactor.compact(java.lang.String);junit.framework.ComparisonCompactor;6;0.5384615384615384
junit.framework.JUnit4TestCaseFacade.toString();org.junit.runner.Description;1;0.9473684210526316
junit.framework.JUnit4TestCaseFacade.toString();junit.framework.JUnit4TestCaseFacade;0;1.0
junit.framework.JUnit4TestAdapter.countTestCases();org.junit.runner.Runner;1;0.0
junit.framework.JUnit4TestAdapter.countTestCases();junit.framework.JUnit4TestAdapter;0;1.0
junit.framework.JUnit4TestAdapter.run(junit.framework.TestResult);junit.framework.JUnit4TestAdapterCache;1;1.0
junit.framework.JUnit4TestAdapter.run(junit.framework.TestResult);org.junit.runner.Runner;1;1.0
junit.framework.JUnit4TestAdapter.run(junit.framework.TestResult);junit.framework.JUnit4TestAdapter;1;1.0
junit.framework.JUnit4TestAdapter.getTests();junit.framework.JUnit4TestAdapterCache;1;0.875
junit.framework.JUnit4TestAdapter.getTests();junit.framework.JUnit4TestAdapter;2;0.9090909090909091
junit.framework.JUnit4TestAdapter.getDescription();org.junit.runner.Runner;1;1.0
junit.framework.JUnit4TestAdapter.getDescription();junit.framework.JUnit4TestAdapter;1;0.9090909090909091
