Method;TargetClass;NbAccessedEntities;Distance_TC
net.sourceforge.pmd.benchmark.TextReport.generate(java.io.PrintStream, java.util.Set<net.sourceforge.pmd.benchmark.RuleDuration>);net.sourceforge.pmd.benchmark.RuleDuration;1;0.875
net.sourceforge.pmd.benchmark.TextReport.generate(java.io.PrintStream, java.util.Set<net.sourceforge.pmd.benchmark.RuleDuration>);net.sourceforge.pmd.benchmark.TextReport;0;1.0
net.sourceforge.pmd.benchmark.TextReport.generate(java.io.PrintStream, java.util.Map<java.lang.String,net.sourceforge.pmd.benchmark.BenchmarkResult>);net.sourceforge.pmd.PMD;0;1.0
net.sourceforge.pmd.benchmark.TextReport.generate(java.io.PrintStream, java.util.Map<java.lang.String,net.sourceforge.pmd.benchmark.BenchmarkResult>);net.sourceforge.pmd.benchmark.StringBuilderCR;2;0.9090909090909091
net.sourceforge.pmd.benchmark.TextReport.generate(java.io.PrintStream, java.util.Map<java.lang.String,net.sourceforge.pmd.benchmark.BenchmarkResult>);net.sourceforge.pmd.benchmark.BenchmarkResult;4;0.8181818181818181
net.sourceforge.pmd.benchmark.TextReport.generate(java.io.PrintStream, java.util.Map<java.lang.String,net.sourceforge.pmd.benchmark.BenchmarkResult>);net.sourceforge.pmd.benchmark.TextReport;1;1.0
net.sourceforge.pmd.benchmark.TextReport.generate(java.io.PrintStream, java.util.Map<java.lang.String,net.sourceforge.pmd.benchmark.BenchmarkResult>);net.sourceforge.pmd.util.StringUtil;1;1.0
net.sourceforge.pmd.ant.PMDTask.setShortFilenames(boolean);net.sourceforge.pmd.PMDConfiguration;1;0.9523809523809523
net.sourceforge.pmd.ant.PMDTask.setShortFilenames(boolean);net.sourceforge.pmd.ant.PMDTask;0;1.0
net.sourceforge.pmd.ant.PMDTask.setSuppressMarker(java.lang.String);net.sourceforge.pmd.PMDConfiguration;1;0.9523809523809523
net.sourceforge.pmd.ant.PMDTask.setSuppressMarker(java.lang.String);net.sourceforge.pmd.ant.PMDTask;0;1.0
net.sourceforge.pmd.ant.PMDTask.setRuleSetFiles(java.lang.String);net.sourceforge.pmd.PMDConfiguration;1;0.9523809523809523
net.sourceforge.pmd.ant.PMDTask.setRuleSetFiles(java.lang.String);net.sourceforge.pmd.ant.PMDTask;0;1.0
net.sourceforge.pmd.ant.PMDTask.setEncoding(java.lang.String);net.sourceforge.pmd.ant.PMDTask;0;1.0
net.sourceforge.pmd.ant.PMDTask.setEncoding(java.lang.String);net.sourceforge.pmd.AbstractConfiguration;1;0.5
net.sourceforge.pmd.ant.PMDTask.setThreads(int);net.sourceforge.pmd.PMDConfiguration;1;0.9523809523809523
net.sourceforge.pmd.ant.PMDTask.setThreads(int);net.sourceforge.pmd.ant.PMDTask;0;1.0
net.sourceforge.pmd.ant.PMDTask.setMinimumPriority(int);net.sourceforge.pmd.PMDConfiguration;1;0.9523809523809523
net.sourceforge.pmd.ant.PMDTask.setMinimumPriority(int);net.sourceforge.pmd.ant.PMDTask;0;1.0
net.sourceforge.pmd.ant.PMDTask.addConfiguredSourceLanguage(net.sourceforge.pmd.ant.SourceLanguage);net.sourceforge.pmd.PMDConfiguration;1;0.9565217391304348
net.sourceforge.pmd.ant.PMDTask.addConfiguredSourceLanguage(net.sourceforge.pmd.ant.SourceLanguage);net.sourceforge.pmd.ant.SourceLanguage;2;0.5
net.sourceforge.pmd.ant.PMDTask.addConfiguredSourceLanguage(net.sourceforge.pmd.ant.SourceLanguage);net.sourceforge.pmd.ant.PMDTask;0;1.0
net.sourceforge.pmd.ant.PMDTask.doTask();net.sourceforge.pmd.Report;1;0.9864864864864865
net.sourceforge.pmd.ant.PMDTask.doTask();net.sourceforge.pmd.PMDConfiguration;5;0.9
net.sourceforge.pmd.ant.PMDTask.doTask();net.sourceforge.pmd.PMD;6;1.0
net.sourceforge.pmd.ant.PMDTask.doTask();net.sourceforge.pmd.RuleSetFactory;4;0.9130434782608696
net.sourceforge.pmd.ant.PMDTask.doTask();net.sourceforge.pmd.ant.Formatter;2;0.9565217391304348
net.sourceforge.pmd.ant.PMDTask.doTask();net.sourceforge.pmd.ant.PMDTask;13;0.7931034482758621
net.sourceforge.pmd.ant.PMDTask.doTask();net.sourceforge.pmd.util.StringUtil;0;1.0
net.sourceforge.pmd.ant.PMDTask.renderFileReport(net.sourceforge.pmd.Report);net.sourceforge.pmd.Report;1;0.9761904761904762
net.sourceforge.pmd.ant.PMDTask.handleError(java.lang.RuntimeException, net.sourceforge.pmd.Report, net.sourceforge.pmd.RuleContext);net.sourceforge.pmd.Report;1;0.9795918367346939
net.sourceforge.pmd.ant.PMDTask.handleError(java.lang.RuntimeException, net.sourceforge.pmd.Report, net.sourceforge.pmd.RuleContext);net.sourceforge.pmd.RuleContext;1;0.9375
net.sourceforge.pmd.ant.PMDTask.handleError(java.lang.RuntimeException, net.sourceforge.pmd.Report, net.sourceforge.pmd.RuleContext);net.sourceforge.pmd.ant.PMDTask;1;0.9772727272727273
