Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	org.apache.log4j.chainsaw.LoggingEventFieldResolver::getValue(java.lang.String, org.apache.log4j.spi.LoggingEvent):java.lang.Object	org.apache.log4j.spi.LoggingEvent	0/10	
Move Method	org.apache.log4j.lf5.viewer.categoryexplorer.CategoryNodeEditor::getDisplayedProperties(org.apache.log4j.lf5.viewer.categoryexplorer.CategoryNode):java.lang.Object	org.apache.log4j.lf5.viewer.categoryexplorer.CategoryNode	0/6	
Move Method	org.apache.log4j.lf5.viewer.LogBrokerMonitor::matches(org.apache.log4j.lf5.LogRecord, java.lang.String):boolean	org.apache.log4j.lf5.LogRecord	0/2	
Move Method	org.apache.log4j.lf5.viewer.categoryexplorer.CategoryNodeRenderer::buildToolTip(org.apache.log4j.lf5.viewer.categoryexplorer.CategoryNode):java.lang.String	org.apache.log4j.lf5.viewer.categoryexplorer.CategoryNode	0/2	
Move Method	org.apache.log4j.chainsaw.filter.FilterModel::processNewLoggingEvent(java.lang.String, org.apache.log4j.spi.LoggingEvent):void	org.apache.log4j.spi.LoggingEvent	1/6	
Move Method	org.apache.log4j.chainsaw.ChainsawAppenderHandler.WorkQueue.WorkerThread::dispatchEventBatch(org.apache.log4j.chainsaw.ChainsawEventBatch):void	org.apache.log4j.chainsaw.ChainsawEventBatch	1/2	
Move Method	org.apache.log4j.lf5.viewer.categoryexplorer.CategoryExplorerLogRecordFilter::resetAllNodes():void	org.apache.log4j.lf5.viewer.categoryexplorer.CategoryExplorerModel	1/2	
Move Method	org.apache.log4j.lf5.viewer.categoryexplorer.CategoryExplorerModel::getCategoryNode(org.apache.log4j.lf5.viewer.categoryexplorer.CategoryPath):org.apache.log4j.lf5.viewer.categoryexplorer.CategoryNode	org.apache.log4j.lf5.viewer.categoryexplorer.CategoryPath	1/2	
Move Method	org.apache.log4j.lf5.viewer.categoryexplorer.CategoryExplorerModel::isCategoryPathActive(org.apache.log4j.lf5.viewer.categoryexplorer.CategoryPath):boolean	org.apache.log4j.lf5.viewer.categoryexplorer.CategoryPath	1/2	
Move Method	org.apache.log4j.lf5.viewer.categoryexplorer.CategoryNodeEditor::removeUnusedNodes():int	org.apache.log4j.lf5.viewer.categoryexplorer.CategoryExplorerModel	1/2	
Move Method	org.apache.log4j.spi.LoggingEvent::writeLevel(java.io.ObjectOutputStream):void	org.apache.log4j.Priority	1/2	
