Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	org.jgroups.blocks.ConnectionTableNIO.ReadHandler::readHeader(org.jgroups.blocks.ConnectionTableNIO.Connection):int	org.jgroups.blocks.ConnectionTableNIO.Connection	0/2	
Move Method	org.jgroups.blocks.ConnectionTableNIO.ReadHandler::readBody(org.jgroups.blocks.ConnectionTableNIO.Connection):int	org.jgroups.blocks.ConnectionTableNIO.Connection	0/2	
Move Method	org.jgroups.protocols.pbcast.GMS::makeView(java.util.Vector<org.jgroups.Address>, org.jgroups.ViewId):org.jgroups.View	org.jgroups.ViewId	0/2	
Move Method	org.jgroups.mux.Multiplexer::generateServiceView(java.util.List):org.jgroups.View	org.jgroups.View	1/2	
Move Method	org.jgroups.protocols.TP::setSourceAddress(org.jgroups.Message):void	org.jgroups.Message	1/2	
Move Method	org.jgroups.protocols.pbcast.GMS::determineCoordinator():org.jgroups.Address	org.jgroups.Membership	1/2	
Move Method	org.jgroups.protocols.pbcast.GMS::wouldBeNewCoordinator(org.jgroups.Address):boolean	org.jgroups.Membership	1/2	
Move Method	org.jgroups.protocols.pbcast.GMS::makeView(java.util.Vector<org.jgroups.Address>):org.jgroups.View	org.jgroups.ViewId	1/2	
Move Method	org.jgroups.util.OutgoingBufferPool::put(org.jgroups.util.ExposedDataOutputStream):void	org.jgroups.util.ExposedDataOutputStream	1/2	
Move Method	org.jgroups.JChannelFactory::connect(org.jgroups.mux.MuxChannel):void	org.jgroups.mux.MuxChannel	2/5	
Move Method	org.jgroups.protocols.FD_SOCK::startServerSocket():void	org.jgroups.protocols.FD_SOCK.ServerSocketHandler	2/3	
Move Method	org.jgroups.util.Scheduler::addPrio(java.lang.Runnable):void	org.jgroups.util.Queue	2/3	
