Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	net.sourceforge.pmd.util.designer.DFAPanel.DFACanvas::addAccessLabel(java.lang.StringBuffer, net.sourceforge.pmd.lang.dfa.VariableAccess):void	net.sourceforge.pmd.lang.dfa.VariableAccess	0/4	
Move Method	net.sourceforge.pmd.cpd.GUI::setLabelFor(net.sourceforge.pmd.cpd.Match):java.lang.String	net.sourceforge.pmd.cpd.Match	0/3	
Move Method	net.sourceforge.pmd.dcd.DumpNodeVisitor::printMember(net.sourceforge.pmd.dcd.graph.MemberNode):void	net.sourceforge.pmd.dcd.graph.MemberNode	0/3	
Move Method	net.sourceforge.pmd.SourceCodeProcessor::parse(net.sourceforge.pmd.RuleContext, java.io.Reader, net.sourceforge.pmd.lang.Parser):net.sourceforge.pmd.lang.ast.Node	net.sourceforge.pmd.RuleContext	0/2	
Move Method	net.sourceforge.pmd.cpd.XMLRenderer::createDuplicationElement(org.w3c.dom.Document, net.sourceforge.pmd.cpd.Match):org.w3c.dom.Element	net.sourceforge.pmd.cpd.Match	0/2	
Move Method	net.sourceforge.pmd.dcd.graph.UsageGraph::usage(net.sourceforge.pmd.dcd.graph.MemberNode, net.sourceforge.pmd.dcd.graph.MemberNode):void	net.sourceforge.pmd.dcd.graph.MemberNode	0/2	
Move Method	net.sourceforge.pmd.lang.dfa.report.ReportTree::equalsNodeInLevel(net.sourceforge.pmd.lang.dfa.report.AbstractReportNode, net.sourceforge.pmd.lang.dfa.report.AbstractReportNode):boolean	net.sourceforge.pmd.lang.dfa.report.AbstractReportNode	0/2	
Move Method	net.sourceforge.pmd.lang.java.rule.controversial.NullAssignmentRule::isBadTernary(net.sourceforge.pmd.lang.java.ast.ASTConditionalExpression):boolean	net.sourceforge.pmd.lang.java.ast.ASTConditionalExpression	0/2	
Move Method	net.sourceforge.pmd.lang.java.rule.junit.AbstractJUnitRule::isJUnit3Method(net.sourceforge.pmd.lang.java.ast.ASTMethodDeclaration):boolean	net.sourceforge.pmd.lang.java.ast.ASTMethodDeclaration	0/2	
Move Method	net.sourceforge.pmd.lang.java.typeresolution.TypeResolutionFacade::initializeWith(java.lang.ClassLoader, net.sourceforge.pmd.lang.java.ast.ASTCompilationUnit):void	net.sourceforge.pmd.lang.java.ast.ASTCompilationUnit	0/2	
Move Method	net.sourceforge.pmd.SourceCodeProcessor::usesDFA(net.sourceforge.pmd.lang.LanguageVersion, net.sourceforge.pmd.lang.ast.Node, net.sourceforge.pmd.RuleSets, net.sourceforge.pmd.lang.Language):void	net.sourceforge.pmd.RuleSets	0/1	
Move Method	net.sourceforge.pmd.cpd.CPDTask::analyzeCode(net.sourceforge.pmd.cpd.CPD):long	net.sourceforge.pmd.cpd.CPD	0/1	
Move Method	net.sourceforge.pmd.cpd.GUI::isLegalPath(java.lang.String, net.sourceforge.pmd.cpd.GUI.LanguageConfig):boolean	net.sourceforge.pmd.cpd.GUI.LanguageConfig	0/1	
