NORM_NAME;NAME
android.support.v4.view.MotionEventCompatEclair.findPointerIndex(int, motionevent);MotionEventCompatEclair.findPointerIndex(MotionEvent, int)
android.support.v4.view.MotionEventCompatEclair.getPointerId(int, motionevent);MotionEventCompatEclair.getPointerId(MotionEvent, int)
android.support.v4.view.MotionEventCompatEclair.getX(int, motionevent);MotionEventCompatEclair.getX(MotionEvent, int)
android.support.v4.view.MotionEventCompatEclair.getY(int, motionevent);MotionEventCompatEclair.getY(MotionEvent, int)
android.support.v4.view.ViewConfigurationCompatFroyo.getScaledPagingTouchSlop(viewconfiguration);ViewConfigurationCompatFroyo.getScaledPagingTouchSlop(ViewConfiguration)
android.support.v4.database.DatabaseUtilsCompat.concatenateWhere(string, string);DatabaseUtilsCompat.concatenateWhere(String, String)
android.support.v4.database.DatabaseUtilsCompat.appendSelectionArgs(string, string);DatabaseUtilsCompat.appendSelectionArgs(String, String)
android.support.v4.net.ConnectivityManagerCompat.isActiveNetworkMetered(connectivitymanager);ConnectivityManagerCompat.isActiveNetworkMetered(ConnectivityManager)
android.support.v4.net.ConnectivityManagerCompat.isActiveNetworkMetered(connectivitymanager);ConnectivityManagerCompat.isActiveNetworkMetered(ConnectivityManager)
android.support.v4.net.ConnectivityManagerCompat.isActiveNetworkMetered(connectivitymanager);ConnectivityManagerCompat.isActiveNetworkMetered(ConnectivityManager)
android.support.v4.net.ConnectivityManagerCompat.isActiveNetworkMetered(connectivitymanager);ConnectivityManagerCompat.isActiveNetworkMetered(ConnectivityManager)
android.support.v4.net.ConnectivityManagerCompat.isActiveNetworkMetered(connectivitymanager);ConnectivityManagerCompat.isActiveNetworkMetered(ConnectivityManager)
android.support.v4.net.ConnectivityManagerCompat.isActiveNetworkMetered(connectivitymanager);ConnectivityManagerCompat.isActiveNetworkMetered(ConnectivityManager)
android.support.v4.net.TrafficStatsCompat.clearThreadStatsTag();TrafficStatsCompat.clearThreadStatsTag()
android.support.v4.net.TrafficStatsCompat.getThreadStatsTag();TrafficStatsCompat.getThreadStatsTag()
android.support.v4.net.TrafficStatsCompat.incrementOperationCount(int);TrafficStatsCompat.incrementOperationCount(int)
