NORM_NAME;NAME
macos.MacOSOptionPane._init();MacOSOptionPane._init()
macos.MacOSOptionPane._save();MacOSOptionPane._save()
macos.MacOSOptionPane.getSettings();MacOSOptionPane.getSettings()
macos.Delegate.handleAbout(applicationevent);Delegate.handleAbout(ApplicationEvent)
macos.Delegate.handleFileCodes(bufferupdate);Delegate.handleFileCodes(BufferUpdate)
macos.Delegate.handleOpenFile(applicationevent);Delegate.handleOpenFile(ApplicationEvent)
macos.Delegate.handleOpenFile(viewupdate);Delegate.handleOpenFile(ViewUpdate)
macos.Delegate.handlePreferences(applicationevent);Delegate.handlePreferences(ApplicationEvent)
macos.Delegate.applicationDockMenu(nsapplication);Delegate.applicationDockMenu(NSApplication)
macos.Delegate.applicationOpenFiles(nsapplication, nsarray);Delegate.applicationOpenFiles(NSApplication, NSArray)
macos.Delegate.applicationShouldHandleReopen(boolean, nsapplication);Delegate.applicationShouldHandleReopen(NSApplication, boolean)
macos.Delegate.applicationShouldTerminate(nsapplication);Delegate.applicationShouldTerminate(NSApplication)
macos.Delegate.openFile(nspasteboard, string);Delegate.openFile(NSPasteboard, String)
macos.Delegate.insertSelection(nspasteboard, string);Delegate.insertSelection(NSPasteboard, String)
macos.Delegate.openSelection(nspasteboard, string);Delegate.openSelection(NSPasteboard, String)
macos.Delegate.updateMenu();Delegate.updateMenu()
macos.Delegate.updateMenu();Delegate.updateMenu()
macos.Delegate.createMenu(nsmenu, vector);Delegate.createMenu(NSMenu, Vector)
macos.Delegate.updateMenu();Delegate.updateMenu()
macos.Delegate.updateMenu();Delegate.updateMenu()
macos.Delegate.doAction();Delegate.doAction()
macos.Delegate.doAction();Delegate.doAction()
macos.Delegate.doAction();Delegate.doAction()
macos.MacOSPlugin.start();MacOSPlugin.start()
macos.MacOSPlugin.handleMessage(ebmessage);MacOSPlugin.handleMessage(EBMessage)
macos.MacOSPlugin.osok();MacOSPlugin.osok()
macos.MacOSActions.showInFinder(string);MacOSActions.showInFinder(String)
macos.MacOSActions.runScript(string);MacOSActions.runScript(String)
macos.MacOSActions.run();MacOSActions.run()
macos.script.ScriptFilter.accept(file);ScriptFilter.accept(File)
macos.script.AppleScriptHandler.accept(string);AppleScriptHandler.accept(String)
macos.script.AppleScriptHandler.createMacro(string, string);AppleScriptHandler.createMacro(String, String)
macos.script.AppleScriptHandler.runMacro(macros, view);AppleScriptHandler.runMacro(View, Macros)
macos.script.AppleScriptHandler.runMacro(boolean, macros, view);AppleScriptHandler.runMacro(View, Macros, boolean)
macos.menu.ShowBufferMenu.construct();ShowBufferMenu.construct()
macos.menu.ShowBufferMenu.menuSelected(menuevent);ShowBufferMenu.menuSelected(MenuEvent)
macos.menu.ShowBufferMenu.menuDeselected(menuevent);ShowBufferMenu.menuDeselected(MenuEvent)
macos.menu.ShowBufferMenu.menuCanceled(menuevent);ShowBufferMenu.menuCanceled(MenuEvent)
macos.menu.ShowBufferMenu.actionPerformed(actionevent);ShowBufferMenu.actionPerformed(ActionEvent)
macos.menu.ShowRecentDirMenu.construct();ShowRecentDirMenu.construct()
macos.menu.ShowRecentDirMenu.menuSelected(menuevent);ShowRecentDirMenu.menuSelected(MenuEvent)
macos.menu.ShowRecentDirMenu.menuDeselected(menuevent);ShowRecentDirMenu.menuDeselected(MenuEvent)
macos.menu.ShowRecentDirMenu.menuCanceled(menuevent);ShowRecentDirMenu.menuCanceled(MenuEvent)
macos.menu.ShowRecentDirMenu.actionPerformed(actionevent);ShowRecentDirMenu.actionPerformed(ActionEvent)
macos.menu.MacOSMenu.updateEveryTime();MacOSMenu.updateEveryTime()
macos.menu.MacOSMenu.update(jmenu);MacOSMenu.update(JMenu)
macos.menu.MacOSMenu.actionPerformed(actionevent);MacOSMenu.actionPerformed(ActionEvent)
macos.menu.MacOSMenu.actionPerformed(actionevent);MacOSMenu.actionPerformed(ActionEvent)
macos.menu.ShowRecentMenu.construct();ShowRecentMenu.construct()
macos.menu.ShowRecentMenu.menuSelected(menuevent);ShowRecentMenu.menuSelected(MenuEvent)
macos.menu.ShowRecentMenu.menuDeselected(menuevent);ShowRecentMenu.menuDeselected(MenuEvent)
macos.menu.ShowRecentMenu.menuCanceled(menuevent);ShowRecentMenu.menuCanceled(MenuEvent)
macos.menu.ShowRecentMenu.actionPerformed(actionevent);ShowRecentMenu.actionPerformed(ActionEvent)
jars/LatestVersion.LatestVersionPlugin.doVersionCheck(view);LatestVersionPlugin.doVersionCheck(View)
jars/LatestVersion.LatestVersionPlugin.doVersionCheck(string, string, view);LatestVersionPlugin.doVersionCheck(View, String, String)
jars/QuickNotepad.QuickNotepadOptionPane._init();QuickNotepadOptionPane._init()
jars/QuickNotepad.QuickNotepadOptionPane._save();QuickNotepadOptionPane._save()
jars/QuickNotepad.QuickNotepadOptionPane.actionPerformed(actionevent);QuickNotepadOptionPane.actionPerformed(ActionEvent)
jars/QuickNotepad.QuickNotepadOptionPane.makeFont();QuickNotepadOptionPane.makeFont()
jars/QuickNotepad.QuickNotepadToolPanel.actionPerformed(actionevent);QuickNotepadToolPanel.actionPerformed(ActionEvent)
jars/QuickNotepad.QuickNotepadToolPanel.actionPerformed(actionevent);QuickNotepadToolPanel.actionPerformed(ActionEvent)
jars/QuickNotepad.QuickNotepadToolPanel.actionPerformed(actionevent);QuickNotepadToolPanel.actionPerformed(ActionEvent)
jars/QuickNotepad.QuickNotepadToolPanel.propertiesChanged();QuickNotepadToolPanel.propertiesChanged()
jars/QuickNotepad.QuickNotepadToolPanel.makeCustomButton(actionlistener, string);QuickNotepadToolPanel.makeCustomButton(String, ActionListener)
jars/QuickNotepad.QuickNotepad.focusOnDefaultComponent();QuickNotepad.focusOnDefaultComponent()
jars/QuickNotepad.QuickNotepad.getFilename();QuickNotepad.getFilename()
jars/QuickNotepad.QuickNotepad.handleMessage(ebmessage);QuickNotepad.handleMessage(EBMessage)
jars/QuickNotepad.QuickNotepad.propertiesChanged();QuickNotepad.propertiesChanged()
jars/QuickNotepad.QuickNotepad.addNotify();QuickNotepad.addNotify()
jars/QuickNotepad.QuickNotepad.removeNotify();QuickNotepad.removeNotify()
jars/QuickNotepad.QuickNotepad.saveFile();QuickNotepad.saveFile()
jars/QuickNotepad.QuickNotepad.chooseFile();QuickNotepad.chooseFile()
jars/QuickNotepad.QuickNotepad.copyToBuffer();QuickNotepad.copyToBuffer()
jars/QuickNotepad.QuickNotepad.readFile();QuickNotepad.readFile()
jars/QuickNotepad.QuickNotepad.keyPressed(keyevent);QuickNotepad.keyPressed(KeyEvent)
org.objectweb.asm.Label.put(boolean, bytevector, codewriter, int);Label.put(CodeWriter, ByteVector, int, boolean)
org.objectweb.asm.Label.addReference(int, int);Label.addReference(int, int)
org.objectweb.asm.Label.resolve(byte, codewriter, int);Label.resolve(CodeWriter, int, byte)
org.objectweb.asm.Type.getType(string);Type.getType(String)
org.objectweb.asm.Type.getType(class);Type.getType(Class)
org.objectweb.asm.Type.getArgumentTypes(string);Type.getArgumentTypes(String)
org.objectweb.asm.Type.getArgumentTypes(method);Type.getArgumentTypes(Method)
org.objectweb.asm.Type.getReturnType(string);Type.getReturnType(String)
org.objectweb.asm.Type.getReturnType(method);Type.getReturnType(Method)
org.objectweb.asm.Type.getType(char, int);Type.getType(char, int)
org.objectweb.asm.Type.getSort();Type.getSort()
org.objectweb.asm.Type.getDimensions();Type.getDimensions()
org.objectweb.asm.Type.getElementType();Type.getElementType()
org.objectweb.asm.Type.getClassName();Type.getClassName()
org.objectweb.asm.Type.getInternalName();Type.getInternalName()
org.objectweb.asm.Type.getDescriptor();Type.getDescriptor()
org.objectweb.asm.Type.getMethodDescriptor(type, type);Type.getMethodDescriptor(Type, Type)
org.objectweb.asm.Type.getDescriptor(stringbuffer);Type.getDescriptor(StringBuffer)
org.objectweb.asm.Type.getInternalName(class);Type.getInternalName(Class)
org.objectweb.asm.Type.getDescriptor(class);Type.getDescriptor(Class)
org.objectweb.asm.Type.getMethodDescriptor(method);Type.getMethodDescriptor(Method)
org.objectweb.asm.Type.getDescriptor(class, stringbuffer);Type.getDescriptor(StringBuffer, Class)
org.objectweb.asm.Type.getSize();Type.getSize()
org.objectweb.asm.Type.getOpcode(int);Type.getOpcode(int)
org.objectweb.asm.CodeWriter.init(int, string, string, string);CodeWriter.init(int, String, String, String)
org.objectweb.asm.CodeWriter.visitInsn(int);CodeWriter.visitInsn(int)
org.objectweb.asm.CodeWriter.visitIntInsn(int, int);CodeWriter.visitIntInsn(int, int)
org.objectweb.asm.CodeWriter.visitVarInsn(int, int);CodeWriter.visitVarInsn(int, int)
org.objectweb.asm.CodeWriter.visitTypeInsn(int, string);CodeWriter.visitTypeInsn(int, String)
org.objectweb.asm.CodeWriter.visitFieldInsn(int, string, string, string);CodeWriter.visitFieldInsn(int, String, String, String)
org.objectweb.asm.CodeWriter.visitMethodInsn(int, string, string, string);CodeWriter.visitMethodInsn(int, String, String, String)
org.objectweb.asm.CodeWriter.visitJumpInsn(int, label);CodeWriter.visitJumpInsn(int, Label)
org.objectweb.asm.CodeWriter.visitLabel(label);CodeWriter.visitLabel(Label)
org.objectweb.asm.CodeWriter.visitLdcInsn(object);CodeWriter.visitLdcInsn(Object)
