EMBED_CLASS,LINK_EMBED,METHOD,ENVIED_CLASS,LINK_ENVIED
"org.gjt.sp.jedit.gui.KeyEventTranslator","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/KeyEventTranslator.java","translateKeyEvent(KeyEvent)","org.gjt.sp.jedit.gui.KeyEventWorkaround","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/KeyEventWorkaround.java"
"org.gjt.sp.jedit.io.FileVFS","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/FileVFS.java","constructPath(String, String)","org.gjt.sp.jedit.MiscUtilities","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/MiscUtilities.java"
"org.gjt.sp.jedit.browser.BrowserIORequest","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/BrowserIORequest.java","listDirectory()","org.gjt.sp.jedit.browser.BrowserView","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/BrowserView.java"
"bsh.Parser","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/Parser.java","generateParseException()","bsh.Token","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/Token.java"
"bsh.Parser","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/Parser.java","createParseException(String)","bsh.Token","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/Token.java"
"gnu.regexp.RETokenStart","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/RETokenStart.java","match(CharIndexed, REMatch)","gnu.regexp.REMatch","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/REMatch.java"
"org.gjt.sp.jedit.buffer.BufferLoadRequest","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/BufferLoadRequest.java","readMarkers(Buffer, InputStream)","org.gjt.sp.jedit.Buffer","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/Buffer.java"
"org.gjt.sp.jedit.search.HyperSearchResults","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/HyperSearchResults.java","handleMessage(EBMessage)","org.gjt.sp.jedit.msg.BufferUpdate","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/BufferUpdate.java"
"org.gjt.sp.jedit.pluginmgr.PluginManager","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/PluginManager.java","actionPerformed(ActionEvent)","org.gjt.sp.jedit.jEdit","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/jEdit.java"
"org.gjt.sp.jedit.pluginmgr.PluginManager","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/PluginManager.java","actionPerformed(ActionEvent)","org.gjt.sp.jedit.textarea.JEditTextArea","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/JEditTextArea.java"
"org.gjt.sp.jedit.jEdit","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/jEdit.java","getBuild()","org.gjt.sp.jedit.textarea.JEditTextArea","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/JEditTextArea.java"
"org.gjt.sp.jedit.jEdit","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/jEdit.java","runStartupScripts(File)","org.gjt.sp.jedit.Macros","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/Macros.java"
"org.gjt.sp.jedit.options.AbbrevsOptionPane","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/AbbrevsOptionPane.java","_init()","org.gjt.sp.jedit.jEdit","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/jEdit.java"
"org.gjt.sp.jedit.syntax.DisplayTokenHandler","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/DisplayTokenHandler.java","canMerge(Chunk, Chunk, Segment)","org.gjt.sp.jedit.syntax.Chunk","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/Chunk.java"
"org.gjt.sp.jedit.textarea.SelectionManager","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/SelectionManager.java","insideSelection(int, int)","org.gjt.sp.jedit.textarea.JEditTextArea","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/JEditTextArea.java"
"org.gjt.sp.jedit.textarea.SelectionManager","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/SelectionManager.java","getSelectionStartAndEnd(int, int, Selection)","org.gjt.sp.jedit.textarea.JEditTextArea","https://github.com/antoineBarbez/feature_envy/blob/master/jedit/JEditTextArea.java"
