METHOD_NAME;Antoine;Venkat;Manel
1) getCompiledPattern(int);Strongly disapprove;Strongly disapprove;Strongly disapprove
2) getGroups(String, int);Strongly disapprove;Strongly disapprove;Strongly disapprove
3) getGroups(String, int);Strongly disapprove;Strongly disapprove;Strongly disapprove
4) appendFiles(Vector, DirectoryScanner);Weakly approve;Strongly approve;Strongly disapprove
5) execute();Strongly disapprove;Strongly disapprove;Strongly disapprove
6) execute();Strongly disapprove;Strongly disapprove;Strongly disapprove
7) setupKaffehCommand(Javah);Weakly approve;Weakly approve;Strongly approve
8) addAlmostAll(Hashtable);Strongly disapprove;Weakly disapprove;Weakly approve
9) isValidOs();Strongly disapprove;Strongly disapprove;Strongly disapprove
10) isValidOs();Weakly disapprove;Weakly approve;Weakly approve
11) checkTaskClass(Class);Strongly disapprove;Weakly disapprove;Strongly disapprove
12) setSystemProperties();Strongly disapprove;Strongly disapprove;Strongly disapprove
13) setSystemProperties();Strongly disapprove;Strongly disapprove;Strongly disapprove
14) execute();Strongly disapprove;Strongly disapprove;Strongly disapprove
15) addGenICGeneratedFiles(File, Hashtable);Strongly disapprove;Strongly disapprove;Strongly disapprove
16) updateCRC(int, int);Strongly disapprove;Strongly disapprove;Strongly disapprove
17) updateCRC(int, int);Strongly disapprove;Strongly disapprove;Strongly disapprove
18) readPatterns(File, Vector, Project);Strongly disapprove;Strongly disapprove;Strongly disapprove
19) readPatterns(File, Vector, Project);Strongly disapprove;Strongly disapprove;Strongly disapprove
20) substitute(String, String, int);Strongly disapprove;Strongly disapprove;Strongly disapprove
21) getNextEntry();Strongly disapprove;Weakly disapprove;Weakly approve
22) findFile(File, String, boolean);Weakly disapprove;Strongly approve;Weakly approve
23) addTaskDefinition(String, Class);Strongly approve;Strongly disapprove;Strongly approve
24) validDefinition(AntTypeDefinition);Weakly disapprove;Strongly approve;Strongly approve
25) createComponent(UnknownElement, String, String);Weakly disapprove;Weakly approve;Strongly approve
26) zipFile(File, ZipOutputStream, String, int);Strongly disapprove;Strongly disapprove;Strongly disapprove
27) zipFile(File, ZipOutputStream, String, int);Strongly disapprove;Strongly disapprove;Strongly disapprove
28) characters(char, int, int, AntXMLContext);Strongly disapprove;Weakly disapprove;Strongly disapprove
29) onStartChild(String, String, String, Attributes, AntXMLContext);Strongly disapprove;Weakly disapprove;Strongly disapprove
30) parse(Project, Object, RootHandler);Strongly disapprove;Strongly disapprove;Strongly disapprove
31) addExtension(List, Extension, boolean, boolean);Weakly approve;Weakly disapprove;Strongly approve
32) logAndAddFilesToCompile(Commandline);Strongly disapprove;Strongly disapprove;Strongly disapprove
33) getCompileClasspath();Strongly disapprove;Strongly approve;Weakly approve
34) dependsOn(String);Strongly disapprove;Strongly disapprove;Strongly disapprove
35) execute();Strongly disapprove;Strongly disapprove;Strongly disapprove
36) execute();Strongly disapprove;Strongly disapprove;Strongly disapprove
37) execute();Strongly disapprove;Strongly disapprove;Strongly disapprove
38) execute();Strongly disapprove;Strongly disapprove;Strongly disapprove
39) setupJavahCommand(Javah);Weakly disapprove;Strongly approve;Strongly approve
40) addInputHandler(Project);Weakly disapprove;Strongly approve;Weakly approve
41) getTaskName();Strongly disapprove;Strongly disapprove;Strongly disapprove
42) extract();Strongly disapprove;Strongly disapprove;Strongly disapprove
43) addCommandArgument(Commandline, String);Weakly disapprove;Strongly approve;Strongly approve
44) executeToString(Execute);Weakly approve;Strongly approve;Strongly disapprove
45) asTarFileSet(ArchiveFileSet);Weakly approve;Weakly disapprove;Strongly approve
46) asTarFileSet(ArchiveFileSet);Weakly approve;Strongly approve;Strongly disapprove
47) writeTagEntry(Document, PrintWriter, CvsTagEntry);Weakly approve;Weakly approve;Weakly disapprove
48) setExecutable(String);Strongly disapprove;Strongly disapprove;Strongly disapprove
49) setWarfile(File);Strongly disapprove;Strongly disapprove;Strongly disapprove
50) setWarfile(File);Strongly disapprove;Strongly disapprove;Strongly disapprove
51) zipFile(File, ZipOutputStream, String, int);Strongly disapprove;Strongly disapprove;Strongly disapprove
52) zipFile(File, ZipOutputStream, String, int);Strongly disapprove;Strongly disapprove;Strongly disapprove
