METHOD_NAME;Antoine;Venkat;Loïc
1) execute();Strongly disapprove;Strongly disapprove;Strongly disapprove
2) execute();Strongly disapprove;Strongly disapprove;Strongly disapprove
3) bindToComponent(ProjectComponent);Weakly disapprove;Strongly approve;Strongly approve
4) scanOneFileset(DirectoryScanner, Hashtable, long);Weakly disapprove;Strongly disapprove;Strongly approve
5) scanOneFileset(DirectoryScanner, Hashtable, long);Strongly disapprove;Strongly disapprove;Strongly disapprove
6) scanOneFileset(DirectoryScanner, Hashtable, long);Strongly disapprove;Weakly disapprove;Strongly disapprove
7) getOutput(FormatterElement, JUnitTest);Weakly disapprove;Weakly approve;Strongly disapprove
8) getOutput(FormatterElement, JUnitTest);Strongly disapprove;Strongly disapprove;Strongly disapprove
9) setRefid(Reference);Strongly disapprove;Strongly approve;Strongly disapprove
10) throwNotSupported(Project, Object, String);Strongly disapprove;Strongly approve;Weakly approve
11) getJarBaseName(String);Weakly approve;Strongly approve;Strongly disapprove
12) getVendorDDPrefix(String, String);Weakly approve;Strongly approve;Weakly disapprove
13) copyProperty(Property, Property);Strongly approve;Strongly approve;Strongly approve
14) mapFileName(String);Strongly approve;Weakly approve;Strongly disapprove
15) setLoglevel(VerbosityLevelChoices);Strongly disapprove;Strongly approve;Strongly approve
16) eval();Strongly disapprove;Weakly disapprove;Strongly disapprove
17) getCompilerOptions(int);Strongly disapprove;Weakly disapprove;Strongly disapprove
18) getGroups(String, int);Strongly disapprove;Weakly disapprove;Strongly disapprove
19) getGroups(String, int);Strongly disapprove;Weakly disapprove;Strongly disapprove
20) execute();Strongly disapprove;Strongly disapprove;Strongly disapprove
21) configure(FTPClient, FTP);Weakly approve;Strongly approve;Strongly approve
22) execute();Strongly disapprove;Strongly disapprove;Strongly disapprove
23) getCompilerOptions(int);Strongly disapprove;Weakly disapprove;Strongly disapprove
24) getGroups(String, int);Strongly disapprove;Weakly disapprove;Strongly disapprove
25) getGroups(String, int);Strongly disapprove;Weakly disapprove;Strongly disapprove
26) addFiles(Commandline, ProjectComponent, File, File);Strongly disapprove;Weakly approve;Strongly disapprove
27) setup(Commandline, Native2Ascii);Weakly disapprove;Weakly approve;Strongly disapprove
28) classesToGenerate();Strongly disapprove;Strongly disapprove;Strongly disapprove
29) classesToGenerate();Strongly disapprove;Strongly disapprove;Strongly disapprove
30) doReportAntProperties(PrintStream);Weakly disapprove;Strongly disapprove;Strongly disapprove
31) doReportProxy(PrintStream);Weakly approve;Strongly disapprove;Weakly disapprove
32) execute();Strongly disapprove;Weakly disapprove;Strongly disapprove
33) execute();Strongly disapprove;Strongly disapprove;Strongly disapprove
34) hasPatterns(PatternSet);Strongly disapprove;Weakly approve;Strongly disapprove
35) logAndAddFilesToCompile(JspC, Vector, CommandlineJava);Strongly disapprove;Weakly disapprove;Strongly disapprove
36) execute();Strongly disapprove;Strongly disapprove;Strongly disapprove
37) execute();Strongly disapprove;Strongly disapprove;Strongly disapprove
38) lifecycleEvent(LifecycleEvent);Strongly disapprove;Weakly disapprove;Strongly disapprove
39) process(SSIMediator, String, String, String, PrintWriter);Strongly approve;Weakly disapprove;Strongly approve
40) findBytes(ByteChunk, byte);Weakly approve;Strongly approve;Strongly approve
41) hasJspRoot(JspReader);Strongly approve;Strongly approve;Strongly disapprove
42) write(ByteBuffer, NioChannel, Selector, long, boolean, MutableInteger);Strongly disapprove;Weakly disapprove;Strongly disapprove
43) getVariableValue(String, String);Strongly disapprove;Weakly approve;Strongly disapprove
44) formatDate(Date, TimeZone);Weakly approve;Strongly approve;Strongly disapprove
45) writeNewInstance(String, String);Strongly disapprove;Weakly disapprove;Strongly disapprove
46) genPreamblePackage(String);Strongly disapprove;Strongly disapprove;Strongly disapprove
47) generateSetDynamicAttribute();Strongly disapprove;Weakly approve;Strongly disapprove
48) genPreambleStaticInitializers();Strongly disapprove;Weakly disapprove;Strongly disapprove
49) generateSetJspContext(TagInfo);Strongly disapprove;Weakly disapprove;Strongly disapprove
50) generatePostamble();Strongly disapprove;Weakly approve;Strongly disapprove
51) genPreambleImports();Strongly disapprove;Weakly approve;Strongly disapprove
52) writeDestroyInstance(String);Strongly disapprove;Weakly approve;Strongly disapprove
