METHOD_NAME;Antoine;Venkat;Cristiano
1) translateKeyEvent(KeyEvent);Weakly disapprove;Strongly approve;Strongly disapprove
2) constructPath(String, String);Strongly disapprove;Strongly disapprove;Strongly disapprove
3) listDirectory();Strongly disapprove;Strongly disapprove;Strongly disapprove
4) generateParseException();Weakly disapprove;Strongly approve;Weakly approve
5) createParseException(String);Weakly disapprove;Strongly approve;Weakly approve
6) match(CharIndexed, REMatch);Weakly disapprove;Weakly disapprove;Weakly disapprove
7) readMarkers(Buffer, InputStream);Strongly disapprove;Weakly approve;Weakly disapprove
8) handleMessage(EBMessage);Weakly approve;Weakly approve;Weakly approve
9) actionPerformed(ActionEvent);Strongly disapprove;Strongly disapprove;Strongly disapprove
10) actionPerformed(ActionEvent);Strongly disapprove;Strongly disapprove;Strongly disapprove
11) getBuild();Strongly disapprove;Strongly disapprove;Strongly disapprove
12) runStartupScripts(File);Strongly disapprove;Strongly disapprove;Weakly disapprove
13) _init();Strongly disapprove;Strongly disapprove;Weakly disapprove
14) canMerge(Chunk, Chunk, Segment);Weakly disapprove;Strongly approve;Strongly approve
15) insideSelection(int, int);Weakly approve;Strongly approve;Weakly approve
16) getSelectionStartAndEnd(int, int, Selection);Weakly approve;Strongly approve;Weakly approve
17) init();Strongly disapprove;Strongly disapprove;Strongly disapprove
18) getMinMax(char, int, IntPair, RESyntax);Strongly disapprove;Strongly disapprove;Weakly disapprove
19) loadIcon(String);Strongly disapprove;Strongly disapprove;Strongly disapprove
20) showVFSFileDialog(View, String, int, boolean);Strongly disapprove;Strongly disapprove;I don't know / I don't want to answer
21) showVFSFileDialog(View, String, int, boolean);Strongly disapprove;Strongly disapprove;Strongly disapprove
22) saveCaretInfo();Weakly disapprove;Weakly disapprove;Weakly disapprove
23) addMarker();Weakly disapprove;Weakly disapprove;Weakly disapprove
24) loadBufferSwitcher();Strongly disapprove;Strongly disapprove;Strongly disapprove
25) handleBufferUpdate(BufferUpdate);Strongly disapprove;Strongly disapprove;Weakly disapprove
26) handleBufferUpdate(BufferUpdate);Strongly disapprove;Strongly disapprove;Weakly disapprove
27) setBuffer(Buffer);Strongly disapprove;Strongly disapprove;Strongly disapprove
28) handleMessage(EBMessage);Weakly approve;Weakly approve;Strongly approve
29) replaceInSelection(View, JEditTextArea, Buffer, SearchMatcher, boolean, Selection);Weakly approve;Weakly approve;Strongly approve
30) _replace(View, Buffer, SearchMatcher, int, int, boolean);Weakly disapprove;Strongly disapprove;Strongly disapprove
31) savePerspective(boolean);Strongly disapprove;Strongly disapprove;Weakly disapprove
32) savePerspective(boolean);Strongly disapprove;Strongly disapprove;Strongly disapprove
33) attribute(String, String, boolean);Strongly disapprove;Strongly approve;Strongly disapprove
34) writeMarkers(Buffer, OutputStream);Strongly disapprove;Weakly approve;Strongly disapprove
35) checkFileForSave(View, VFS, String);Weakly approve;Strongly approve;Weakly approve
36) checkFileForLoad(View, VFS, String);Weakly approve;Strongly approve;Weakly approve
37) createPluginMenu(VFSBrowser);Strongly disapprove;Strongly approve;Weakly disapprove
38) getDeclaredMethods(BSHBlock, CallStack, Interpreter, String);Weakly approve;Weakly approve;Strongly approve
39) getElementAt(int);Weakly approve;Weakly approve;Strongly approve
40) spacesToTabs(String, int);Strongly disapprove;Strongly disapprove;Weakly disapprove
41) getTokenAtOffset(Token, int);Weakly approve;Strongly approve;Strongly approve
42) init(boolean, int);Strongly disapprove;Strongly disapprove;Strongly disapprove
43) dispose();Strongly disapprove;Strongly disapprove;Strongly disapprove
44) createOptionTreeModel();Strongly disapprove;Strongly disapprove;Strongly disapprove
45) createOptionTreeModel();Strongly disapprove;Strongly disapprove;Weakly disapprove
46) constructWithInterfaceBody(Class, Object, BSHBlock, CallStack, Interpreter);Weakly disapprove;Strongly disapprove;Weakly approve
47) constructObject(Class, Object, CallStack);Strongly disapprove;Strongly disapprove;Weakly disapprove
48) arrayNewInstance(Class, BSHArrayDimensions, CallStack);Weakly disapprove;Strongly approve;Weakly disapprove
49) substitute(REMatch, char);Strongly disapprove;Strongly disapprove;Strongly disapprove
50) print(View, Buffer, boolean);Strongly disapprove;Strongly disapprove;Weakly disapprove
51) print(View, Buffer, boolean);Strongly disapprove;Strongly disapprove;Strongly disapprove
52) addPlugin(Plugin);Strongly disapprove;Strongly disapprove;Strongly disapprove
