NORM_NAME;NAME
android.provider.Telephony.query(contentresolver, string);Telephony.query(ContentResolver, String)
android.provider.Telephony.query(contentresolver, string, string, string);Telephony.query(ContentResolver, String, String, String)
android.provider.Telephony.addMessageToUri(boolean, boolean, contentresolver, long, string, string, string, uri);Telephony.addMessageToUri(ContentResolver, Uri, String, String, String, Long, boolean, boolean)
android.provider.Telephony.addMessageToUri(boolean, boolean, contentresolver, long, long, string, string, string, uri);Telephony.addMessageToUri(ContentResolver, Uri, String, String, String, Long, boolean, boolean, long)
android.provider.Telephony.moveMessageToFolder(context, int, int, uri);Telephony.moveMessageToFolder(Context, Uri, int, int)
android.provider.Telephony.isOutgoingFolder(int);Telephony.isOutgoingFolder(int)
android.provider.Telephony.addMessage(boolean, contentresolver, long, string, string, string);Telephony.addMessage(ContentResolver, String, String, String, Long, boolean)
android.provider.Telephony.addMessage(contentresolver, long, string, string, string);Telephony.addMessage(ContentResolver, String, String, String, Long)
android.provider.Telephony.addMessage(contentresolver, long, string, string, string);Telephony.addMessage(ContentResolver, String, String, String, Long)
android.provider.Telephony.saveMessage(contentresolver, string, uri);Telephony.saveMessage(ContentResolver, Uri, String)
android.provider.Telephony.addMessage(boolean, contentresolver, long, long, string, string, string);Telephony.addMessage(ContentResolver, String, String, String, Long, boolean, long)
android.provider.Telephony.getMessagesFromIntent(intent);Telephony.getMessagesFromIntent(Intent)
android.provider.Telephony.getOrCreateThreadId(context, string);Telephony.getOrCreateThreadId(Context, String)
android.provider.Telephony.getOrCreateThreadId(context, set);Telephony.getOrCreateThreadId(Context, Set)
android.provider.Telephony.query(contentresolver, string);Telephony.query(ContentResolver, String)
android.provider.Telephony.query(contentresolver, string, string, string);Telephony.query(ContentResolver, String, String, String)
android.provider.Telephony.getMessageBoxName(int);Telephony.getMessageBoxName(int)
android.provider.Telephony.extractAddrSpec(string);Telephony.extractAddrSpec(String)
android.provider.Telephony.isEmailAddress(string);Telephony.isEmailAddress(String)
android.provider.Telephony.isPhoneNumber(string);Telephony.isPhoneNumber(String)
android.telephony.CellBroadcastMessage.describeContents();CellBroadcastMessage.describeContents()
android.telephony.CellBroadcastMessage.writeToParcel(int, parcel);CellBroadcastMessage.writeToParcel(Parcel, int)
android.telephony.CellBroadcastMessage.createFromParcel(parcel);CellBroadcastMessage.createFromParcel(Parcel)
android.telephony.CellBroadcastMessage.newArray(int);CellBroadcastMessage.newArray(int)
android.telephony.CellBroadcastMessage.createFromCursor(cursor);CellBroadcastMessage.createFromCursor(Cursor)
android.telephony.CellBroadcastMessage.getContentValues();CellBroadcastMessage.getContentValues()
android.telephony.CellBroadcastMessage.setIsRead(boolean);CellBroadcastMessage.setIsRead(boolean)
android.telephony.CellBroadcastMessage.getLanguageCode();CellBroadcastMessage.getLanguageCode()
android.telephony.CellBroadcastMessage.getServiceCategory();CellBroadcastMessage.getServiceCategory()
android.telephony.CellBroadcastMessage.getDeliveryTime();CellBroadcastMessage.getDeliveryTime()
android.telephony.CellBroadcastMessage.getMessageBody();CellBroadcastMessage.getMessageBody()
android.telephony.CellBroadcastMessage.isRead();CellBroadcastMessage.isRead()
android.telephony.CellBroadcastMessage.getSerialNumber();CellBroadcastMessage.getSerialNumber()
android.telephony.CellBroadcastMessage.getCmasWarningInfo();CellBroadcastMessage.getCmasWarningInfo()
android.telephony.CellBroadcastMessage.getEtwsWarningInfo();CellBroadcastMessage.getEtwsWarningInfo()
android.telephony.CellBroadcastMessage.isPublicAlertMessage();CellBroadcastMessage.isPublicAlertMessage()
android.telephony.CellBroadcastMessage.isEmergencyAlertMessage();CellBroadcastMessage.isEmergencyAlertMessage()
android.telephony.CellBroadcastMessage.isEtwsMessage();CellBroadcastMessage.isEtwsMessage()
android.telephony.CellBroadcastMessage.isCmasMessage();CellBroadcastMessage.isCmasMessage()
android.telephony.CellBroadcastMessage.getCmasMessageClass();CellBroadcastMessage.getCmasMessageClass()
android.telephony.CellBroadcastMessage.isEtwsPopupAlert();CellBroadcastMessage.isEtwsPopupAlert()
android.telephony.CellBroadcastMessage.isEtwsEmergencyUserAlert();CellBroadcastMessage.isEtwsEmergencyUserAlert()
android.telephony.CellBroadcastMessage.isEtwsTestMessage();CellBroadcastMessage.isEtwsTestMessage()
android.telephony.CellBroadcastMessage.getDateString(context);CellBroadcastMessage.getDateString(Context)
android.telephony.CellBroadcastMessage.getSpokenDateString(context);CellBroadcastMessage.getSpokenDateString(Context)
android.telephony.SmsManager.sendTextMessage(pendingintent, pendingintent, string, string, string);SmsManager.sendTextMessage(String, String, String, PendingIntent, PendingIntent)
android.telephony.SmsManager.divideMessage(string);SmsManager.divideMessage(String)
android.telephony.SmsManager.sendMultipartTextMessage(arraylist, arraylist, arraylist, string, string);SmsManager.sendMultipartTextMessage(String, String, ArrayList, ArrayList, ArrayList)
android.telephony.SmsManager.sendDataMessage(byte, pendingintent, pendingintent, short, string, string);SmsManager.sendDataMessage(String, String, short, byte, PendingIntent, PendingIntent)
android.telephony.SmsManager.getDefault();SmsManager.getDefault()
android.telephony.SmsManager.copyMessageToIcc(byte, byte, int);SmsManager.copyMessageToIcc(byte, byte, int)
android.telephony.SmsManager.deleteMessageFromIcc(int);SmsManager.deleteMessageFromIcc(int)
android.telephony.SmsManager.updateMessageOnIcc(byte, int, int);SmsManager.updateMessageOnIcc(int, int, byte)
android.telephony.SmsManager.getAllMessagesFromIcc();SmsManager.getAllMessagesFromIcc()
android.telephony.SmsManager.enableCellBroadcast(int);SmsManager.enableCellBroadcast(int)
android.telephony.SmsManager.disableCellBroadcast(int);SmsManager.disableCellBroadcast(int)
android.telephony.SmsManager.enableCellBroadcastRange(int, int);SmsManager.enableCellBroadcastRange(int, int)
android.telephony.SmsManager.disableCellBroadcastRange(int, int);SmsManager.disableCellBroadcastRange(int, int)
android.telephony.SmsManager.createMessageListFromRawRecords(list);SmsManager.createMessageListFromRawRecords(List)
android.telephony.SmsCbLocation.getPlmn();SmsCbLocation.getPlmn()
android.telephony.SmsCbLocation.getLac();SmsCbLocation.getLac()
android.telephony.SmsCbLocation.getCid();SmsCbLocation.getCid()
android.telephony.SmsCbLocation.hashCode();SmsCbLocation.hashCode()
android.telephony.SmsCbLocation.equals(object);SmsCbLocation.equals(Object)
android.telephony.SmsCbLocation.toString();SmsCbLocation.toString()
