Class;Method;DeclaringClass;NbFields
org.jgroups.blocks.RpcDispatcher;setRequestMarshaller(org.jgroups.blocks.RpcDispatcher.Marshaller);org.jgroups.blocks.RpcDispatcher;1
org.jgroups.blocks.RpcDispatcher;addChannelListener(org.jgroups.ChannelListener);org.jgroups.blocks.RpcDispatcher;1
org.jgroups.blocks.RpcDispatcher;handle(org.jgroups.Message);org.jgroups.Message;4
org.jgroups.blocks.RpcDispatcher;handle(org.jgroups.Message);org.jgroups.blocks.RpcDispatcher;4
org.jgroups.blocks.RpcDispatcher;handle(org.jgroups.Message);org.jgroups.blocks.MethodCall;4
org.jgroups.blocks.RpcDispatcher;callRemoteMethods(boolean, boolean, int, java.util.Vector, long, org.jgroups.blocks.MethodCall);java.util.Vector;1
org.jgroups.blocks.RpcDispatcher;callRemoteMethods(boolean, boolean, int, java.util.Vector, long, org.jgroups.blocks.MethodCall);org.jgroups.Message;2
org.jgroups.blocks.RpcDispatcher;callRemoteMethods(boolean, boolean, int, java.util.Vector, long, org.jgroups.blocks.MethodCall);org.jgroups.blocks.RpcDispatcher;2
org.jgroups.blocks.RpcDispatcher;callRemoteMethods(boolean, boolean, int, java.util.Vector, long, org.jgroups.blocks.MethodCall);org.jgroups.blocks.MethodCall;1
org.jgroups.blocks.RpcDispatcher;setMarshaller(org.jgroups.blocks.RpcDispatcher.Marshaller);org.jgroups.blocks.RpcDispatcher;1
org.jgroups.blocks.RpcDispatcher;getMethodLookup();org.jgroups.blocks.RpcDispatcher;1
org.jgroups.blocks.RpcDispatcher;sendMessage(int, long, org.jgroups.Message);org.jgroups.blocks.RpcDispatcher;1
org.jgroups.blocks.RpcDispatcher;setServerObject(java.lang.Object);org.jgroups.blocks.RpcDispatcher;1
org.jgroups.blocks.RpcDispatcher;channelShunned();org.jgroups.blocks.RpcDispatcher;2
org.jgroups.blocks.RpcDispatcher;getMarshaller();org.jgroups.blocks.RpcDispatcher;1
org.jgroups.blocks.RpcDispatcher;callRemoteMethod(boolean, int, long, org.jgroups.Address, org.jgroups.blocks.MethodCall);org.jgroups.Message;2
org.jgroups.blocks.RpcDispatcher;callRemoteMethod(boolean, int, long, org.jgroups.Address, org.jgroups.blocks.MethodCall);org.jgroups.blocks.RpcDispatcher;2
org.jgroups.blocks.RpcDispatcher;setResponseMarshaller(org.jgroups.blocks.RpcDispatcher.Marshaller);org.jgroups.blocks.RequestCorrelator;1
org.jgroups.blocks.RpcDispatcher;setResponseMarshaller(org.jgroups.blocks.RpcDispatcher.Marshaller);org.jgroups.blocks.RpcDispatcher;2
org.jgroups.blocks.RpcDispatcher;getResponseMarshaller();org.jgroups.blocks.RpcDispatcher;1
org.jgroups.blocks.RpcDispatcher;castMessage(int, java.util.Vector, long, org.jgroups.Message);org.jgroups.blocks.RpcDispatcher;1
org.jgroups.blocks.RpcDispatcher;removeChannelListener(org.jgroups.ChannelListener);org.jgroups.blocks.RpcDispatcher;1
org.jgroups.blocks.RpcDispatcher;correlatorStarted();org.jgroups.blocks.RequestCorrelator;1
org.jgroups.blocks.RpcDispatcher;correlatorStarted();org.jgroups.blocks.RpcDispatcher;2
