Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	org.apache.xerces.impl.xs.XSLoaderImpl.XSGrammarMerger::mergeSchemaGrammars(org.apache.xerces.impl.xs.SchemaGrammar, org.apache.xerces.impl.xs.SchemaGrammar):void	org.apache.xerces.impl.xs.SchemaGrammar	0/15		
Move Method	org.apache.xerces.dom.DOMErrorImpl::createDOMLocator(org.apache.xerces.xni.parser.XMLParseException):org.apache.xerces.dom.DOMLocatorImpl	org.apache.xerces.xni.parser.XMLParseException	0/4	
Move Method	org.apache.xerces.impl.xs.traversers.XSDComplexTypeTraverser::mergeAttributes(org.apache.xerces.impl.xs.XSAttributeGroupDecl, org.apache.xerces.impl.xs.XSAttributeGroupDecl, java.lang.String, boolean, org.w3c.dom.Element):void	org.apache.xerces.impl.xs.XSAttributeGroupDecl	0/4	
Move Method	org.apache.xerces.impl.XMLScanner::normalizeWhitespace(org.apache.xerces.xni.XMLString):void	org.apache.xerces.xni.XMLString	0/3	
Move Method	org.apache.xerces.impl.XMLScanner::normalizeWhitespace(org.apache.xerces.xni.XMLString, int):void	org.apache.xerces.xni.XMLString	0/3	
Move Method	org.apache.xerces.impl.XMLScanner::isUnchangedByNormalization(org.apache.xerces.xni.XMLString):int	org.apache.xerces.xni.XMLString	0/3	
Move Method	org.apache.xerces.impl.dtd.XMLDTDProcessor::normalizeDefaultAttrValue(org.apache.xerces.xni.XMLString):boolean	org.apache.xerces.xni.XMLString	0/3	
Move Method	org.apache.xerces.impl.xs.models.CMBuilder::createAllCM(org.apache.xerces.impl.xs.XSParticleDecl):org.apache.xerces.impl.xs.models.XSCMValidator	org.apache.xerces.impl.xs.XSParticleDecl	0/3	
Move Method	org.apache.xerces.impl.xs.traversers.XSDAbstractParticleTraverser::hasAllContent(org.apache.xerces.impl.xs.XSParticleDecl):boolean	org.apache.xerces.impl.xs.XSParticleDecl	0/2	
Move Method	org.apache.xerces.xinclude.XIncludeHandler::copyFeatures1(java.util.Enumeration, java.lang.String, org.apache.xerces.xni.parser.XMLComponentManager, org.apache.xerces.util.ParserConfigurationSettings):void	org.apache.xerces.util.ParserConfigurationSettings	0/2	
Move Method	org.apache.xerces.impl.xpath.XPath.Scanner::scanNumber(org.apache.xerces.impl.xpath.XPath.Tokens, java.lang.String, int, int):int	org.apache.xerces.impl.xpath.XPath.Tokens	0/1	
Move Method	org.apache.xerces.impl.xs.opti.SchemaDOMParser::hasNonSchemaAttributes(org.apache.xerces.xni.QName, org.apache.xerces.xni.XMLAttributes):boolean	org.apache.xerces.xni.QName	0/1	
