Learning rate;Beta;Layers;dropout;F-mesure
0.190044388693;0.196895669916;[86, 44];1.0;0.61772454
0.157586556617;0.0772002748263;[45, 41, 37];0.8;0.6128845
0.254596270752;0.0682956055009;[24, 12];0.9;0.5839858
0.166144045436;0.150897662787;[45, 24, 15];0.9;0.58044475
0.124378547559;0.231563670451;[98, 85];0.8;0.5694729
0.112353245262;0.0866245465788;[101, 72, 39];0.7;0.50578326
0.182098769447;0.103863625095;[98, 68];0.6;0.49937534
0.0165013950498;0.423964023803;[115, 101];0.7;0.49351373
0.201686137513;0.0584115177405;[87, 32];0.7;0.49201426
0.730523299473;0.0169324868178;[131, 101, 6];0.7;0.47645468
0.0912268275312;0.0589074181535;[138, 23];0.5;0.46920475
0.271117815516;0.119979613192;[127, 52];0.7;0.4657894
0.144741766548;0.118287544641;[94, 93];0.7;0.46085525
0.0314560693889;0.227150606384;[131, 96, 44];0.9;0.46045446
0.168134202911;0.0965422566967;[78, 17];0.6;0.45451173
0.0582795835951;0.114266089894;[98, 81, 35];0.5;0.44971696
0.250048260043;0.13225751014;[12, 5, 5];1.0;0.44654846
0.0684361249785;0.074620901941;[23, 13];1.0;0.43170509338378904
0.197529797642;0.0413156783596;[42, 34];0.5;0.4281071
0.0607698098531;0.148370376238;[24, 9];0.6;0.42618093490600584
0.443897322433;0.00722865476558;[68, 46, 27];0.8;0.4207161
0.0606985742592;0.253538651335;[135, 47, 31];1.0;0.4143503487110138
0.546329300183;0.0108227546848;[58, 7, 7];0.8;0.41240367
0.0355881984079;0.136027496437;[90, 51, 17];0.7;0.411833
0.180032943778;0.014062046989;[29, 21];0.8;0.40837914
0.300080405381;0.0417146693098;[69, 30, 5];0.9;0.40607637
0.0800681950971;0.0536941235494;[87, 18];0.8;0.40418133
0.180657409128;0.0463154443345;[46, 33];0.9;0.3993929
0.661040150917;0.0100731838604;[72, 9];1.0;0.3892044
0.252022610811;0.089853254573;[81, 64, 39];0.6;0.38725212
0.495535594408;0.0119798910089;[26, 19, 16];0.6;0.38671383
0.259211463793;0.03863057953;[78, 38];1.0;0.38501233
0.0981397385734;0.109860463241;[90, 44, 31];1.0;0.38395470976829527
0.0786483922829;0.0495694742874;[75, 27, 26];0.8;0.38311265110969545
0.0819036543373;0.0455157379183;[11, 9];0.6;0.3795979917049408
0.44084557781;0.00780716390766;[122, 87, 50];0.9;0.3760779
0.0944274709595;0.0806648546979;[55, 36, 18];0.7;0.3744902014732361
0.232169705064;0.0250103008463;[59, 28, 20];0.8;0.3699627935886383
0.530615347588;0.0174472586491;[64, 58];0.6;0.3638912
0.315370894502;0.0318244596589;[110, 75];0.8;0.3605855
0.45219620095;0.0115644050965;[15, 4];0.8;0.3602190375328064
0.491873219282;0.00819262266927;[49, 22];1.0;0.3596274971961975
0.480193215449;0.00761309693586;[34, 11, 4];0.5;0.3565343
0.427889918399;0.0717150943182;[29, 15];0.7;0.35235915
0.28209346839;0.009398410547;[27, 11, 10];0.5;0.35109689831733704
0.236548357249;0.0300875882425;[93, 64];0.9;0.3471692383289337
0.0124516082269;0.770182718265;[55, 23];0.6;0.3434286
0.480052116051;0.0128591336863;[140, 7, 6];0.6;0.342645651102066
0.756628884871;0.0089888159965;[45, 16];1.0;0.3422485888004303
0.684402652739;0.0239192588904;[65, 44];1.0;0.3422485888004303
0.60025167008;0.0142880622308;[111, 24, 17];0.8;0.34160959124565127
