Max features;Max depth;Min samples leaf;Min samples split;Accuracy
None;50;5;0.000227520260829;0.995952179233738
None;50;5;0.000424529245926;0.9958849396861259
None;50;2;0.000463551310437;0.9958714917766033
None;40;4;0.000605579999487;0.995804252228991
None;70;2;0.000257815675075;0.995777356409946
None;100;3;0.000386688013264;0.9957504605909011
None;70;5;0.00023610251344;0.9957235647718562
None;30;3;0.000173825319432;0.9957235647718562
None;20;3;0.000464780051182;0.9957101168623338
None;40;5;0.000455517782571;0.9956697731337664
None;30;1;0.000350600457274;0.9956428773147215
None;40;5;0.000833112689723;0.9956159814956765
None;70;4;0.000177319184241;0.9956159814956765
None;100;3;0.000384648989333;0.9956025335861541
None;100;5;0.000981289791175;0.9956025335861539
None;60;3;0.000722514000832;0.9955218461290193
None;50;3;0.000653815840361;0.9955083982194967
None;30;4;0.00112316395868;0.9954949503099743
None;40;5;0.000427447808894;0.9954680544909295
None;50;3;0.00104284953723;0.9954546065814069
None;60;2;0.000156566628987;0.9954411586718844
None;20;1;0.000845387038718;0.995427710762362
None;30;2;0.000864995156197;0.9954142628528394
None;20;3;0.00341734249262;0.995400814943317
None;100;5;0.000849690255731;0.995400814943317
None;None;2;0.00176121488871;0.995400814943317
None;60;4;0.00393928628809;0.9952932316671373
None;70;4;0.000877424847939;0.9952797837576148
None;60;1;0.0031830900114;0.9952125442100025
sqrt;70;1;0.000122150729716;0.9951856483909577
None;60;1;0.000298975087095;0.9951856483909577
None;None;4;0.00338575230345;0.9951453046623903
sqrt;50;2;0.000119456063139;0.9951184088433452
sqrt;80;3;0.000317678086418;0.9951184088433452
log2;20;1;0.000985909436601;0.9951049609338228
None;None;3;0.00155992497629;0.9950646172052554
None;10;1;0.00316908195901;0.995051169295733
sqrt;50;2;0.000149898541825;0.9950377213862106
sqrt;60;1;0.000139670328171;0.995024273476688
log2;30;1;0.000108912858301;0.9949570339290758
sqrt;50;1;0.000143093543734;0.9949166902005083
None;80;3;0.00234395248738;0.9949032422909859
sqrt;20;1;0.00058130019746;0.9948763464719409
None;20;3;0.00200556050827;0.9948628985624185
sqrt;100;1;0.000248005700016;0.9948628985624185
sqrt;40;4;0.000108493390192;0.9948494506528961
None;40;2;0.002311079618;0.9948494506528961
None;100;3;0.00258941413191;0.9948360027433735
sqrt;70;4;0.000132713380893;0.9948225548338511
log2;60;3;0.000508493145741;0.9948225548338511
sqrt;None;2;0.000246846771653;0.9948225548338511
log2;80;1;0.000166317520659;0.9948225548338511
log2;40;3;0.000131342926795;0.9948091069243286
None;90;1;0.00141667238225;0.9948091069243286
log2;80;2;0.000165767996681;0.9947822111052836
sqrt;60;5;0.00014176095498;0.9947822111052836
None;20;5;0.00616675866596;0.9947822111052836
sqrt;40;4;0.000128143895045;0.9947687631957612
sqrt;100;5;0.000122859970545;0.9947553152862388
None;60;4;0.0048167772177;0.9947418673767162
log2;70;3;0.000198081383725;0.9947284194671938
sqrt;30;4;0.000197898463447;0.9947149715576714
sqrt;20;3;0.000157459751863;0.9947015236481489
sqrt;10;4;0.000221099350427;0.9946880757386265
log2;90;1;0.000480891917457;0.9946880757386265
None;10;1;0.00254631045144;0.9946611799195816
sqrt;70;2;0.000101475595253;0.9946611799195816
sqrt;90;3;0.000977249147412;0.9946342841005366
sqrt;90;4;0.000559285627709;0.9946342841005366
sqrt;40;3;0.00125524341818;0.9946208361910142
sqrt;90;5;0.000866598381211;0.994620836191014
log2;20;2;0.000265769886094;0.9946073882814916
log2;20;1;0.000125705698857;0.9946073882814916
log2;80;2;0.000122316608305;0.9945939403719692
log2;10;1;0.00138298911458;0.9945804924624467
None;10;4;0.00522208811875;0.9945670445529243
sqrt;20;5;0.000338056623697;0.9945535966434017
sqrt;20;5;0.000428578321123;0.9945535966434017
sqrt;100;5;0.000280599481144;0.9945535966434017
log2;70;4;0.000647645205725;0.9945267008243569
None;10;2;0.00465429140225;0.9945267008243568
log2;30;4;0.000142364264737;0.9945132529148344
sqrt;40;3;0.000160243432119;0.9945132529148344
sqrt;30;2;0.000557704083208;0.9944998050053119
None;None;3;0.00472793590969;0.9944325654576995
sqrt;100;5;0.00250009929632;0.9944191175481771
None;90;3;0.00224932856506;0.9944191175481771
sqrt;20;1;0.000201068685157;0.9944056696386547
None;80;4;0.00220025374554;0.9944056696386546
sqrt;20;2;0.000590395775109;0.9944056696386546
