Max features;Max depth;Min samples leaf;Min samples split;MCC
sqrt;60;3;0.000829550343722;0.5581597127476572
None;100;5;0.0004017033174;0.5476211270424236
log2;50;5;0.00245227435029;0.5451571669206456
None;30;5;0.000335469253138;0.5442670208279244
sqrt;100;4;0.000553530621326;0.5442209349761052
None;50;3;0.000257494713379;0.5434355510313222
None;90;3;0.000234859971912;0.5430604727433006
None;80;5;0.000489668786695;0.5426345250784314
None;None;3;0.00107920713025;0.5396863361048344
None;100;2;0.00128079472791;0.5396863361048344
None;80;5;0.00258171786536;0.5344114398833212
None;40;3;0.000834597492427;0.5342019844213425
None;None;4;0.000105262750632;0.5340823699856899
None;80;4;0.000124549915956;0.5340823699856899
None;40;3;0.000400895298421;0.5340719613308826
None;10;3;0.000937540423298;0.5328763817474028
None;60;1;0.00084547597935;0.5310025977877177
None;70;3;0.00094500279216;0.5310025977877177
None;80;3;0.00085469705503;0.5307679340625064
None;60;5;0.00066054796356;0.5278065963037699
None;70;3;0.00044523226585;0.5256780138453285
None;80;3;0.000330899430207;0.525494965918914
log2;30;3;0.000107097514246;0.525494965918914
None;10;4;0.000124787290853;0.5240522101333254
None;None;3;0.000397386449393;0.5238401386234391
None;40;3;0.000303487761138;0.5236555742558745
None;90;5;0.000778718257489;0.5208442447102856
sqrt;20;1;0.00204132560938;0.5206217146420674
None;50;2;0.000677871249574;0.5201926007258558
None;70;2;0.000661921523829;0.5201926007258558
sqrt;80;5;0.00133224907658;0.5201926007258558
None;40;4;0.00133691699513;0.518934798996578
log2;60;1;0.000393721659275;0.5171213364734991
None;70;1;0.000202241437028;0.5166759727453732
log2;100;2;0.000115284350298;0.516666184911887
log2;20;2;0.000123235712901;0.5157382407581088
sqrt;70;3;0.000881223631244;0.5151547522262754
sqrt;70;2;0.00437333176632;0.5151454719415018
None;50;2;0.000193134052847;0.5149537446764112
sqrt;20;4;0.00162278063713;0.5141827428514896
sqrt;20;5;0.0004590961673;0.5135984290852778
None;None;2;0.000647922338502;0.5130729892483628
sqrt;None;5;0.00260733244664;0.5121163010701117
sqrt;30;2;0.00019720421398;0.5098649095847896
log2;None;4;0.00117625857133;0.5095519323897891
sqrt;90;5;0.0105641783367;0.5086212051445822
log2;50;1;0.00340187953814;0.5070275359876756
sqrt;20;5;0.00164828408011;0.5066438850712143
None;70;2;0.00204727848403;0.5063329517881917
log2;100;5;0.00599755981832;0.5063329517881917
None;60;3;0.000257298481014;0.5059435969033909
sqrt;60;4;0.00021524610126;0.505623450471731
sqrt;100;2;0.0571977527055;0.5054483692990771
sqrt;60;4;0.0116802208826;0.5054483692990771
log2;20;4;0.000193612927241;0.5054483692990771
sqrt;60;4;0.0287228477799;0.504888602386927
sqrt;40;5;0.0231736583474;0.504400401138535
sqrt;10;3;0.00184402276315;0.5041048473950536
sqrt;None;2;0.0191988955081;0.5038834852905454
sqrt;None;1;0.0054616472587;0.5038834852905454
sqrt;None;5;0.0206214385316;0.5028979867670659
log2;50;4;0.00115584743556;0.5028900155800741
sqrt;80;2;0.00249671941497;0.5024799318322167
log2;20;4;0.0153204285154;0.5023297720360562
None;90;3;0.00313905787835;0.5014072996038367
log2;10;4;0.0331408151134;0.5013872219855651
log2;50;1;0.0406715776209;0.5013047992703338
sqrt;40;5;0.000176205246675;0.5013047992703338
log2;None;3;0.0407393876356;0.5001879978984629
log2;80;2;0.000119776978297;0.4998974642146399
log2;80;5;0.0198250742908;0.4998890003567614
None;50;5;0.00167198654599;0.49979627250799746
None;10;1;0.000166487574136;0.49907527956858294
sqrt;50;4;0.00249842832586;0.4987051544503267
sqrt;30;4;0.0358072913467;0.49769711862971044
log2;20;1;0.00108975253616;0.49739804301973245
log2;None;5;0.0635674991059;0.49716057700961874
log2;90;5;0.0729868049021;0.49716057700961874
log2;60;4;0.000134683530289;0.49691196380696623
None;50;1;0.00037975815392;0.4968046506458368
log2;70;1;0.000675768998747;0.49626593066368124
sqrt;90;1;0.00806484890335;0.49620171786115513
sqrt;60;4;0.000832735877726;0.4961428265131958
None;90;4;0.00200703634668;0.4957371682138695
sqrt;20;3;0.0194601486008;0.4957105948613483
sqrt;20;3;0.000224331496355;0.49478237840601386
None;100;1;0.00348317586442;0.494092389445883
log2;90;2;0.000147721917638;0.4932246863128479
log2;70;3;0.000222647508086;0.4929486599447806
log2;20;1;0.00537764759127;0.4924634470168463
None;10;1;0.000334194418487;0.4914627509193198
log2;10;5;0.000271735319799;0.4913739306749731
log2;60;3;0.000362847672053;0.4913739306749731
sqrt;80;2;0.0012445518598;0.4913031025166956
sqrt;80;5;0.00219348152079;0.49070562796117223
log2;40;3;0.0826774129104;0.4904376687286921
log2;60;1;0.0228838515148;0.49040818538968534
log2;50;5;0.0081839785935;0.48981880275344997
log2;50;4;0.00110717913854;0.48981379537979663
sqrt;100;3;0.00061875826251;0.48981379537979663
log2;100;5;0.0358974876084;0.4889750014702876
log2;80;4;0.0143895125159;0.4875539630844454
log2;20;3;0.0111598522699;0.48704637752476443
sqrt;70;3;0.0848626739115;0.4867259227060952
sqrt;80;3;0.000985668838319;0.4859462340179469
sqrt;None;2;0.000304831894766;0.48502459762747907
log2;30;1;0.00984702148931;0.48454758957001337
sqrt;70;4;0.000100009072783;0.4844755455312409
sqrt;100;4;0.00566622414505;0.4844755455312409
None;30;2;0.0241643800962;0.483860064461808
None;None;1;0.0940946150182;0.483860064461808
log2;70;1;0.0608296579914;0.483860064461808
None;40;4;0.0146468915204;0.483860064461808
None;90;3;0.0136027532839;0.483860064461808
None;100;4;0.0658025362011;0.483860064461808
log2;40;5;0.041298773911;0.483860064461808
None;80;1;0.015280817405;0.483860064461808
sqrt;70;2;0.0636230413488;0.483860064461808
None;80;4;0.0375508560513;0.483860064461808
sqrt;60;1;0.0572757640613;0.483860064461808
None;90;3;0.0856599563114;0.483860064461808
sqrt;40;1;0.0576762243455;0.483860064461808
None;90;5;0.0458640526521;0.483860064461808
None;80;5;0.0143752681397;0.483860064461808
None;40;3;0.0257478160927;0.483860064461808
log2;30;5;0.016366002937;0.483860064461808
None;80;4;0.0344266910498;0.483860064461808
sqrt;80;5;0.0283579275253;0.483860064461808
log2;70;4;0.053887503916;0.483860064461808
log2;90;2;0.0659825209487;0.483860064461808
None;20;1;0.023348580198;0.483860064461808
sqrt;30;2;0.0604858181754;0.483860064461808
None;70;5;0.0788842974927;0.483860064461808
None;10;1;0.036953685493;0.483860064461808
sqrt;10;4;0.0497048723666;0.48297219603975255
log2;70;1;0.0398516682514;0.48014015195182286
log2;70;2;0.0150996868947;0.48014015195182286
log2;80;3;0.0100537846766;0.48014015195182286
sqrt;70;5;0.0845601748431;0.48014015195182286
sqrt;60;1;0.0107077206447;0.4799727019896612
sqrt;70;2;0.00709243392637;0.47928315087980516
log2;60;1;0.0756907789615;0.47871996186063553
log2;70;5;0.00147393705586;0.47871996186063553
log2;10;5;0.0450907508427;0.47871996186063553
log2;50;4;0.0040577283931;0.47871996186063553
log2;40;2;0.00425688047085;0.47702478154933264
log2;70;1;0.00013479465001;0.4763882659293528
log2;70;4;0.00378282390547;0.47547053110170867
log2;90;4;0.00792387933999;0.4749678476673602
sqrt;80;2;0.0294384725494;0.4749678476673602
sqrt;50;2;0.016958912619;0.47453173008402916
sqrt;90;4;0.0221015927729;0.4740643285855446
sqrt;10;1;0.0737404530798;0.4735543811975505
sqrt;10;2;0.0733582631367;0.4735543811975505
log2;80;3;0.0404476356682;0.4735543811975505
None;50;1;0.00484088905791;0.47165918985982813
sqrt;90;4;0.0125541593848;0.47118855102086676
log2;70;1;0.000145005131298;0.470894907360094
log2;90;1;0.0396940030959;0.4697695909981098
