Max features;Max depth;Min samples leaf;Min samples split;MCC
log2;90;1;0.00201439264786;0.5609694634139633
log2;90;4;0.00123008236365;0.5574229886167695
log2;70;3;0.00253120930843;0.5344686013458783
log2;10;1;0.00252894727599;0.5331966258896937
log2;90;2;0.000163870717239;0.5300875042858543
None;None;1;0.000256747206515;0.5266498702202901
log2;60;3;0.00208479838174;0.5187258011886826
None;50;1;0.000269332423775;0.5176319347126532
None;30;1;0.000270607717788;0.5176319347126532
log2;30;1;0.00100189619954;0.5170709278821043
None;80;4;0.00152021913411;0.5170709278821043
log2;20;2;0.000129787603682;0.5160903597638549
sqrt;None;4;0.000195259215877;0.5145544728563464
None;30;2;0.000154126994166;0.5142176358652699
None;90;3;0.00061518146446;0.5130410484621227
None;10;2;0.00148914362787;0.5130301258777609
None;70;4;0.00211159607326;0.5128186849336227
None;40;2;0.000190640573391;0.5112879080164286
sqrt;20;1;0.000775495903137;0.5109800161189586
None;90;1;0.00115301869374;0.510259384418687
None;30;3;0.00122596719865;0.5100207190721563
None;60;3;0.00125072572019;0.5100207190721563
log2;None;1;0.00161915569366;0.5099443835471811
None;30;2;0.000634110208701;0.508825931761046
None;100;1;0.00263395548899;0.5072133895456687
None;10;3;0.00138606269828;0.5070624531574225
sqrt;80;2;0.00016112853119;0.5055388522599186
None;10;3;0.00281048740703;0.5042200566105937
sqrt;90;4;0.0075396817335;0.5042071705311136
log2;50;1;0.000271590000094;0.5031255569465628
log2;90;2;0.0039391814308;0.5015711567228037
sqrt;60;5;0.00431419082821;0.501425369419079
None;10;5;0.00216874373455;0.5000307396501852
None;10;4;0.00303963644445;0.5000307396501852
None;None;1;0.000414775015743;0.4995960636973794
None;40;2;0.000428007628631;0.4983099201341742
log2;30;3;0.00891105272548;0.4975443410561416
None;90;2;0.000783069409013;0.49631107890483755
log2;None;1;0.0617024641533;0.4958932643515294
log2;20;1;0.00529640824208;0.49576927191164427
None;70;5;0.000338873443841;0.4951007901172717
None;90;5;0.000577896161748;0.49323900582027363
None;None;3;0.000101468283248;0.4931090470018859
None;70;3;0.000274248210663;0.4931090470018859
sqrt;70;2;0.000597402669183;0.4930468094860936
None;20;4;0.000403111591472;0.4921008623980952
sqrt;20;3;0.00290481930079;0.4917559136564999
None;10;1;0.000861806734823;0.4904527906091398
log2;30;5;0.0149772518018;0.4901814449186108
sqrt;50;1;0.0119206450402;0.4901814449186108
log2;60;3;0.000282262462176;0.4893789039592093
None;30;3;0.000716630987323;0.48838592616848037
None;None;5;0.000262235729532;0.4881586780118465
sqrt;70;5;0.00357459075963;0.48782837432807324
sqrt;70;3;0.000559975220075;0.48731350504215315
None;50;2;0.00392258582101;0.48731350504215315
sqrt;90;5;0.00207292680009;0.48672571039485496
None;None;4;0.000789611705687;0.48662930742655536
sqrt;50;1;0.00195965953436;0.4839355966207609
None;80;4;0.000155870499703;0.48294816258165724
log2;50;4;0.0170383945511;0.4824239335624738
sqrt;90;5;0.0149121035369;0.4821413181366185
log2;90;2;0.000585874445062;0.4815553186485875
log2;60;2;0.0310597800435;0.4811240129243365
None;100;2;0.00106481515475;0.4808257191881446
sqrt;60;2;0.000421438882951;0.4804037638178414
sqrt;100;3;0.00862242024402;0.4785141569117912
log2;10;5;0.0139775392771;0.47818457858929153
sqrt;60;3;0.0234336796113;0.4778592280713563
None;100;1;0.000620156922331;0.4778403758742762
log2;70;4;0.00106853512934;0.47652490591207486
log2;80;4;0.0445153377537;0.47652490591207486
log2;90;4;0.0192774023079;0.47647640216749976
log2;90;1;0.0859457204403;0.47488197865014403
sqrt;80;1;0.000129498032775;0.47466272815547234
None;30;2;0.000646047069816;0.474602609573985
