Max features;Max depth;Min samples leaf;Min samples split;MCC
sqrt;30;3;0.00018480551316;0.583725528740665
sqrt;40;1;0.000480416024175;0.5757239627205909
sqrt;50;2;0.000392573204705;0.5674964290345951
None;70;3;0.000298796880241;0.5626336970188848
log2;None;2;0.00161188497726;0.5580581392134341
None;90;5;0.000293767732086;0.5560885641680317
None;60;1;0.000269305561018;0.5511563916022549
log2;100;3;0.000147579249007;0.5499210140286414
None;40;2;0.000234979064935;0.5494502787877825
sqrt;40;2;0.000344618141887;0.5478225575927833
None;10;2;0.00037149072288;0.5478225575927833
sqrt;90;3;0.000150731659034;0.5476217867831218
log2;10;2;0.00174416400029;0.5476217867831218
log2;40;4;0.000496808284024;0.5472195503619701
log2;40;4;0.000779860630018;0.5461061810384835
log2;50;3;0.000181548761664;0.5445734813820081
sqrt;40;1;0.000740170588078;0.5428376898873764
sqrt;20;2;0.0164482223974;0.5417265825849741
log2;50;5;0.000202622987731;0.5410951411064681
log2;50;4;0.00054265089121;0.5409208846067638
None;40;2;0.0014328630899;0.540506185727806
None;10;3;0.00145972638315;0.5386275051829882
None;30;3;0.00142881342423;0.5386275051829882
None;50;4;0.000107462397293;0.5382965169820888
None;70;1;0.000332627430693;0.538028637364671
None;40;4;0.00236212995112;0.5375406172617245
sqrt;10;2;0.000225308020352;0.5370280266800056
log2;80;2;0.00196654994924;0.5359916232584697
None;30;3;0.00299352340604;0.5356236326431256
None;10;3;0.0012692568655;0.5352274987686332
None;100;4;0.000458982753759;0.534891138556305
sqrt;60;1;0.00467210579676;0.5346253176573939
log2;70;3;0.00138634485113;0.533034963667869
log2;40;2;0.0011912859555;0.5327944261110434
None;30;3;0.00313176654732;0.5322091907260111
log2;100;2;0.000273581190301;0.5314647602458791
None;80;1;0.00218947003653;0.531208458274447
None;80;2;0.000214942534672;0.5309808823640111
None;70;1;0.000104736033445;0.5295954868833348
log2;20;1;0.00225766528635;0.5295954868833348
None;10;1;0.00279497604695;0.5292402050881504
None;30;2;0.00169156465001;0.5287737127154408
None;100;4;0.00033335983812;0.5280169805045906
sqrt;70;4;0.0057269916252;0.5272761178222275
log2;90;5;0.00230673789466;0.5238573606977995
log2;20;3;0.00243020188431;0.5234449105610948
None;20;2;0.000110915320025;0.5223978243358786
sqrt;70;1;0.000262754110014;0.5222201011100998
sqrt;90;2;0.0392902864722;0.5218380387526226
sqrt;30;5;0.000897093097933;0.5210555460198636
sqrt;10;5;0.00132331758516;0.5208401416688355
sqrt;None;5;0.0117205691824;0.520326113202961
sqrt;80;4;0.0351318018544;0.520326113202961
log2;90;5;0.000854407320086;0.5199700972229933
sqrt;10;5;0.000120651489048;0.5193725618120572
log2;20;4;0.0023962333395;0.5186085056481576
sqrt;10;2;0.000385744940738;0.518337006008295
sqrt;80;4;0.0219313701628;0.5179068700399653
log2;80;3;0.00782604067415;0.5168177670629133
None;60;2;0.000241514224777;0.515951244326068
log2;80;3;0.0172834474069;0.5150413921820269
sqrt;60;1;0.0268173835336;0.5150413921820269
log2;20;3;0.00396101777457;0.5144041655154437
log2;80;1;0.0159601754032;0.514333959844286
log2;20;5;0.0137488591449;0.5129542473550801
sqrt;30;5;0.00395751268423;0.5129526344883923
sqrt;40;2;0.0013563348774;0.5123370816914739
sqrt;20;3;0.00046398620965;0.5108685952960823
None;60;1;0.0217701077696;0.5100899224232248
log2;70;1;0.0513226801628;0.5100899224232248
None;50;4;0.0355318530422;0.5100899224232248
sqrt;70;3;0.01507524363;0.5100899224232248
None;70;2;0.0513212011061;0.5100899224232248
None;None;2;0.0290898785807;0.5100899224232248
sqrt;10;3;0.068131610175;0.5100899224232248
None;20;5;0.0406353679457;0.5100899224232248
None;70;3;0.0997051267599;0.5100899224232248
log2;10;2;0.000242686718779;0.5100899224232248
None;10;2;0.0220968190929;0.5100899224232248
None;80;1;0.0489276706712;0.5100899224232248
None;30;5;0.0147101970941;0.5100899224232248
log2;90;2;0.0723211800267;0.5100899224232248
log2;90;2;0.0512235007434;0.5100899224232248
None;40;3;0.0439392485399;0.5100899224232248
log2;10;5;0.067123412617;0.5100899224232248
sqrt;60;3;0.0859968689676;0.5100899224232248
None;30;4;0.0341832103617;0.5100899224232248
None;90;4;0.0188093126058;0.5100899224232248
None;50;2;0.0443792096154;0.5100899224232248
None;20;3;0.0517649943051;0.5100899224232248
None;60;1;0.072048506293;0.5100899224232248
None;10;4;0.0142514478607;0.5100899224232248
None;50;5;0.0762351309539;0.5100899224232248
sqrt;10;4;0.0322681374671;0.5100899224232248
None;30;5;0.0136539016292;0.5100899224232248
log2;40;1;0.0247503879857;0.5100899224232248
None;20;2;0.0323323151479;0.5100899224232248
None;60;1;0.0463082662257;0.5100899224232248
None;40;1;0.0167884863409;0.5100899224232248
log2;20;4;0.0470846156601;0.5100899224232248
sqrt;80;4;0.0199009942686;0.5100899224232248
None;100;5;0.0928357325178;0.5100899224232248
None;20;2;0.0457520561421;0.5100899224232248
None;100;2;0.0475082095543;0.5100899224232248
sqrt;60;4;0.0582938051519;0.5100899224232248
None;10;2;0.0285710863044;0.5100899224232248
log2;80;5;0.0339169721319;0.5100899224232248
sqrt;50;3;0.073187581565;0.5100899224232248
log2;80;2;0.059063375658;0.5100899224232248
None;100;4;0.0492592992888;0.5100899224232248
log2;90;2;0.0657214557474;0.5100899224232248
sqrt;60;4;0.000292886690318;0.5097321823772725
None;20;2;0.000780923632266;0.5087849389489403
None;50;1;0.000749702553322;0.5082114034163978
log2;60;1;0.0018928107994;0.5079205725201464
sqrt;70;1;0.0900952904271;0.5072718782359391
log2;80;5;0.000360005301626;0.5072426239278881
log2;100;1;0.0160693481623;0.5065359328981032
sqrt;20;1;0.0043728324357;0.5065359328981032
sqrt;10;4;0.0218031973046;0.5051154215582075
sqrt;60;3;0.00818527774367;0.5051154215582075
sqrt;30;4;0.00881396456999;0.5051154215582075
sqrt;10;4;0.00412312809507;0.5048871746781226
log2;70;2;0.00157764764206;0.5046097231939017
None;10;4;0.00438564516841;0.5037275013612071
log2;80;2;0.00448910713824;0.5037275013612071
sqrt;70;1;0.000773804928254;0.5029585685026713
None;30;4;0.0104243698628;0.5029585685026713
None;90;1;0.00905222261785;0.5029585685026713
log2;60;2;0.000126784701244;0.5023089954091375
sqrt;80;5;0.00960407563611;0.5022583890470991
log2;10;3;0.00664333611225;0.5015322132086597
None;90;3;0.012639032587;0.5015322132086597
None;10;2;0.0109372434071;0.5015322132086597
sqrt;70;3;0.00883109660971;0.5015322132086597
None;50;3;0.0113736222362;0.5015322132086597
log2;70;1;0.00386348727536;0.500978683187724
sqrt;100;5;0.029850494602;0.5001176184411261
log2;20;2;0.051265212298;0.5001176184411261
log2;10;1;0.020852468826;0.5001176184411261
log2;50;1;0.0150916813068;0.4989245164105572
log2;40;5;0.0063199748995;0.4987146226338598
sqrt;60;1;0.000517316585266;0.4987146226338598
sqrt;40;1;0.00523063393768;0.4987146226338598
None;80;2;0.00395533142556;0.4986453746519191
log2;40;3;0.00380589120841;0.49792510282401103
log2;80;1;0.000234156051752;0.4957318391452578
log2;100;1;0.0667299830418;0.49500768535760264
None;20;1;0.00505588566259;0.4936993039841492
None;60;1;0.00525859294814;0.4936993039841492
None;60;1;0.00512703535805;0.4936993039841492
log2;100;5;0.00546143332016;0.4931674182875051
log2;40;2;0.0574777268468;0.4928675052235127
sqrt;20;5;0.000164549183015;0.4914533565879754
log2;30;2;0.000178980672305;0.49022922017671006
sqrt;20;3;0.0201132640478;0.4900351943720259
log2;80;4;0.0173561930711;0.48986887787121014
sqrt;70;1;0.00573443605647;0.48947112562344147
log2;50;2;0.000373938949814;0.4891520167566964
log2;50;5;0.00137641208345;0.4884907392541784
log2;90;1;0.0539987816277;0.48778548332345084
sqrt;80;2;0.0244810361771;0.48765622087552296
log2;80;2;0.0145133184278;0.4872809895271722
log2;50;4;0.000127032528542;0.48637764640085895
log2;20;3;0.00174817662655;0.4861737125777328
sqrt;40;2;0.00357038587139;0.4861737125777328
None;50;3;0.00776368526168;0.4849816103519397
None;50;5;0.00672838752669;0.4849816103519397
log2;20;4;0.000660657463644;0.48445645081478955
log2;90;3;0.000245057784457;0.48361154951251795
sqrt;30;5;0.00114424916012;0.4827391482197969
sqrt;50;2;0.0587201551585;0.48267873934157546
sqrt;60;1;0.0107164448358;0.48267873934157546
log2;50;5;0.0051530292742;0.4810234131179211
log2;40;5;0.00345560119659;0.48037268328248606
sqrt;None;5;0.000951283438777;0.48020701343293737
log2;70;3;0.00627901088859;0.4801996941744065
log2;100;2;0.000125475172117;0.479841918433821
sqrt;70;5;0.0598449031126;0.4795136106444027
log2;70;4;0.0373928104747;0.47661215828539
log2;10;3;0.00468880532875;0.47615218943973425
sqrt;10;3;0.0036953049433;0.47502092326138134
log2;80;2;0.0446836251563;0.4742964908177867
sqrt;20;4;0.0173059621383;0.47279633018252
log2;50;2;0.0103790609209;0.471196695091453
sqrt;30;3;0.000252194858178;0.47033876018764303
log2;None;1;0.0853817770449;0.4690525960796677
log2;40;3;0.000247145733386;0.4678437997718663
sqrt;50;2;0.00120522118727;0.46199839021061473
log2;80;1;0.00226597619718;0.4613481491061504
sqrt;90;3;0.00983484613923;0.4539794634401282
sqrt;90;4;0.0561773281521;0.45108912030962117
log2;20;5;0.00558090251304;0.44711438758342803
sqrt;30;1;0.00455588374401;0.4375683889260149
sqrt;10;3;0.00741716277304;0.43287456710581357
sqrt;None;2;0.00742227745527;0.4308828239112832
log2;10;4;0.00777830896942;0.4305228006747139
log2;50;1;0.00309371255427;0.4240961954099518
sqrt;None;2;0.00295811479456;0.42075895549480735
sqrt;60;1;0.0345538150294;0.4180298574655423
