Max features;Max depth;Min samples leaf;Min samples split;Accuracy
None;60;2;0.000145154444962;0.9951885324310047
None;60;2;0.000260868170329;0.994974372153453
log2;30;3;0.000214138636876;0.9949458174497794
sqrt;20;1;0.000242518090403;0.9949315400979426
None;30;5;0.000127457810191;0.9949172627461059
sqrt;100;2;0.000141695815708;0.9949172627461058
None;10;1;0.000155408103102;0.994902985394269
None;30;3;0.000107872717462;0.9948601533387587
None;100;2;0.000298983761923;0.9947887665795747
sqrt;20;2;0.000147850833167;0.9947887665795747
log2;20;3;0.000155315330774;0.994774489227738
sqrt;60;4;0.00024639699934;0.9947602118759012
None;60;4;0.000310448144447;0.9947316571722277
sqrt;80;1;0.000609021213032;0.9947316571722276
log2;70;3;0.000126140189095;0.9947173798203909
log2;None;3;0.000378052380136;0.9947031024685541
None;40;5;0.000312699300065;0.9946745477648805
None;90;3;0.000476341731603;0.9946459930612069
None;40;4;0.000120782880604;0.9946459930612069
None;10;2;0.00112435142551;0.9946459930612069
None;90;5;0.000534991913779;0.9946317157093704
sqrt;40;4;0.000524912626466;0.9946174383575336
log2;70;2;0.000723404231162;0.9946174383575334
None;70;4;0.000252530023377;0.9946031610056968
log2;70;2;0.000198144779032;0.9946031610056966
None;70;5;0.000413852994313;0.99458888365386
sqrt;90;3;0.000340107919712;0.9945746063020232
log2;10;3;0.00134032219785;0.9945746063020232
sqrt;70;5;0.000138764055816;0.9945603289501864
None;40;5;0.000156841568467;0.9945603289501864
log2;100;4;0.00163326407856;0.9945603289501864
sqrt;None;2;0.000539217041146;0.9945317742465128
sqrt;90;5;0.000995105958246;0.9945317742465128
log2;60;1;0.000183392251258;0.9945174968946761
log2;30;3;0.000236812324539;0.9945032195428393
log2;20;4;0.000625768751627;0.9944889421910025
log2;70;2;0.000385856948569;0.9944889421910025
None;80;2;0.000462613156038;0.9944746648391657
None;60;4;0.000615000474546;0.9944603874873289
log2;10;3;0.000107840676635;0.9944603874873289
log2;40;4;0.000162892583447;0.9944603874873289
log2;10;3;0.00126744785065;0.9944603874873289
log2;50;1;0.00147166376549;0.9944603874873289
None;40;4;0.000827147335034;0.9944461101354921
None;90;2;0.00131096064358;0.9944461101354921
log2;None;5;0.000802262824271;0.9944461101354921
log2;60;4;0.00167725893608;0.9944318327836553
None;50;3;0.000413566458743;0.9944318327836553
None;40;2;0.000827388451708;0.9944175554318185
log2;20;4;0.000759414001667;0.9944175554318185
None;50;1;0.000578038658254;0.9944175554318185
sqrt;None;2;0.000665433536295;0.9944032780799817
None;40;5;0.00166080123388;0.994389000728145
sqrt;40;2;0.00072785027319;0.994389000728145
log2;10;2;0.00169344108721;0.9943747233763082
sqrt;40;5;0.000179271904143;0.9943747233763082
sqrt;60;4;0.000374630981303;0.9943604460244715
None;40;5;0.00042413060579;0.9943604460244714
sqrt;80;5;0.000301808585172;0.9943604460244714
log2;70;2;0.00356507552682;0.9943461686726346
None;80;3;0.00112044248005;0.9943461686726346
log2;10;3;0.000252359953517;0.9943318913207979
sqrt;60;3;0.000893968878931;0.994317613968961
log2;30;2;0.000874488941701;0.994317613968961
log2;20;4;0.000240412906702;0.9943033366171242
log2;80;2;0.00282966010721;0.9942890592652874
sqrt;30;1;0.00101548580924;0.9942890592652874
sqrt;50;3;0.00261398731597;0.994260504561614
sqrt;10;5;0.000517719614517;0.994260504561614
log2;10;1;0.0014167590715;0.9942319498579404
sqrt;30;5;0.00117241163717;0.9942319498579404
sqrt;70;2;0.00508858354411;0.9942033951542668
None;10;1;0.000119122474991;0.99418911780243
sqrt;30;3;0.00101457318472;0.9941748404505932
None;50;3;0.00165846761828;0.9941605630987566
sqrt;70;4;0.00355854430256;0.9941605630987564
log2;20;1;0.00133087950042;0.9941605630987564
None;70;1;0.0015459992962;0.9941462857469197
None;90;2;0.00131761580609;0.9941320083950829
log2;80;5;0.000363715662379;0.9941320083950829
log2;100;4;0.000882844956688;0.9941320083950829
sqrt;40;4;0.00695700107533;0.9941177310432461
log2;50;4;0.00140522275836;0.9941034536914094
sqrt;80;2;0.0122538430122;0.9941034536914093
None;None;5;0.00751627468645;0.9941034536914093
log2;70;5;0.00309776488897;0.9940891763395726
sqrt;10;1;0.000883666433114;0.9940891763395725
sqrt;60;2;0.00809010021882;0.9940891763395725
log2;50;2;0.0381159925156;0.9940748989877357
log2;30;2;0.0239395733861;0.9940606216358989
None;100;5;0.00228710705585;0.9940463442840622
log2;100;4;0.021328082182;0.9940463442840622
sqrt;80;3;0.000724839214173;0.9940463442840622
log2;80;5;0.0467308914353;0.9940463442840622
log2;None;4;0.0805747295678;0.9940463442840621
log2;30;1;0.0884979082283;0.9940463442840621
log2;10;3;0.000421951191764;0.9940320669322255
log2;90;2;0.00867168712169;0.9940177895803887
log2;20;1;0.0404855984623;0.9940177895803887
log2;60;3;0.0421708598117;0.9940177895803887
log2;90;1;0.00844222558295;0.9940177895803886
log2;20;5;0.0106009548731;0.9940035122285518
sqrt;40;5;0.000880115363347;0.9939892348767151
log2;50;2;0.0377202530031;0.9939892348767151
log2;100;5;0.0194711439017;0.9939892348767151
sqrt;30;4;0.00100984658762;0.9939749575248783
log2;100;3;0.00171446409804;0.9939749575248782
sqrt;80;3;0.0917344013872;0.9939606801730415
log2;20;5;0.00626708536487;0.9939606801730415
sqrt;50;2;0.0715343721596;0.9939606801730415
sqrt;10;2;0.0808210060216;0.9939606801730415
None;30;2;0.00345972112421;0.9939606801730415
sqrt;80;3;0.004871417309;0.9939606801730415
log2;30;3;0.000549592019313;0.9939464028212047
log2;40;2;0.0911705256948;0.9939464028212047
log2;90;4;0.0386691092885;0.9939464028212047
sqrt;30;2;0.0128308274107;0.9939321254693679
log2;60;3;0.00221091511541;0.9939321254693679
sqrt;100;3;0.0176986065584;0.9939321254693679
None;70;5;0.0100657145724;0.9939178481175311
None;60;1;0.0014258536014;0.9939178481175311
sqrt;10;4;0.0348319515679;0.9939178481175311
None;20;4;0.00131244572601;0.9939178481175311
log2;40;3;0.08014048532;0.9939178481175311
log2;40;5;0.00801231681394;0.9939035707656944
None;90;1;0.00846563711673;0.9939035707656944
log2;None;1;0.00115556397085;0.9939035707656944
sqrt;None;3;0.0494470898115;0.9938892934138576
sqrt;70;5;0.00244650833779;0.9938892934138576
log2;70;1;0.0912917128302;0.9938892934138576
log2;70;1;0.0332229461843;0.9938892934138576
None;50;5;0.0102622098846;0.9938750160620208
sqrt;60;1;0.0182143015104;0.9938750160620208
sqrt;None;3;0.020266559946;0.9938750160620208
None;70;2;0.0126567663456;0.9938750160620208
sqrt;None;1;0.015864562974;0.993860738710184
log2;50;1;0.00143965490191;0.993860738710184
log2;80;5;0.00372449150054;0.993860738710184
None;60;5;0.00243514681724;0.9938464613583472
log2;30;2;0.0537703353536;0.9938464613583472
sqrt;80;3;0.0566908801396;0.9938464613583472
None;60;3;0.0291027322922;0.9938321840065104
None;60;3;0.0634041987782;0.9938321840065104
None;30;2;0.0373510441024;0.9938321840065104
None;30;4;0.0433525534627;0.9938321840065104
log2;100;5;0.0178591079258;0.9938321840065104
None;None;3;0.0170621942892;0.9938321840065104
None;100;4;0.0449732507363;0.9938321840065104
None;80;3;0.0947896843542;0.9938321840065104
None;90;4;0.0234951274131;0.9938321840065104
None;50;1;0.0164288167197;0.9938321840065104
None;60;2;0.0152675713778;0.9938321840065104
log2;40;1;0.0362439442549;0.9938321840065104
None;80;1;0.0494945842247;0.9938321840065104
None;10;2;0.0325730385395;0.9938321840065104
None;60;2;0.0975561316613;0.9938321840065104
log2;80;4;0.0691017613402;0.9938321840065104
sqrt;90;1;0.00494271906963;0.9938321840065104
None;30;4;0.0751890882882;0.9938321840065104
log2;60;1;0.0500373557405;0.9938321840065104
None;100;5;0.00728602788984;0.9938321840065104
None;None;1;0.0142108348494;0.9938321840065104
None;40;3;0.0618284221325;0.9938321840065104
None;100;3;0.0136518491854;0.9938321840065104
None;20;1;0.0257536076122;0.9938321840065104
None;50;2;0.0165988560886;0.9938321840065104
None;10;5;0.0458285424503;0.9938321840065104
None;100;2;0.0278119240171;0.9938321840065104
None;40;1;0.0175966763228;0.9938321840065104
None;70;4;0.0459686509828;0.9938321840065104
None;90;4;0.031800736285;0.9938321840065104
None;100;1;0.0889295625122;0.9938321840065104
None;None;1;0.0310317356268;0.9938321840065104
None;50;3;0.0223225521804;0.9938321840065104
None;100;3;0.0206738784392;0.9938321840065104
None;60;4;0.0438577962775;0.9938321840065104
None;40;5;0.00343081673911;0.9938179066546736
log2;None;3;0.0592202549329;0.9938179066546736
log2;100;3;0.0527053249361;0.9938036293028368
sqrt;80;3;0.00311502200296;0.9938036293028368
log2;30;5;0.0236692230799;0.9938036293028368
sqrt;100;2;0.0154333914674;0.993789351951
log2;None;5;0.0350440740687;0.993789351951
sqrt;90;5;0.0185252519811;0.9937750745991633
log2;100;1;0.0505713867303;0.9937750745991633
None;60;3;0.00652397692494;0.9937607972473265
None;50;1;0.00216245041469;0.9937465198954897
None;90;5;0.00810162028072;0.9937465198954897
sqrt;80;3;0.0442827830877;0.9937179651918161
sqrt;30;4;0.0328716328304;0.9937036878399793
log2;20;5;0.000893056193011;0.9936894104881427
sqrt;70;5;0.048309794027;0.9936894104881425
None;20;5;0.00654198117688;0.993675133136306
None;100;3;0.0617316410077;0.9936323010807956
None;50;2;0.00839630818845;0.993603746377122
sqrt;70;4;0.0168905259644;0.9935751916734484
None;50;3;0.00277450553737;0.9935751916734484
None;60;2;0.00422591530788;0.9935609143216116
sqrt;100;5;0.00274645560221;0.9935609143216116
None;60;3;0.00274201714449;0.9933467540440599
