Max features;Max depth;Min samples leaf;Min samples split;Accuracy
None;80;1;0.00707336591622;0.9886979763268423
None;70;5;0.00342390869487;0.9884688812523864
None;30;4;0.00661271091633;0.9882397861779305
None;40;4;0.00494032341672;0.9880870561282933
None;100;2;0.00530270156775;0.987934326078656
None;20;2;0.00388069531422;0.9878579610538374
None;20;5;0.00520208751652;0.9877052310042002
None;30;4;0.00725894564357;0.9876288659793815
None;40;4;0.000185055429246;0.9874761359297443
None;90;5;0.0040231255667;0.9873234058801069
None;50;5;0.00377053500516;0.9873234058801069
None;70;5;0.00393153242334;0.9871706758304697
None;50;2;0.000225500981895;0.9870179457808325
None;None;4;0.000907332692292;0.9870179457808325
None;None;2;0.00172889855846;0.9870179457808325
None;90;5;0.0029601735683;0.9869415807560138
None;70;3;0.0117287311789;0.9869415807560138
None;20;5;0.00101473863134;0.9868652157311951
None;10;3;0.000121348798338;0.9868652157311951
None;30;3;0.00321254500069;0.9868652157311951
None;10;4;0.00106557106616;0.9867124856815579
None;None;3;0.000210709306987;0.9867124856815579
None;90;2;0.00172704119111;0.9867124856815579
None;80;5;0.0016629049062;0.9867124856815579
None;50;4;0.000320351181239;0.9867124856815579
None;30;5;0.000659288210779;0.9867124856815579
None;70;4;0.00290231349021;0.9865597556319207
None;90;4;0.000236622267295;0.9865597556319207
None;60;1;0.00235810841134;0.9864070255822833
None;None;4;0.000184456058216;0.9863306605574648
None;70;3;0.00010727308053;0.9863306605574648
None;100;1;0.000576132027402;0.9863306605574648
None;70;2;0.000214321810745;0.9863306605574648
None;40;5;0.000724862915077;0.9862542955326461
None;None;3;0.0133372639914;0.9861015654830089
None;20;4;0.000228689028419;0.9860252004581902
None;70;2;0.000518822664664;0.9860252004581902
None;80;1;0.00943327478625;0.9859488354333715
None;40;1;0.00147830399616;0.9857197403589156
None;60;5;0.0138262208355;0.9857197403589156
None;30;2;0.00042738717516;0.9856433753340971
None;90;5;0.00535195439006;0.9855670103092784
None;60;1;0.0025976023427;0.9855670103092784
None;60;5;0.000465531206777;0.9855670103092784
None;30;3;0.0182229495079;0.9854142802596412
None;70;2;0.000737649613677;0.9854142802596412
