Max features;Max depth;Min samples leaf;Min samples split;MCC
log2;90;2;0.000427313938279;0.33768523510458764
sqrt;100;4;0.000183672386823;0.3328460515275683
log2;80;4;0.00386380047324;0.3198545595833646
log2;10;2;0.000270348355958;0.31369525156549477
sqrt;100;3;0.000810385479342;0.30811488368093454
sqrt;None;1;0.00111680027413;0.3033540410064806
log2;80;5;0.000151573791909;0.3031433749819755
None;40;4;0.00171884726759;0.3005849989878054
None;70;4;0.000160841860766;0.3005849989878054
None;50;4;0.000145132063491;0.3005849989878054
sqrt;20;4;0.00315922001269;0.29786326708655825
None;30;4;0.00195867170507;0.2903730861599994
None;70;3;0.00187906681196;0.2903730861599994
None;80;4;0.00152382190734;0.28792861819918153
None;80;4;0.000221806758654;0.28792861819918153
None;80;4;0.000336406871283;0.28792861819918153
None;40;4;0.00014203429733;0.28792861819918153
None;90;5;0.000300151318312;0.28320023100787495
log2;40;1;0.00335354088415;0.28091237830908466
log2;40;2;0.000507477229979;0.2802062009570464
log2;80;1;0.000390237492076;0.2791470055875858
log2;40;2;0.00250045501857;0.2774416118282406
log2;50;4;0.00064065665729;0.2766242465629631
sqrt;None;5;0.000132446002464;0.27429880011130336
log2;None;4;0.0636512299428;0.2741109069350214
sqrt;50;4;0.000686864304462;0.2727683854008784
None;70;3;0.00231358813145;0.2727683854008784
sqrt;80;4;0.0491558592486;0.2708823019871221
None;40;5;0.00142580585075;0.2704916798138629
None;100;5;0.0101457364163;0.2704916798138629
None;30;5;0.011233817851;0.2704916798138629
None;20;5;0.00246191997689;0.2704916798138629
None;20;5;0.000977667949764;0.2704916798138629
None;50;5;0.0100436525614;0.2704916798138629
None;80;3;0.00681736881259;0.26826457893237404
None;10;4;0.00759229890375;0.26826457893237404
sqrt;90;1;0.00501438241737;0.26788859180655006
sqrt;100;3;0.00533187893526;0.26622640908092166
None;20;4;0.0975702710489;0.2662194348307892
None;20;3;0.000111880549325;0.26608526280944356
None;30;5;0.00640502479748;0.26608526280944356
log2;70;5;0.0912979934366;0.26421840329328106
log2;10;5;0.000224894914716;0.26421840329328106
None;10;2;0.000579572893389;0.2639520039158878
sqrt;10;3;0.000805954125255;0.2632593493412043
log2;40;4;0.005877090864;0.26231087339644693
None;40;4;0.00359795348533;0.2620829103416102
sqrt;10;3;0.0147471945388;0.2618631611861437
log2;20;5;0.0866520909462;0.25983567588749623
log2;40;1;0.00188720955928;0.2598301697835811
log2;80;1;0.00164932333564;0.2567972370677998
sqrt;100;4;0.0525564964594;0.25678570047751975
log2;30;5;0.0438410895606;0.2558479038594898
None;None;5;0.0654327268327;0.2558479038594898
None;80;2;0.00793535686584;0.25544502022689164
None;80;4;0.00632628302738;0.25544502022689164
sqrt;100;2;0.0567531348984;0.2552948787799022
log2;20;4;0.0510195975897;0.2552948787799022
sqrt;100;1;0.000394119314474;0.25489709986234643
log2;90;1;0.00125274838732;0.2517398486745058
sqrt;20;5;0.00588352160806;0.25125814730980245
None;None;2;0.00210048989704;0.25125814730980245
None;80;2;0.000188126952576;0.25125814730980245
log2;40;5;0.00316158719901;0.2501985228748374
log2;10;1;0.000132848811759;0.25018053907132737
sqrt;10;2;0.00982918668199;0.24868117566719486
sqrt;20;5;0.00834597985831;0.24836286788331677
sqrt;10;4;0.0165587220949;0.24824259778805127
log2;60;1;0.0128330644554;0.24824259778805127
None;80;3;0.000235615829524;0.24724606126716397
log2;80;4;0.00206463534903;0.24657901763459436
sqrt;50;5;0.000233476633802;0.24657901763459436
None;100;3;0.000305117687871;0.2453017202298778
None;90;3;0.000639127853668;0.2453017202298778
None;70;2;0.000965429589096;0.2453017202298778
log2;None;2;0.00028398422597;0.24502156299228017
log2;80;5;0.00133866024538;0.2448279217677174
sqrt;50;1;0.0772223614205;0.24426677177343598
None;30;3;0.0583798514383;0.2433966139218017
None;30;1;0.00741830512557;0.24244791980427208
sqrt;60;1;0.00051499090786;0.2419056079181428
sqrt;90;4;0.000275173535623;0.24143269053501062
None;40;1;0.000121823644153;0.2414199577013906
log2;70;4;0.000135989284064;0.2414199577013906
sqrt;80;4;0.000212994402263;0.2414199577013906
log2;50;2;0.000170483846154;0.23976117952365444
sqrt;60;2;0.0867871268605;0.23976117952365444
sqrt;90;1;0.00790689164646;0.23888896709763835
sqrt;60;2;0.000836848062983;0.2386806217828246
log2;70;3;0.0316254382557;0.2386806217828246
sqrt;None;3;0.0020735193857;0.23839327478137218
sqrt;None;2;0.036497621784;0.23813133108797438
log2;70;2;0.007000157267;0.2379036218290321
sqrt;100;3;0.000264333285889;0.2379036218290321
log2;50;2;0.0022911152215;0.2374162079256747
sqrt;80;1;0.000216797411577;0.23652955489768676
log2;100;1;0.00131755962703;0.23652955489768676
None;60;4;0.0859307388541;0.23614267484937362
log2;70;5;0.000789062330181;0.23495502875727
sqrt;20;2;0.0573507961483;0.23495502875727
None;None;1;0.000719250708495;0.2344148623701866
None;60;1;0.00108229976851;0.2344148623701866
log2;80;1;0.00172309994976;0.23409953452693333
log2;None;5;0.00705832023331;0.23340696392304855
sqrt;80;1;0.0144488766982;0.2331326998410322
log2;20;2;0.00448923227578;0.23271912639623982
None;None;1;0.000295051932315;0.23262896134818423
sqrt;20;5;0.00917289186988;0.2318846033710142
None;30;2;0.00214592296011;0.23129194720451268
None;50;1;0.000804145426942;0.23105445580816192
log2;10;5;0.00183184396049;0.22941988372196084
sqrt;100;2;0.0147452124831;0.2292671996062593
sqrt;60;2;0.00809244200353;0.22781448502819626
sqrt;20;2;0.000142451300181;0.22781448502819626
sqrt;80;5;0.0183318632209;0.2262373740965304
log2;60;2;0.0121337961752;0.22535170105294916
sqrt;80;1;0.00724222241201;0.22468770263267676
sqrt;80;2;0.0482358106061;0.22377409644626092
log2;50;1;0.000157768178862;0.22377409644626092
sqrt;80;1;0.070144795908;0.22325144439936837
sqrt;20;3;0.00335246114414;0.223164657675928
log2;30;1;0.0152593861982;0.22210481062741994
log2;90;1;0.000214073964625;0.22210481062741994
sqrt;30;4;0.000256604244221;0.22166745972648874
sqrt;30;2;0.00454143440866;0.22166745972648874
None;20;1;0.00337005490297;0.2216039163105202
None;None;1;0.00319470052941;0.2216039163105202
None;60;2;0.00248164052556;0.2216039163105202
log2;100;3;0.00756451671393;0.21978912415084106
None;50;1;0.000125604076835;0.2188592351578853
log2;70;5;0.0355921367216;0.21801186142920448
None;50;3;0.0141722804109;0.21784635992360607
log2;50;4;0.00683351560353;0.21627081163648557
log2;30;2;0.00155697934195;0.21456472227666692
log2;100;3;0.00166778115079;0.21420901235500192
sqrt;10;5;0.000395926649132;0.21271356866940636
log2;100;4;0.00504138909587;0.21271356866940636
sqrt;50;1;0.0351254722422;0.21271356866940636
log2;30;1;0.0257712893724;0.21125271151648306
log2;70;4;0.00270291081696;0.20964457106348972
sqrt;60;3;0.000501691157399;0.20964457106348972
log2;90;4;0.0029513942248;0.2065188513439263
log2;90;1;0.0453849993956;0.2065188513439263
sqrt;60;3;0.0185065382712;0.2065188513439263
None;50;5;0.0150823506457;0.2061155942861352
sqrt;20;2;0.0380442743086;0.20499934391953079
log2;100;2;0.000602522403696;0.20499934391953079
None;10;2;0.0141230683118;0.2041999333105261
